Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D04_491146
Composite Element REF	Signal
AACS	6.55536884191478
FSTL1	8.40358979396123
ELMO2	7.37774008802713
CREB3L1	4.26799393424892
RPS11	10.2586978589569
PNMA1	9.05832589700315
MMP2	7.76267319447182
SAMD4A	4.01568489268784
SMARCD3	8.36247080376116
A4GNT	3.44524210365829
C9orf39	3.16479002647043
PKNOX2	3.79769635172698
RALYL	3.18718516662576
ZHX3	4.00967060486757
ERCC5	6.73822031536055
RXFP3	2.91410542739092
APBB2	4.20084593559570
BBOX1	7.59151469950853
PRO0478	2.89909218005608
GCSH	8.14860334494528
XDH	3.8730572001491
EDN1	3.668837277941
MTERF	6.47406708950132
PDCL3	7.45957995386502
CLK4	6.42509998608834
KCNG1	3.6094415265991
CXCR4	7.92978853850001
DECR1	6.91064318789873
SALL1	3.19294231933169
PTPRR	7.73112840500147
CADM4	3.48693148011140
IRAK1	9.50634172513499
CFHR5	3.24800977311582
HNRPD	7.81954353989786
TMSB10	12.5296409655094
CXCL3	4.41712446040253
LMAN1	4.56168719743549
SUHW1	3.3185843198186
CHD8	6.28841946494651
SUMO1	8.22679141206396
GP1BA	3.43576333568985
OR7A10	3.71598711872612
DDB1	7.73515282490871
CHRNA10	3.42416436621601
STYK1	3.47961302360917
MYO9B	4.80355608598497
CCNI	10.1095367354066
MMP7	10.567374260672
EP300	6.2497890831429
CRNKL1	5.8742295418272
C9orf45	3.17230709549662
XAB2	4.64618424878625
RTN1	4.87871253122943
HIC2	4.03058766557760
TBX10	3.50225310946103
CENPQ	4.37291778596892
UTY	3.06063145543249
OR2W1	2.68402827172655
ATP5G2	10.5363955675912
ZEB1	3.51380914400931
ZG16	3.52011555774968
ERG	3.68715395333273
PARN	6.4786991489783
SOD2	5.95589028772574
JOSD3	6.86106351912416
ADAM5P	3.19879991613056
CHD9	6.74410263055211
hCG_40738	3.62098269353538
STK16	4.28624089759266
PDE1C	3.46570252885848
SEMA4D	6.07641130219301
AGPAT1	6.57766669554823
TOB2	6.10249941968667
BANK1	5.21142567115548
