Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_F03_491272
Composite Element REF	Signal
AACS	7.16459133575583
FSTL1	8.0650545004468
ELMO2	6.16921656475693
CREB3L1	3.63804088244194
RPS11	10.3476456967147
PNMA1	8.26114141262499
MMP2	6.31864789279705
SAMD4A	3.86581613277322
SMARCD3	5.91441040785887
A4GNT	3.57986925499367
C9orf39	5.96719837297991
PKNOX2	3.72411130389299
RALYL	3.53137134604171
ZHX3	4.21970812648795
ERCC5	6.96945933515783
RXFP3	2.88084743626487
APBB2	4.80648777066712
BBOX1	3.48481158776873
PRO0478	2.88834146470476
GCSH	8.01644089127994
XDH	3.47605741762854
EDN1	3.67490213889809
MTERF	6.68635582741628
PDCL3	7.7918575218932
CLK4	6.37086004835355
KCNG1	4.2865029111808
CXCR4	7.50760339793541
DECR1	8.96244304153384
SALL1	3.42176783840869
PTPRR	3.36023157150721
CADM4	3.50391342658391
IRAK1	7.55895548474917
CFHR5	3.03661398864549
HNRPD	8.51825622279481
TMSB10	12.5307772044909
CXCL3	3.5001311866411
LMAN1	4.04123067564242
SUHW1	3.72077875352095
CHD8	5.84682213083915
SUMO1	8.48776325949143
GP1BA	3.17374910336612
OR7A10	3.64137949617214
DDB1	7.48270851439707
CHRNA10	3.61061745673922
STYK1	3.67682386779036
MYO9B	4.97451795895856
CCNI	10.1827794105386
MMP7	9.41791752487467
EP300	7.12383439404756
CRNKL1	7.58288884952563
C9orf45	3.69759926293369
XAB2	4.87626559288345
RTN1	4.53450593525896
HIC2	4.22937391791408
TBX10	3.47830477154444
CENPQ	4.79127896557475
UTY	2.93850376998888
OR2W1	2.8437209731234
ATP5G2	10.8790219994060
ZEB1	3.31902885826153
ZG16	3.38895903623289
ERG	3.86877028581739
PARN	7.23767708062608
SOD2	5.17089038007273
JOSD3	7.90801570296985
ADAM5P	3.24120171251756
CHD9	6.53359708137055
hCG_40738	3.80968286725301
STK16	5.11713132400474
PDE1C	3.50844897838042
SEMA4D	5.87855529334602
AGPAT1	6.85201041945434
TOB2	6.12246040671264
BANK1	3.41481141036969
MAP3K3	5.39802889869688
MAX	4.84173919972132
GRM2	3.452335891863
OSBPL8	7.86991091976816
PROSC	5.77404181631947
NR4A2	6.20775120245674
RICS	5.61055573185027
PIR	4.36772800947636
PPCS	8.90325401771181
IPO9	7.5725147379936
LONP1	7.39007263039725
EVC	4.7789256390273
CXCL13	6.18471707709249
SCYL3	6.09704498170653
KIAA1199	6.89639162969336
SORL1	7.94715391379465
NAT10	7.29786867956391
CHD1	7.93022136501912
SYN3	3.52386856106347
DMC1	3.99481453026141
SLC22A2	3.66966082894466
SERPINF1	7.04328983922686
C20orf27	6.12420636614666
OR7A17	3.14936740936036
RPS6KA5	5.0225439125149
LHB	3.18679116031462
