Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E10_516300
Composite Element REF	Signal
AACS	6.6824538325021
FSTL1	8.6956929225046
ELMO2	5.98124733896563
CREB3L1	4.30838291814227
RPS11	9.69879748722922
PNMA1	6.71408491296553
MMP2	8.68714177641502
SAMD4A	3.87888247105094
SMARCD3	7.84746658658418
A4GNT	3.55462269161172
C9orf39	3.37911391305329
PKNOX2	3.80250068668929
RALYL	3.10172919171464
ZHX3	4.35144072534656
ERCC5	5.94241391854846
RXFP3	3.10998444370722
APBB2	3.81705322612025
BBOX1	5.01522616817676
PRO0478	3.07853246518399
GCSH	8.0052572063777
XDH	4.07589496432959
EDN1	5.05899830574652
MTERF	6.80660793089642
PDCL3	7.70527727590045
CLK4	6.03159772848348
KCNG1	3.64740188122539
CXCR4	8.26620706168609
DECR1	8.18550551044632
SALL1	3.24207214733195
PTPRR	3.41011461946153
CADM4	3.29265513636232
IRAK1	8.99590306500903
CFHR5	3.37152741021486
HNRPD	7.83622327569615
TMSB10	12.1168098641612
CXCL3	4.07939054061397
LMAN1	3.96487738418883
SUHW1	3.28749018176752
CHD8	5.14911369674954
SUMO1	7.9431517798125
GP1BA	3.24993993554663
OR7A10	3.93480594870714
DDB1	7.20576267955756
CHRNA10	3.55349348462226
STYK1	3.2926483968431
MYO9B	4.38825291211011
CCNI	10.0509788671650
MMP7	9.5374077717936
EP300	5.99959165540278
CRNKL1	6.69131968501405
C9orf45	3.32095214167394
XAB2	4.26971269037043
RTN1	6.30086892758107
HIC2	4.06732488267324
TBX10	3.52355489727355
CENPQ	4.00582360169915
UTY	3.14456707334578
OR2W1	2.95850448342991
ATP5G2	10.0833015830127
ZEB1	3.46402854414474
ZG16	3.54168345129998
ERG	3.84078570161607
PARN	6.85311220324864
SOD2	6.41386315386986
JOSD3	7.0030515263396
ADAM5P	3.23648096913275
CHD9	6.18621113470857
hCG_40738	3.83718479871823
STK16	4.13202081858014
PDE1C	3.2856109113289
SEMA4D	6.35139880188468
AGPAT1	6.88261963621166
TOB2	5.11410467234739
BANK1	3.49283665461912
MAP3K3	5.66279874117655
MAX	5.2269147103454
GRM2	3.4628515800912
OSBPL8	7.74456872413528
PROSC	5.26885563802179
NR4A2	5.21008894785333
RICS	4.45207894842441
PIR	4.49341351829572
PPCS	8.48670566371706
IPO9	5.74105473491876
LONP1	6.96849418781014
EVC	3.8453105796243
CXCL13	5.86056643478524
SCYL3	5.24397337798397
KIAA1199	5.80037601506836
SORL1	8.24938721520424
NAT10	6.43294006865286
CHD1	5.80603634291022
SYN3	3.51170126726327
DMC1	3.88280879613632
SLC22A2	3.25211361109674
SERPINF1	8.47274933491168
C20orf27	5.68229768730932
OR7A17	2.89085827159931
RPS6KA5	4.57111285818341
LHB	3.33082458136708
TAOK3	5.87443687862628
STK25	5.24166565097684
SLC12A4	3.54022135388183
BRCA1	4.09301450984305
GBL	5.69220671906705
C14orf108	7.53648450026733
CDC25B	7.6623607745143
BMP3	3.01884435727997
MAP1LC3C	3.388949711078
TMEM180	3.51537127829829
CRYGC	3.93615768913228
SLK	5.94925713369826
POU3F1	3.18466108980736
C20orf32	4.15741956744031
USP52	5.73690591495201
HIGD1B	3.90898368762461
BAZ1B	6.61394207777774
USP6NL	5.87439513220963
SLCO2B1	4.72771982447366
ABCD4	4.27815250750802
DIMT1L	6.15422956456177
SLC25A46	7.62588427385934
LARP7	7.74517811450472
TEK	3.34615971086641
CD160	3.63974002060736
TERF2IP	7.80429914347328
PHF20	6.1471925008863
COL1A1	8.93297397121968
KIAA0090	5.9719463235733
GTPBP1	4.30463039701006
GRK5	3.85017519867759
AP1S2	6.57236195805095
RAB33B	4.35874106394111
CA11	4.84167413652754
ALDOC	5.95096207696345
NUDT1	5.65991871968842
ZNF212	5.64840783564369
ACBD3	7.37995748425939
ZNF83	6.85983996129124
PRDM2	5.50346801521914
GDPD5	4.35141470867924
PDCD4	5.67282024101945
CEP350	5.62244466164197
FOXP3	3.19297632149386
SMYD3	7.12301593877952
CST7	6.23200613746694
SELL	5.15115206151107
CIAO1	6.3899946726546
LGI2	3.79334571886564
WDR45	7.96636242675991
ANKRD6	8.36064779130577
LTBP4	3.91099152379623
PSCD3	3.52089462813257
PYY	3.195385875595
KCNC1	3.16286364485526
SIRT6	3.82432066099207
CCL19	3.73421489715884
ARHGEF9	4.20142848431185
ABR	4.77217108074574
C10orf22	6.14881185089854
STK17A	5.03219777589232
FOXE1	3.14249382457115
GML	3.30615878327295
CNGA3	3.13354957642267
CD38	4.42530056180814
ZDHHC6	7.35556308530713
NEFH	3.81434727454675
PGBD5	3.35529705242458
CTDSP2	6.88611248079871
RMND5B	5.71073802649126
ZNF257	3.41185282376665
DUSP4	4.16582645671423
FLJ22167	6.99626624477188
EXOSC7	6.62736533423855
ROR2	3.88790425212972
FOXM1	5.4434222793516
ZBTB48	5.02159560009231
BUD31	8.36132819335947
MAOA	3.7477040608967
CCDC41	5.11144056667529
TNNT3	3.67514891710003
FBXO11	5.23482371553524
GYPC	6.31713227313865
PLIN	3.22703961442689
RFXAP	3.32713526412897
C6orf15	3.59429145472238
RNF4	8.21275789224031
F8A1	7.87407453576018
PPP1R3D	4.17210775836057
GRB2	6.97816579343874
TPM3	3.28479205415871
