Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A07_471874
Composite Element REF	Signal
AACS	6.9176090894492
FSTL1	9.81078910860534
ELMO2	6.21542353767616
CREB3L1	4.42473718828729
RPS11	9.25875636415124
PNMA1	9.69602184388643
MMP2	9.17781763210437
SAMD4A	3.97264075593662
SMARCD3	4.82014175280394
A4GNT	3.52568066149645
C9orf39	3.31573182497550
PKNOX2	4.04472695598854
RALYL	3.71705310500839
ZHX3	4.26446064067441
ERCC5	6.04856220529867
RXFP3	2.96959801379205
APBB2	4.3507158575639
BBOX1	4.76142908630478
PRO0478	2.98394455230225
GCSH	8.28385732292997
XDH	3.30671103670492
EDN1	5.98322109048039
MTERF	5.66509244376212
PDCL3	7.75519994169648
CLK4	6.36427494844916
KCNG1	3.93025457762293
CXCR4	9.20066127810031
DECR1	7.89272484441283
SALL1	3.24666304992711
PTPRR	3.16777859079397
CADM4	3.37705665745188
IRAK1	8.36054960801406
CFHR5	3.04648124961415
HNRPD	7.88812412946778
TMSB10	11.9687090625474
CXCL3	3.77709635565924
LMAN1	4.71944209173769
SUHW1	3.62717705570768
CHD8	7.28819779857101
SUMO1	8.36114409733025
GP1BA	3.01162924952097
OR7A10	3.59690380424946
DDB1	7.4997532073117
CHRNA10	3.52796790736614
STYK1	3.47947043460762
MYO9B	4.18820518525821
CCNI	9.89006254339703
MMP7	11.2871456159468
EP300	6.87222509506894
CRNKL1	6.60771228691827
C9orf45	3.21667926035102
XAB2	4.05885268780698
RTN1	5.48912692852374
HIC2	4.15915162998661
TBX10	3.41043763528534
CENPQ	4.75399209924718
UTY	3.03954243880627
OR2W1	2.8564124200372
ATP5G2	10.3905865998236
ZEB1	4.84120968434904
ZG16	3.3742102284309
ERG	3.92949600241868
PARN	6.8241875910433
SOD2	6.8553801722736
JOSD3	7.94708620971068
ADAM5P	3.04264429733487
CHD9	5.68592837607191
hCG_40738	4.73480656027871
STK16	5.09130898819866
PDE1C	3.38255595539525
SEMA4D	6.11924495756907
AGPAT1	6.5709980186301
TOB2	6.02961952303364
BANK1	3.61990852211899
MAP3K3	5.4416394125614
MAX	5.5419051956526
GRM2	3.43126804332897
OSBPL8	8.08078988307767
PROSC	6.4122612655742
NR4A2	5.41222352833165
RICS	4.72537728424739
PIR	3.81622490021065
PPCS	8.52272698546865
IPO9	6.14143893052535
LONP1	6.58456333109936
EVC	4.47257904643054
CXCL13	6.02490799760982
SCYL3	5.5294315073812
KIAA1199	7.38208002702304
SORL1	8.4340276227251
NAT10	6.92837867304903
CHD1	6.2553852138099
SYN3	3.36819070739856
DMC1	3.71954476303582
SLC22A2	3.43415504466239
SERPINF1	10.2902275759123
C20orf27	6.23291491744069
OR7A17	3.20300365816473
RPS6KA5	5.16629933556644
LHB	3.27150021575130
TAOK3	5.14896681459648
STK25	6.37255690069976
SLC12A4	3.52829098793395
BRCA1	4.17475230404946
GBL	5.61095441905845
C14orf108	7.91409292382365
CDC25B	8.1974740851074
BMP3	3.05164491799792
MAP1LC3C	3.19645144573136
TMEM180	3.59996084050541
CRYGC	3.41584052072252
SLK	6.66753301865327
POU3F1	3.17835240764884
C20orf32	3.72262859624357
USP52	5.99941686097671
HIGD1B	3.7479141179804
BAZ1B	6.60703778305697
USP6NL	5.35753616534846
SLCO2B1	4.90351174617899
ABCD4	5.30813832273342
DIMT1L	5.75199274352165
SLC25A46	7.07222372381692
LARP7	6.96351552269183
TEK	3.59741449920392
CD160	3.39616156331835
TERF2IP	7.87974532922702
PHF20	6.13262115821215
COL1A1	9.4645511096588
KIAA0090	6.16618040234763
GTPBP1	4.18777959824783
GRK5	3.93187177392429
AP1S2	7.44271992480211
RAB33B	5.31097604994755
CA11	3.98559763718328
ALDOC	6.3580691015204
NUDT1	5.73322670056484
ZNF212	5.34749864032976
ACBD3	7.80480290057494
ZNF83	6.24371209458107
PRDM2	5.05950273678573
GDPD5	5.34263640183111
PDCD4	6.04827283179622
CEP350	5.82666310955304
FOXP3	3.17759244415304
SMYD3	7.3605319262747
CST7	5.77082315955202
SELL	4.80703991372894
CIAO1	6.42472130098784
LGI2	3.50693028000349
WDR45	6.3671662291029
ANKRD6	5.84217681259978
LTBP4	3.79616034527125
PSCD3	3.28568992155817
PYY	3.01314800103236
KCNC1	3.2686190955459
SIRT6	3.95266642949604
CCL19	4.31158231012735
ARHGEF9	4.16380781341792
ABR	4.48563071048012
C10orf22	6.94988458202125
STK17A	5.12710972149673
FOXE1	3.45639114083208
GML	3.18942674821794
CNGA3	2.88497667371131
CD38	4.34806596825954
ZDHHC6	7.6823660631936
NEFH	3.29026976812840
PGBD5	3.36161533626507
CTDSP2	7.09923976425366
RMND5B	5.80194729654527
ZNF257	3.61788139387455
DUSP4	4.55292104681391
FLJ22167	4.84566519342648
EXOSC7	6.40055440334299
ROR2	4.19099819985825
FOXM1	5.68541556666851
ZBTB48	4.59855063568761
BUD31	8.10362702088207
MAOA	4.2159574385093
CCDC41	4.78295592985075
TNNT3	3.64117098319723
FBXO11	5.56843594819394
GYPC	6.58631055865862
PLIN	5.10802507231996
RFXAP	3.36395773220989
C6orf15	3.77184738829282
RNF4	7.905017750649
F8A1	7.85475769201991
PPP1R3D	4.68536979416653
GRB2	7.41817676329974
TPM3	3.26681127024802
SYT13	3.55421538875733
EPB42	3.36061939518788
RP5-1077B9.4	4.91203182285042
EIF1	10.5249638156966
CETN3	6.95244986283894
FPGT	5.42687026252189
PRY	3.35753858151947
NTHL1	5.11524817126570
POLR2B	8.06293514630435
RPS28	11.4185414717618
GDF10	3.07314310494467
COQ9	7.47844587106822
P2RX3	2.74028773870411
GCC2	6.9955574764941
RARRES3	6.39061283792477
PLXNA1	6.3668079032122
WBP4	5.58704863179672
KIAA0100	7.36689005798592
PMF1	7.53385927297453
HS2ST1	5.91836602224846
CRELD2	7.23669963232016
C8G	3.11450203732811
CD82	6.33993995762276
PMM1	4.76580942708907
CBLL1	4.05819309554874
LIM2	3.29560192125376
VAX2	3.66783345670928
SETDB1	5.29872335430162
LRAP	6.20311810031062
GCLM	6.25630142061738
CPEB3	3.6309501821228
PPM1A	5.85384330865256
INTS1	4.08892682386115
MMP16	3.10847069748941
CAMTA1	4.18550112472963
SAMSN1	6.00977258896987
DRD3	2.72281513827796
GMPPA	5.9076926831328
C11orf73	6.67008869519414
AIPL1	3.55938712725795
PTP4A2	9.66695589382243
IL24	3.21820387630543
BDKRB1	3.24848310954717
HPCA	3.31816750956230
MLF1	6.47903258843682
SEC14L1	6.09153449537021
CHFR	6.43807721110489
EMILIN1	5.2667120635841
THADA	6.0834038495427
TAF12	5.86759208384788
NDUFS4	7.42366606955052
ID1	7.94934682405235
PIK3CB	3.49968059183484
COL18A1	8.41430651684443
PDZD3	3.07581843598144
TBC1D17	5.12380898218648
COX8A	10.3297325704017
CDCA4	6.74832554050108
C2orf44	4.69803196383593
C9orf16	7.20274740033556
ERBB2IP	7.74171929985331
EMX2	8.79514521067505
FUS	6.08134885011403
NIPSNAP3B	3.23360782876338
TF	3.1946228120784
CXorf56	5.1295622504351
CLCN4	3.54093704356086
PWP2	5.56371752486091
MMP15	4.22362230997338
MTMR14	5.88401443413477
NPR1	4.79501606319588
DNAL4	5.71263226392088
ELAC2	4.50455279785012
ASS1	10.4954536006970
IPP	5.54631869056727
TMEM59	9.65751940844027
POLR2J	8.25537512812056
SEC23IP	6.82487087690363
RGS4	5.60975532191592
UQCRC1	9.0515495022244
SNX6	7.61986610714813
DDX18	7.85562530652333
POLG	4.86121964534499
ADAM23	3.98355755666178
ZNHIT2	4.29544105472362
TFR2	3.21921771820391
NCDN	4.01837661791147
RAG1	3.22165673770127
POMT1	4.14467022201188
CYP1A1	3.24072685399891
SNAPC1	5.55946695179731
GNA11	5.49951625085317
CCDC52	2.80856585950312
CAPN1	6.85120812531652
DDHD2	8.10342836955155
UPF3A	6.52137854772581
LAGE3	5.79167840586171
GNRHR	3.03446651411007
UNC13B	5.82700730949374
TTLL4	4.59036638130614
PPBP	2.88868695940242
HTR3A	3.97393966173055
SDC2	6.45688590687782
ANKRD49	7.46396769883474
BTF3	9.93187438825718
COX7A2	10.6503174927048
SARS	8.18055888151629
C13orf18	3.89825244583349
CACNB1	3.79429924810325
QKI	6.52887983646702
SETMAR	5.86039356574674
LAMB4	3.06961201901299
MAN2B1	7.19970469125151
EML3	5.29342379657844
ACADL	3.18064780474662
OFD1	6.78446361711314
CGA	3.26490299059190
EIF3EIP	10.5108487804293
PEX16	5.0286918684016
GNG12	8.1095617622849
HABP4	5.02423844833576
CNTN2	3.50189220311956
ASNSD1	7.5020618597749
FUT4	4.18298954988889
DBH	3.21560053917979
CD53	8.6982962281873
HIST1H2BJ	3.36048919450991
TFAP2B	3.10676052179899
ACF	3.5450292644175
TMEM11	7.84327107921058
CDH8	3.14806394421817
C3orf32	3.56945304759675
AGPS	5.89385531069431
C4orf18	4.00314419776627
PCCB	8.38815369861464
IPO13	4.48914984146909
PECI	7.65016056984877
UNG	7.74872159533713
C6orf105	3.49096358778281
GSTP1	9.30333970854508
SUV420H1	7.61811548611084
ARHGAP15	5.12298119467991
LTBR	6.84857127158825
TDRKH	3.53430383247581
PSG4	3.45031858588413
SLC9A3R1	6.35050490872227
NBPF3	9.04081561442118
SLC9A3	3.63218694863423
OSBP	6.94694169234134
PRR5	4.46833890755998
CHMP7	5.92833592833802
ADRA1A	3.02125501076446
ASAH1	7.33019475484366
FKBP4	7.23527086197698
ZNF350	4.07827217369775
DOM3Z	5.29172436347832
GIPR	3.50338066352982
AHI1	4.17132891954775
BST1	4.40915692363493
NCR2	3.42953329523971
NADSYN1	5.13419911386104
UBE2W	6.98546526550442
RGS14	3.70948573816271
KRT15	3.47881293675979
SCN11A	3.69457532499288
GFI1	3.77024991903359
FHL1	5.24631613213342
SMC6	6.71776583493372
GATA1	3.34672120910620
OSGEP	7.45684054785668
ARMC6	4.66596712993281
HK3	3.73221225490899
PSMD5	7.00374212856308
RSU1	7.95896080866267
RPL4	11.8091225083756
MAD2L1	7.4143543944754
RBPMS	5.06415791420034
EIF4A3	8.9375523441518
E4F1	4.65161452080916
DLEC1	3.38414331488332
PRPF3	5.82289471683913
EMR1	2.99899871358651
CHMP2B	7.75950412241922
CAMSAP1	4.48300472895682
RPS21	9.55061727984504
XCR1	3.22195050566217
ARID5A	4.51168341424658
RBM6	5.75157787104068
UBE2N	8.18227810384168
KLF4	4.22384926306024
