Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B11_443112
Composite Element REF	Signal
AACS	6.92831170878535
FSTL1	8.14273655299837
ELMO2	5.6537075458525
CREB3L1	3.69860643587667
RPS11	10.0400451863780
PNMA1	8.45976879030808
MMP2	6.86372397022622
SAMD4A	4.01999684450739
SMARCD3	7.546916473499
A4GNT	3.70459317369091
C9orf39	3.19900683611374
PKNOX2	3.87290244370799
RALYL	3.20712308128186
ZHX3	4.02422847037821
ERCC5	6.74991258500855
RXFP3	2.90375729476094
APBB2	3.58492042168559
BBOX1	6.3028698146916
PRO0478	2.99165694986061
GCSH	8.57341501299792
XDH	3.60280633922211
EDN1	4.73140035022382
MTERF	6.01360704595949
PDCL3	7.6241953963483
CLK4	5.95501156624819
KCNG1	3.46486179183281
CXCR4	8.20054095369213
DECR1	7.71931079134373
SALL1	3.06266445031066
PTPRR	3.46326779326641
CADM4	3.34014620728321
IRAK1	8.37287688043435
CFHR5	3.11190073477954
HNRPD	7.49153496214473
TMSB10	11.9157019815340
CXCL3	4.27535783808614
LMAN1	3.62776185240262
SUHW1	3.53414564532914
CHD8	5.55009420809932
SUMO1	7.60901344211489
GP1BA	3.26705982874428
OR7A10	3.74753300206314
DDB1	7.45979154905803
CHRNA10	3.60244696575376
STYK1	3.23735367238818
MYO9B	4.97063903912843
CCNI	10.1965523015487
MMP7	11.3490460359960
EP300	6.5982906269931
CRNKL1	6.29445935222088
C9orf45	3.24892517468092
XAB2	3.97536353981889
RTN1	3.95349960135428
HIC2	4.03483908627674
TBX10	3.57145141958842
CENPQ	4.24757090407954
UTY	3.20887241213171
OR2W1	2.86143775823773
ATP5G2	10.7804987178850
ZEB1	3.3307449963196
ZG16	3.45957932853773
ERG	3.64261782362796
PARN	6.82447343346955
SOD2	7.05665110935055
JOSD3	9.55240068617772
ADAM5P	3.25249320945812
CHD9	6.58508162245264
hCG_40738	3.73694543765872
STK16	5.86557706601944
PDE1C	3.58386965310902
SEMA4D	5.64991539851443
AGPAT1	7.01058205624379
TOB2	6.76554540924793
BANK1	4.48219297820031
MAP3K3	5.20921610302557
MAX	4.9903896601367
GRM2	3.84420492685398
OSBPL8	7.10381156122697
PROSC	5.9790341060813
NR4A2	6.80610716444898
RICS	5.08839327079733
PIR	4.4668257779836
PPCS	8.48383471636907
IPO9	6.9679929526917
LONP1	6.70796959562743
EVC	4.37095061705059
CXCL13	4.53979269234736
SCYL3	5.33659427175409
KIAA1199	4.72216203135103
SORL1	8.05998521452023
NAT10	6.61039284656275
CHD1	6.68484576666047
SYN3	3.46562805452899
DMC1	3.86801137209832
SLC22A2	3.65008166363984
SERPINF1	6.24291764184446
C20orf27	7.32954330296007
OR7A17	3.35935627427993
RPS6KA5	4.524183711325
LHB	3.38334411790705
TAOK3	4.91519555905772
STK25	6.2843098655232
SLC12A4	3.62925066097809
BRCA1	3.6391425020149
GBL	5.68675783035629
C14orf108	7.48641303163946
CDC25B	7.92757363081132
BMP3	3.26137043169993
MAP1LC3C	3.34523440561445
TMEM180	4.0296296322619
CRYGC	3.48841804033599
SLK	6.36607430445016
POU3F1	3.34881391088386
C20orf32	3.82032077873089
USP52	6.37889133743135
HIGD1B	3.87343275354829
BAZ1B	6.6386401829814
USP6NL	5.66763858509985
SLCO2B1	4.05310175512922
ABCD4	4.62589486143947
DIMT1L	6.62756805969506
SLC25A46	6.88823498475053
LARP7	7.15478226862938
TEK	3.83758241325061
CD160	3.45630051559552
TERF2IP	7.6740567840824
PHF20	6.11439432584724
COL1A1	7.09357601459761
KIAA0090	5.72027724595672
GTPBP1	4.7967082369381
GRK5	3.69817549729125
AP1S2	5.39148262320377
RAB33B	4.16265377982263
CA11	4.1185661562742
ALDOC	5.01051393504669
NUDT1	5.73967802963901
ZNF212	5.33418243084601
ACBD3	7.98229253090648
ZNF83	6.02798156679852
PRDM2	5.04386652605165
GDPD5	5.61958842055854
PDCD4	6.38230395854234
CEP350	6.59227487029837
FOXP3	3.34376355039100
SMYD3	6.5281636248321
CST7	4.18342351878271
SELL	4.09578702043854
CIAO1	6.36083824515983
LGI2	3.93729856051552
WDR45	6.709558937369
ANKRD6	6.9965977001495
LTBP4	4.59643831409994
PSCD3	3.46331594447519
PYY	3.15043837257698
KCNC1	2.97811437126532
SIRT6	3.8947473729939
CCL19	3.63015378780584
ARHGEF9	3.66615214803814
ABR	4.40029745173875
C10orf22	6.95157846894978
STK17A	4.28865306500847
FOXE1	3.24681901252413
GML	3.11447169464195
CNGA3	2.98848108828214
CD38	3.57950849493972
ZDHHC6	6.8589180791995
NEFH	3.27412317257997
PGBD5	3.47966100237939
CTDSP2	8.05799205317234
RMND5B	5.42371581721326
ZNF257	3.52958425516171
DUSP4	3.92725595575441
FLJ22167	5.92518098351706
EXOSC7	6.66816240521928
ROR2	3.65831402844555
FOXM1	5.20139333459946
ZBTB48	4.61905360297673
BUD31	7.78694977534991
MAOA	4.11994448868475
CCDC41	4.92928631506577
TNNT3	3.66020572916668
FBXO11	5.9576925278139
GYPC	5.43248493741508
PLIN	3.50892029042519
RFXAP	3.46080370021785
C6orf15	3.64226735123214
RNF4	7.98293597227203
F8A1	7.03490690790086
