Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E11_516342
Composite Element REF	Signal
AACS	6.78311634386627
FSTL1	7.87241947434282
ELMO2	5.60043143446004
CREB3L1	3.58622922727437
RPS11	9.92173735512027
PNMA1	7.69986396410788
MMP2	7.20438741077156
SAMD4A	3.80283620738038
SMARCD3	6.49850984710986
A4GNT	3.46959623650816
C9orf39	3.41626690922942
PKNOX2	3.93230154268209
RALYL	3.20513891339569
ZHX3	4.45718346177536
ERCC5	6.10742047416172
RXFP3	3.00040410262914
APBB2	4.64182916853135
BBOX1	5.52974079889814
PRO0478	3.05841161682304
GCSH	8.4810770757391
XDH	3.73256411093286
EDN1	4.68924194917273
MTERF	7.17086990858583
PDCL3	8.11265203247597
CLK4	5.31930703875537
KCNG1	4.19551504112762
CXCR4	7.94118384795753
DECR1	8.65163860589387
SALL1	3.28529101676835
PTPRR	3.22204502369669
CADM4	3.30318513858365
IRAK1	9.03881636627578
CFHR5	3.31204909821855
HNRPD	8.2948855910085
TMSB10	11.6523884361731
CXCL3	3.86656327949165
LMAN1	4.23013905962106
SUHW1	3.69031678952555
CHD8	6.94743459762547
SUMO1	8.63343207955375
GP1BA	3.22775180187693
OR7A10	3.95743836581785
DDB1	7.47675806815911
CHRNA10	3.40677527182781
STYK1	3.26460996683044
MYO9B	4.59347797842874
CCNI	10.7846061924174
MMP7	8.8243948640125
EP300	6.82015792254349
CRNKL1	7.10924658321507
C9orf45	3.30617213664301
XAB2	4.21611142589065
RTN1	3.60564883619433
HIC2	4.00634816704835
TBX10	3.30504041728739
CENPQ	4.17349323805274
UTY	3.10246513910583
OR2W1	2.75983283032733
ATP5G2	10.4171392723879
ZEB1	3.50488807258137
ZG16	3.33985706901870
ERG	4.35190746282685
PARN	6.90779077001456
SOD2	6.20583097615986
JOSD3	6.89989031845191
ADAM5P	3.11848773937396
CHD9	5.95110076588435
hCG_40738	3.80711864768660
STK16	5.2555055162391
PDE1C	3.66541887313102
SEMA4D	5.4402745780363
AGPAT1	6.65611123512971
TOB2	7.45311725168027
BANK1	3.43880872759570
MAP3K3	5.50353667963984
MAX	5.18297212781875
GRM2	3.81596330703728
OSBPL8	8.47480694706189
PROSC	5.88636575339447
NR4A2	5.80888063303028
RICS	4.57826764336779
PIR	5.37283132517854
PPCS	9.71512066680049
IPO9	5.81453083466379
LONP1	6.74839188138062
EVC	4.7059348012639
CXCL13	4.5531224339221
SCYL3	5.71916224140758
KIAA1199	5.54102096870184
SORL1	8.87049293944614
NAT10	7.30704540121108
CHD1	5.72669380726214
SYN3	3.7148478356767
DMC1	4.16150128266043
SLC22A2	3.51025759609725
SERPINF1	8.30671451282605
C20orf27	6.29967142136604
OR7A17	3.02734145620151
RPS6KA5	4.40055726968493
LHB	3.25687481604054
TAOK3	4.69978921249893
STK25	5.1169170782661
SLC12A4	3.56556535406469
BRCA1	3.36945743635311
GBL	4.98475855659234
C14orf108	7.87457027143819
CDC25B	7.01363737117861
BMP3	3.04026613912068
MAP1LC3C	3.42708568625505
TMEM180	3.31534072734115
CRYGC	3.77838569060837
SLK	5.4470043781406
POU3F1	3.10951537454292
C20orf32	3.94890651293548
USP52	6.37829644368173
HIGD1B	3.61245886476516
BAZ1B	6.9927495108248
USP6NL	4.94852265653659
SLCO2B1	4.25212429723996
ABCD4	4.09396424881977
DIMT1L	6.08329801166954
SLC25A46	7.31866830174924
LARP7	6.70772520954022
TEK	3.4147032982823
CD160	3.75027487394997
TERF2IP	8.02626440382976
PHF20	6.14682112752117
COL1A1	7.74223664612982
KIAA0090	6.4823280349793
GTPBP1	4.71654506742109
GRK5	3.66217472611377
AP1S2	4.52848725774025
RAB33B	4.51375590340735
CA11	5.44997882039834
ALDOC	7.30220939071281
