Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_F08_586108
Composite Element REF	Signal
AACS	7.38673163365414
FSTL1	9.69918735269835
ELMO2	5.95267291621902
CREB3L1	4.21146830108848
RPS11	9.96086507368907
PNMA1	7.61519417826706
MMP2	8.15321600703031
SAMD4A	3.96167498132485
SMARCD3	8.55982085740628
A4GNT	3.46285095618036
C9orf39	3.4293453123434
PKNOX2	3.83341149199346
RALYL	3.29281561186340
ZHX3	4.48748445827415
ERCC5	5.70760136864481
RXFP3	2.94666912173201
APBB2	4.45637547297553
BBOX1	8.46961399701887
PRO0478	2.89611562235092
GCSH	9.0261693212467
XDH	6.7160972600269
EDN1	4.78563475318517
MTERF	7.30715507813414
PDCL3	7.79405150221097
CLK4	6.48820422698481
KCNG1	3.4769188434325
CXCR4	8.04477230653885
DECR1	8.21265400748829
SALL1	3.31713047856232
PTPRR	3.98643388634413
CADM4	3.17855042799918
IRAK1	9.19679255612558
CFHR5	3.25522441070634
HNRPD	7.52979821783725
TMSB10	12.2932834582183
CXCL3	4.31674252158762
LMAN1	4.56452841455451
SUHW1	3.32327787104405
CHD8	5.52180804317805
SUMO1	7.89847933203659
GP1BA	3.14247279033925
OR7A10	3.67657393273080
DDB1	7.44705357984122
CHRNA10	3.74383799896833
STYK1	3.37124755206007
MYO9B	3.97251209816754
CCNI	10.7325966111022
MMP7	7.69839670590043
EP300	5.63634781773047
CRNKL1	7.26134733054717
C9orf45	3.16197435134321
XAB2	4.61701428300548
RTN1	4.94681643224358
HIC2	3.77413283063643
TBX10	3.50498866404705
CENPQ	5.14487478616151
UTY	3.15276388164698
OR2W1	2.89912067613560
ATP5G2	10.9394075773289
ZEB1	4.68162715330877
ZG16	3.48368122867431
ERG	4.16072884956311
PARN	7.49138008943847
SOD2	6.61040715326867
JOSD3	7.51633665378948
ADAM5P	3.25957087795869
CHD9	5.97441345191589
hCG_40738	3.68320934933785
STK16	5.41000317775304
PDE1C	3.59562434060975
SEMA4D	5.44011752594305
AGPAT1	6.81619130015781
TOB2	6.30701495708864
BANK1	4.78195666373876
MAP3K3	5.72099015899793
MAX	5.42265407596881
GRM2	3.71681129933521
OSBPL8	8.70001398504095
PROSC	6.53642177365616
NR4A2	6.76822582722261
RICS	3.9794609577392
PIR	4.39178729123918
PPCS	9.4626258315386
IPO9	5.36548531452156
LONP1	7.35154316983813
EVC	4.08393649224573
CXCL13	4.05458974553105
SCYL3	5.36804999470094
KIAA1199	5.34870722073078
SORL1	7.28639334508701
NAT10	7.15048036405358
CHD1	5.57743850945595
SYN3	3.51422957937439
DMC1	3.72255543183270
SLC22A2	3.59608383582970
SERPINF1	10.2238713526286
C20orf27	5.80015479283853
OR7A17	3.05619662797750
RPS6KA5	5.3495815772152
LHB	3.38551816805008
TAOK3	5.55937032152896
STK25	6.56779701056557
SLC12A4	3.57472794226455
BRCA1	4.00156969132453
GBL	5.76574893991175
C14orf108	7.85917019782001
CDC25B	7.51848892083085
BMP3	3.14797112709479
MAP1LC3C	3.20011000821874
TMEM180	3.38697312587465
CRYGC	3.54915492762651
SLK	6.30335740846675
POU3F1	3.18514856023459
C20orf32	3.65389621958966
USP52	5.14609907560825
HIGD1B	3.80898626215418
BAZ1B	6.23869438825669
USP6NL	5.45762135095781
SLCO2B1	5.56962514041273
ABCD4	4.34490336032172
DIMT1L	5.70992698053843
SLC25A46	7.7352465324989
LARP7	6.74051555403556
TEK	3.79410337566892
CD160	3.65308570982608
TERF2IP	7.74829574753942
PHF20	6.17912336371762
COL1A1	9.0832916806304
KIAA0090	6.01042924857251
GTPBP1	4.47759709064162
GRK5	3.89343402411692
AP1S2	7.45099083143011
RAB33B	4.91863698701758
CA11	4.32568343174918
ALDOC	6.33807598806025
NUDT1	5.28578994794523
ZNF212	5.67322700348543
ACBD3	7.21885896465248
ZNF83	6.02456514604324
PRDM2	4.84006255050091
GDPD5	5.00445777548951
PDCD4	5.99503207857745
CEP350	6.04810433646388
FOXP3	3.26360647867601
SMYD3	7.48765618559016
CST7	6.74790438904937
SELL	5.22626003610698
CIAO1	6.74929588129983
LGI2	3.82906091199708
WDR45	7.28711094341777
ANKRD6	6.31243111748027
LTBP4	3.61839166386307
PSCD3	3.1682861846648
PYY	3.10489096138912
KCNC1	3.17163296253507
SIRT6	4.08981639484673
CCL19	5.00002080975067
ARHGEF9	4.05693384756358
ABR	4.67253778052143
C10orf22	7.55811120253629
STK17A	5.49004830559848
FOXE1	3.60465253509332
GML	2.99527806454241
CNGA3	2.93969837970959
CD38	3.48330678794166
ZDHHC6	7.86588124871133
NEFH	3.40968666742502
PGBD5	4.07532082112721
CTDSP2	7.43130860174977
RMND5B	6.0119253840394
ZNF257	3.62373182203203
DUSP4	5.11303962035585
FLJ22167	5.37536562276423
EXOSC7	6.75836098491954
ROR2	3.99739202102877
FOXM1	5.2352984753017
ZBTB48	4.91124586198302
BUD31	8.91448805715981
MAOA	4.64271267121209
CCDC41	4.9717707778974
TNNT3	3.48270556055968
FBXO11	5.53128531064382
GYPC	6.94669856719212
PLIN	7.29630739219037
RFXAP	3.42092306374072
C6orf15	5.86184596862259
RNF4	8.77744957528304
F8A1	8.19754907413689
PPP1R3D	5.09821460902898
GRB2	7.50199531108133
TPM3	3.07780946213764
SYT13	3.78353253755477
EPB42	3.7405068044499
RP5-1077B9.4	5.93636296518862
EIF1	11.4698076096614
CETN3	7.34085087492207
FPGT	5.55944256143443
PRY	3.40279258446053
NTHL1	4.85773825381315
POLR2B	8.48044915517673
RPS28	12.2268904630056
GDF10	3.05032014873546
COQ9	7.14010939524525
P2RX3	2.94549045303977
GCC2	6.95548779897057
RARRES3	7.98667682956308
PLXNA1	5.64816609742777
WBP4	5.3483352290473
KIAA0100	6.14731751307096
PMF1	7.22221148424201
HS2ST1	5.9203934746961
CRELD2	6.9218768849013
C8G	3.01155025867482
CD82	6.28321682579724
PMM1	6.67817328532317
CBLL1	4.55491761576990
LIM2	3.32174179125123
VAX2	4.13304497996528
SETDB1	4.83472410186189
LRAP	4.89119565327411
GCLM	6.39382942234081
CPEB3	3.99578750431667
PPM1A	5.5443597080807
INTS1	4.01093524466041
MMP16	3.16183707439326
CAMTA1	3.69674843271084
SAMSN1	7.00731647628706
DRD3	2.86807996958964
GMPPA	5.48863598945092
C11orf73	6.66727637876912
AIPL1	3.88532399920964
PTP4A2	9.38561506170463
IL24	3.37728759310963
BDKRB1	3.79930701991242
HPCA	3.30188618038627
MLF1	7.0306774065013
SEC14L1	6.52480603551095
CHFR	5.86567060218321
EMILIN1	4.61364492771023
THADA	6.93837651868623
TAF12	7.18133351311896
NDUFS4	9.34156225632943
ID1	6.85466477709439
PIK3CB	4.05817030004001
COL18A1	6.04849153034607
PDZD3	3.24012588955943
TBC1D17	4.96689880794513
COX8A	10.5361232809407
CDCA4	7.21711371889156
C2orf44	4.31147934424895
C9orf16	8.81748892426909
ERBB2IP	8.05926770971163
EMX2	7.42565924872196
FUS	5.67195088860225
NIPSNAP3B	3.71047477034029
TF	4.77418291120386
CXorf56	5.29199437332173
CLCN4	3.7950001048
PWP2	5.7794613776689
MMP15	4.00841596943514
MTMR14	6.72093673664943
NPR1	6.39348145577329
DNAL4	6.43080485673079
ELAC2	4.38182491123152
ASS1	11.9562418747020
IPP	5.29861317430626
TMEM59	10.3196874168252
POLR2J	8.81894897841274
SEC23IP	5.9061416575774
RGS4	5.58730689683173
UQCRC1	9.67988595502657
SNX6	7.40705623489985
DDX18	7.59572483213177
POLG	4.81629795809004
ADAM23	4.01899661574512
ZNHIT2	4.59243103111823
TFR2	3.5779132803435
NCDN	3.96783284073346
RAG1	3.17763806237715
POMT1	5.03096056733997
CYP1A1	3.35558391956556
SNAPC1	5.82941683207957
GNA11	5.78289185920641
CCDC52	2.88480456296559
CAPN1	7.56653953746076
DDHD2	6.38943099421518
UPF3A	5.90985390694895
LAGE3	6.72976096114227
GNRHR	3.00843768402506
UNC13B	4.85005565531542
TTLL4	4.17839085885326
PPBP	4.51346316545168
HTR3A	5.02282342630966
SDC2	7.26772925147148
ANKRD49	6.65953867351897
BTF3	10.5657840391709
COX7A2	11.2535687971603
SARS	8.67732909283009
C13orf18	4.57525497275606
CACNB1	3.78996858163138
QKI	6.49021164713755
SETMAR	6.65780013697112
LAMB4	3.05006484976832
MAN2B1	6.62052882447746
EML3	4.72510773861384
ACADL	3.27275264403947
OFD1	6.21763294420808
CGA	3.38014527399534
EIF3EIP	11.2520289855996
PEX16	5.87906370566451
GNG12	8.31850336709068
HABP4	5.3972526377466
CNTN2	3.34829861901708
ASNSD1	7.10698250898538
FUT4	4.1766453881949
DBH	3.40641185846934
CD53	9.08040426795786
HIST1H2BJ	3.83376894582416
TFAP2B	3.12069857017774
ACF	3.66680932865599
TMEM11	6.29109142645582
CDH8	3.3489168121389
C3orf32	3.52446615184304
AGPS	5.76417811656102
C4orf18	3.64449961910961
PCCB	7.76670025711839
IPO13	5.02337738416655
PECI	7.93214228718611
UNG	7.79620303145589
C6orf105	4.24876393937224
GSTP1	8.76706623791799
SUV420H1	7.11719934949024
ARHGAP15	5.40249023192132
LTBR	6.80508552225777
TDRKH	3.80336363445706
PSG4	3.30064385998112
SLC9A3R1	7.2798043884692
NBPF3	7.67728801024047
SLC9A3	3.45128708881857
OSBP	6.77214701277332
PRR5	5.67752395033123
CHMP7	5.93591220029838
ADRA1A	3.04289039521209
ASAH1	7.7814042407093
FKBP4	7.38959851923859
ZNF350	4.52057516185014
DOM3Z	5.29947635188399
GIPR	3.34310423335405
AHI1	4.06881058089769
BST1	4.85924149227402
NCR2	3.38878999202605
NADSYN1	6.56916455776649
UBE2W	7.05636815032323
RGS14	3.55705603119890
KRT15	4.64270826495837
SCN11A	3.62220411995118
GFI1	3.44811970911077
FHL1	5.93279722216719
SMC6	5.94676950151461
GATA1	3.5114480474059
OSGEP	6.13555304829897
ARMC6	5.22881311366101
HK3	4.09498180007049
PSMD5	7.8323336727743
RSU1	8.02118586639617
RPL4	12.2218320913362
MAD2L1	7.55198278443346
RBPMS	5.08942817418590
EIF4A3	10.3148653249630
E4F1	3.96536578605155
DLEC1	3.19459681363474
PRPF3	5.4878884755882
EMR1	3.19814254978252
CHMP2B	8.17953252934
CAMSAP1	4.34850192127706
RPS21	11.5086763733294
XCR1	3.23149323218495
ARID5A	4.37240824338013
RBM6	5.25159292675576
UBE2N	8.2043000881216
KLF4	6.92759044854867
MGC4172	6.45822861451399
LMO4	6.14042711005556
KLKB1	3.30505433783205
