Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_F03_586118
Composite Element REF	Signal
AACS	7.5380073624635
FSTL1	9.16031554647622
ELMO2	6.3871298900348
CREB3L1	4.1493438389196
RPS11	10.1906037266916
PNMA1	8.79862980713418
MMP2	8.07414293305984
SAMD4A	4.03469873239403
SMARCD3	8.1740120880539
A4GNT	3.63334016782238
C9orf39	3.25095759624828
PKNOX2	3.95747042634925
RALYL	3.13347651651425
ZHX3	4.58932128782387
ERCC5	6.690428694923
RXFP3	2.91463677447033
APBB2	5.43453278902058
BBOX1	7.89708127859558
PRO0478	3.10451877394761
GCSH	9.84727913997757
XDH	4.06864282744302
EDN1	3.56887299577537
MTERF	7.20030820823075
PDCL3	7.2112117597908
CLK4	6.93301720928145
KCNG1	3.81209669218164
CXCR4	6.90013537827274
DECR1	8.44879323180665
SALL1	3.10070564415062
PTPRR	3.17404775880621
CADM4	3.47010685711017
IRAK1	10.2484877422351
CFHR5	3.20650049934157
HNRPD	8.1826092464462
TMSB10	12.2296828393735
CXCL3	3.61224027901325
LMAN1	4.85052117938439
SUHW1	3.38919253947346
CHD8	6.21639522303002
SUMO1	8.42873432648084
GP1BA	3.12743172874253
OR7A10	3.90807051016921
DDB1	7.08523319524987
CHRNA10	3.66034284664497
STYK1	4.09306368852879
MYO9B	4.57395904454798
CCNI	9.59102760085653
MMP7	7.8285107425466
EP300	6.24885165129941
CRNKL1	7.07510239740624
C9orf45	3.27180466410308
XAB2	4.06386507092143
RTN1	3.95936984786051
HIC2	4.31474143749189
TBX10	3.60463421263
CENPQ	4.76802244373076
UTY	3.13522877737371
OR2W1	2.83364793870373
ATP5G2	10.2704052664051
ZEB1	3.93642524326075
ZG16	3.56102043327786
ERG	4.08501367297447
PARN	7.32359027801463
SOD2	5.91277369074606
JOSD3	7.88216668955208
ADAM5P	3.21679661848754
CHD9	7.11505953016759
hCG_40738	4.00061006543937
STK16	5.75902850106699
PDE1C	3.42540519337290
SEMA4D	5.46414997772713
AGPAT1	5.80170234057097
TOB2	6.25554484647412
BANK1	4.78772922782108
MAP3K3	6.0091216118117
MAX	5.61400882697634
GRM2	3.65483637824491
OSBPL8	7.76083961625822
PROSC	5.72656025500444
NR4A2	6.20883655048584
RICS	4.68724784032594
PIR	5.61718696202003
PPCS	9.08814979894586
IPO9	5.848212212767
LONP1	7.29967114191574
EVC	4.66445108236072
CXCL13	4.17576272496662
SCYL3	5.87420721147146
KIAA1199	6.55894240973217
SORL1	8.1803520303428
NAT10	6.9300393138784
CHD1	6.6386677996087
SYN3	3.62143530192395
DMC1	3.88605143563961
SLC22A2	3.77097182614539
SERPINF1	8.75274486800345
C20orf27	5.98020104054539
OR7A17	3.06305681123075
