Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_E09_298042
Composite Element REF	Signal
AACS	5.58992505706629
FSTL1	9.31740598891325
ELMO2	5.4401528926759
CREB3L1	4.0413438230497
RPS11	9.97622855725103
PNMA1	7.94898802917558
MMP2	7.85491611861397
SAMD4A	4.23318884446246
SMARCD3	8.34727505346689
A4GNT	3.74888586118971
C9orf39	3.55699606307597
PKNOX2	4.57123590695464
RALYL	3.37653996395821
ZHX3	4.40210126966187
ERCC5	6.30158354971248
RXFP3	2.99407828154418
APBB2	4.05629636813913
BBOX1	5.04378661128415
PRO0478	2.88966994495386
GCSH	7.91091249697716
XDH	3.35506525867653
EDN1	5.33764422181866
MTERF	6.04058755573894
PDCL3	6.94236854480935
CLK4	6.7664288195173
KCNG1	3.88485578854793
CXCR4	6.62861396422544
DECR1	7.86332082870653
SALL1	4.36116886798195
PTPRR	3.56297987203152
CADM4	3.29792869534881
IRAK1	8.03999834874731
CFHR5	3.12429520231542
HNRPD	7.85340341434571
TMSB10	11.5464392796889
CXCL3	4.50195644911063
LMAN1	4.38498276595772
SUHW1	3.37278444027911
CHD8	5.4140363849674
SUMO1	7.27056296068265
GP1BA	3.11081987926055
OR7A10	3.45945775976339
DDB1	7.44498401993134
CHRNA10	3.63939105653038
STYK1	3.44437696852864
MYO9B	3.93644717025374
CCNI	10.9578751071573
MMP7	9.77681311541074
EP300	6.03074424555085
CRNKL1	6.36659275823736
C9orf45	3.33596259945059
XAB2	4.68781220843805
RTN1	5.6847313944696
HIC2	4.13296342512758
TBX10	3.43501933275534
CENPQ	3.75329204811367
UTY	3.11025994874654
OR2W1	2.91910218524685
ATP5G2	10.6348662081719
ZEB1	5.68612432035398
ZG16	3.23522045533873
ERG	5.17729710728607
PARN	6.60462165821523
SOD2	6.04861641479834
JOSD3	7.1434535940821
ADAM5P	3.18052488893584
CHD9	6.23227159904982
hCG_40738	3.81776780351769
STK16	4.90153222592059
PDE1C	3.78385671571173
SEMA4D	5.51523651217615
AGPAT1	5.8535495213381
TOB2	6.17393571309281
BANK1	4.38279986225798
MAP3K3	5.60582898333532
MAX	5.61959457702761
GRM2	3.41064504681887
OSBPL8	7.1022847521625
PROSC	6.61752418714453
NR4A2	4.46587973241599
RICS	5.51670899146211
PIR	5.27008511967243
PPCS	8.84712484387474
IPO9	5.95566524836855
LONP1	6.265401151831
EVC	4.50099075733894
CXCL13	4.11811048659172
SCYL3	5.53380783633086
KIAA1199	4.56514334452474
SORL1	8.33209338343882
NAT10	6.52659546972304
CHD1	5.51509559591929
SYN3	3.45330555416231
DMC1	3.72873079091315
SLC22A2	3.56820281746894
SERPINF1	10.6052929964497
C20orf27	6.68600342170733
OR7A17	2.99418620877301
RPS6KA5	4.7945467531545
LHB	3.21495419342099
TAOK3	5.01859514152874
STK25	5.96605960674097
SLC12A4	3.70789020890919
BRCA1	3.49048735116902
GBL	4.88365299765595
C14orf108	7.45511660017054
CDC25B	6.41719079115277
BMP3	3.10944762344249
MAP1LC3C	3.76666315860459
TMEM180	3.47044464655285
CRYGC	3.6179328324282
SLK	5.577305384233
POU3F1	3.14004571902806
C20orf32	3.73768419945913
USP52	5.65376690531422
HIGD1B	4.3336203974959
BAZ1B	6.05421925830843
USP6NL	5.1056599831603
SLCO2B1	4.45679869600315
ABCD4	4.61724492819835
DIMT1L	6.39771249158274
SLC25A46	6.95936454100105
LARP7	7.36945464067875
TEK	4.11410403672997
CD160	4.23400812012789
TERF2IP	8.53664527663103
PHF20	5.59634287745992
COL1A1	6.0829289793372
KIAA0090	5.55524852874135
GTPBP1	4.75240943646049
GRK5	5.07507480640747
AP1S2	6.44865071421662
RAB33B	4.65225789237541
CA11	5.66444457181846
ALDOC	4.91866946661801
NUDT1	4.40514120338671
ZNF212	4.97548022325865
ACBD3	6.95701664151659
ZNF83	6.33672051855982
PRDM2	4.81058506847711
GDPD5	4.6199726458154
PDCD4	6.16542473282692
CEP350	5.81941178281426
FOXP3	3.16255651869033
SMYD3	6.2137411618712
CST7	4.95385212650195
SELL	5.04097192414586
CIAO1	5.68334815342058
LGI2	3.88550181984651
WDR45	6.88958760638542
ANKRD6	7.1365969216508
LTBP4	5.75845380715875
PSCD3	3.43488168195212
PYY	3.11306728986187
KCNC1	3.10568955273596
SIRT6	4.01390294515889
CCL19	7.9437286895481
ARHGEF9	4.34302111958883
ABR	4.98026808007726
C10orf22	6.64435999720492
STK17A	4.57967663070607
FOXE1	3.46931042367648
GML	3.18196689691716
CNGA3	3.01379716433218
CD38	4.15449134121897
ZDHHC6	7.59926317596934
NEFH	3.32983068409691
PGBD5	4.55274952910762
CTDSP2	7.20764144619597
RMND5B	5.71126271401315
ZNF257	3.16232616957219
DUSP4	4.80061329745727
FLJ22167	6.28314757346844
EXOSC7	6.18295788701384
ROR2	3.76292588058501
FOXM1	4.28393784182499
ZBTB48	4.48080412717031
BUD31	6.92083457914164
MAOA	6.24833789619235
CCDC41	4.79771524836885
TNNT3	4.23184636842529
FBXO11	5.23207891364879
GYPC	8.43187770234261
PLIN	3.44361905946469
RFXAP	3.66937569449708
C6orf15	3.38775717073778
RNF4	8.02955903467128
F8A1	8.09426554584048
PPP1R3D	4.77567829206501
GRB2	6.69845107541593
TPM3	2.9389973234576
SYT13	3.77979117988455
EPB42	3.59490544571267
RP5-1077B9.4	4.86726365524241
EIF1	11.2356330074573
CETN3	7.31105562399251
FPGT	4.92510209615389
PRY	3.29933939623091
NTHL1	4.79167771041504
POLR2B	8.95909926159974
RPS28	12.2813277315567
GDF10	3.3711600603204
COQ9	7.44795127929496
P2RX3	2.7409236375138
GCC2	7.95974976827052
RARRES3	8.74541357113467
PLXNA1	5.45481648549227
WBP4	4.87375696527132
KIAA0100	6.10219999775562
PMF1	6.33419102543195
HS2ST1	5.18303499777725
CRELD2	7.33492069639951
C8G	3.18299954854717
CD82	5.24907626215199
PMM1	5.87892997953948
CBLL1	4.15360877550531
LIM2	3.39663313099299
VAX2	3.35148857861313
SETDB1	4.70649506953179
LRAP	6.56268903679786
GCLM	5.92354203013254
CPEB3	3.3138263318108
PPM1A	5.81791005215463
INTS1	3.83649104503214
MMP16	3.39327352598469
CAMTA1	3.29626677673406
SAMSN1	5.42511689393023
DRD3	2.90037127469194
GMPPA	4.96662778216447
C11orf73	5.03878221278837
AIPL1	3.57505249575431
PTP4A2	9.30627478654832
IL24	3.39699653406634
BDKRB1	3.32917222292487
HPCA	3.31175261037014
MLF1	5.69854221659603
SEC14L1	6.43875492985922
CHFR	5.06679214585435
EMILIN1	4.55733818691988
THADA	6.3323573093111
TAF12	5.15491512090195
NDUFS4	8.31740833521835
ID1	7.74946601515538
PIK3CB	3.82602384330725
COL18A1	6.89757591201965
PDZD3	3.24980239002952
TBC1D17	4.09435398954279
COX8A	9.42104304211922
CDCA4	5.10166363845751
C2orf44	4.27232878588627
C9orf16	7.14829409871202
ERBB2IP	7.2166006709404
EMX2	9.11645850767134
FUS	6.1596076091507
NIPSNAP3B	3.81897802989679
TF	3.48229762676183
CXorf56	4.9655423769749
CLCN4	3.65224421359051
PWP2	5.03114386835469
MMP15	3.66357688773899
MTMR14	5.37780878388632
NPR1	6.94804260322519
DNAL4	5.52250742178163
ELAC2	4.72424206403209
ASS1	10.7693846870305
IPP	5.11433744839914
TMEM59	10.2203826086585
POLR2J	8.82009665191003
SEC23IP	5.51439971789956
RGS4	6.47971995611269
UQCRC1	9.10020771692297
SNX6	7.89512749538054
DDX18	6.44966290141195
POLG	4.56402885990095
ADAM23	3.83676849024834
ZNHIT2	4.4046374608703
TFR2	3.28549196455567
NCDN	4.35400934619601
RAG1	3.37946628729456
POMT1	5.21717645005055
CYP1A1	3.22142781678033
SNAPC1	5.54077828166687
GNA11	5.99282132785994
CCDC52	2.93734867419756
CAPN1	6.47185478604663
DDHD2	6.72343399326555
UPF3A	6.55124192238668
LAGE3	4.96556272097452
GNRHR	3.19012126205085
UNC13B	5.77705279929595
TTLL4	3.87487669049162
PPBP	4.68569990115228
HTR3A	3.26672164147021
SDC2	6.85123834571412
ANKRD49	7.04575233037984
BTF3	10.6273740182853
COX7A2	10.1537644616008
SARS	9.11602232588707
C13orf18	4.65357274817036
CACNB1	3.72190533547583
QKI	6.11060310122117
SETMAR	6.33294168137486
LAMB4	3.53550083706573
MAN2B1	6.07766100455708
EML3	5.2833556031115
ACADL	3.73158327576997
OFD1	7.71438042437727
CGA	3.64557103423313
EIF3EIP	11.2245478659187
