Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A10_458798
Composite Element REF	Signal
AACS	6.86977568371692
FSTL1	9.7294967972806
ELMO2	5.87172366541561
CREB3L1	4.31954616493681
RPS11	9.91580763856632
PNMA1	8.02162423304332
MMP2	9.63511295348601
SAMD4A	4.1284069170519
SMARCD3	8.32204710197321
A4GNT	3.61503990073197
C9orf39	3.71698865535911
PKNOX2	3.82693207730852
RALYL	3.29521906308897
ZHX3	4.66274159901280
ERCC5	6.75471015804163
RXFP3	2.96009882480677
APBB2	4.55014166113541
BBOX1	6.24937882367982
PRO0478	2.91832634684243
GCSH	7.9438925717511
XDH	3.36494830066934
EDN1	4.77678039165703
MTERF	6.29633148081737
PDCL3	7.0492867148747
CLK4	6.88777915057272
KCNG1	3.48154829878276
CXCR4	6.55074103243745
DECR1	8.50145977381783
SALL1	3.20614497962781
PTPRR	3.3020170355863
CADM4	3.37203380881545
IRAK1	7.49194787476616
CFHR5	3.47301637716777
HNRPD	7.97211763976617
TMSB10	11.6198722624323
CXCL3	3.85778769740095
LMAN1	3.98423903425636
SUHW1	3.30349008128004
CHD8	6.31654629436745
SUMO1	7.58596274895805
GP1BA	3.28140853325687
OR7A10	3.82498252589334
DDB1	7.51512423757103
CHRNA10	3.47776431790489
STYK1	3.89419865480982
MYO9B	4.07908400413673
CCNI	10.4921803307340
MMP7	10.3202875486752
EP300	6.53060862939888
CRNKL1	6.89239903090185
C9orf45	3.25344645755051
XAB2	3.7501877611239
RTN1	3.59780024280552
HIC2	3.95791981875075
TBX10	3.45368899217009
CENPQ	3.91796776272022
UTY	3.11192428838148
OR2W1	2.91933254564924
ATP5G2	10.4653512951561
ZEB1	4.51366363110455
ZG16	3.58822624727561
ERG	3.99250041369323
PARN	7.49532440333402
SOD2	6.23302188979103
JOSD3	7.84436643219692
ADAM5P	3.30756743879334
CHD9	7.29128425995166
hCG_40738	3.81782780722509
STK16	5.14515257361409
PDE1C	3.40646428075509
SEMA4D	4.77474021673496
AGPAT1	5.96362937626645
TOB2	6.51065407973291
BANK1	5.58867952746549
MAP3K3	5.30144246780125
MAX	5.30671618136122
GRM2	3.44441109351368
OSBPL8	8.2598224105729
PROSC	6.53728998058088
NR4A2	5.42534218482055
RICS	5.23359012972344
PIR	3.71026518199861
PPCS	8.65891607854076
IPO9	6.81205182886204
LONP1	7.12004957109186
EVC	4.96836331385313
CXCL13	3.80518601631113
SCYL3	5.90475321789553
KIAA1199	6.79192646024032
SORL1	7.90869954404733
NAT10	7.13422810425018
CHD1	6.70454652813762
SYN3	3.55338426545806
DMC1	3.90564811668833
SLC22A2	3.57993575848229
SERPINF1	9.6233862205309
C20orf27	5.12552603789773
OR7A17	3.10817618227840
RPS6KA5	4.20965281453123
LHB	3.17563482414827
TAOK3	6.01227500380503
STK25	5.77140211698583
SLC12A4	3.73789190485089
BRCA1	3.95197858250569
GBL	5.0090188980365
C14orf108	7.9451322162103
CDC25B	6.24097587224096
BMP3	3.16621611399617
MAP1LC3C	3.18036098489622
TMEM180	3.47754731393868
CRYGC	3.28300213275661
SLK	6.15374467323765
POU3F1	3.16683992898852
C20orf32	3.78946200513020
USP52	6.69560117637486
HIGD1B	3.79675179792209
BAZ1B	6.99433694801229
USP6NL	4.96962752190171
SLCO2B1	4.02772903204257
ABCD4	4.65421874424984
DIMT1L	6.26360404321899
SLC25A46	7.41691772073289
LARP7	7.64940914187182
TEK	3.55227648946070
CD160	3.60804338394827
TERF2IP	8.53364080308158
PHF20	6.18665909577958
COL1A1	9.28146187971003
KIAA0090	5.53327982165945
GTPBP1	4.44917686304835
GRK5	3.67790864134372
AP1S2	5.99676137394986
RAB33B	4.62027532042254
CA11	5.35165975899421
ALDOC	5.76166860067785
NUDT1	5.55540863200159
ZNF212	5.19215884405517
ACBD3	8.0595466350713
ZNF83	7.84292373876083
PRDM2	5.09326054772625
GDPD5	4.36565604357912
PDCD4	6.07026772284267
CEP350	7.18661769090754
FOXP3	3.19241593585952
SMYD3	7.00246515578388
CST7	4.40712951497737
SELL	3.58771446313801
CIAO1	6.16014163450807
LGI2	3.50368976769537
WDR45	6.23233264976925
ANKRD6	7.35562948505639
LTBP4	3.82257190064197
PSCD3	3.5095076736969
PYY	3.02745401071961
KCNC1	3.06088489153022
SIRT6	3.88507212671795
CCL19	3.63527296099067
ARHGEF9	4.61168314620907
ABR	5.28731276530969
C10orf22	6.75203216143568
STK17A	5.15495760015197
FOXE1	3.36121104405896
GML	3.1093701441668
CNGA3	3.02596106343045
CD38	3.03910730781252
ZDHHC6	7.1913237322581
NEFH	3.47439392630669
PGBD5	4.61269248877913
CTDSP2	7.06897519973303
RMND5B	5.38765713439341
ZNF257	3.22376325778538
DUSP4	5.37758547728833
FLJ22167	7.08869815932018
EXOSC7	6.36640693145454
ROR2	4.47844932740133
FOXM1	4.49072408159047
ZBTB48	4.71083259781078
BUD31	7.9366955330878
MAOA	3.96921883357354
CCDC41	6.33928895009441
TNNT3	3.54547086710236
FBXO11	5.68858029129859
GYPC	7.64278338974295
PLIN	3.32505080714182
RFXAP	3.41296426430582
C6orf15	3.92920701965845
