Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C05_472026
Composite Element REF	Signal
AACS	6.91253597636845
FSTL1	10.1695705972179
ELMO2	5.75920704256749
CREB3L1	4.21054679800774
RPS11	9.21521495907971
PNMA1	8.79950455866692
MMP2	8.81731794014473
SAMD4A	4.37892307936979
SMARCD3	4.67792240144726
A4GNT	3.35750972143454
C9orf39	3.39000189114107
PKNOX2	3.91781392647682
RALYL	3.10746214018860
ZHX3	4.15231331679108
ERCC5	5.30425689173306
RXFP3	3.03442151014781
APBB2	5.25280458169527
BBOX1	3.75641725999536
PRO0478	2.85897260275532
GCSH	7.93340899514184
XDH	3.50010747463325
EDN1	7.3338495217694
MTERF	5.29365322039454
PDCL3	8.16459501830366
CLK4	4.98022824031489
KCNG1	4.82400923863704
CXCR4	8.3184071005239
DECR1	7.43175211911857
SALL1	3.02526901946392
PTPRR	3.59627985624152
CADM4	3.38282465956475
IRAK1	7.96964122189033
CFHR5	3.283391779118
HNRPD	8.23328394584799
TMSB10	11.9329102827978
CXCL3	3.44976590691255
LMAN1	4.12205874874785
SUHW1	3.33282384273044
CHD8	6.2331848939616
SUMO1	8.22903484961433
GP1BA	3.39204838407014
OR7A10	3.61781269420941
DDB1	7.63760959444323
CHRNA10	3.75649992542761
STYK1	3.19078259401006
MYO9B	4.20241770961767
CCNI	10.252214981864
MMP7	6.2198834217736
EP300	6.01647540774246
CRNKL1	7.71307044688271
C9orf45	3.12582333760090
XAB2	3.88036067335911
RTN1	4.50234477889321
HIC2	3.59965773212847
TBX10	3.49145593754887
CENPQ	3.80274738037534
UTY	3.34202623008762
OR2W1	2.8373625885985
ATP5G2	10.4675059249640
ZEB1	3.70869450801736
ZG16	3.54696250087372
ERG	4.1883100907556
PARN	7.35377128924315
SOD2	5.01217063838509
JOSD3	7.47654350844868
ADAM5P	3.05874833575366
CHD9	6.11454397590655
hCG_40738	4.82458851203351
STK16	4.82619263478954
PDE1C	3.38888745427415
SEMA4D	5.3007857180929
AGPAT1	6.06014853396777
TOB2	5.1909633977407
BANK1	3.53151222833809
