Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C01_543688
Composite Element REF	Signal
AACS	6.41434432869029
FSTL1	8.73484893075075
ELMO2	5.57775035473999
CREB3L1	4.18841529047871
RPS11	9.75712943221885
PNMA1	7.83829757403885
MMP2	7.19017688710282
SAMD4A	3.60290055659579
SMARCD3	7.06361182872438
A4GNT	3.45439067223035
C9orf39	3.24226117638622
PKNOX2	4.00726462821737
RALYL	3.48900280020020
ZHX3	3.96045787235835
ERCC5	5.90120517258771
RXFP3	2.95284866865309
APBB2	5.49650797488586
BBOX1	4.58294981766695
PRO0478	3.05490848382657
GCSH	8.72488361640627
XDH	3.72058777327494
EDN1	4.26160916977428
MTERF	7.05636120381634
PDCL3	7.74714215383111
CLK4	6.70256850910877
KCNG1	4.43763665011238
CXCR4	8.44037382005939
DECR1	6.75998639129593
SALL1	3.29389874063723
PTPRR	3.31240618819897
CADM4	3.54716825235885
IRAK1	8.40065211633335
CFHR5	3.06219505767871
HNRPD	7.9344514378111
TMSB10	12.4788502058607
CXCL3	3.60806685351887
LMAN1	4.4734555572699
SUHW1	3.30510974026871
CHD8	5.63957410484144
SUMO1	8.3633869949566
GP1BA	3.1319101694043
OR7A10	3.76921728976814
DDB1	7.7246989027155
CHRNA10	3.38032022287307
STYK1	3.38918347846649
MYO9B	4.21828563078395
CCNI	10.4413970216428
MMP7	6.25105095549535
EP300	6.54328899853833
CRNKL1	7.00357006655924
C9orf45	3.0697378743421
XAB2	4.42863875270824
RTN1	5.26878583561578
HIC2	4.05760541801579
TBX10	3.41433284328559
CENPQ	4.67136537768766
UTY	3.05777148555327
OR2W1	2.94329014828591
ATP5G2	10.1428312652101
ZEB1	3.96100502260619
ZG16	3.39635483454741
ERG	3.63532057225467
PARN	7.83828420350536
SOD2	7.71949943398407
JOSD3	7.757350941056
ADAM5P	3.13623079121519
CHD9	6.34515168525977
hCG_40738	3.93359053154921
STK16	5.81340309170544
PDE1C	3.4995044506693
SEMA4D	5.78213049017881
AGPAT1	7.35141565229713
TOB2	6.2693401649016
BANK1	4.5299533090257
MAP3K3	5.37020594963821
MAX	5.17623098882021
GRM2	3.51341449050151
OSBPL8	6.95675846167498
PROSC	5.80187982188523
NR4A2	5.85427060672125
RICS	4.95056684271536
PIR	5.45965674199662
PPCS	9.36958044066203
IPO9	6.25788846139328
LONP1	6.57202060239071
EVC	4.39991584889136
CXCL13	5.31344661943025
SCYL3	6.11658192841385
KIAA1199	5.7538795101284
SORL1	7.6214181975187
NAT10	6.42340986756616
CHD1	5.7405527134493
SYN3	3.48567333095534
DMC1	3.68742908155006
SLC22A2	3.80835580864433
SERPINF1	7.62604051636496
C20orf27	6.10569051173908
OR7A17	3.23810672069914
RPS6KA5	4.41397765395273
LHB	3.35420821273159
TAOK3	4.93662931316938
STK25	5.81135999308158
SLC12A4	3.43359919372799
BRCA1	4.20954022819719
GBL	6.84614600813368
C14orf108	8.05980092179108
CDC25B	6.45879457935133
BMP3	3.22597185000818
MAP1LC3C	3.57249033592421
TMEM180	3.33548372281082
CRYGC	3.53558329932263
SLK	5.48485583006403
POU3F1	3.12024800404048
C20orf32	3.50968453059463
USP52	5.9847877562431
HIGD1B	4.12093392237395
BAZ1B	6.88087097158647
USP6NL	5.84260220894123
SLCO2B1	4.57372322258562
ABCD4	4.66431489739816
DIMT1L	6.12653843449903
SLC25A46	6.8546181747249
LARP7	7.61624067404344
TEK	3.68131713369341
CD160	3.41484817695423
TERF2IP	7.93990987628841
PHF20	6.30957835261703
COL1A1	7.33871190372362
KIAA0090	7.07896628854328
GTPBP1	4.70864852105826
GRK5	3.66581786253442
AP1S2	6.17837581285184
RAB33B	5.11550902063037
CA11	5.31609076757869
ALDOC	4.64120505744611
NUDT1	5.68599829050617
ZNF212	5.55255606361493
ACBD3	7.89283525413565
ZNF83	6.89741490008035
PRDM2	5.59229278003064
GDPD5	6.4131567184684
PDCD4	6.71613966009215
CEP350	6.18835325828452
FOXP3	3.17290738262995
SMYD3	7.8006768821121
CST7	4.08445190702983
SELL	4.03883746067293
CIAO1	6.82775670257206
LGI2	3.65445269617672
WDR45	7.50281554017671
ANKRD6	6.96246987210756
LTBP4	4.63132328863231
PSCD3	3.30804775218685
PYY	2.91063614347439
KCNC1	3.27211118452317
SIRT6	3.75926597571942
CCL19	4.01870447580995
ARHGEF9	4.52117076261499
ABR	4.72554360550019
C10orf22	6.89456828307108
STK17A	4.54970700817591
FOXE1	3.17890445650932
GML	3.26473050457201
