Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_H01_297918
Composite Element REF	Signal
AACS	6.42599365257726
FSTL1	7.49306016931631
ELMO2	4.94325812883681
CREB3L1	3.74761402706884
RPS11	9.96603838935116
PNMA1	6.73161082653216
MMP2	3.53407580944838
SAMD4A	3.99924299177164
SMARCD3	3.71691039119979
A4GNT	3.79714220401903
C9orf39	5.02062275873125
PKNOX2	3.52223405780219
RALYL	3.31427150861926
ZHX3	4.2520492037465
ERCC5	6.12645651100841
RXFP3	2.9278081572583
APBB2	5.05416045520878
BBOX1	5.57566399580752
PRO0478	3.1426759526142
GCSH	9.23209926689382
XDH	3.46210618862494
EDN1	3.37315814895756
MTERF	6.6624624824214
PDCL3	7.1286309472557
CLK4	6.93079273182931
KCNG1	3.98061752440988
CXCR4	5.84698965392455
DECR1	8.16036386873483
SALL1	3.20935831651837
PTPRR	3.4739419062514
CADM4	3.62519000482391
IRAK1	8.67628284314193
CFHR5	3.17361355224618
HNRPD	8.93961535053447
TMSB10	11.7191476154109
CXCL3	5.2560312713973
LMAN1	4.22426596259012
SUHW1	3.29487535714474
CHD8	5.81491733961644
SUMO1	7.68513096220645
GP1BA	3.1106768508227
OR7A10	3.50479207996825
DDB1	7.92007903163077
CHRNA10	3.79158471623989
STYK1	4.66258917262730
MYO9B	3.94115912656833
CCNI	11.2345144312379
MMP7	7.80658738047009
EP300	6.02994685755154
CRNKL1	6.70275100593335
C9orf45	3.38269591997292
XAB2	4.12231836972495
RTN1	4.40305481486589
HIC2	3.69836098835891
TBX10	3.39147226545729
CENPQ	4.23548518010512
UTY	3.12168574822721
OR2W1	2.94094539428779
ATP5G2	10.9760539690447
ZEB1	3.20770637763847
ZG16	3.47677957180854
ERG	4.06998021324895
PARN	7.13191205286552
SOD2	5.77068697758822
JOSD3	8.52133876650304
ADAM5P	3.06517500046712
CHD9	6.55742981137363
hCG_40738	3.73154112001392
STK16	4.39328229944656
PDE1C	3.76488221803868
SEMA4D	6.0365147229071
AGPAT1	6.42409194633791
TOB2	5.29031885018716
BANK1	4.46672249001991
MAP3K3	4.96211370854793
MAX	4.97361504490133
GRM2	3.72039802032177
OSBPL8	6.45463503137028
PROSC	4.49677431231177
NR4A2	4.72322388321397
RICS	5.04027717750719
PIR	5.65221488583858
PPCS	8.4392049165833
IPO9	7.28001941622935
LONP1	6.67472104082813
EVC	4.85574999629325
CXCL13	4.3804557804511
SCYL3	6.44585308410153
KIAA1199	3.03850895577809
SORL1	7.25268896174052
NAT10	7.7014202680477
CHD1	5.70593954574683
SYN3	3.41875055200499
DMC1	3.97797074614894
SLC22A2	3.43264116605613
SERPINF1	3.3988434842863
C20orf27	6.14192376633603
OR7A17	2.98592495304883
RPS6KA5	4.62576145225123
LHB	3.19707342767154
TAOK3	4.74558539431123
STK25	5.17125194420753
SLC12A4	3.73563648493621
BRCA1	4.37576172682897
GBL	5.37339382515742
C14orf108	8.07999186613418
CDC25B	8.10704957753119
BMP3	3.25425964809672
MAP1LC3C	3.37810351685373
TMEM180	3.35661920480164
CRYGC	4.57942919618699
SLK	5.61307428193004
POU3F1	3.02967040543018
C20orf32	4.10145493808203
USP52	6.73829567940791
HIGD1B	3.72770705049527
BAZ1B	7.01999430027586
USP6NL	5.54437716128316
SLCO2B1	3.59242806547488
ABCD4	4.31490652625106
DIMT1L	5.9869941824914
SLC25A46	7.82035379577629
LARP7	6.39798008463465
TEK	3.37379564727351
CD160	3.54665593794189
TERF2IP	8.44008786285343
PHF20	6.29048197626436
COL1A1	4.95227112865034
KIAA0090	5.6919097176245
GTPBP1	4.43458763518358
GRK5	4.10601557706367
AP1S2	3.50678419263135
RAB33B	4.87905528970046
CA11	5.29599112163159
ALDOC	3.96475860636236
NUDT1	5.27038245206246
ZNF212	5.0689081411402
ACBD3	7.44839286147367
ZNF83	6.79952936027117
PRDM2	4.81611940904434
GDPD5	3.88837834990678
PDCD4	5.79695978348767
CEP350	6.77626193231076
FOXP3	3.11248134627573
SMYD3	6.77884023917775
CST7	3.69978624776603
SELL	6.24899970735534
CIAO1	6.31690779573017
LGI2	3.53422189084890
WDR45	5.88269920206202
ANKRD6	8.705366510228
LTBP4	4.41392834386989
PSCD3	3.44277509326035
PYY	3.30490357118319
KCNC1	3.41345581102832
SIRT6	3.95608515160648
CCL19	4.09503461517726
ARHGEF9	4.80510776738215
ABR	4.43085563464807
C10orf22	7.45899990886757
STK17A	4.37357716125402
FOXE1	3.49027029374777
GML	3.36187659334306
CNGA3	3.01254747792416
CD38	4.32230021734788
ZDHHC6	6.87080605656946
NEFH	3.30994410117512
PGBD5	4.00818084960128
CTDSP2	6.82166733890376
RMND5B	5.5974079063426
ZNF257	4.09796604011098
DUSP4	3.56255826990674
FLJ22167	7.19406381743388
EXOSC7	7.33611478733686
ROR2	4.46845898450559
FOXM1	6.63490630161948
ZBTB48	4.69366688499676
BUD31	7.16855797092774
MAOA	4.28708825078296
CCDC41	5.56858346220623
TNNT3	3.79764995002224
FBXO11	5.89121150956991
GYPC	8.86090027388542
PLIN	3.27671510576064
RFXAP	3.98026912618311
C6orf15	3.58800430193629
RNF4	9.14803616179239
F8A1	8.2486361251527
PPP1R3D	4.41715743296249
GRB2	6.32761787877103
TPM3	3.18613071671412
SYT13	3.7119715900556
EPB42	3.42854189475200
RP5-1077B9.4	4.84447351770479
EIF1	10.0062844689925
CETN3	7.85577784093601
FPGT	5.29503852955603
PRY	3.32336377939633
NTHL1	5.01256674354528
POLR2B	9.0626927736818
RPS28	11.8467678155261
GDF10	3.21571102450719
COQ9	8.40671300113603
P2RX3	2.97324515364927
GCC2	7.41827573529653
RARRES3	5.80417622998147
PLXNA1	5.54273398380248
WBP4	4.16702728130749
KIAA0100	5.26290432375788
PMF1	7.33047065407063
HS2ST1	5.46011838512766
CRELD2	7.19130746491373
C8G	3.07013454176108
CD82	4.80821615061487
PMM1	4.70018706673496
CBLL1	4.64401192885702
LIM2	3.22416128367492
VAX2	3.20176587798504
SETDB1	5.87562300389929
LRAP	3.32301805305765
GCLM	6.8088789641066
CPEB3	3.53607761808670
PPM1A	5.6543428822714
INTS1	4.17174533990624
MMP16	3.47313210077928
CAMTA1	3.97756782102864
SAMSN1	4.03281623469681
DRD3	2.92406474727655
GMPPA	4.32896042772282
C11orf73	5.71635499131197
AIPL1	3.49791321846564
PTP4A2	9.47343214596386
IL24	3.31178821984059
BDKRB1	3.38566087328636
HPCA	3.48637878096843
MLF1	6.0788729884491
SEC14L1	5.1315635706821
CHFR	5.39673450640484
EMILIN1	3.35371584015216
THADA	6.31568981815655
TAF12	4.9400504384652
NDUFS4	9.99623150004589
ID1	3.19291884834515
PIK3CB	4.55542056881364
COL18A1	7.46370932705091
PDZD3	3.05045500542538
TBC1D17	4.15739967494193
COX8A	9.97880016955844
CDCA4	6.14901939609308
C2orf44	5.12473803922551
C9orf16	6.13718754138445
ERBB2IP	6.9365869020727
EMX2	2.23421341466022
FUS	7.40476841447184
NIPSNAP3B	3.89794098433785
TF	3.41344160682564
CXorf56	5.22816737590578
CLCN4	4.02622100101239
PWP2	6.4628804044776
MMP15	4.26122823177854
MTMR14	5.44419912637587
NPR1	7.01934775042607
DNAL4	4.57997430148855
ELAC2	4.96437365671272
ASS1	9.6961467888753
IPP	5.5041541486268
TMEM59	9.2647418134158
POLR2J	8.49191033102056
SEC23IP	4.38749582596684
RGS4	3.57420718791864
UQCRC1	9.80544120628178
SNX6	8.00138207829727
DDX18	7.7975670366506
POLG	4.56249002887059
ADAM23	3.93286983423549
ZNHIT2	5.02181363671382
TFR2	3.68004644045633
NCDN	4.41237576363197
RAG1	3.36203704490970
POMT1	4.68805988404619
CYP1A1	3.63242217059199
SNAPC1	4.60523488721494
GNA11	5.11220897008872
CCDC52	3.13218873799619
CAPN1	6.56937609170898
DDHD2	6.53960351558687
UPF3A	6.21865516827234
LAGE3	5.60099451596726
GNRHR	3.32342411836459
UNC13B	5.33450707964053
TTLL4	4.15735942649002
PPBP	3.10094107308591
HTR3A	3.19286844461566
SDC2	4.98694550367923
ANKRD49	6.99546906084308
BTF3	10.3043146924978
COX7A2	10.9441591423069
SARS	8.32119939237617
C13orf18	3.30843694299602
CACNB1	3.79682277970770
QKI	5.26357395782261
SETMAR	6.57711887300089
LAMB4	3.60704963898548
MAN2B1	5.54786885852671
EML3	5.84847050724966
ACADL	3.52500349708826
OFD1	8.23052331067085
CGA	3.30167048055849
EIF3EIP	10.4241635971745
PEX16	5.12168890965377
GNG12	7.67737361557223
HABP4	4.58613105074941
CNTN2	3.23420113290294
ASNSD1	7.39740711380245
FUT4	4.26350117722151
DBH	3.24163830471335
CD53	4.89866098135982
HIST1H2BJ	3.89214588869702
TFAP2B	3.33691483806112
ACF	3.62090575387943
TMEM11	6.23121956905257
CDH8	3.04497436592903
C3orf32	3.40564957375752
AGPS	4.78565221222811
C4orf18	3.20021030921103
PCCB	7.14511369281153
IPO13	4.96793896854751
PECI	7.95481762201983
UNG	8.76558294116672
C6orf105	3.77020756722376
GSTP1	8.75888083451561
SUV420H1	7.53626737631485
ARHGAP15	3.80287268303482
LTBR	6.24839363784265
TDRKH	3.32500357907743
PSG4	3.30118301410942
SLC9A3R1	7.09053001514394
NBPF3	9.62374711320907
SLC9A3	3.44688767508939
OSBP	6.04700955244825
PRR5	3.81747838473790
CHMP7	5.42316298327283
ADRA1A	3.12946178920444
ASAH1	6.35129459456214
FKBP4	7.43500215892674
ZNF350	4.52290833376225
DOM3Z	6.29396916216126
GIPR	3.92274108785505
AHI1	5.09711524719168
BST1	5.68901282500476
NCR2	3.52874418058672
NADSYN1	5.11740261399653
UBE2W	5.38483116867414
RGS14	4.54884506829702
KRT15	3.50988443493135
SCN11A	3.92199261992604
GFI1	3.53400977105007
FHL1	5.6158730728331
SMC6	7.11438876530177
GATA1	3.71937513734177
OSGEP	5.14236356321153
ARMC6	5.02582795185227
HK3	3.33212234660729
PSMD5	6.46163544004594
RSU1	6.64314496942296
RPL4	12.5321566132415
MAD2L1	7.59946228367474
RBPMS	3.74533211466995
EIF4A3	9.53456838902949
E4F1	4.72358147911748
DLEC1	3.70793548303708
PRPF3	6.79891937402175
EMR1	3.14650978986426
CHMP2B	6.95217041982442
