Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A03_547344
Composite Element REF	Signal
AACS	7.42932308992018
FSTL1	7.22408015597223
ELMO2	5.56185602483005
CREB3L1	4.23315753278836
RPS11	9.8230292670813
PNMA1	7.0505159525273
MMP2	6.7837930846361
SAMD4A	3.58311916009759
SMARCD3	6.64065844910972
A4GNT	3.67289133294519
C9orf39	3.60751905544912
PKNOX2	3.96299667405818
RALYL	3.21831253630795
ZHX3	4.21043695694959
ERCC5	5.89403421150347
RXFP3	3.05962617668205
APBB2	3.56012871850862
BBOX1	5.6336294094481
PRO0478	3.06195602050162
GCSH	8.73258915889876
XDH	5.30365019219901
EDN1	5.38156037727946
MTERF	6.48255601463842
PDCL3	7.41915640283393
CLK4	5.79460039348245
KCNG1	3.54152418072927
CXCR4	7.93159525893555
DECR1	7.68073594893061
SALL1	2.86559471659730
PTPRR	3.51447195748932
CADM4	3.2937038711339
IRAK1	9.40288012997032
CFHR5	3.38253431969651
HNRPD	8.03157131191493
TMSB10	11.5407151503405
CXCL3	7.06184414870039
LMAN1	4.86638999554278
SUHW1	3.30868245977244
CHD8	6.05341369585915
SUMO1	6.95051665214112
GP1BA	3.13623752009122
OR7A10	3.78709609180943
DDB1	7.16116848883938
CHRNA10	3.75490380857451
STYK1	3.11959136205475
MYO9B	4.21879069089938
CCNI	9.7840066422042
MMP7	6.23935378955514
EP300	6.38189869224049
CRNKL1	6.18809589429624
C9orf45	3.13276108648864
XAB2	4.03639901604443
RTN1	4.81203733124653
HIC2	4.29953210867583
TBX10	3.55583513620567
CENPQ	4.64737618809755
UTY	3.17596338459055
OR2W1	2.93201086788465
ATP5G2	10.5704229888054
ZEB1	3.5075228290889
ZG16	3.54064953339362
ERG	3.60662547488035
PARN	6.71721589032794
SOD2	8.92823489035002
JOSD3	7.31647682823024
ADAM5P	3.16962824352302
CHD9	6.10879178776298
hCG_40738	4.14544072546097
STK16	4.53780657887688
PDE1C	3.54743516765145
SEMA4D	5.39948199190986
AGPAT1	6.22389270555658
TOB2	6.1751768767009
BANK1	5.20142175358215
MAP3K3	6.25096843548015
MAX	5.63634117912121
GRM2	3.71413502522843
OSBPL8	7.09059300745099
PROSC	6.04330803107652
NR4A2	5.24147232504691
RICS	6.01917058150091
PIR	5.6356703007948
PPCS	8.8457123729844
IPO9	6.2924164258666
LONP1	6.72464041378904
EVC	4.25532902121422
CXCL13	3.99940490330061
SCYL3	5.14158720468704
KIAA1199	7.27514367769265
