Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_C08_547282
Composite Element REF	Signal
AACS	7.01637372633823
FSTL1	6.74411638965615
ELMO2	5.73056560049187
CREB3L1	3.80944618879273
RPS11	9.90504410941523
PNMA1	8.886672747256
MMP2	6.59706708258064
SAMD4A	3.84574213454882
SMARCD3	5.98698307588387
A4GNT	3.69679724092822
C9orf39	3.10012316130807
PKNOX2	4.71379059933846
RALYL	3.86276683344093
ZHX3	4.15835697948233
ERCC5	6.07291143425592
RXFP3	3.04677298061336
APBB2	3.9143526472076
BBOX1	6.79097454167052
PRO0478	3.31388222854712
GCSH	7.73831908166944
XDH	3.74410909940095
EDN1	3.40058033050147
MTERF	6.24287912853735
PDCL3	8.18785222414194
CLK4	6.1945122027394
KCNG1	3.34647396579041
CXCR4	7.59319949757143
DECR1	8.50317500221073
SALL1	3.01784621665939
PTPRR	3.16417023579895
CADM4	3.44886643828709
IRAK1	8.9188189361377
CFHR5	3.56735220882921
HNRPD	8.17682538580144
TMSB10	11.7665163725690
CXCL3	3.95045284351780
LMAN1	3.72513988699434
SUHW1	3.98808134841054
CHD8	6.45207517689814
SUMO1	7.42406310555132
GP1BA	3.36127383726696
OR7A10	3.86096542269211
DDB1	7.4720478502457
CHRNA10	3.72330868093835
STYK1	3.30772459681891
MYO9B	4.68474594559784
CCNI	10.1277860898279
MMP7	5.5644478229101
EP300	7.01919451075876
CRNKL1	5.77160129718032
C9orf45	3.35474964200231
XAB2	4.73306550498691
RTN1	4.82625219212784
HIC2	4.43248430023264
TBX10	3.57919737483805
CENPQ	4.02555442644823
UTY	3.1280333511349
OR2W1	2.87672236265538
ATP5G2	10.5596328886791
ZEB1	3.52230111639815
ZG16	3.47226146792897
ERG	3.42545808257391
PARN	6.95739558781145
SOD2	7.45626015231619
JOSD3	9.28572096010726
ADAM5P	3.24094938607796
CHD9	5.89189223865379
hCG_40738	4.08549887952677
STK16	4.53134516707229
PDE1C	3.64403030826149
SEMA4D	6.61751891860811
AGPAT1	6.53307338714703
TOB2	6.57142074977665
BANK1	3.37653294275179
MAP3K3	5.31133382139102
MAX	5.65838954362138
GRM2	3.83627143931431
OSBPL8	6.83609023942856
PROSC	5.52985170354834
NR4A2	5.90171257074684
RICS	5.06374972699917
PIR	6.12736638834125
PPCS	8.8507535990103
IPO9	6.14783499486
LONP1	6.79327079468381
EVC	4.2892196590575
CXCL13	6.93342286331215
SCYL3	5.53620025219455
KIAA1199	5.55297684722163
SORL1	8.04092829286777
NAT10	6.78200437308062
CHD1	7.06193938032635
SYN3	3.45607574545513
DMC1	4.04301693395123
SLC22A2	3.6833107761659
