Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_A03_491168
Composite Element REF	Signal
AACS	7.05893556966082
FSTL1	9.100772844747
ELMO2	5.42428638228365
CREB3L1	3.75316583344446
RPS11	10.0230590494136
PNMA1	8.56875194835986
MMP2	7.57245552467482
SAMD4A	3.65943784813676
SMARCD3	7.50800036969757
A4GNT	3.77000960644511
C9orf39	4.38680779487848
PKNOX2	4.11915470142614
RALYL	3.5624284228421
ZHX3	3.96620213373167
ERCC5	6.3054781541142
RXFP3	2.92741041624144
APBB2	6.40018928905092
BBOX1	7.52833343980273
PRO0478	2.98925580528572
GCSH	7.76085057778875
XDH	3.74702359780257
EDN1	3.43537739231692
MTERF	6.98106229193483
PDCL3	7.39093028113537
CLK4	6.33081829129974
KCNG1	3.4748071945666
CXCR4	8.66674151150047
DECR1	8.62524252143544
SALL1	3.08757420077714
PTPRR	4.63905625430159
CADM4	3.35996009988932
IRAK1	8.34037945941096
CFHR5	3.07333992222791
HNRPD	8.15048051900141
TMSB10	12.5063418462117
CXCL3	3.6074244619183
LMAN1	3.78161835224648
SUHW1	3.66270477044931
CHD8	5.78457124879336
SUMO1	8.83354419644911
GP1BA	3.37037944705799
OR7A10	3.77682516077736
DDB1	8.09652310917733
CHRNA10	3.50439689159254
STYK1	4.1208407667205
MYO9B	4.53866542873017
CCNI	10.4291500242794
MMP7	7.16481518689462
EP300	6.50273798074634
CRNKL1	7.30233408004477
C9orf45	3.21401904993782
XAB2	4.95073920378623
RTN1	4.59174649020809
HIC2	4.29687588855158
TBX10	3.56156857534419
CENPQ	5.61090746078122
UTY	3.22990708136808
OR2W1	2.86085169444477
ATP5G2	10.1408004447672
ZEB1	3.49972073149493
ZG16	3.43317114696848
ERG	3.71336060688551
PARN	8.0844202768651
SOD2	5.94455068464965
JOSD3	7.19448409820028
ADAM5P	3.22643497815672
CHD9	5.81146632280332
hCG_40738	3.70867651329489
STK16	6.14984865836411
PDE1C	3.74475245092894
SEMA4D	6.55445348400324
AGPAT1	7.0195671450027
TOB2	6.54901622796004
BANK1	4.43296949688968
MAP3K3	5.36120153781272
MAX	4.93772689551638
GRM2	3.72868647605567
OSBPL8	8.01483470775408
PROSC	6.96124142062258
NR4A2	4.75978356954348
RICS	4.93207062999766
PIR	7.12310737493392
PPCS	8.90015703443478
IPO9	6.4669215927357
LONP1	6.80164472104165
EVC	4.37417400377785
CXCL13	4.56564077047346
SCYL3	6.31642324172783
KIAA1199	4.69527672630811
SORL1	8.11322550471766
NAT10	7.88241412520683
CHD1	5.31812557360414
SYN3	3.64186587254146
DMC1	4.44994570818217
SLC22A2	3.60335638212716
SERPINF1	7.85902276260681
C20orf27	5.82063153758239
OR7A17	3.12935408825327
RPS6KA5	6.39824945501752
LHB	3.30475251030926
TAOK3	4.85905898281409
STK25	5.61188549885791
SLC12A4	3.53866424478834
BRCA1	5.34993179221776
GBL	6.55166836934383
C14orf108	8.3088058967107
CDC25B	7.163065799283
BMP3	3.17948104828847
MAP1LC3C	3.41938995649472
TMEM180	3.41666366731156
CRYGC	3.64540435838208
SLK	6.2121626796772
POU3F1	3.0499728181129
C20orf32	3.70204360960584
USP52	6.50227447927978
