Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C02_543592
Composite Element REF	Signal
AACS	6.6162481911617
FSTL1	8.4087360718378
ELMO2	5.54561756666419
CREB3L1	4.31896433698557
RPS11	9.94757844141715
PNMA1	7.17818202456608
MMP2	8.53162133127184
SAMD4A	4.12273196020104
SMARCD3	7.94089692837342
A4GNT	3.47962030069754
C9orf39	3.31240272576472
PKNOX2	4.97891160171943
RALYL	3.45549040154218
ZHX3	4.16967227946684
ERCC5	5.9033559928454
RXFP3	3.26427922367743
APBB2	4.71289963851021
BBOX1	4.792823848172
PRO0478	3.15125613424005
GCSH	8.35912875211664
XDH	3.65141032882369
EDN1	3.83836404010368
MTERF	7.06840649647148
PDCL3	7.61144992152243
CLK4	5.1649817869237
KCNG1	3.68271346550676
CXCR4	9.22191968643076
DECR1	8.16924011864205
SALL1	2.88533759255556
PTPRR	3.31027064349612
CADM4	3.39314322724850
IRAK1	8.48722462051693
CFHR5	3.08193424886153
HNRPD	8.02604940354786
TMSB10	11.9431803132471
CXCL3	3.90221058833426
LMAN1	4.05827535460694
SUHW1	3.56764198957846
CHD8	4.84631150527734
SUMO1	8.29068501433749
GP1BA	3.19300520765691
OR7A10	3.77290893679158
DDB1	7.5063879756947
CHRNA10	3.76192582384174
STYK1	3.26001099535335
MYO9B	4.76436715928538
CCNI	10.5927263102354
MMP7	5.48106401481698
EP300	5.70944598186503
CRNKL1	6.418008791381
C9orf45	3.29173405773437
XAB2	3.97756135794026
RTN1	3.72736200643966
HIC2	3.74230470690474
TBX10	3.36410499121898
CENPQ	4.47755941860513
UTY	3.15104643240422
OR2W1	2.8409144649816
ATP5G2	10.7189296704949
ZEB1	3.26317132619017
ZG16	3.40465941721425
ERG	3.67654509542219
PARN	7.22044135990595
SOD2	4.69644578490169
JOSD3	9.01831871294426
ADAM5P	3.27447754510227
CHD9	6.00030798805055
hCG_40738	3.98932415798708
STK16	5.77192323190054
PDE1C	3.68665621818235
SEMA4D	4.56639785359421
AGPAT1	6.75224536713195
TOB2	5.96937027167801
BANK1	4.02729437307108
MAP3K3	4.68384681685807
MAX	5.15665559104593
GRM2	3.79711468899719
OSBPL8	7.11332471804662
PROSC	6.14255443260593
NR4A2	4.99550839569447
RICS	4.94704758395482
PIR	3.58790281349054
PPCS	9.18248498215874
IPO9	6.52906780248675
LONP1	6.5218148709435
EVC	4.49110590195997
CXCL13	4.05915794027193
SCYL3	5.44366192766397
KIAA1199	5.77772205723939
SORL1	7.68384478272134
NAT10	6.39291101751455
CHD1	6.43696755269835
SYN3	3.58897180221709
DMC1	3.91033814197046
SLC22A2	3.47413209135540
SERPINF1	7.15889531905791
C20orf27	6.55599657814904
OR7A17	3.16530281356881
RPS6KA5	4.45665608985307
LHB	3.51801796259633
TAOK3	4.43809180952645
STK25	6.51480794444134
SLC12A4	3.62622314931281
BRCA1	4.03940421526022
GBL	6.70474734656517
C14orf108	8.20043498806731
CDC25B	6.39836415707748
BMP3	3.3566537239036
MAP1LC3C	3.30844083159639
TMEM180	3.78620251273075
CRYGC	3.59859072897011
SLK	5.4909136582445
POU3F1	3.30668016838183
C20orf32	3.90990983428242
USP52	6.67375440502751
HIGD1B	3.88147930112936
BAZ1B	6.04233185617614
USP6NL	5.69100524315344
SLCO2B1	4.25874155839262
ABCD4	4.53409730690787
DIMT1L	6.05457914730796
SLC25A46	7.9302160401012
LARP7	7.49217751849744
TEK	3.4735094389912
CD160	3.55822765644124
TERF2IP	6.66930410468193
PHF20	6.16832107900928
COL1A1	8.93611103958076
KIAA0090	5.3018005182092
