Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C02
Composite Element REF	Signal
AACS	6.02325131101966
FSTL1	9.67093043642081
ELMO2	5.74341224794127
CREB3L1	4.16920157572072
RPS11	10.0393618753745
PNMA1	7.7371132165208
MMP2	9.01529049368454
SAMD4A	4.15434346024345
SMARCD3	5.78406596923837
A4GNT	3.57463810274767
C9orf39	3.88850014799372
PKNOX2	3.95015040387339
RALYL	3.21796464762153
ZHX3	4.67577380638099
ERCC5	6.7393189417198
RXFP3	2.93607886039828
APBB2	5.60750043072161
BBOX1	4.20065813542623
PRO0478	3.10292497570724
GCSH	8.24167030560837
XDH	3.34741591452551
EDN1	4.43661929096978
MTERF	6.3028582431406
PDCL3	6.80404522891534
CLK4	7.15645207341693
KCNG1	3.95267682601056
CXCR4	6.66679145383653
DECR1	7.44295108678714
SALL1	4.19986551404859
PTPRR	3.32158587762026
CADM4	3.53719351260573
IRAK1	8.05162583534805
CFHR5	3.09031646690929
HNRPD	7.88383605725659
TMSB10	11.8851349825663
CXCL3	4.11904480299033
LMAN1	3.9368548258143
SUHW1	3.23239618662344
CHD8	6.0837755192088
SUMO1	7.36570142554321
GP1BA	3.07951050024923
OR7A10	3.6098659906207
DDB1	7.0877112842046
CHRNA10	3.80999886862606
STYK1	3.38741956957661
MYO9B	4.48733957812034
CCNI	10.3643398796521
MMP7	6.70258457229201
EP300	6.72224584903153
CRNKL1	6.13511383237462
C9orf45	3.28126532294294
XAB2	4.46711419846411
RTN1	5.25653178510596
HIC2	4.3481073131214
TBX10	3.51831386048021
CENPQ	4.51356966629805
UTY	3.27708899639351
OR2W1	3.00850880984202
ATP5G2	10.2771555597730
ZEB1	4.30151475481656
ZG16	3.31051570976067
ERG	4.09715962362963
PARN	7.00917646925153
SOD2	5.73773865540343
JOSD3	8.36081855805738
ADAM5P	3.14211625240938
CHD9	6.72588222165886
hCG_40738	3.87628330055875
STK16	4.84622024503859
PDE1C	3.67120392361086
SEMA4D	5.55429479724487
AGPAT1	7.3511930761808
TOB2	6.90369524505947
BANK1	3.59541821435086
MAP3K3	5.82042820310242
MAX	5.2449196440254
GRM2	3.50487607385401
OSBPL8	7.58221286055342
PROSC	5.55119579660085
NR4A2	5.94009875355069
RICS	4.58822567529543
PIR	3.32740393633612
PPCS	8.19947690314975
IPO9	6.8613252978953
LONP1	7.71232201371558
EVC	4.49486559210668
CXCL13	4.20851896489605
SCYL3	5.23183157681257
KIAA1199	7.50777359390452
SORL1	5.61854211087507
NAT10	6.30126857338794
CHD1	6.93112189590034
SYN3	3.57767360971492
DMC1	3.93725643852949
SLC22A2	3.65853304425312
SERPINF1	8.80219595879883
C20orf27	5.76134883350237
OR7A17	3.17601240341313
RPS6KA5	4.50691369916529
LHB	3.71191972264229
TAOK3	4.87830588508933
STK25	5.6102458284909
SLC12A4	3.67165681324665
BRCA1	4.02640625607046
GBL	5.19784674213627
C14orf108	8.0195109845257
CDC25B	7.9691438992127
BMP3	3.22092308893494
MAP1LC3C	3.39106064873218
TMEM180	3.31299440439046
CRYGC	3.64669570269101
SLK	5.65867642166871
POU3F1	3.12721129144389
C20orf32	3.63861356005221
USP52	7.03686094960556
HIGD1B	4.30983907589355
BAZ1B	6.9104805169631
USP6NL	5.61542702301307
SLCO2B1	4.4310075749765
ABCD4	4.76054829321584
DIMT1L	5.64695482140116
SLC25A46	6.59304775246601
LARP7	6.44381239887058
TEK	3.89429923638356
CD160	3.51975801329618
TERF2IP	7.53731771096732
PHF20	6.40807352233364
COL1A1	9.97899152739707
KIAA0090	5.74410684044116
GTPBP1	4.34434521793878
GRK5	4.41548944188519
AP1S2	6.13844508723595
RAB33B	4.37613029226158
CA11	5.06239699757812
ALDOC	4.16692985501038
NUDT1	5.34608935600442
ZNF212	5.78340954058614
ACBD3	7.917574400833
ZNF83	6.20506924127342
PRDM2	5.17187862399958
GDPD5	4.52873810080662
PDCD4	5.83292622058428
CEP350	6.25111930913162
FOXP3	3.15981222164241
SMYD3	7.10707656375685
CST7	4.21310466473931
SELL	4.72837125124753
CIAO1	6.29130070301485
LGI2	4.38596769439808
WDR45	6.51425113377237
ANKRD6	5.98013225422468
LTBP4	5.35118754841445
PSCD3	3.25517973999658
PYY	3.01234969206868
KCNC1	3.11577648910767
