Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C08_472024
Composite Element REF	Signal
AACS	6.99606854215087
FSTL1	7.4693624729069
ELMO2	5.13999639924219
CREB3L1	3.79904916100385
RPS11	9.54060271299089
PNMA1	7.62873531972556
MMP2	6.8684679363116
SAMD4A	4.01922336110929
SMARCD3	5.90635033135152
A4GNT	3.69850046193285
C9orf39	3.0918730934795
PKNOX2	3.94943748847492
RALYL	3.15712022574289
ZHX3	4.30951382361717
ERCC5	6.0930285380325
RXFP3	3.27665420095651
APBB2	3.68984957065983
BBOX1	4.76790175327796
PRO0478	2.99251372531473
GCSH	6.58490333747617
XDH	5.2493318013037
EDN1	4.89283062302511
MTERF	5.76664233449761
PDCL3	7.40047062546979
CLK4	6.38800230275485
KCNG1	3.57475092088261
CXCR4	7.39947938420183
DECR1	7.91494994306284
SALL1	3.19264499195107
PTPRR	3.20808220774752
CADM4	3.45272750429583
IRAK1	9.54014873641283
CFHR5	3.23150216784673
HNRPD	7.77516315469448
TMSB10	11.3244067797036
CXCL3	3.97931641982801
LMAN1	5.0386218145181
SUHW1	3.51507934935148
CHD8	6.25659052216515
SUMO1	8.00872131152564
GP1BA	3.43768147413602
OR7A10	3.63610150486811
DDB1	7.65634564423157
CHRNA10	3.59621239546075
STYK1	3.32524135118735
MYO9B	4.02584231092565
CCNI	10.5690997584246
MMP7	9.3389534102138
EP300	4.01428546292528
CRNKL1	6.17020794248355
C9orf45	3.45663202837466
XAB2	3.64873268644493
RTN1	4.76212327438962
HIC2	3.94575190708807
TBX10	3.58305452529842
CENPQ	4.23981351629532
UTY	3.25186665249345
OR2W1	3.09170299740368
ATP5G2	10.6332924911559
ZEB1	3.82021354116741
ZG16	3.37819746935486
ERG	3.58490150291816
PARN	7.06503773156983
SOD2	5.91626873774053
JOSD3	8.02358872235152
ADAM5P	3.24427047770527
CHD9	6.03287490557162
hCG_40738	4.01338895819318
STK16	5.34713309702794
PDE1C	3.6225705585579
SEMA4D	5.85452962607537
AGPAT1	6.27115750984285
TOB2	6.17117572846522
BANK1	4.020988752864
MAP3K3	5.15016563065603
MAX	6.04389638868037
GRM2	3.61671159635021
OSBPL8	7.59844727392821
PROSC	5.84109467598667
NR4A2	4.09414632352666
RICS	4.8458517015771
PIR	4.10642907448252
PPCS	9.1511469506033
IPO9	5.60785967623448
LONP1	5.67664591588515
EVC	4.25183126607312
CXCL13	4.43931247649755
SCYL3	5.08565836385182
KIAA1199	5.03742714040708
SORL1	11.2298057441422
NAT10	7.61181302430825
CHD1	5.73424663647239
SYN3	3.51574073762215
DMC1	3.84012490042441
SLC22A2	3.55020919679976
SERPINF1	7.15156195930253
C20orf27	6.12747203363481
OR7A17	3.08199046844311
RPS6KA5	4.37086084634046
LHB	3.51512195107349
