Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A09_451970
Composite Element REF	Signal
AACS	7.2054641049209
FSTL1	6.70185203608472
ELMO2	5.58185820144848
CREB3L1	3.59473634238225
RPS11	9.75307552757172
PNMA1	7.05610399412251
MMP2	4.83086167990566
SAMD4A	3.58993545481527
SMARCD3	5.00805395446914
A4GNT	3.4250196711332
C9orf39	3.34345249981821
PKNOX2	3.80466329200809
RALYL	2.92336221734911
ZHX3	4.11322725372966
ERCC5	6.86755673705742
RXFP3	3.15319822167516
APBB2	3.49804912538336
BBOX1	4.01229563725071
PRO0478	3.23701238860461
GCSH	7.56776394236643
XDH	3.77905623488917
EDN1	5.22266137713067
MTERF	7.00144427506284
PDCL3	7.33547213731447
CLK4	6.28798877569537
KCNG1	3.63940684508641
CXCR4	7.92461735591974
DECR1	7.7068926594758
SALL1	3.23375760368055
PTPRR	3.61022757692625
CADM4	3.33281769792527
IRAK1	8.597188619703
CFHR5	3.39122850917218
HNRPD	7.95503019629738
TMSB10	11.4324097479442
CXCL3	4.56734733416584
LMAN1	3.96391692456984
SUHW1	3.50120292720265
CHD8	6.00534733738815
SUMO1	7.73924095240965
GP1BA	3.25106251659162
OR7A10	3.73035206904698
DDB1	7.46174121577164
CHRNA10	3.53292088949092
STYK1	3.54001591031463
MYO9B	4.43507963035678
CCNI	9.61190631773707
MMP7	9.19825962667852
EP300	6.03048815269817
CRNKL1	5.54139762607085
C9orf45	3.14067939068953
XAB2	4.14083585428466
RTN1	4.48011172756666
HIC2	3.71252437662584
TBX10	3.62799712917882
CENPQ	4.68504314167854
UTY	3.05824479707061
OR2W1	2.78183793364327
ATP5G2	10.3339401243068
ZEB1	3.20495689348389
ZG16	3.47039909117955
ERG	3.70506640358996
PARN	7.37876674357245
SOD2	6.98028124352061
JOSD3	7.98173397602554
ADAM5P	3.24707437211889
CHD9	5.34193369151696
hCG_40738	3.82512940396867
STK16	5.21368792106788
PDE1C	3.48162331068148
SEMA4D	6.04861308912081
AGPAT1	6.60014737199852
TOB2	5.71263656665154
BANK1	4.07826826408091
MAP3K3	5.44471514940761
MAX	4.65316893570308
GRM2	3.82734677502080
OSBPL8	6.32396678076316
PROSC	6.25351686180073
NR4A2	6.08983643337764
RICS	3.60331551542219
PIR	5.48430208912961
PPCS	8.52532556920691
IPO9	6.1018655778214
LONP1	7.19187912189461
EVC	3.81249325068091
CXCL13	6.20778292150329
SCYL3	5.2053920619267
KIAA1199	3.3186651301067
SORL1	7.59093545941426
NAT10	7.32753688315704
CHD1	6.23213250502915
SYN3	3.69005073956220
DMC1	3.85756238793483
SLC22A2	3.57635632385393
SERPINF1	6.48025967777619
C20orf27	5.97788220658257
OR7A17	3.33871557557764
RPS6KA5	3.86294594307981
LHB	3.63227782430465
TAOK3	4.92023726140439
STK25	6.43076568761881
SLC12A4	3.81233371975169
BRCA1	4.31247958984967
GBL	5.57062136872606
C14orf108	7.18725948397412
CDC25B	7.90037164324992
BMP3	3.2963163554474
MAP1LC3C	3.20861272986453
TMEM180	3.85058422345142
CRYGC	3.62401585430277
SLK	6.40137147105558
POU3F1	3.4944828123884
C20orf32	4.02159475295492
USP52	5.11875180515595
HIGD1B	3.74337238833743
BAZ1B	6.64603929471749
USP6NL	5.65850438885143
SLCO2B1	4.47336129038418
ABCD4	4.41158559372272
DIMT1L	5.82285602159937
SLC25A46	7.9560393192939
LARP7	6.74295605676079
TEK	3.32575012323417
CD160	3.68448325374449
TERF2IP	7.38010800872932
PHF20	5.76099733248118
COL1A1	6.55799065057849
KIAA0090	6.33513311813035
GTPBP1	4.33175520908295
GRK5	3.58966566039361
AP1S2	5.70923813745847
RAB33B	3.67156741282154
CA11	4.07398935953216
ALDOC	5.23208345288659
NUDT1	6.09300548013171
ZNF212	5.31103995906582
ACBD3	6.87305259901378
ZNF83	5.9483265901889
PRDM2	4.4105841074094
GDPD5	4.40365219960233
PDCD4	5.3923098227635
CEP350	6.08239596446196
FOXP3	3.47814081705701
SMYD3	5.81629883710617
CST7	4.72922947271162
SELL	4.26916121575122
CIAO1	6.27120995410984
LGI2	3.75175999248519
WDR45	6.56565366872486
ANKRD6	4.73604460833674
LTBP4	4.21105442556602
PSCD3	3.48080141590971
PYY	3.05730496070116
KCNC1	3.11560029882981
SIRT6	4.08194204824072
CCL19	3.63118938114693
ARHGEF9	3.85528397017602
ABR	4.49074611243570
C10orf22	5.48916184917748
STK17A	4.33875800521287
FOXE1	3.28461614104838
GML	3.28170212655605
CNGA3	3.05837379502555
CD38	4.88919961431138
ZDHHC6	7.8820866277535
NEFH	6.32297144583446
PGBD5	3.95363591537256
CTDSP2	7.3453726233155
RMND5B	5.68377272960717
ZNF257	4.34702046831595
DUSP4	3.7763644542526
FLJ22167	5.37528394923319
EXOSC7	6.48427590255293
ROR2	3.77009038740464
FOXM1	6.00595172079755
ZBTB48	4.71208424301364
BUD31	8.10966409697694
MAOA	4.20828884281038
CCDC41	4.52771180059926
TNNT3	4.18516247689728
FBXO11	5.39589859969165
GYPC	6.39761784313374
PLIN	3.50222020417798
RFXAP	3.49178338434429
C6orf15	3.74592128797926
RNF4	8.67806440234999
F8A1	7.59380381143627
PPP1R3D	4.14016932323535
GRB2	7.87501313717014
TPM3	3.3397786601692
SYT13	3.37463914940065
EPB42	3.49407367752619
RP5-1077B9.4	5.44833236148672
EIF1	9.91128847593414
CETN3	7.68120923853292
FPGT	5.23474932380909
PRY	3.47957614424104
NTHL1	6.4653469353353
POLR2B	8.65957612737354
RPS28	11.9047299771101
GDF10	2.99043779006236
COQ9	7.44730889710414
P2RX3	2.99417144480481
GCC2	6.27481377722357
RARRES3	7.69765079942501
PLXNA1	5.39284565676558
WBP4	4.52867956671098
KIAA0100	5.2818297325808
PMF1	6.65021613038157
HS2ST1	4.87338008807773
CRELD2	7.70157277105386
C8G	3.32794345992686
CD82	6.6834902638265
PMM1	4.81000710865484
CBLL1	4.97540106498303
LIM2	3.41127162891763
VAX2	3.86612894553375
SETDB1	5.29926783871877
LRAP	6.32586469914292
GCLM	6.42534423392246
CPEB3	3.51271129161416
PPM1A	4.98430849437023
INTS1	4.13805863947451
MMP16	3.12041650820069
CAMTA1	3.57228816451741
SAMSN1	6.1290680520998
DRD3	2.79231062689083
GMPPA	6.00685696560543
C11orf73	5.75971846147325
AIPL1	3.82540195762794
PTP4A2	9.14621361494988
IL24	3.47536026151628
BDKRB1	3.06659164139234
HPCA	3.64958237223681
MLF1	5.83596836705582
SEC14L1	5.42988595249705
CHFR	5.91689748723991
EMILIN1	3.68608017374663
THADA	6.15044054190829
