Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_F02_491266
Composite Element REF	Signal
ACADL	3.33867708864331
OFD1	7.32582545620354
CGA	3.41765772484694
EIF3EIP	10.3122692079617
PEX16	5.34054707335391
GNG12	7.45961872362797
HABP4	5.20754240522546
CNTN2	3.39825141246705
ASNSD1	7.07334204718495
FUT4	4.28980910296497
DBH	3.53369664138360
CD53	9.11784345051612
HIST1H2BJ	3.26227352595961
TFAP2B	3.17718196731900
ACF	3.6289166109429
TMEM11	6.29416750232116
CDH8	3.29665229737527
C3orf32	3.396522994734
AGPS	5.14511011572506
C4orf18	3.34187995671968
PCCB	8.11137051784216
IPO13	5.03917258582871
PECI	8.91656314797873
UNG	7.67737716442733
C6orf105	3.77663975136991
GSTP1	8.75116328793782
SUV420H1	6.8357083061255
ARHGAP15	4.79387682471175
LTBR	6.6646866357193
TDRKH	3.30263083635902
PSG4	3.47978063400854
SLC9A3R1	6.37108506317738
NBPF3	8.64771576160125
SLC9A3	3.53149152521428
OSBP	6.09588824485502
PRR5	5.79152013342468
CHMP7	5.26688331231025
ADRA1A	2.99136302672981
ASAH1	7.05182129610848
FKBP4	7.48261004989161
ZNF350	4.78856391686694
DOM3Z	6.02839561463752
GIPR	3.67529119123906
AHI1	4.88737151935554
BST1	4.40934794388106
NCR2	3.47845043836378
NADSYN1	3.99908467600188
UBE2W	5.86129055458608
RGS14	3.67791552141189
KRT15	4.23012615662714
SCN11A	3.762997836845
GFI1	3.95849616435291
FHL1	5.33696303940795
SMC6	6.39781862100999
GATA1	3.33230608523937
OSGEP	4.78361486272981
ARMC6	4.96597676030834
HK3	3.90627756507674
PSMD5	6.91525410671733
RSU1	7.55684923001379
RPL4	11.0299012070137
MAD2L1	8.72721178989788
RBPMS	4.5048992228244
EIF4A3	9.6205891174283
E4F1	4.62592573215059
DLEC1	3.4460529415413
PRPF3	5.52263013733963
EMR1	3.18985984080721
CHMP2B	7.06371220944203
CAMSAP1	4.53873231986542
RPS21	9.49522289171816
XCR1	3.20419111398261
ARID5A	4.1329212343733
RBM6	5.60470897134217
UBE2N	7.87650711058752
KLF4	5.45037006615178
MGC4172	4.95903468137196
LMO4	7.30337176336186
KLKB1	3.07921652444568
HDAC3	6.42666542663442
HP	3.39729703661621
SCHIP1	6.37007355068486
BTK	4.99571609353026
KRCC1	6.67522043287979
PRND	2.93613225228059
C6orf27	3.41322981848944
PIGL	3.53750043377562
CLCA1	3.76814029654648
C1orf112	5.18773777252921
OLFML2A	5.06809023458132
HUS1	4.8954244021014
SFRS6	7.7346124669427
CXCR7	7.548395089553
UIMC1	5.64104791221722
FXYD2	3.41102938449861
GOT2	7.90091424275049
ZNF667	3.93624379359132
TFEC	5.67191558977058
ATP7B	4.58421532929435
RAB38	5.41006880126456
POLD2	6.52297787448669
PPM1H	6.09287744564262
DCX	3.25232558628477
NFYC	7.71949233160728
ZNF228	4.93894843322095
KIN	5.91530736296089
PLSCR4	6.19760711296984
HIST1H4I	4.16770617216625
PPARGC1A	2.99680748196305
HIG2	7.91763012072375
KCNK10	4.12651842669123
EXOC1	7.63124634331271
OR6A2	3.80507843524345
ETFA	8.32862275064623
PDAP1	4.83144255816317
C19orf6	3.40662036850914
POLRMT	4.46525911328172
ZNF146	7.99968970993216
MIA2	3.26816860114095
LY6G6E	3.16693874007113
EIF4E2	8.63069239355778
NENF	5.15671653274099
HOXB5	4.4848206821291
ZNF324	4.85171216071698
CUGBP1	4.82018548860934
ENTPD7	5.23019316296415
TTC13	6.27458546069423
GJB5	3.10984611364641
PRSS22	4.06340133565711
CYP3A5	3.21529806822817
MBOAT5	4.94542356391133
CUL4B	5.083904688513
CENPJ	3.3663641065267
KIAA0664	6.10154438479693
PITX1	3.25038574743198
PDGFRB	5.37721622416685
RDX	7.72163201155735
CELSR3	4.11077894718047
JUND	6.91797122157145
ITSN1	4.99641426689556
CHRNB1	4.70258700288969
EHBP1L1	3.93486631485207
C19orf2	7.86129348933937
FETUB	3.12786416035618
CAMK2B	3.00553700536095
DCTN1	4.69901393913855
TNKS2	7.23880545108338
MRTO4	7.28790031215064
C1QBP	6.92917405388423
TTC3	8.17539513184254
NDUFB8	8.66934887576796
CADPS2	5.49146902706122
EDG2	4.9874368153128
MYF5	2.87382716713062
SEMA3G	4.22728689260991
IL23A	3.6908501273469
GJA9	3.67448701250980
R3HDM2	6.91888934428905
C5	3.8101046120887
SLC2A10	7.03623248248789
TRIM45	4.69639781385194
TSP50	4.82363594835305
PAQR3	6.52501855660781
ANKRD26	3.38648589092562
TCP1	8.58827154738613
TMED7	7.1245503194773
CMA1	2.90443415258600
PTCRA	4.19536274473224
HCRTR1	3.95728575854953
FST	4.34032743264671
PAWR	4.0678552897929
LDLR	4.15577048920648
ASTN2	4.1942132445799
SCRN1	6.5388058373409
GPATCH8	6.39427675941724
KIF4A	5.81725869605503
TANC2	4.02268731612037
ZMYM5	3.59973626725501
PGM1	9.64300103125736
ZNF586	6.37557787277043
POLR3G	3.53255128621036
CPD	6.08780725103697
SNCAIP	5.00784032815431
DCT	3.4041336723674
HLA-DOA	3.70231591317023
TANK	6.2197130001915
RCAN1	4.27395889736238
UPK1B	5.52683458568333
DNAJB4	4.39245408518562
UGT1A8	3.10826776603859
LIMD2	3.83541793447902
HIST1H4L	3.79501180103289
PECR	4.0493714776713
HSPA2	6.17335049489382
SERP1	9.93272190355505
TACR2	3.74601870815274
NUP85	7.22211727199653
CD177	3.53982262235744
GPR135	3.10849845476104
PIGG	8.13523331860932
LGR5	3.93805726415042
JAK2	4.42746017066467
DPYSL4	3.69399658749614
TM9SF4	5.79131951082596
PTHR1	3.29518079971595
SIRPG	3.74391594556054
ZNF264	5.35580474420933
BICD1	5.67111730334141
RAB5A	6.93877636229421
FLJ13224	3.04048772692214
METTL5	9.0565442827146
HERC6	7.80015420023343
CASP1	7.05761632453011
USP9Y	2.88830104784647
LRP1B	2.83201895180068
XAF1	7.62404654206521
PLA2G4C	4.3754067229547
APOA2	3.0560388160241
SPAG6	5.0922751763751
KALRN	3.27511852206306
SECTM1	5.92478595999807
THOC7	8.58460725548586
IFNAR1	4.72255157548589
TCTA	6.39405520224535
NY-REN-7	3.59415395144462
TALDO1	8.85130669677048
B2M	12.5173370709349
LPPR4	4.31891952884615
SQLE	5.68053648144592
SEPHS1	7.15926421372241
EIF5A	6.58653494077316
FAM49A	4.83118042339408
YTHDC2	4.33794060725814
EHD2	4.59266849092572
NCF1	4.93075123143866
SPG7	5.96131243846884
ZNF614	3.76503807615014
HOXA5	3.38378759970063
NUP133	7.93208144640512
FGF12	3.57065576106905
SLMO2	8.59729559573207
INPP5B	5.02474182282937
PPID	7.55542501583601
SNTA1	4.40783838859922
IL20RA	3.73698898361712
UBE2J1	6.80060766948791
CACNG2	3.33072735574044
GCM1	3.44337662151748
ELF1	6.59856290230593
TLR5	4.27404836211648
TCFL5	8.1183223370265
C1orf107	6.28959257469007
C19orf22	7.38032933971788
SAFB2	5.56476341873818
MAP3K7IP1	3.77385443948761
NCK2	8.42271861335248
OXA1L	7.597081976829
KIAA0652	6.25443915749461
KLRG1	3.50301494223132
FRAG1	6.38050096348011
ZSCAN12	3.12160829111224
PSMD12	8.10625685155092
E2F4	5.17747428624611
CLEC4M	3.30659965735035
KIAA0999	5.14046642941997
CLDN10	4.86984015063914
MGC13053	4.00283887439865
TAC1	2.61298769852774
GYPA	3.42105909842572
HPCAL4	3.41516523373788
TRAIP	4.14582395754236
MEX3D	4.22056136444139
KIAA0232	7.05984415102628
ERCC8	4.88607767793002
NFAT5	5.03231567008568
GPX4	10.2008297752675
CSPG4LYP1	3.21537539543554
KIAA0368	5.5510359294113
FBXO3	5.56331417861306
DVL1	5.91768219684601
CMKLR1	3.79449182180535
GPR157	3.09553223820814
TYMS	9.26397919839727
OR52A1	3.06574695059655
PEF1	6.50283920771715
ZNF750	2.96213445406639
ALG9	6.04257483470659
MCM5	5.93150842572103
SDK2	3.62251716262734
BAIAP3	3.99456967366136
RABGGTB	6.27542036067259
KCNK7	3.17378813484775
PTP4A3	4.95243866482791
ANKRD40	5.08423080577063
CALCOCO2	7.5386577330909
TMSL8	8.3293056913243
SNCA	4.27525580677412
ZNF551	4.18029875718967
HBQ1	3.26285745349832
ARHGAP26	3.66220091778943
GEMIN6	6.47717177179591
HRAS	5.88008055378394
KLRC4	2.77491652295998
BSDC1	5.84937904212487
DSC1	3.47136227473468
RNF43	5.6960028411092
NDUFAF1	6.20587928883429
MAP2K4	6.01364520792934
FOLR2	5.51793076682203
LYZL6	3.74379537816797
EPB41L3	4.46673655255103
TEKT2	4.66420680838909
CDKN2B	3.1258132499619
WSB1	6.4458381852176
ZNF480	3.55383351109116
MAP3K6	4.17103321407989
PROS1	6.35636236749543
PSMB8	9.20539116696005
HN1	8.43663479364443
MAS1	3.15511746539066
APOL1	6.12843744006765
CSHL1	3.37987091566446
ZBTB7C	2.75229325239245
AHCTF1	6.63685237327704
SAE2	9.90210834814689
ITGA2	3.79019495148250
AP2S1	9.41365981960126
P15RS	7.64476848248966
MME	4.75029092585689
VAT1	7.85775941701497
MAST4	4.70324406516248
TUFM	9.08134754968583
KRT33B	3.36766043143374
THEG	3.90356433441643
KCTD2	5.58437855878747
WDR26	9.91372123546204
MFI2	3.31299357374574
KRT34	3.09462621390422
NR4A3	3.65255419773631
SGSM3	4.58527364111049
ARSA	4.18745719177491
TOMM22	5.82147115734589
SOCS3	3.57140558823265
UNKL	4.40258404084453
POP4	8.72975525729028
BHLHB3	8.43615781951628
MALL	4.73370811080685
SOX15	3.236880902039
CCNA2	7.0345723014778
PARK2	3.26818930840547
GPR124	4.57497883971645
TMEM132A	4.64086747735777
CGRRF1	6.34914527530094
RUVBL2	8.02922655613808
MCAT	6.12392972399675
WNT10B	3.5994965628444
ISCA1	7.43862106121877
RPAP1	4.78422316409465
C12orf48	5.39538861164873
RAI16	4.65680693042758
RPL27	9.29111489954917
EPN1	3.49496859328546
MAGI1	3.01645738447097
GBX2	3.60306077994672
SLC35A1	7.61730804926
GAL	3.77022037373549
SLC14A2	3.7789626240131
RDH11	7.57334867056443
ZNF518	4.65585670316323
PCYT1B	3.30584202178920
AUH	7.04335092287825
EIF3H	10.3348808808873
KIF1B	5.9645607684675
MBD2	4.73643279673261
AMOTL2	8.41816595190304
C6orf120	7.09646487933388
PIGT	8.42280085263401
PSRC1	6.18462613448168
PLA2G10	3.63565092900378
ALAS1	7.1908041409772
FOXO1	6.87531880591195
C17orf62	6.82197128977911
KIF5C	6.21154152656973
DUSP10	4.98858284778146
CRLF3	7.74303559236222
CLCNKB	3.418578786765
PSMA5	9.54192433235284
FARS2	5.53905536630747
CCDC28A	6.83379953373635
AMPD3	4.66994925803075
PIAS1	6.92976994074945
ADCYAP1R1	3.57262679717354
TMEM134	6.76119308365672
CDH20	3.1750696408644
FBXO7	8.15210144697045
FLJ14213	3.93697026386562
ZNF3	5.86831419413181
LRRFIP1	7.00365498506799
TMEM49	9.06774256177644
CNOT2	8.23607362422933
CBX2	2.99494017898692
ZC3H14	6.20110627148963
ALDH5A1	6.05501212069279
HNT	3.68270800115805
SERPINA4	3.09424911307993
FLJ20920	6.2597464239036
CRTAP	5.483635105383
DDX50	7.90030705202708
STYXL1	7.54826384381292
TK2	4.48485128300179
BLVRB	7.00796057167705
STMN1	7.61456978026129
GUCA2A	3.10099174622438
DPP6	2.90899971597837
GALNT10	4.5314983073048
STK39	4.9342602897007
MMP24	4.72059027809752
CKS2	10.1623627451373
RHO	3.53616657036383
BANF1	9.04781986237326
CR1	2.87718310768782
RPS6KA2	4.96553119205636
HMBS	7.33712519652352
C20orf112	3.58052104104538
SLC25A24	6.88978235225561
MRPL22	7.74859160224727
SLC25A15	5.61210830153474
GADD45B	4.66812149369409
TDP1	6.26609994767862
ZNF287	3.72752051675584
DAAM2	4.95081163022376
C11orf57	6.00693005213842
RFK	7.46614082828217
ZFYVE9	4.0245697111703
TCTN3	7.93086724909968
STCH	7.47278341498126
LOC283871	3.43427456410253
NDUFB3	8.09660369411681
DEFB4	3.54235283345193
FPR1	3.60376351430323
FMNL1	4.20881274143189
SEPT7	9.59655000903796
PTCD2	4.5770983529876
GNLY	5.42872819359463
GRAMD1C	3.98319446907178
ZNF165	5.38260898786977
TR2IT1	4.19379213306458
ARMCX3	7.42630199846427
NDE1	4.95377559057917
MAGEF1	7.51639557057314
ITGA10	3.48366487044907
ARHGDIB	8.69165641970305
FSHB	3.50155161515052
ANXA2	11.4771564515543
HLCS	3.89251622848283
MCF2L	4.32598159835643
AK1	6.52114511693377
FH	6.97738378636275
LGALS2	3.32184499047696
SYNPO2L	2.62005746824625
KIAA1045	3.26485232048959
C1orf183	4.29828957679259
MAGEA8	3.07747145857156
DGCR8	4.93286569022075
GSR	4.43382965723241
NEU2	3.42479458610484
HIST1H4B	3.62691903747204
CACNA1C	3.1025285735584
FAM20B	6.09836980229134
HES2	3.0695707203407
PDCD6	8.64980107327356
INTS7	6.31814461047307
AMPH	4.17159936977364
UCKL1	6.82272058008645
ASB4	3.02679171974371
C10orf97	5.43871889440439
ALDH1L1	3.72527908433672
CCL23	3.43267684396005
OBSL1	5.02128212529843
SLC12A7	7.22955713715098
THAP4	6.1578989091261
RBM4B	6.00452275435795
OGFRL1	5.07528637832707
KIAA0831	6.36506140797033
C12orf11	7.34556754056447
PPP1R15A	4.33540902880072
KIAA0240	5.49794220327305
CD1B	3.42463084254581
FCGR2A	6.88419539795879
MDC1	5.0597611563508
MAN1A1	4.39293721337629
KRT9	3.3571930279738
HTR1A	3.31786068675573
OCEL1	5.13756030817676
ATP11B	6.27749599266047
NLGN4X	4.88305323088217
FBXO34	7.0640142968063
ALOX12	3.44667594534735
RB1CC1	6.95693194519218
PCDH12	4.34722124686052
RPE	4.85273427421458
EIF4E	7.23627993908699
CSDC2	4.02194508653984
ABHD5	5.15943838547517
TMBIM1	6.26740722432479
PET112L	4.85060415663009
P2RXL1	3.32421736170505
F2RL2	3.05459487901737
TRMT1	4.49859031221253
IMPG2	3.47886118895511
LRRC32	5.00823300676258
BGLAP	4.36626844625563
HTR4	3.50234550736868
MRAS	6.3692364282379
TRAF6	5.1735607921241
AXL	6.03589432500728
ATP2C2	3.57240706509196
LMNB1	5.31432074907619
TELO2	4.21419503779966
PNPLA3	3.69185084233545
CSNK1E	6.55064217211117
SRP14	10.5971053980078
KCNQ4	3.05706081371408
PIK3C2B	6.66304053828438
C15orf15	8.44536891790181
TUBB2B	6.13496865033
USP15	6.16384082049483
C12orf41	8.38615338753343
CEND1	3.55354715367097
RNF31	5.26235826960968
TCEAL2	7.97401023236248
PTGER2	4.94722330941333
UBN1	6.60788427727259
SLC5A7	3.37963669183897
SLC31A1	6.80133458189145
ADAM29	3.56555884645482
ST7L	4.33302292025793
GFOD1	5.27199539240889
CTNNA1	8.36218169028448
HRBL	3.50083750414074
CBX4	4.13082944204503
NTRK2	3.44066630983491
FOXN3	5.39784407524685
MFGE8	5.90785585202197
PFKFB2	3.92992160473037
TAS2R4	3.5163605815081
SH3TC2	3.2860193193682
IL10	4.04650223223703
PXMP4	6.34536314750023
RNF167	6.67124895977578
PRMT5	6.96706606176185
TSKU	5.61650823689868
ATPIF1	8.006490107707
ETV3	3.08465156657724
PAK7	3.0986280993994
PDLIM1	8.26015058679228
CEP63	4.90483644072033
WDFY3	4.64720280242217
RNF126	4.98227520720042
DPM1	9.61488987414851
CLIC4	5.83713146710826
ACR	4.04140030986706
KLK7	7.47433611624685
ALOX5AP	7.5195544336431
LRP1	5.03542687966374
TNK1	5.21995046252841
TAS2R9	3.08029560704237
ZNF16	5.22960172822436
POLR1B	4.96420944020475
SLC8A2	3.80431371905821
OLFM4	2.90165245830962
TACC1	5.12274791376103
SAMHD1	6.72800694950882
ATP13A2	5.11453619194436
KRT4	3.68438790242582
PAX6	3.47309678995471
SCG2	3.73441080131909
SLC17A6	3.40287115452352
TUBB4	4.36874609539591
PADI4	2.91814542771966
FMO3	2.99684790067280
NLK	3.84063214996239
POU4F3	3.26120512834868
MDM2	3.60956675985387
CAPNS1	10.0122659659218
SDF4	7.10431928546278
ITGBL1	3.99175710186289
TAP2	4.58192438352491
OR2C1	3.16441855231977
KLHDC3	7.68987281259154
EFHD2	5.97840088030291
GALR3	3.53930520714786
NBEA	3.62566793586676
ABCA6	3.61645371868194
ABBA-1	3.97252585843601
GNAI1	4.926588366062
CLDN3	8.09684381376296
AKT2	3.31991407997662
EGFR	4.26898652627205
VPS4B	7.48586074784332
RBM16	7.97236966729687
GALNT6	6.64213236194398
ZDHHC3	5.47109616681228
SLC25A4	5.79161611237953
CYB5B	5.69247056260797
NDRG1	7.68085728978263
SESN1	5.09427037896973
GBE1	7.78974963745578
MRPL46	6.12328044028634
CLASP1	5.80185920399853
FARP2	4.46425831179311
ACOT11	3.54044013034935
LDHAL6B	3.04120410059226
MAPKAPK3	5.89176136485247
NCAM2	3.04823856879152
AFAP1	4.28078846598615
PRKD2	6.58996333412401
OR2H2	3.2060012562278
ZFP36L1	7.2983593647633
DZIP1	5.10668369669463
GPR161	4.27593692090747
RNF146	3.98627936740788
NKX3-1	4.09278391200748
CCNB2	8.10225463207404
ZNF10	4.01631114960415
WDR74	5.5392297032039
FAM134A	7.86648083779145
PCNP	8.78866666347144
PURA	5.03281606658199
DNPEP	7.74244750072376
ERBB2	5.81776429102823
CREB1	5.81621972350932
NEO1	6.90194379156832
DDX3Y	3.27065263626789
RPS3A	12.7137049257004
MXRA7	10.1001355160429
LGALS3	10.1356014243377
GLT8D1	7.29851137617221
TMPRSS3	7.87494871343931
UPB1	3.20796250070014
LAT	4.17850286304301
CLDN14	3.60355413345562
DHX38	4.34443827924179
KCNA3	3.681549413382
BTBD1	8.33799217591585
TARS2	5.16652690595491
SKIV2L2	6.91512159592282
ABCF1	8.48037568478597
CDT1	2.98193182409265
ZHX2	6.34401871087224
FCF1	4.8173563938202
LRRC49	5.937060900967
GUCY1B2	3.15701888890230
CD28	3.3366434371418
SMARCA4	6.13772008055771
SEPT2	9.80338590614712
SOHLH2	3.37253710717749
MCOLN3	4.99187393707896
LRP8	4.74440191278741
TAGLN3	3.85282626605847
MASP2	3.47423707864097
GPATCH3	4.30042853292541
TTRAP	9.1534311151368
AGL	7.51073447390588
NFE2L3	6.43268614555428
PSD4	4.91192086166417
PALMD	5.75953368481693
CCNB1IP1	7.33131771932444
TMEM43	6.54367473901549
OBFC1	5.79454903365265
STAT5B	4.27042551383195
C14orf79	4.20911374823826
ENPEP	4.14619916204718
SSB	8.22750974459356
SCT	2.86410668500517
TIMM23	5.8699674761109
SKI	3.66192800110321
SLC22A13	3.01704948414752
AKAP3	3.37233716409239
OAS2	6.42484057958286
KIAA0423	5.95590917241097
SEC61G	9.56517763522822
CAPN11	3.0263731584618
TMEM50B	9.55853492347552
DEGS1	7.53599281180893
ARHGEF4	3.61430668853549
DBNDD1	4.2492973654838
TBL1XR1	5.29634198445322
FAIM	5.686046287904
SP140	3.75657749631597
G6PD	5.64851601765774
NUDC	6.78228529609576
GABRP	3.39638933054265
SCARA3	4.29470922194148
TACSTD2	5.58945056575712
EIF3J	6.90405004142666
PPP2R2A	7.68337257127605
