Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B05_443092
Composite Element REF	Signal
AACS	6.24156644557164
FSTL1	6.50691043138637
ELMO2	4.60662592666565
CREB3L1	3.90987486851126
RPS11	10.4497708177491
PNMA1	7.03276764869933
MMP2	6.60670724571544
SAMD4A	3.86884016569096
SMARCD3	5.92438457562124
A4GNT	3.47432287036091
C9orf39	3.30598615201854
PKNOX2	4.05170764006006
RALYL	3.43551626752401
ZHX3	4.00844691690127
ERCC5	6.99925004674399
RXFP3	3.05039555045815
APBB2	3.97291415941664
BBOX1	4.23119656609239
PRO0478	2.80144885663417
GCSH	7.88177669631709
XDH	3.85658956588793
EDN1	6.37546624986423
MTERF	6.17337977669323
PDCL3	6.95218330881314
CLK4	6.00089162644539
KCNG1	3.81042277665201
CXCR4	7.26044049745651
DECR1	7.1411437400626
SALL1	3.14075239874586
PTPRR	4.10870837177625
CADM4	3.60976771903624
IRAK1	9.66915756158043
CFHR5	3.44870754652599
HNRPD	7.34825147041395
TMSB10	11.9788469424455
CXCL3	5.49868757039281
LMAN1	3.63236414534230
SUHW1	3.56312142633559
CHD8	5.21399814346614
SUMO1	7.76891291803995
GP1BA	3.50797569821941
OR7A10	4.05214363236463
DDB1	7.62745862933781
CHRNA10	3.70205745858191
STYK1	3.54186337753532
MYO9B	4.0379632915348
CCNI	10.0533674559814
MMP7	9.07952563691646
EP300	5.9931154724845
CRNKL1	5.45382209781503
C9orf45	3.23346535264441
XAB2	4.3207961426767
RTN1	3.67700480967497
HIC2	4.16429532022923
TBX10	3.71030848960805
CENPQ	4.0155309231631
UTY	3.10471327665534
OR2W1	3.06993302671416
ATP5G2	10.4580460866894
ZEB1	3.17398632529537
ZG16	3.60784974542135
ERG	3.69518442259788
PARN	7.34303752578475
SOD2	8.81016258132867
JOSD3	8.23052184481782
ADAM5P	3.19166545471243
CHD9	6.37576477540103
hCG_40738	3.44035759705368
STK16	5.13994223918055
PDE1C	3.84729099351851
SEMA4D	5.18029617695851
AGPAT1	6.28982598489558
TOB2	5.61447868091378
BANK1	3.30084128469285
MAP3K3	4.77360355982909
MAX	5.07882592904439
GRM2	3.97858164329317
OSBPL8	6.06808367239715
PROSC	5.72859213380451
NR4A2	6.08354327746505
RICS	4.58162435677766
PIR	6.72467174000363
PPCS	8.8148016825352
IPO9	6.20827916675685
LONP1	6.27689737890274
EVC	4.03765452632699
CXCL13	3.97257537678751
SCYL3	5.2733428765198
KIAA1199	5.17281142060159
SORL1	9.45221295692534
NAT10	7.49992919649451
CHD1	5.58387148897962
SYN3	3.82894502785003
DMC1	3.86054616518644
SLC22A2	3.61754055311366
SERPINF1	5.47631284588985
C20orf27	4.88887504689827
OR7A17	3.2516336639016
RPS6KA5	4.76799739750468
LHB	3.62811564339133
TAOK3	5.07745923420091
STK25	5.01081763859373
SLC12A4	3.75452310771744
BRCA1	3.737385170816
GBL	4.78512455654412
C14orf108	7.25279115813103
CDC25B	5.97760825834319
BMP3	3.4807580350471
MAP1LC3C	3.45023487932673
TMEM180	4.27797535737107
CRYGC	3.89964641541357
SLK	5.9376302843049
POU3F1	3.44936756981379
C20orf32	3.81222921694104
USP52	5.31236477694071
HIGD1B	3.61605845609093
BAZ1B	6.74691579250707
USP6NL	6.15569638455993
SLCO2B1	3.97933561096976
ABCD4	4.33722798189813
DIMT1L	6.11803188644688
SLC25A46	7.08482119871297
LARP7	6.02483378763672
TEK	3.56784017212729
CD160	3.58352400884776
TERF2IP	6.96069948527772
PHF20	6.64102398052965
COL1A1	5.50489910162657
KIAA0090	4.99466349567647
GTPBP1	4.85685538632838
GRK5	3.73358565295882
AP1S2	4.75298144018668
RAB33B	4.71892235633611
CA11	4.9156650590037
ALDOC	5.36160984828838
NUDT1	4.97747200714349
ZNF212	4.91300387641019
ACBD3	7.48462673861483
ZNF83	4.79924357251273
PRDM2	4.28803018829331
GDPD5	4.59468202013656
PDCD4	6.19492889725114
CEP350	6.30711907610909
FOXP3	3.32033865029865
SMYD3	6.28083447419479
CST7	4.19941204959806
SELL	4.95569894443903
CIAO1	6.4594293672263
LGI2	3.73381514948274
WDR45	7.07730748038942
ANKRD6	6.18925299208712
LTBP4	4.30581920448678
PSCD3	3.54446878713217
PYY	3.19252595354088
KCNC1	3.12371711694246
SIRT6	3.88643971697991
CCL19	3.83087956698309
ARHGEF9	4.35158616739812
ABR	4.21160747088123
C10orf22	6.74373539881257
STK17A	4.95805978806732
FOXE1	3.35689936323254
GML	3.50288593479801
CNGA3	2.92936714132008
CD38	3.73586204108713
ZDHHC6	6.81199569877049
NEFH	3.37328190035975
PGBD5	3.68440449036953
CTDSP2	7.67473472362968
RMND5B	6.10510124402623
ZNF257	3.31981280935254
DUSP4	4.70530048157576
FLJ22167	5.85618594562037
EXOSC7	7.38349007063383
ROR2	3.55368225490433
FOXM1	5.00811552223447
ZBTB48	4.53848569523872
BUD31	6.73762076806883
MAOA	3.64769644110213
CCDC41	4.91759151762975
TNNT3	3.69701728182206
FBXO11	5.64944653069182
GYPC	5.21003304450474
PLIN	3.69920493653798
RFXAP	3.70778459885122
C6orf15	3.81265981387561
RNF4	8.72661222233284
F8A1	8.99259903779103
PPP1R3D	4.60406293270144
GRB2	7.64562600225697
TPM3	3.02655771860118
SYT13	3.30999931615631
EPB42	3.58468512336983
RP5-1077B9.4	4.90043798215179
EIF1	10.0507334811327
CETN3	6.29362038766341
FPGT	3.80439082933092
PRY	3.64528703606123
NTHL1	5.26239526273876
POLR2B	7.83783761421783
RPS28	12.0061425080995
GDF10	3.12453501687492
COQ9	7.7506996269857
P2RX3	2.78716097262920
GCC2	5.81396169291525
RARRES3	7.56782880173362
PLXNA1	5.75221902445597
WBP4	4.29017427131511
KIAA0100	6.1532263688318
PMF1	6.00748056400276
HS2ST1	4.38914473873692
