Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_A12_491182
Composite Element REF	Signal
AACS	6.37755701545783
FSTL1	7.18602837379915
ELMO2	4.76633337457175
CREB3L1	3.65706969287661
RPS11	10.2324679184185
PNMA1	7.94428141574095
MMP2	5.84586069622991
SAMD4A	3.84134868055046
SMARCD3	8.5373814651335
A4GNT	3.70293453620208
C9orf39	3.58162791931495
PKNOX2	6.24932876288206
RALYL	3.66359317383156
ZHX3	4.32538300739532
ERCC5	5.1941449970792
RXFP3	3.27326347178781
APBB2	3.5978009246416
BBOX1	5.10996643605162
PRO0478	3.08444298577153
GCSH	7.90468230017696
XDH	3.98619220448263
EDN1	3.29692642627642
MTERF	6.1006636221393
PDCL3	6.39930896026237
CLK4	5.53481485318745
KCNG1	4.45635266027214
CXCR4	9.99346993903232
DECR1	8.5889459618435
SALL1	3.46429097248167
PTPRR	3.29834412078531
CADM4	3.54857841374904
IRAK1	8.41148616168611
CFHR5	3.68605826028002
HNRPD	6.63603776207597
TMSB10	11.9152836532322
CXCL3	4.00471527350678
LMAN1	3.74768009339575
SUHW1	3.87131438619727
CHD8	5.30673133713397
SUMO1	8.39358907516596
GP1BA	3.34241300962001
OR7A10	3.51275336062065
DDB1	7.70799033653035
CHRNA10	3.44815538445977
STYK1	3.37966868175927
MYO9B	3.91402830512114
CCNI	9.88243567585093
MMP7	5.16000372126516
EP300	5.47240192012714
CRNKL1	5.94904076728357
C9orf45	3.30573767142101
XAB2	4.27237549184800
RTN1	4.86388321080689
HIC2	3.78744517802423
TBX10	3.69707456758043
CENPQ	4.96580550578927
UTY	3.24084169007739
OR2W1	2.86833567380328
ATP5G2	10.6891265382882
ZEB1	3.47791547269504
ZG16	3.60101968789335
ERG	3.85312724599382
PARN	6.89011543856605
SOD2	5.50737426091957
JOSD3	6.77447058938054
ADAM5P	3.39538272762783
CHD9	5.07701843569063
hCG_40738	3.69573879338163
STK16	5.40313480126137
PDE1C	3.8511274709354
SEMA4D	5.99636055998304
AGPAT1	5.43774115268591
TOB2	5.47504428457367
BANK1	4.8375320798268
MAP3K3	4.93747457938799
MAX	5.31080524205417
GRM2	3.78162105345075
OSBPL8	6.98791425882623
PROSC	6.49610197474305
NR4A2	3.41756862506507
RICS	3.97498167233464
PIR	4.65829800956675
PPCS	9.12046571086734
IPO9	5.81712438742905
LONP1	5.92219048261928
EVC	4.16776925159795
CXCL13	6.9520043637959
SCYL3	5.3923851659734
KIAA1199	5.46935067193335
SORL1	5.09726026947731
NAT10	6.83068821209442
CHD1	5.61022521096578
SYN3	3.60591667543416
DMC1	3.98154838171943
SLC22A2	3.4555582524117
SERPINF1	7.30380708087533
C20orf27	5.40275420845387
OR7A17	3.11678163190294
RPS6KA5	4.50950948586522
LHB	3.26594977446491
TAOK3	4.45729920971056
STK25	4.60192637805608
SLC12A4	3.55403699652654
BRCA1	3.73955648951772
GBL	4.90108186381189
C14orf108	8.4156818173673
CDC25B	6.64421188859571
BMP3	3.16656552039782
MAP1LC3C	3.37119356842208
TMEM180	3.59135364524513
CRYGC	3.89900548949269
SLK	4.80507932112214
