Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_B01_472060
Composite Element REF	Signal
AACS	6.43173146377497
FSTL1	8.25061344442958
ELMO2	4.8482510936283
CREB3L1	4.0970216663157
RPS11	9.41034562973064
PNMA1	8.09940094751724
MMP2	6.04636350812512
SAMD4A	3.60203447635205
SMARCD3	5.3427953459606
A4GNT	3.59720999280623
C9orf39	3.52481177327458
PKNOX2	3.91039267801089
RALYL	3.14285805766803
ZHX3	4.19490380581951
ERCC5	6.31231810128825
RXFP3	2.99562501377513
APBB2	3.73355451970342
BBOX1	4.40222998106172
PRO0478	3.20663135623748
GCSH	6.57396308819451
XDH	3.72949254454171
EDN1	3.76998197246935
MTERF	6.27993952823402
PDCL3	7.32812567656709
CLK4	5.97709061004859
KCNG1	3.58852181629791
CXCR4	7.4844362110447
DECR1	7.71692200553449
SALL1	3.09462556964685
PTPRR	3.23358647286994
CADM4	3.25829199471627
IRAK1	8.10137670773516
CFHR5	3.4173980068022
HNRPD	8.58752997953959
TMSB10	11.7947495050989
CXCL3	3.45692149140996
LMAN1	4.03679992584663
SUHW1	3.42291605672366
CHD8	6.15681989631234
SUMO1	8.10955777714227
GP1BA	3.30534580318678
OR7A10	3.89066923660481
DDB1	7.39731074775569
CHRNA10	3.35451964345994
STYK1	3.64456408928228
MYO9B	4.38665454756103
CCNI	10.1949840367683
MMP7	8.54224028746654
EP300	6.60839989973217
CRNKL1	6.15669863620639
C9orf45	3.08772762976538
XAB2	4.77096456955546
RTN1	3.5573557175589
HIC2	3.95526943797511
TBX10	3.47197147083826
CENPQ	4.16638255233637
UTY	3.10646405974558
OR2W1	2.94746491927048
ATP5G2	10.5469087040275
ZEB1	3.53024962739245
ZG16	3.42206810353491
ERG	3.92110962194217
PARN	7.26684600526285
SOD2	5.78244808439942
JOSD3	8.10405880508637
ADAM5P	3.15789998819757
CHD9	6.15335518919445
hCG_40738	4.00445503225390
STK16	4.54522739539081
PDE1C	3.5766624066674
SEMA4D	4.46178741997132
AGPAT1	6.9998367792316
TOB2	6.87477915368507
BANK1	4.14207728969033
MAP3K3	5.69048560348124
MAX	4.76166677479747
GRM2	3.75551893521354
OSBPL8	7.37897862608164
PROSC	5.64576165437774
NR4A2	7.3602045070343
RICS	5.05227616250949
PIR	4.85274865427883
PPCS	8.66384851572382
IPO9	6.40382107133208
LONP1	7.73551501701609
EVC	4.21563045695368
CXCL13	4.39175491348372
SCYL3	5.37227471771623
KIAA1199	4.46682391139926
SORL1	8.08757501004456
NAT10	8.78327464152077
CHD1	7.12978641569052
SYN3	3.56115996527445
DMC1	3.93645471881355
SLC22A2	3.45679055104023
SERPINF1	6.02123941967667
C20orf27	5.51055219239262
OR7A17	3.20800567976046
RPS6KA5	4.61808881787374
LHB	3.45642736426498
TAOK3	4.82407481193764
STK25	5.30983394236147
SLC12A4	3.68567648497272
BRCA1	4.49959811957415
GBL	5.94998776517371
C14orf108	6.9039073980387
CDC25B	5.47996585846534
BMP3	3.41266649100420
MAP1LC3C	3.38220301551898
TMEM180	3.40870860663466
CRYGC	3.63763557263853
SLK	5.56931153367913
POU3F1	3.25653423253117
C20orf32	4.02465999627091
USP52	6.18440957417233
HIGD1B	4.05396845882405
BAZ1B	7.0960843972351
USP6NL	5.57119018450675
SLCO2B1	3.92143555425085
ABCD4	4.2762157240621
DIMT1L	5.99827871710964
SLC25A46	6.79869871923933
LARP7	7.6117582158258
TEK	3.64573780075564
CD160	3.56417438249897
TERF2IP	7.77728541919143
PHF20	6.25538506972912
COL1A1	7.25876441382032
KIAA0090	5.75907727953854
GTPBP1	4.28721989128381
GRK5	3.57111841470413
AP1S2	4.89463895964244
RAB33B	5.10710179302605
CA11	4.20173686762266
ALDOC	4.35825573696982
NUDT1	4.55949344229847
ZNF212	4.96125493548206
ACBD3	7.20605299233754
ZNF83	7.03720323833894
PRDM2	4.63556856831418
GDPD5	4.30809512184759
PDCD4	6.4827487598289
CEP350	6.65569252150186
FOXP3	3.36364418882389
SMYD3	6.3792062130125
CST7	3.80605739300845
SELL	4.71775715542805
CIAO1	6.69125684472892
LGI2	3.85847242597436
WDR45	6.43790519249091
ANKRD6	6.8258040937715
LTBP4	3.87203454226070
PSCD3	3.48456503502121
PYY	3.29920662068633
KCNC1	3.16774751094025
SIRT6	3.72870858176363
CCL19	3.74876222856942
ARHGEF9	4.12417606907978
ABR	4.27853609277965
C10orf22	5.59369646220463
STK17A	4.38350628669205
FOXE1	3.31761037917959
GML	3.2966850611797
CNGA3	2.97955594187900
CD38	3.87875555586149
ZDHHC6	6.50324744201993
NEFH	3.38588174894555
PGBD5	3.34784949640622
CTDSP2	6.65850427989444
RMND5B	5.06015447250841
ZNF257	5.11697306116331
DUSP4	3.44345630045471
FLJ22167	7.67477393975925
EXOSC7	6.68940843604014
ROR2	3.48422340502630
FOXM1	5.22425256529063
ZBTB48	5.04811564772429
BUD31	8.35981791199049
MAOA	4.25996431824793
CCDC41	6.49870753246239
TNNT3	3.96500055739206
FBXO11	6.02749450794827
GYPC	5.2601109510901
PLIN	3.22345512831062
RFXAP	3.53701169915780
C6orf15	4.06553693318639
RNF4	7.90131806592911
F8A1	7.93138704883533
PPP1R3D	4.13193167210706
GRB2	7.5493819901596
TPM3	3.27990624026365
SYT13	3.72937242542219
EPB42	3.54308446350695
RP5-1077B9.4	4.80144352796136
EIF1	10.1867112279613
CETN3	7.4008994960363
FPGT	5.39224246915455
PRY	3.29031125593769
NTHL1	5.60437959678765
POLR2B	8.27347108174556
RPS28	11.7731461504779
GDF10	3.04955328538268
COQ9	6.95139544669812
P2RX3	2.86730645700708
GCC2	6.98602854273232
RARRES3	6.87104275396747
PLXNA1	5.95010981268009
WBP4	4.41446433924752
KIAA0100	6.52054938568892
PMF1	6.07428276877536
HS2ST1	5.64880585280704
CRELD2	6.13401183758155
C8G	3.19770758811676
CD82	5.0656470400231
PMM1	5.15647861411392
CBLL1	4.06940748068382
LIM2	3.5551640226347
VAX2	3.3874953000745
SETDB1	5.30298845258946
LRAP	3.80893698261453
GCLM	6.67455371229356
CPEB3	3.90244807785305
PPM1A	5.03920907327906
INTS1	4.10627570441379
MMP16	3.21176890290399
CAMTA1	5.0615608880775
SAMSN1	4.24356727177968
DRD3	2.72169667126171
GMPPA	4.8311706600804
C11orf73	4.29186232487335
AIPL1	3.78581202747630
PTP4A2	9.74269532598872
IL24	3.33916904569449
BDKRB1	3.17632976759929
HPCA	3.57754949538163
MLF1	7.15701827191344
SEC14L1	6.1947972750617
CHFR	5.60577338197538
EMILIN1	4.26672164147021
THADA	6.47856980012368
TAF12	5.36172750058092
NDUFS4	7.01093695149937
ID1	3.68206970855702
PIK3CB	4.28627234737701
COL18A1	6.54237408984015
PDZD3	2.98037538915046
TBC1D17	4.46389650157663
COX8A	9.32567039498757
CDCA4	5.35321293264184
C2orf44	4.73806637902017
C9orf16	7.45713648350296
ERBB2IP	8.77294517051057
EMX2	7.41608879005842
FUS	6.40621370059214
NIPSNAP3B	3.73793201927901
TF	3.24701423190197
CXorf56	5.483493774437
CLCN4	3.89542930226034
PWP2	6.26320686546052
MMP15	3.80021207684911
MTMR14	5.8663119779557
NPR1	7.22074688686347
DNAL4	5.67462461110584
ELAC2	4.68337214289618
ASS1	10.0654038077293
IPP	5.91630017716791
TMEM59	9.15137320708696
POLR2J	8.44707780160054
SEC23IP	5.03056847073415
RGS4	3.91964924252016
UQCRC1	8.90910943672683
SNX6	7.08371076793204
DDX18	6.94797217721757
POLG	4.58186567006394
ADAM23	4.26997230271571
ZNHIT2	4.93782287181004
TFR2	3.43467899840778
NCDN	4.6996524049065
RAG1	3.36734942500259
POMT1	4.29499423371609
CYP1A1	3.2705201881699
SNAPC1	5.94926728760314
GNA11	5.34623398564184
CCDC52	2.83966494631943
CAPN1	5.8782451636499
DDHD2	5.88254622279518
UPF3A	5.79604406605604
LAGE3	6.0406776800104
GNRHR	3.02669954200621
UNC13B	3.965584209563
TTLL4	4.34308498067305
PPBP	2.76376936748631
HTR3A	3.36930379935905
SDC2	4.48464431505198
ANKRD49	6.55295316748028
BTF3	10.2381576098426
COX7A2	10.2251568245932
SARS	7.66804161546776
C13orf18	3.33113863964157
CACNB1	3.67040772861056
QKI	6.43594819587583
SETMAR	5.50072118612841
LAMB4	3.482598479871
MAN2B1	7.57774551508424
EML3	5.07623186922663
ACADL	3.24906077786112
OFD1	8.42240077412124
CGA	3.47193464360766
EIF3EIP	10.2336514172086
PEX16	4.93127973089879
GNG12	8.38245437033647
HABP4	4.63749252094203
CNTN2	3.70947311723452
ASNSD1	6.9104896665464
FUT4	3.60234682810997
DBH	3.25066664083490
CD53	6.00971502094067
HIST1H2BJ	3.24812663750744
TFAP2B	3.25817997736004
ACF	3.56455178877798
TMEM11	5.99790579587484
CDH8	3.28490964702862
C3orf32	4.00290186657819
AGPS	4.77206664901960
C4orf18	3.38857310832977
PCCB	6.64193971862132
IPO13	5.56048899238596
PECI	7.00882900356528
UNG	7.90557742656243
C6orf105	3.75685445754169
GSTP1	8.55116786220186
SUV420H1	7.06268783359897
ARHGAP15	3.72782969678818
LTBR	6.5109499226833
TDRKH	3.05702097267456
PSG4	3.42284395902751
SLC9A3R1	6.32574779045648
NBPF3	9.03555004758348
SLC9A3	3.74881688204423
OSBP	5.88042952698148
PRR5	4.39084331913618
CHMP7	5.96098841321744
ADRA1A	3.03892819654704
ASAH1	6.84544889416122
FKBP4	6.31635321719008
ZNF350	4.26479119909984
DOM3Z	5.54919629986023
GIPR	3.89401264832932
AHI1	4.80964371789931
BST1	4.59390112538677
NCR2	3.62122265627981
NADSYN1	5.24762812394781
UBE2W	6.09103129314899
RGS14	3.99164302489526
KRT15	3.63472509695598
SCN11A	3.9729943304203
GFI1	3.61371775986388
FHL1	5.82662732743877
SMC6	6.00430088832197
GATA1	3.78882624470549
OSGEP	4.71623607634256
ARMC6	4.9049232408697
HK3	3.44162029124651
PSMD5	6.28898080169117
RSU1	6.55535035085389
RPL4	11.6411756146958
MAD2L1	7.7935785048078
RBPMS	5.35528670048206
EIF4A3	8.36057144198409
E4F1	5.54105193702776
DLEC1	5.1942893051708
PRPF3	5.7606848264957
EMR1	3.48759387546980
CHMP2B	6.47552737717171
CAMSAP1	4.08081492579273
RPS21	9.52455402954823
XCR1	3.42833346197879
ARID5A	4.00192097061993
RBM6	6.22023645824276
UBE2N	7.50637090432567
KLF4	3.63497042666839
MGC4172	4.72747200987798
LMO4	7.8764491237954
KLKB1	3.73907991226398
HDAC3	5.97806478074403
HP	6.25210927885396
SCHIP1	5.0186499794788
BTK	3.88493932891388
KRCC1	8.39069430418798
PRND	2.95553693007428
C6orf27	3.81032470627729
PIGL	3.84807263426135
CLCA1	3.79171854250194
C1orf112	4.48476894182769
OLFML2A	4.64531452574577
HUS1	4.47582111240036
SFRS6	6.9885860547359
CXCR7	4.26999883189585
UIMC1	6.00628378405188
FXYD2	3.75824070362784
GOT2	8.04123485406489
