Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A05_433748
Composite Element REF	Signal
AACS	7.39423619331255
FSTL1	6.1146318205684
ELMO2	5.19814539811682
CREB3L1	4.71613934602218
RPS11	9.9267571018428
PNMA1	6.49150584832354
MMP2	3.99638262919711
SAMD4A	3.70340957780209
SMARCD3	4.60685044645426
A4GNT	3.99073467118886
C9orf39	3.13874317353693
PKNOX2	3.88045568489118
RALYL	3.47327779525225
ZHX3	4.59211618263998
ERCC5	7.44091313115062
RXFP3	3.09284906366316
APBB2	6.4866612326347
BBOX1	3.47759709064162
PRO0478	3.21960267323374
GCSH	8.95316351229816
XDH	5.45980517912649
EDN1	3.82795057808026
MTERF	5.67728951590577
PDCL3	6.58734398429029
CLK4	5.30081755047732
KCNG1	4.13402406221423
CXCR4	3.92853283267007
DECR1	8.8583475918364
SALL1	3.07334793166504
PTPRR	5.7390533280929
CADM4	3.47275652277517
IRAK1	9.45076573578593
CFHR5	3.28530258895942
HNRPD	8.34423033923084
TMSB10	12.3260909426852
CXCL3	3.86794578683142
LMAN1	5.61206205593012
SUHW1	4.26875086177019
CHD8	6.6145112571735
SUMO1	7.231877708569
GP1BA	3.33110610216789
OR7A10	4.12233574986251
DDB1	7.75846570180044
CHRNA10	3.69419313981675
STYK1	5.50235825562988
MYO9B	4.18086917853753
CCNI	10.1193586406049
MMP7	7.0837060615856
EP300	6.64208155862231
CRNKL1	7.11461545930978
C9orf45	3.33018025397026
XAB2	4.49822848830205
RTN1	5.25451787505295
HIC2	4.32599408351069
TBX10	3.75107520688833
CENPQ	4.17729543424798
UTY	3.30730227397932
OR2W1	2.91370005583482
ATP5G2	10.5278058031474
ZEB1	3.4079580342022
ZG16	3.57006935787891
ERG	3.55000892966114
PARN	7.24343623601599
SOD2	5.993801605595
JOSD3	8.11107038377005
ADAM5P	3.36761964315427
CHD9	5.91341620056547
hCG_40738	5.54328014736288
STK16	5.45966912276226
PDE1C	3.85711840443418
SEMA4D	5.56788310035677
AGPAT1	6.42302971232258
TOB2	6.81678387464977
BANK1	3.67625410763892
MAP3K3	4.79727215096928
MAX	5.75345150971211
GRM2	3.87240914067615
OSBPL8	6.76642528088734
PROSC	6.70278682628237
NR4A2	4.79668724799444
RICS	6.84315805653973
PIR	7.57551478046081
PPCS	8.88903357864569
IPO9	6.42886004490309
LONP1	7.4986313342971
EVC	3.73256079877258
CXCL13	4.02466557550187
SCYL3	5.39902674506465
KIAA1199	3.34363778289781
SORL1	7.49968776840151
NAT10	7.04916488040661
CHD1	6.01311936978381
SYN3	3.56724577493285
DMC1	4.01168486467123
SLC22A2	3.82498039008068
SERPINF1	6.24120869670481
C20orf27	5.93308440586385
OR7A17	3.18578072530598
RPS6KA5	4.98160534281167
LHB	3.19457186671076
