Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_E01
Composite Element REF	Signal
AACS	6.53940745070434
FSTL1	7.94944773016841
ELMO2	5.68974476408741
CREB3L1	4.06225518140315
RPS11	10.1873347037332
PNMA1	9.06224628654431
MMP2	6.29862296220985
SAMD4A	4.06342717578733
SMARCD3	6.13049970850912
A4GNT	3.58424916967372
C9orf39	3.53602626047468
PKNOX2	4.20856331797401
RALYL	4.96784893186521
ZHX3	3.97663744983311
ERCC5	6.58774558955817
RXFP3	2.97924322944866
APBB2	4.04689751446548
BBOX1	7.20718073624057
PRO0478	3.06057043944284
GCSH	7.81113525388479
XDH	3.73622436493805
EDN1	4.04600789380953
MTERF	6.47500827811013
PDCL3	7.33573967039721
CLK4	7.13728308769081
KCNG1	3.4738947275497
CXCR4	7.40219601486121
DECR1	8.58269364228904
SALL1	3.05114005543676
PTPRR	3.31006645916551
CADM4	3.67970988358428
IRAK1	9.28679800728751
CFHR5	3.23383555654245
HNRPD	7.79188434267911
TMSB10	12.1160777087662
CXCL3	4.5299181707779
LMAN1	4.2751935612879
SUHW1	3.54202485492416
CHD8	6.04617646758825
SUMO1	8.3614534991101
GP1BA	3.23733835355564
OR7A10	3.79761413361338
DDB1	7.69464375903592
CHRNA10	3.87878464352706
STYK1	3.99046046943478
MYO9B	4.26738193343459
CCNI	10.4229755795084
MMP7	8.25071405336903
EP300	6.53153864223714
CRNKL1	6.17857291823112
C9orf45	3.50749730258483
XAB2	4.32578909378595
RTN1	4.65657346909314
HIC2	4.29042179051413
TBX10	3.50107837536605
CENPQ	4.49606917274635
UTY	3.06095562144035
OR2W1	2.90810533640465
ATP5G2	10.3173953614836
ZEB1	3.79672882956718
ZG16	3.46821608560372
ERG	3.78595417035841
PARN	7.44258250061676
SOD2	4.58057348402290
JOSD3	7.9994459375022
ADAM5P	3.14666608852347
CHD9	6.14593307844282
hCG_40738	3.98557184129317
STK16	5.43565462073709
PDE1C	3.76962177468829
SEMA4D	6.44339635194996
AGPAT1	6.89005994498787
TOB2	6.07937019368917
BANK1	5.31346959320901
