Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A04_458810
Composite Element REF	Signal
AACS	6.50543675622606
FSTL1	6.91677778993461
ELMO2	5.75607524760884
CREB3L1	3.85507661953447
RPS11	9.9578137482002
PNMA1	8.52761576375234
MMP2	6.21896181251847
SAMD4A	3.90673584878583
SMARCD3	7.92037748155864
A4GNT	3.42789528436864
C9orf39	3.01889477239738
PKNOX2	5.47061506302693
RALYL	3.39782097065067
ZHX3	4.41585792417123
ERCC5	7.01291569658906
RXFP3	3.09312366813208
APBB2	3.28136013768574
BBOX1	4.05859806874641
PRO0478	3.03297122822331
GCSH	8.42617093711547
XDH	3.74937834194587
EDN1	4.34486855891949
MTERF	6.24456896790744
PDCL3	7.08359570147507
CLK4	6.11895136690013
KCNG1	4.18483993887004
CXCR4	8.22625239109667
DECR1	7.12978798755391
SALL1	3.34869668633833
PTPRR	3.29321847693381
CADM4	3.36484520104768
IRAK1	8.38842464702725
CFHR5	3.33334823955590
HNRPD	8.24015821523814
TMSB10	11.8644294094730
CXCL3	3.85056963104555
LMAN1	3.66831305353238
SUHW1	3.44934300859978
CHD8	6.48067977365763
SUMO1	7.03057402716246
GP1BA	3.73795377753823
OR7A10	3.6680397754023
DDB1	7.67677136672976
CHRNA10	3.60795457976179
STYK1	3.34718028219411
MYO9B	4.41395803338867
CCNI	10.0382575873008
MMP7	6.42971767857777
EP300	6.01395847273007
CRNKL1	7.04735942784379
C9orf45	3.32196813189293
XAB2	4.09035669134550
RTN1	3.95690811238021
HIC2	4.02234478304475
TBX10	3.38353331305072
CENPQ	4.22556034987578
UTY	3.12470617591377
OR2W1	2.78216849316967
ATP5G2	10.1877500032800
ZEB1	3.65435370013173
ZG16	3.42864207489747
ERG	3.47106241908388
PARN	7.0483370311579
SOD2	6.30980577698209
JOSD3	8.28155286128468
ADAM5P	3.23685769728339
CHD9	5.70576725829645
hCG_40738	3.6497016478897
STK16	4.73745769018117
PDE1C	3.68484480378932
SEMA4D	6.1140886229216
AGPAT1	6.96225185925154
TOB2	5.83348542194523
BANK1	4.38326830104306
MAP3K3	5.10035242869652
MAX	5.13158978826093
GRM2	3.79076161547689
OSBPL8	7.52252969094104
PROSC	5.10375218438552
NR4A2	4.28771280221395
RICS	4.79950238480081
PIR	3.92201794423456
PPCS	8.37162604561326
IPO9	6.75133759490564
LONP1	7.75419981534943
EVC	3.98497336877516
CXCL13	9.61764042634011
SCYL3	5.55274636351743
KIAA1199	5.30117422061707
SORL1	8.94380084292637
NAT10	6.37036042190243
CHD1	6.26041623277509
SYN3	3.47291377930833
DMC1	3.79008047802259
SLC22A2	3.86062458990394
SERPINF1	6.62324733149204
C20orf27	6.52766169521587
OR7A17	3.07483266867789
RPS6KA5	4.69863451766707
LHB	3.46781012691641
TAOK3	5.31135530426023
STK25	5.41465581929233
SLC12A4	3.62930847803173
BRCA1	4.20524513079867
GBL	5.4207136557288
C14orf108	8.38199780890882
CDC25B	7.3327462797143
BMP3	3.24739676788557
MAP1LC3C	3.44061828373722
TMEM180	3.95187358566507
CRYGC	3.63780082722592
SLK	6.1821089417223
POU3F1	3.36310274507234
C20orf32	3.7744642552463
USP52	5.81026115311467
HIGD1B	3.68400268743693
BAZ1B	6.78378329499075
USP6NL	5.83193721744517
SLCO2B1	4.30380025392564
ABCD4	4.52472510670556
DIMT1L	5.72481087845734
SLC25A46	7.48782274155851
LARP7	7.42854879513816
TEK	3.49459768138134
CD160	3.82177699822005
TERF2IP	7.93875473983475
PHF20	6.36205618014407
COL1A1	6.39743505614063
KIAA0090	5.13179527361963
GTPBP1	4.53637220703253
GRK5	4.01558604784267
AP1S2	5.2805222973992
RAB33B	4.17476434066068
CA11	4.35577598381473
ALDOC	7.19438460072594
NUDT1	6.04661946286354
ZNF212	5.81569003902075
ACBD3	7.63889556139102
ZNF83	6.48211799591597
PRDM2	4.69942344553237
GDPD5	6.4094124317856
PDCD4	6.08189996359043
CEP350	7.05364421019928
FOXP3	3.36971235246
SMYD3	7.4267661209892
CST7	5.21508443397968
SELL	5.84449468482943
CIAO1	6.49961831233341
LGI2	3.74603593545680
WDR45	5.91506295167932
ANKRD6	6.63175335182595
LTBP4	3.95273182854583
PSCD3	3.42956662388978
PYY	3.13621561200751
KCNC1	2.96323830325872
SIRT6	4.26855556365126
CCL19	8.37843854200558
ARHGEF9	4.06735180159288
ABR	4.61481519192691
C10orf22	7.27376174240681
STK17A	5.07754871419816
FOXE1	3.2204000276196
GML	3.09723422442015
CNGA3	3.09983544256213
CD38	6.65570747765275
ZDHHC6	8.06574859380472
NEFH	3.35140419403808
PGBD5	3.36465126832476
CTDSP2	6.85962994722447
RMND5B	5.42061780609391
ZNF257	4.37603978311602
DUSP4	5.09528626548696
FLJ22167	6.58003136625768
EXOSC7	6.99851571437784
ROR2	3.48179154978757
FOXM1	5.70956861284825
ZBTB48	4.63559757221164
BUD31	8.09309013145694
MAOA	3.70256512736319
CCDC41	4.8889971745363
TNNT3	3.80762633428676
FBXO11	5.49270868939404
GYPC	6.44469114067395
PLIN	3.34998765680643
RFXAP	3.63980326889982
C6orf15	3.61764031425283
RNF4	7.94124278347376
F8A1	7.72717106459963
PPP1R3D	4.78052625127354
GRB2	7.55302326776499
TPM3	3.17784104598471
SYT13	3.77849467902348
EPB42	3.33852707499688
RP5-1077B9.4	5.37109862677926
EIF1	10.2756235403677
CETN3	6.4077827752932
FPGT	4.31758912725299
PRY	3.41675501317029
NTHL1	5.25198927055768
POLR2B	8.28547658400776
RPS28	12.034807188866
GDF10	3.47451102481111
COQ9	7.60988751481034
P2RX3	3.21148077790375
GCC2	5.87139034756925
RARRES3	8.4709228291012
PLXNA1	6.35794672210995
WBP4	4.87254807532921
KIAA0100	6.92577924586003
PMF1	6.43754725186707
HS2ST1	5.08371157936953
CRELD2	8.34211265738005
C8G	3.04705183495295
CD82	5.53100467820959
PMM1	4.38498921935479
CBLL1	4.35068726528246
LIM2	3.39445641429111
VAX2	3.51872326192973
SETDB1	5.19107126650763
LRAP	3.52337590369752
GCLM	5.72876306621726
CPEB3	3.46278806458379
PPM1A	5.84608927555267
INTS1	4.28358366635982
MMP16	3.15263918581469
CAMTA1	4.6250510663102
SAMSN1	6.74884748299205
DRD3	2.76903069813882
GMPPA	5.28266087609581
C11orf73	5.08777860730508
AIPL1	3.79621412371476
PTP4A2	8.86785956028446
IL24	3.32437285387002
BDKRB1	3.36469921968156
HPCA	3.42324840360575
MLF1	6.55649845361257
SEC14L1	6.31263662914098
CHFR	6.32976992828569
EMILIN1	3.30799176785522
THADA	6.0817295000759
TAF12	4.56951377494771
NDUFS4	7.24352601568324
ID1	4.43548218583554
PIK3CB	4.02033111750726
COL18A1	7.54909991952381
PDZD3	3.21561964515649
TBC1D17	4.86010158316205
COX8A	9.81516133293354
CDCA4	6.2218981568163
C2orf44	4.38867176752415
C9orf16	7.97305040366581
ERBB2IP	7.86269032207062
EMX2	9.66912143723014
FUS	6.74874339618088
NIPSNAP3B	3.37318802553632
TF	3.38597980268741
CXorf56	5.15395614731914
CLCN4	3.61374259838413
PWP2	5.30604527463696
MMP15	4.19837819295507
MTMR14	6.30203042734666
NPR1	6.27831588050626
DNAL4	5.87590174105173
ELAC2	4.91573279516927
ASS1	10.9474650976312
IPP	4.79789994753662
TMEM59	8.80747402741114
POLR2J	9.02069074335676
SEC23IP	5.50567722424787
RGS4	3.73494555144109
UQCRC1	8.8192384922354
SNX6	7.62043854813155
DDX18	6.87609318934183
POLG	4.25598144090875
ADAM23	3.94110153125401
ZNHIT2	5.15958574515183
TFR2	3.59162198294518
NCDN	4.58592757380913
RAG1	3.29859164068461
POMT1	4.81388069006836
CYP1A1	3.18446768998328
SNAPC1	6.20739330968016
GNA11	5.90981500367902
CCDC52	2.85540374651257
CAPN1	6.95987912708465
DDHD2	5.73151305001898
UPF3A	6.42727639384384
LAGE3	5.9724299720527
GNRHR	3.19890210624705
UNC13B	5.32448108410641
TTLL4	4.49677991888704
PPBP	2.85821847769086
HTR3A	4.35091531342288
SDC2	4.01165739856129
ANKRD49	6.9910636791265
BTF3	9.71189494321981
COX7A2	10.1404086982388
SARS	7.8735057873293
C13orf18	3.85609084236587
CACNB1	4.02407338036920
QKI	5.9236144748396
SETMAR	5.22586964774308
LAMB4	3.32656855812764
MAN2B1	7.57544634165527
EML3	5.74593595269965
ACADL	3.09080586879358
OFD1	7.24101312668022
CGA	3.58731284920412
EIF3EIP	10.5132226662941
PEX16	5.25193915583546
GNG12	6.66669644274574
HABP4	4.96859745471509
CNTN2	3.78647723530817
ASNSD1	6.90140940546264
FUT4	3.65611658287546
DBH	3.39911112849941
CD53	8.83039818225063
HIST1H2BJ	3.42758766247093
TFAP2B	3.25920535207026
ACF	3.59323244387384
TMEM11	5.87119028228189
CDH8	3.36059622246998
C3orf32	3.42647655778618
AGPS	4.28321951102468
C4orf18	3.02837622197382
PCCB	7.42486197437797
IPO13	4.69212773755457
PECI	7.55580155869153
UNG	7.7115317078423
C6orf105	3.56689774976149
GSTP1	8.72204953703431
SUV420H1	7.84123627512787
ARHGAP15	5.68256709952958
LTBR	6.12618171825475
TDRKH	3.53217362005755
PSG4	3.40932398679664
SLC9A3R1	5.97955149372552
NBPF3	8.85111307470283
SLC9A3	3.75261901375698
OSBP	6.17739839852297
PRR5	4.83144246151458
CHMP7	5.84340642634777
ADRA1A	3.11417760758755
ASAH1	6.56418008212615
FKBP4	6.35002692265024
ZNF350	4.67215197831472
DOM3Z	6.36727862934506
GIPR	3.82541185711227
AHI1	4.38817249056867
BST1	3.59233795263527
NCR2	3.59040453243334
NADSYN1	5.69024186134597
UBE2W	6.0966791278355
RGS14	4.07472244418132
KRT15	3.96776003271386
SCN11A	3.79119002040712
GFI1	4.0811165425297
FHL1	3.83351920068836
SMC6	6.13598868728609
GATA1	3.67531725356534
OSGEP	5.21133223738427
ARMC6	4.88359306016278
HK3	4.28147956709063
PSMD5	6.27632251568518
RSU1	7.68666882660126
RPL4	11.3852906530221
MAD2L1	7.02327788037089
RBPMS	3.74987382503247
EIF4A3	8.27574813362086
E4F1	5.17345953608052
DLEC1	3.47244976744453
PRPF3	5.2171702362367
EMR1	3.29813418503596
CHMP2B	6.93988782256116
CAMSAP1	4.22744922392645
RPS21	9.65762396576044
XCR1	3.27785535380738
ARID5A	4.55616502004843
