Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C05_543710
Composite Element REF	Signal
AACS	7.1449878673522
FSTL1	9.20202455284665
ELMO2	5.43183384507816
CREB3L1	4.79009997197283
RPS11	9.93430717912855
PNMA1	7.54997568614962
MMP2	8.34670917252991
SAMD4A	4.12372185240732
SMARCD3	6.95011942648698
A4GNT	3.68050654284824
C9orf39	3.39796246417975
PKNOX2	4.34690607289263
RALYL	3.20060171577941
ZHX3	4.62716747967929
ERCC5	6.72077697950385
RXFP3	3.05838766863846
APBB2	4.8375063831188
BBOX1	3.57037341851773
PRO0478	3.28029658194101
GCSH	7.83711279095206
XDH	3.7894451891522
EDN1	5.89776561346453
MTERF	6.04341484097928
PDCL3	7.28939261946326
CLK4	7.31998558515588
KCNG1	3.44654180011686
CXCR4	7.11263246742182
DECR1	7.7219716512147
SALL1	3.86539186351435
PTPRR	3.34824093269312
CADM4	3.35364221876971
IRAK1	8.19072006077971
CFHR5	3.17213996553672
HNRPD	8.31354294077694
TMSB10	12.0920881862711
CXCL3	5.09636273014636
LMAN1	4.4113414622539
SUHW1	3.07077969207106
CHD8	6.05902026273202
SUMO1	7.30147079692803
GP1BA	3.33118990518046
OR7A10	3.73716418606237
DDB1	7.37889953749902
CHRNA10	3.73909505884006
STYK1	3.85164935652996
MYO9B	4.52467812527206
CCNI	11.2432007194324
MMP7	11.0861574488277
EP300	6.74277364266562
CRNKL1	6.51436877416872
C9orf45	3.33386603259552
XAB2	3.74551718039506
RTN1	4.71056904363279
HIC2	4.20207254464203
TBX10	3.39425516792286
CENPQ	3.98649291168158
UTY	3.28076086035669
OR2W1	2.86348323314279
ATP5G2	10.5430751389454
ZEB1	4.30199304170478
ZG16	3.40451143278773
ERG	3.63720062495208
PARN	7.0832686289198
SOD2	6.83772416506267
JOSD3	8.19820641108541
ADAM5P	3.10109757678583
CHD9	7.37861250739524
hCG_40738	3.83942573528754
STK16	5.13365398609291
PDE1C	3.61909828132470
SEMA4D	5.9126951269147
AGPAT1	6.22956080423205
TOB2	6.13637819335922
BANK1	5.11326891138861
MAP3K3	5.49178069363874
MAX	5.4202570922864
GRM2	3.78759612691733
OSBPL8	7.7628640561431
PROSC	6.43249449511794
NR4A2	5.17060039118024
RICS	5.48677856700354
PIR	4.05728496104601
PPCS	8.77484003242634
IPO9	6.29297171788187
LONP1	7.30610995896157
EVC	4.52163027033259
CXCL13	4.02628568255504
SCYL3	5.32675725631951
KIAA1199	5.10350985031983
SORL1	8.54368346978735
NAT10	6.78916048181032
CHD1	7.78576524194863
SYN3	3.33724826582873
DMC1	3.86319868247525
SLC22A2	3.42772524379654
SERPINF1	8.98442671666115
C20orf27	5.40872531901394
OR7A17	3.04445498950953
RPS6KA5	4.50476929290488
LHB	3.44185618749421
TAOK3	4.85999621997259
STK25	5.95492231610426
SLC12A4	3.58463913710111
BRCA1	4.26629100261963
GBL	5.49579306987875
C14orf108	7.42398311741964
CDC25B	6.5047640809196
BMP3	3.07215109030657
MAP1LC3C	3.48363695034297
TMEM180	3.31491426864367
CRYGC	3.55423307450677
SLK	6.19330592038694
POU3F1	3.20052104831394
C20orf32	3.69673272884631
USP52	7.04408939646108
HIGD1B	3.48590532638891
BAZ1B	6.67321416919065
USP6NL	5.52220855076795
SLCO2B1	5.16896188293523
ABCD4	4.80087462827518
DIMT1L	5.97140760588058
SLC25A46	7.01769655490678
LARP7	7.21727527568258
TEK	3.65538233746625
CD160	3.47469643196763
TERF2IP	8.0619705187157
PHF20	6.07967553017656
COL1A1	9.30883422045761
KIAA0090	5.16448975510562
GTPBP1	4.4534223672318
GRK5	3.89680835893132
AP1S2	6.97466945447051
RAB33B	4.243539089926
CA11	4.69198828524414
ALDOC	5.42844081309055
NUDT1	4.67118858723381
ZNF212	5.77211367947894
ACBD3	7.11474237333667
ZNF83	7.8409225303133
PRDM2	5.11146173985772
GDPD5	4.77885026289612
PDCD4	5.98616876335519
CEP350	6.23936369649189
FOXP3	3.24819484023128
SMYD3	6.6967698660879
CST7	4.65216454576998
SELL	4.51202137778161
CIAO1	6.13576031803421
LGI2	3.61865849210433
WDR45	6.5520155125144
ANKRD6	6.79551028958897
LTBP4	4.46371892953291
PSCD3	3.28564039958128
PYY	3.14147229743837
KCNC1	3.35475744247957
SIRT6	4.26591458876598
CCL19	4.10851616170705
ARHGEF9	4.70855264879397
ABR	5.09808542923504
C10orf22	7.14768642997551
STK17A	4.93120343110705
FOXE1	3.48459527257014
GML	3.08260159316531
CNGA3	3.0680616888627
CD38	3.56862335334184
ZDHHC6	7.75736284479397
NEFH	4.90443075300757
PGBD5	4.95780790435391
CTDSP2	7.49001671267173
RMND5B	4.77892624041677
ZNF257	3.58302398635758
DUSP4	8.57348655307454
FLJ22167	6.02399286905794
EXOSC7	6.14403409887476
ROR2	3.69466543622349
FOXM1	4.29607012573436
ZBTB48	4.71318427292891
BUD31	7.01040688095208
MAOA	4.09907149797043
CCDC41	5.47996980440012
TNNT3	3.17933282119684
FBXO11	5.47251570985132
GYPC	7.10473278945993
PLIN	3.47836711380558
RFXAP	3.48870401519378
C6orf15	3.63679839724963
RNF4	8.32237848153738
F8A1	7.60384759762655
PPP1R3D	4.2112306268601
GRB2	6.77657740749936
TPM3	2.94255405801028
SYT13	3.6310957717675
EPB42	3.21327557199362
RP5-1077B9.4	5.07177461345393
EIF1	11.2485867623834
CETN3	7.6274684260865
FPGT	5.42004694487973
PRY	3.38612469943927
NTHL1	4.60852116271079
POLR2B	8.59890916408537
RPS28	12.2156027608180
GDF10	3.14123450235632
COQ9	6.80451392148066
P2RX3	2.88674046316807
GCC2	7.90347303927605
RARRES3	6.73421923938629
PLXNA1	6.33643750333242
WBP4	4.59129006324017
KIAA0100	6.93328147376885
PMF1	5.92613960476069
HS2ST1	6.17507055483987
CRELD2	7.09283245349573
C8G	2.90543273051705
CD82	5.65023454050035
PMM1	5.7773277644208
CBLL1	3.38772693709441
LIM2	3.41571482291474
VAX2	3.55361136641584
SETDB1	5.04166650346888
LRAP	5.60954207477098
GCLM	5.72393627914015
CPEB3	3.51792452119241
PPM1A	6.26996859429683
INTS1	4.3090550988376
MMP16	3.28495933525255
CAMTA1	4.04113055702117
SAMSN1	5.77060169351376
DRD3	2.88336624458892
GMPPA	5.20068626959807
