Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_D11_297932
Composite Element REF	Signal
AACS	6.00705447900592
FSTL1	8.38501727154124
ELMO2	5.14022394293292
CREB3L1	4.03992022688729
RPS11	10.5395374930921
PNMA1	7.95326104303176
MMP2	7.27635120038603
SAMD4A	3.83501519163315
SMARCD3	6.68097175495386
A4GNT	3.73865409445680
C9orf39	3.30320869449855
PKNOX2	3.89502872868332
RALYL	3.25119445104123
ZHX3	4.55866477113211
ERCC5	6.20122834386728
RXFP3	3.06449033444161
APBB2	5.16710019353984
BBOX1	5.57498472771983
PRO0478	3.07233217650878
GCSH	6.39458921105142
XDH	3.74874360088208
EDN1	4.29250405124854
MTERF	6.75015095130664
PDCL3	7.16017257082471
CLK4	6.72515081103823
KCNG1	4.0038808954293
CXCR4	8.40248047336129
DECR1	7.89669612825178
SALL1	3.23069246010781
PTPRR	3.29854214010195
CADM4	3.35706560603342
IRAK1	8.6074995276984
CFHR5	3.15307588342178
HNRPD	7.6128301483842
TMSB10	12.0292353198601
CXCL3	3.76661635448643
LMAN1	3.71274549492353
SUHW1	3.51269152237368
CHD8	6.11479161106699
SUMO1	7.7653365885078
GP1BA	3.23806632889775
OR7A10	3.56870475566751
DDB1	7.55450465822458
CHRNA10	3.97926381734428
STYK1	3.52641912167992
MYO9B	4.43970193357614
CCNI	9.8862611745084
MMP7	9.58287403766727
EP300	6.45240049764118
CRNKL1	6.79817344089932
C9orf45	3.33810796056609
XAB2	4.40228971278496
RTN1	3.76955791618714
HIC2	3.92020109093571
TBX10	3.36608257769232
CENPQ	3.93445017797238
UTY	3.16681725510331
OR2W1	3.06633624933285
ATP5G2	10.8858922966333
ZEB1	3.52674684678628
ZG16	3.49989307607041
ERG	3.83432077942824
PARN	8.11224301992447
SOD2	6.01232377329199
JOSD3	7.86038305085202
ADAM5P	3.27065277883195
CHD9	5.16119355870004
hCG_40738	3.75177020613102
STK16	4.55707309769442
PDE1C	3.71705770844460
SEMA4D	5.45939609596518
AGPAT1	6.87031090711928
TOB2	6.53260966343349
BANK1	3.40945943621296
MAP3K3	5.54900964527155
MAX	5.11477398097603
GRM2	3.71323819291647
OSBPL8	7.59051738076008
PROSC	5.47490557432505
NR4A2	4.66080557633668
RICS	4.58035599423527
PIR	4.17262588608464
PPCS	9.06553331759552
IPO9	6.63744763471958
LONP1	6.87893493604363
EVC	4.44337990994163
CXCL13	3.99030906488511
SCYL3	5.65602927026048
KIAA1199	5.91279214349065
SORL1	7.40863799793419
NAT10	7.73515055188163
CHD1	6.06672482150122
SYN3	3.6370359651388
DMC1	3.89623270322313
SLC22A2	3.54673387985509
SERPINF1	6.99522379765648
C20orf27	6.01702449949419
OR7A17	3.52110125457188
RPS6KA5	4.51276059299102
LHB	3.42720054870741
TAOK3	4.77808535333836
STK25	6.40450948381341
SLC12A4	3.63958072859098
BRCA1	4.19550512883364
GBL	4.81602065060082
C14orf108	7.33518887706058
CDC25B	6.22476760926221
BMP3	3.33408556768648
MAP1LC3C	3.45303270227745
TMEM180	3.7557939608288
CRYGC	3.75744382830157
SLK	5.40230715033802
POU3F1	3.34506896016185
C20orf32	3.93847604128908
USP52	6.62507693709538
HIGD1B	3.93562755714242
BAZ1B	6.44261717425186
USP6NL	4.40507899200299
SLCO2B1	3.87892399430422
ABCD4	4.63483663577136
DIMT1L	5.78828112680065
SLC25A46	6.48320984066634
LARP7	6.71133991963856
TEK	3.66415069875269
CD160	3.58141507100436
TERF2IP	7.21480111980553
PHF20	6.43827370616572
COL1A1	7.11221358436587
KIAA0090	6.11729385043598
GTPBP1	4.42158282138238
GRK5	3.83348416729097
AP1S2	4.77072286394228
RAB33B	4.46152516028236
CA11	4.37376684511702
ALDOC	6.2378385387965
NUDT1	4.61124998463535
ZNF212	5.42580968883803
ACBD3	7.9701720840671
ZNF83	6.69261784273507
PRDM2	5.08162906504915
GDPD5	4.39709631673468
PDCD4	5.34217547334031
CEP350	6.36719129658228
FOXP3	3.27004589859558
SMYD3	6.59827733564366
CST7	4.0874566903283
SELL	3.74496981364422
CIAO1	6.83941612373023
LGI2	3.76285979928076
WDR45	6.30751087994782
ANKRD6	6.32584192190249
LTBP4	4.58079427565059
PSCD3	3.51012295522099
PYY	3.2690244916343
KCNC1	3.27983711215238
SIRT6	4.15507777103774
CCL19	4.01108253742979
ARHGEF9	4.7049822148392
ABR	4.22415215519569
C10orf22	6.00691430547
STK17A	4.29975679090044
FOXE1	3.34968766287369
GML	3.28874655075836
CNGA3	3.20986680845258
CD38	3.48875585968718
ZDHHC6	7.1138667729637
NEFH	7.17961361965992
PGBD5	3.36216616936623
CTDSP2	7.85059919720468
RMND5B	5.78858124093523
ZNF257	3.50137412286201
DUSP4	3.5737204493396
FLJ22167	4.7959662111901
EXOSC7	6.5102037412546
ROR2	4.0236692562192
FOXM1	5.65691972017221
ZBTB48	5.4858397475553
BUD31	7.19382491231013
MAOA	4.0546185590565
CCDC41	4.96051204878164
TNNT3	3.83451878992055
FBXO11	6.07126807173435
GYPC	5.41128275074934
PLIN	4.01609296003227
RFXAP	4.1228788526516
C6orf15	3.65285711471239
RNF4	8.10961803132388
F8A1	7.64985511308312
PPP1R3D	4.89422030773723
GRB2	7.535960429915
TPM3	3.19575276559333
SYT13	3.86714947956618
EPB42	3.34760839338890
RP5-1077B9.4	5.62583947081809
EIF1	10.2501423972017
CETN3	6.3721646992267
FPGT	4.64285707872957
PRY	3.56156764310838
NTHL1	5.12450488447202
POLR2B	8.97822803888072
RPS28	12.0839465524642
GDF10	3.09040596071310
COQ9	7.04443164235794
P2RX3	2.90559119763783
GCC2	6.6736595279485
RARRES3	5.28382073478922
PLXNA1	5.50754726636158
WBP4	4.33110910986431
KIAA0100	6.34668090646717
