Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C08_433690
Composite Element REF	Signal
AACS	6.95306544196174
FSTL1	8.789362300432
ELMO2	5.92705905796191
CREB3L1	3.76593939513685
RPS11	9.9935821441459
PNMA1	8.36945743635311
MMP2	7.4532831953136
SAMD4A	3.77357156802751
SMARCD3	4.56982189209603
A4GNT	3.59715951539370
C9orf39	4.7559673018900
PKNOX2	3.9245696068536
RALYL	2.99101072447232
ZHX3	4.18511906251658
ERCC5	6.59898524195931
RXFP3	2.86035595806745
APBB2	4.89691513162157
BBOX1	6.46855344795642
PRO0478	2.97717823722149
GCSH	7.8591796786686
XDH	3.77097011278717
EDN1	6.89660606028079
MTERF	6.39716827612979
PDCL3	7.65528318679275
CLK4	6.37624610388235
KCNG1	3.94838193707081
CXCR4	8.2625086737459
DECR1	8.11540678219033
SALL1	2.95258396559879
PTPRR	3.56492584111746
CADM4	3.41672048537328
IRAK1	7.91541961411749
CFHR5	3.22164021885084
HNRPD	8.44117029735246
TMSB10	12.3348669724700
CXCL3	3.56026961974999
LMAN1	4.02569837586772
SUHW1	3.28854352128656
CHD8	7.5007200921841
SUMO1	8.28133056181528
GP1BA	3.13684799586591
OR7A10	3.75133534723587
DDB1	7.78451883177033
CHRNA10	3.80361392482163
STYK1	4.48536550176736
MYO9B	5.42589520865058
CCNI	9.93993157108953
MMP7	9.38986893395093
EP300	7.1663460785419
CRNKL1	7.46070510388866
C9orf45	3.21027864626092
XAB2	4.8169804993454
RTN1	4.08066645191652
HIC2	4.26841121449802
TBX10	3.68270200106505
CENPQ	4.32143503957326
UTY	3.29077907146054
OR2W1	3.01266255635281
ATP5G2	10.7249096305191
ZEB1	3.85421124355096
ZG16	3.55666414762777
ERG	3.44924841253069
PARN	6.5427388242839
SOD2	4.70667137989264
JOSD3	7.81751088137843
ADAM5P	3.22045907338047
CHD9	6.53232940743387
hCG_40738	4.4946233150837
STK16	4.55292749445029
PDE1C	3.5320806152994
SEMA4D	5.92623237287734
AGPAT1	6.28570163163468
TOB2	6.687243354397
BANK1	3.83936287454265
MAP3K3	6.31513269759838
MAX	5.8670645254918
GRM2	3.65825300319351
OSBPL8	8.78176991199993
PROSC	5.97446640659804
NR4A2	6.63651731320661
RICS	4.98533887569738
PIR	5.26164474754708
PPCS	8.53419742621462
IPO9	7.0241283487465
LONP1	6.19139738488307
