Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_C09_547270
Composite Element REF	Signal
AACS	6.33129284088128
FSTL1	10.3878211851003
ELMO2	5.23816417134934
CREB3L1	5.51224483409575
RPS11	9.93811650704681
PNMA1	7.77825433208296
MMP2	10.2477786230956
SAMD4A	4.16167810581484
SMARCD3	5.86525384292536
A4GNT	3.50742277712622
C9orf39	3.24685524677336
PKNOX2	4.8576386971874
RALYL	3.21031908031399
ZHX3	4.74612606781894
ERCC5	6.1946437006619
RXFP3	2.74263252568697
APBB2	5.77766738439077
BBOX1	5.56800665691494
PRO0478	2.96469401461160
GCSH	8.27689851448877
XDH	3.56206385696063
EDN1	5.91437454725278
MTERF	5.62983195045507
PDCL3	7.1248934022235
CLK4	6.45619007797844
KCNG1	4.53325213238953
CXCR4	8.08604176722797
DECR1	7.71193620702235
SALL1	2.96517701683923
PTPRR	4.70030667681177
CADM4	3.25103607044748
IRAK1	9.14682951592968
CFHR5	3.23971622260341
HNRPD	7.71166245791024
TMSB10	11.5931705406844
CXCL3	5.10438359831604
LMAN1	4.03939768863947
SUHW1	3.28626698826939
CHD8	5.70609916214649
SUMO1	7.68711517910576
GP1BA	3.17289731378203
OR7A10	3.82186427212723
DDB1	7.38097860158157
CHRNA10	3.67070432749176
STYK1	3.67568961340169
MYO9B	4.64089935288301
CCNI	10.0495009390759
MMP7	7.61281957695205
EP300	6.45732827050419
CRNKL1	6.22457406614573
C9orf45	3.28246547243749
XAB2	3.8177114075144
RTN1	4.78176801134913
HIC2	4.21531984470007
TBX10	3.56295647232613
CENPQ	3.75840185590751
UTY	3.15772008041924
OR2W1	2.82524928344899
ATP5G2	9.70964496272338
ZEB1	5.78255896591462
ZG16	3.36044713128587
ERG	4.42515045284763
PARN	7.31171589151326
SOD2	6.03212074423979
JOSD3	7.68077081803651
ADAM5P	3.10093995055953
CHD9	6.25286765634099
hCG_40738	3.99499074605875
STK16	5.01411720847693
PDE1C	3.64752089812191
SEMA4D	5.04564502689343
AGPAT1	6.48898539932503
TOB2	6.33177679995614
BANK1	4.68814986943659
MAP3K3	6.09594327963356
MAX	5.32932841394484
GRM2	3.59240856051475
OSBPL8	7.88161073757312
PROSC	6.14809948631804
NR4A2	9.55276430176998
RICS	5.30038049189518
PIR	3.72066782107853
PPCS	8.4689158319198
IPO9	5.93870350856467
LONP1	6.69377693596926
EVC	4.58025649696648
CXCL13	4.57437582711511
SCYL3	4.91696152213154
KIAA1199	5.80049263688292
SORL1	7.1720155594357
NAT10	6.77784614187054
CHD1	7.7345784617479
SYN3	3.42324789058582
DMC1	3.74872374473073
SLC22A2	3.81691323601781
SERPINF1	10.2872802107551
C20orf27	5.07072156011574
OR7A17	3.05122952292542
RPS6KA5	4.69239585263397
LHB	3.29812691156441
TAOK3	5.50845429796993
STK25	5.6827435726255
SLC12A4	3.69105840057145
BRCA1	3.35971551730305
GBL	5.74185341020046
C14orf108	8.08188696422249
CDC25B	6.87498659906761
BMP3	3.18608944784498
MAP1LC3C	3.41115781920045
TMEM180	3.23083359822903
CRYGC	3.54069848037189
SLK	6.59359788076851
POU3F1	3.18653185512493
C20orf32	3.80230730535137
USP52	4.34999345904309
HIGD1B	4.41504050897209
BAZ1B	6.22661577831911
USP6NL	4.79876812236541
SLCO2B1	5.0206566666756
ABCD4	4.5433474149344
DIMT1L	6.45933518005132
SLC25A46	7.42023241601201
LARP7	6.73682026150629
TEK	3.68295976828216
CD160	3.57768040861318
TERF2IP	7.87325944780224
PHF20	6.11857027502387
COL1A1	10.6584545946513
KIAA0090	6.11148036563347
GTPBP1	4.29290953018828
GRK5	4.52117208083862
AP1S2	6.7814226515481
RAB33B	3.95284298235742
CA11	3.9967012158592
ALDOC	4.60878057485637
NUDT1	4.8980369677888
ZNF212	5.60968600878045
ACBD3	7.8879236762871
ZNF83	6.53540674127979
PRDM2	5.22706518169376
GDPD5	6.14386179318854
PDCD4	5.6123577321907
CEP350	6.35969809339972
FOXP3	3.32421955959093
SMYD3	7.34256044964772
CST7	7.20163338260915
SELL	5.66582349963762
CIAO1	6.21279766327952
LGI2	4.2701689778887
WDR45	6.72271530481494
ANKRD6	7.20844513929969
LTBP4	4.09873201560057
PSCD3	3.5570623434879
PYY	3.15672085256091
KCNC1	3.08704646175540
SIRT6	3.87837932748321
CCL19	4.20809709598926
ARHGEF9	4.50432438823121
ABR	4.89234918430187
C10orf22	6.79742801248845
STK17A	5.4251325206988
FOXE1	6.1024433528928
GML	3.24313794726534
CNGA3	2.88162763300875
CD38	4.01534171379699
ZDHHC6	6.86585407024234
NEFH	3.38152222441890
PGBD5	3.55303920982926
CTDSP2	7.20000850250351
RMND5B	5.37348835037011
ZNF257	4.17396742215034
DUSP4	6.15010162181475
FLJ22167	4.44971453100514
EXOSC7	6.40595619743656
ROR2	5.0964002124993
FOXM1	5.54244848473267
ZBTB48	4.68102388884449
BUD31	7.49127573060134
MAOA	4.60937603125187
CCDC41	4.35139314010193
TNNT3	3.6674109850427
FBXO11	5.5048323200735
GYPC	7.5054630461174
PLIN	4.65619679668311
RFXAP	3.34422939090155
C6orf15	4.54848175694148
RNF4	7.86682415662146
F8A1	8.35547853545428
PPP1R3D	4.61876601598358
GRB2	7.30879131809478
TPM3	3.0932708655674
SYT13	3.72523206252141
EPB42	3.58496823346479
RP5-1077B9.4	5.34608218502774
EIF1	10.6039840669900
CETN3	7.4342344708253
FPGT	5.66476225201883
PRY	3.41675823400474
NTHL1	4.06032387558121
POLR2B	8.77495411340484
RPS28	11.3428482330424
GDF10	3.02246145321991
COQ9	8.19990953504094
P2RX3	2.77831911037727
GCC2	7.30967604264271
RARRES3	6.75709656420673
PLXNA1	6.63694030121038
WBP4	5.24961637176292
KIAA0100	6.44572277678626
PMF1	6.90356304731462
HS2ST1	6.54097002317743
CRELD2	7.36175922088795
C8G	3.0961456994409
CD82	6.43542979002772
PMM1	5.21241682540592
CBLL1	4.48741846048254
LIM2	3.32221617146069
VAX2	3.84036063371583
SETDB1	4.89042182119968
LRAP	5.39410532713532
GCLM	6.28957400155086
CPEB3	3.92147559825152
PPM1A	6.04691915695296
INTS1	3.9990506874709
MMP16	3.13280092905357
CAMTA1	4.18181104084840
SAMSN1	7.0169327154207
DRD3	2.78661552412036
GMPPA	6.2242206173821
C11orf73	6.1107373768366
AIPL1	3.87822626369730
PTP4A2	9.2991544854736
IL24	3.42519220827325
BDKRB1	4.57791454772656
HPCA	3.47457712061598
MLF1	5.71713648770124
SEC14L1	6.6668624101478
CHFR	5.53912058237188
EMILIN1	6.30815540825733
THADA	6.40735153737319
TAF12	5.80567106496617
NDUFS4	8.42142346431435
ID1	9.68106894130656
PIK3CB	3.64233467586249
COL18A1	8.36550120025118
PDZD3	3.28802568085731
TBC1D17	4.25193207897649
COX8A	9.90814364429265
CDCA4	5.92925786675923
C2orf44	3.84301827579967
C9orf16	8.25739820208102
ERBB2IP	8.4705716230115
EMX2	6.91857530105743
FUS	6.21520118116466
NIPSNAP3B	3.47423064096126
TF	3.18984219995147
CXorf56	5.47244468529184
CLCN4	3.69700805223712
PWP2	5.85766508178591
MMP15	3.98604260882155
MTMR14	6.16719959944925
NPR1	5.98807423860967
DNAL4	5.27523747447842
ELAC2	4.47157723424438
ASS1	10.9982926642675
IPP	5.01932059951204
TMEM59	10.1764670421291
POLR2J	8.4127615784428
SEC23IP	5.92912844246135
RGS4	8.91078114189986
UQCRC1	9.36785102804296
SNX6	7.74326893314476
DDX18	6.98508519401162
POLG	4.94705703977818
