Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_B07_458672
Composite Element REF	Signal
AACS	7.54188216039896
FSTL1	6.92363442142937
ELMO2	5.04196188243923
CREB3L1	3.73493067124295
RPS11	9.84819988913035
PNMA1	9.53369034483213
MMP2	4.2520926718028
SAMD4A	3.88909069038465
SMARCD3	5.66870334563108
A4GNT	3.77680398094067
C9orf39	3.36217433124923
PKNOX2	3.7444640201891
RALYL	3.49637716509364
ZHX3	4.21451997328989
ERCC5	5.91105865660525
RXFP3	3.17671066464755
APBB2	4.82516036974411
BBOX1	3.35276695364736
PRO0478	3.13720802729565
GCSH	7.01829256155208
XDH	3.62593977420495
EDN1	4.61508829669829
MTERF	6.6046512909828
PDCL3	7.3617131793699
CLK4	4.75589112401235
KCNG1	4.35183738771049
CXCR4	7.981874440497
DECR1	7.8131906118736
SALL1	3.26557012408432
PTPRR	3.21215852271605
CADM4	3.46591795970382
IRAK1	8.69235530329329
CFHR5	3.0201215063564
HNRPD	7.95000672727994
TMSB10	12.2683361072480
CXCL3	3.42786703089504
LMAN1	4.48360976769413
SUHW1	3.52269011451228
CHD8	6.28960847423292
SUMO1	7.97381943854839
GP1BA	3.59997933588505
OR7A10	3.6669990047624
DDB1	8.1722628346523
CHRNA10	3.67627100461451
STYK1	3.82726206152071
MYO9B	4.41785534706525
CCNI	10.0291938602439
MMP7	3.34228848091369
EP300	5.97493276149934
CRNKL1	6.75061979727
C9orf45	3.24577391508460
XAB2	3.87577137674693
RTN1	3.35919766951237
HIC2	3.84665927439938
TBX10	3.50563979382451
CENPQ	4.36602493088954
UTY	3.15802114737482
OR2W1	2.90567134268799
ATP5G2	10.5462055113338
ZEB1	3.38694142903713
ZG16	3.33311493995443
ERG	3.54072212566022
PARN	6.14876562226782
SOD2	4.38384322305020
JOSD3	7.83059247677869
ADAM5P	3.0775472473577
CHD9	5.55189620980109
hCG_40738	4.2305628881396
STK16	4.79329808539925
PDE1C	3.69412851118113
SEMA4D	4.65425546224191
AGPAT1	5.47831440082207
TOB2	6.01428937954613
BANK1	3.3038300693459
MAP3K3	4.95145174318681
MAX	5.48547704523028
GRM2	3.63526764614744
OSBPL8	7.44032540398654
PROSC	6.1097211589644
NR4A2	5.21243716106765
RICS	5.61132654032062
PIR	4.94658640354227
PPCS	9.35043098840333
IPO9	6.31942584876339
LONP1	7.35254094910012
EVC	4.53712880197088
CXCL13	3.48683723060960
SCYL3	6.17986840190425
KIAA1199	4.46505180711839
SORL1	8.5387326750313
NAT10	7.23754215366182
CHD1	5.43643400840795
SYN3	3.62741543378888
DMC1	3.57561368207105
SLC22A2	3.53821759261289
SERPINF1	4.46502601634755
C20orf27	4.86656837298908
OR7A17	3.33021705307214
RPS6KA5	4.99918267895356
LHB	3.47788410690842
TAOK3	5.47921309733579
STK25	6.1383882126224
SLC12A4	3.60778429062471
BRCA1	3.84151328925501
GBL	4.8022655883849
C14orf108	8.6961461519699
CDC25B	5.35741266677417
BMP3	3.50471899040038
MAP1LC3C	3.58148679014172
TMEM180	3.57912841979141
CRYGC	3.66530815569884
SLK	7.50610851255383
POU3F1	3.25796771009331
C20orf32	3.71417601534589
USP52	6.42571750611747
HIGD1B	3.86445160829749
BAZ1B	6.09995708414771
USP6NL	5.69481992988216
SLCO2B1	3.71773362638497
ABCD4	4.7898366819408
DIMT1L	5.70295989260730
SLC25A46	4.38204070016295
LARP7	7.1854259605472
TEK	3.74925423995185
CD160	3.33289266276030
TERF2IP	6.94237686790979
PHF20	6.10107512852757
COL1A1	5.76426560379336
KIAA0090	6.40343454821896
GTPBP1	4.16061791869921
GRK5	3.56097496881022
AP1S2	3.84085205315238
RAB33B	3.87680309731593
CA11	5.56136475095918
ALDOC	6.34499300053451
NUDT1	5.63349050531824
ZNF212	5.86808100606518
ACBD3	6.87783052416255
ZNF83	7.24576912862962
PRDM2	4.79284876489076
GDPD5	4.02625477763664
PDCD4	7.07344436833547
CEP350	6.35868218415818
FOXP3	3.21031714782989
SMYD3	7.21751032921436
CST7	3.66838371862104
SELL	5.32004771876332
CIAO1	6.2653640926111
LGI2	3.85616893960459
WDR45	6.35311437668782
ANKRD6	7.32341490961917
LTBP4	3.87839298642057
PSCD3	3.54738421276966
PYY	3.28003995409488
KCNC1	3.17605076480819
SIRT6	3.84823065025938
CCL19	3.71722467770183
ARHGEF9	4.46453253888997
ABR	4.04558420693273
C10orf22	7.05437461947356
STK17A	5.70676295160801
FOXE1	3.25373569897633
GML	3.27623390191790
CNGA3	3.05955092580951
CD38	3.61137708736262
ZDHHC6	7.81434756794863
NEFH	7.37336687371635
PGBD5	4.68827891342103
CTDSP2	7.52872570274428
RMND5B	5.10099767935521
ZNF257	4.15755649440561
DUSP4	3.50868398880789
FLJ22167	5.82517075623467
EXOSC7	7.4977042183312
ROR2	3.51057042158037
FOXM1	4.9698966677207
ZBTB48	4.98986012495322
BUD31	8.65364064054804
MAOA	4.49498043062753
CCDC41	3.86220988169363
TNNT3	3.57225670280372
FBXO11	5.59527763096023
GYPC	4.78888816105498
PLIN	3.63844353731172
RFXAP	3.75032333585074
C6orf15	3.54926916852314
RNF4	8.64392388055806
F8A1	5.47544907890838
PPP1R3D	4.62616576561208
GRB2	7.3145436932593
TPM3	3.27609173929641
SYT13	4.5031877431443
EPB42	3.38682371061953
