Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B07_543584
Composite Element REF	Signal
AACS	7.78724767516051
FSTL1	8.49118824932381
ELMO2	4.86591569291038
CREB3L1	4.33000527439439
RPS11	9.93279848345019
PNMA1	8.07793932962287
MMP2	7.7613141336896
SAMD4A	4.01993781718038
SMARCD3	8.51017282814975
A4GNT	3.71314210063926
C9orf39	3.35364666038557
PKNOX2	3.79578532603257
RALYL	3.31890932618297
ZHX3	4.50846264001398
ERCC5	7.22684711068553
RXFP3	3.08265210252559
APBB2	4.03623197933623
BBOX1	4.53470385455107
PRO0478	3.06546133258215
GCSH	7.83953386089516
XDH	4.00460847398171
EDN1	5.54227111153178
MTERF	6.39337134051864
PDCL3	7.3039288459388
CLK4	5.96682216912943
KCNG1	3.33514920528006
CXCR4	5.77479057778079
DECR1	8.18014666744958
SALL1	3.16219476651024
PTPRR	3.62193314130805
CADM4	3.69968533733142
IRAK1	8.56406050155478
CFHR5	3.2815329109173
HNRPD	7.57857838819309
TMSB10	12.1360141985355
CXCL3	5.90952690375906
LMAN1	3.79251548056994
SUHW1	3.35605039374921
CHD8	6.55166003875855
SUMO1	7.5934327275223
GP1BA	3.24530737863822
OR7A10	3.83775803716106
DDB1	7.8640966695664
CHRNA10	3.75683491626588
STYK1	3.19734569483955
MYO9B	4.21861304577861
CCNI	10.2770806225313
MMP7	10.844102228407
EP300	5.87639994092528
CRNKL1	6.27283848257577
C9orf45	3.13435534166335
XAB2	3.88782794704698
RTN1	3.89287304344209
HIC2	4.72895908945091
TBX10	3.60111300160723
CENPQ	3.74618748585001
UTY	3.10103520183371
OR2W1	2.78081637118594
ATP5G2	10.3316939876348
ZEB1	3.4938570369189
ZG16	3.62048967186130
ERG	3.44280799087815
PARN	7.1635758214465
SOD2	5.66423426550105
JOSD3	7.96983467642973
ADAM5P	3.23323815165567
CHD9	6.3195824094233
hCG_40738	3.79526919327165
STK16	4.78152960987172
PDE1C	3.85264332413054
SEMA4D	5.93519392131953
AGPAT1	6.2264289510944
TOB2	6.81516719764964
BANK1	4.50463789664611
MAP3K3	4.9509006012144
MAX	5.25308745786974
GRM2	3.74799399514401
OSBPL8	6.66452801304372
PROSC	6.90613615126435
NR4A2	4.62252442369633
RICS	5.98032500456827
PIR	4.94953527141649
PPCS	8.70491986135708
IPO9	6.46749995470095
LONP1	5.9421173077701
EVC	4.3572624406707
CXCL13	4.09799464298144
SCYL3	5.35075550818622
KIAA1199	5.21303819533894
SORL1	8.54636756334984
NAT10	7.62597298423408
CHD1	6.27790173934704
SYN3	3.46143673055433
DMC1	3.75197671053865
SLC22A2	3.69993119489543
SERPINF1	7.45810054699667
C20orf27	6.9073137484528
OR7A17	3.33285879934634
RPS6KA5	4.03825222786909
LHB	3.61937539054683
TAOK3	5.38365696866333
STK25	6.78309155831741
SLC12A4	3.64789281753389
BRCA1	3.55370229052343
GBL	5.51809530540152
C14orf108	7.8618597849917
CDC25B	7.18760201933338
BMP3	3.108418212453
MAP1LC3C	3.03047485011804
TMEM180	4.14276848790929
CRYGC	3.56771938612051
SLK	6.21233206565566
POU3F1	3.27671340216471
C20orf32	3.61418579853876
USP52	5.14930956805229
HIGD1B	3.64827045693274
BAZ1B	7.32486133638062
USP6NL	5.67441707679158
SLCO2B1	4.04553804870329
ABCD4	4.41801793058617
DIMT1L	6.22039161340195
SLC25A46	6.13713655991522
LARP7	6.89197463115396
TEK	3.58859958755623
CD160	3.60607430440003
TERF2IP	7.8893094585022
PHF20	6.39466535106932
COL1A1	7.88997131787365
KIAA0090	5.96641127694257
GTPBP1	4.84025276217723
GRK5	3.69564885535796
AP1S2	4.49341290746276
RAB33B	4.88779718222404
CA11	4.65341617901061
ALDOC	6.87813540947921
NUDT1	4.98752884714541
ZNF212	5.94051147232743
ACBD3	7.3747178086633
ZNF83	6.22760536794854
PRDM2	5.35866783268512
GDPD5	6.41324789919536
PDCD4	6.27843995787865
CEP350	6.21796716135533
