Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B11_452010
Composite Element REF	Signal
AACS	6.98602758762253
FSTL1	8.4487926017864
ELMO2	5.56269532448862
CREB3L1	3.54223131175286
RPS11	10.1259008839705
PNMA1	8.44543585718069
MMP2	6.13377939312535
SAMD4A	4.26325343777574
SMARCD3	7.19298850791443
A4GNT	3.5595583244669
C9orf39	3.99461015511357
PKNOX2	4.47796054438337
RALYL	3.35781466952328
ZHX3	4.2739973010366
ERCC5	7.44619003556212
RXFP3	3.01444893023467
APBB2	4.3187095324678
BBOX1	9.25328385099765
PRO0478	2.99179230044050
GCSH	8.24881416451111
XDH	3.45692650324538
EDN1	5.6788200720906
MTERF	6.39870742581927
PDCL3	6.682136273073
CLK4	6.21326311069063
KCNG1	3.48298393316018
CXCR4	7.74205619756801
DECR1	7.62953872257877
SALL1	3.08311488731754
PTPRR	3.16475013709378
CADM4	3.44162434346685
IRAK1	8.85707681848113
CFHR5	3.25440642933357
HNRPD	7.99482246992785
TMSB10	11.9234829111053
CXCL3	4.69330658211905
LMAN1	3.80040475171674
SUHW1	3.41358493372948
CHD8	6.20049560494946
SUMO1	8.13366135405748
GP1BA	3.20195906613917
OR7A10	3.84102430324377
DDB1	7.85913748841411
CHRNA10	3.6299126387996
STYK1	5.10222867702532
MYO9B	4.15509645995474
CCNI	10.8090655770814
MMP7	10.8308965836725
EP300	6.54410555137864
CRNKL1	5.87516757361365
C9orf45	3.16011854727235
XAB2	4.50914108565164
RTN1	5.58819089847409
HIC2	3.92011738644908
TBX10	3.76207520725329
CENPQ	4.24874381987799
UTY	3.09265876096939
OR2W1	2.77641867446934
ATP5G2	10.3327225183785
ZEB1	3.14387331200636
ZG16	3.57253532330464
ERG	3.74306066469192
PARN	7.26875443056879
SOD2	6.3322447505582
JOSD3	8.36796177576443
ADAM5P	3.07576377039012
CHD9	6.80153835566015
hCG_40738	3.67244746349189
STK16	4.87817910630032
PDE1C	3.55027485018021
SEMA4D	4.8107102805686
AGPAT1	7.79649506615707
TOB2	6.01946924450725
BANK1	3.41830417722819
MAP3K3	4.96613690231044
MAX	5.2890158515942
GRM2	3.6083193529204
OSBPL8	7.03955699668979
PROSC	6.45465548688362
NR4A2	5.191047162455
RICS	5.59378181802987
PIR	5.40144282690902
PPCS	9.2053628260623
IPO9	6.2892782061543
LONP1	7.49843497766615
EVC	4.65468518997664
CXCL13	3.96214231080188
SCYL3	5.5820686866922
KIAA1199	7.23434836089294
SORL1	7.8367731122784
NAT10	7.4859646395081
CHD1	5.6559535222864
SYN3	3.85650436762269
DMC1	4.22680184653406
SLC22A2	3.38840073413229
SERPINF1	5.57443946596263
C20orf27	5.6952637680308
OR7A17	3.03780648794573
RPS6KA5	6.04481448794019
LHB	3.20653343824296
TAOK3	4.87193718900213
STK25	5.33240347771605
SLC12A4	3.58404967205199
BRCA1	3.26812661446475
GBL	5.12879768872846
C14orf108	8.88930045215043
CDC25B	7.99231507550197
BMP3	3.19785423927782
MAP1LC3C	3.30216322224202
TMEM180	3.85160075050243
CRYGC	3.40775658833213
SLK	6.57739263738966
POU3F1	3.19827431683456
C20orf32	3.84775014767687
USP52	5.94158712297216
HIGD1B	3.56525899973778
BAZ1B	6.61053692100323
USP6NL	5.75579467379004
SLCO2B1	3.78072457626714
ABCD4	4.80054477296827
DIMT1L	5.64990805478755
SLC25A46	6.97190686711552
LARP7	6.89677122678404
TEK	3.61627309834827
CD160	3.61375867013994
TERF2IP	7.98539481866854
PHF20	5.93294703685534
COL1A1	6.10433832364593
KIAA0090	4.83191354646570
GTPBP1	4.39207695461407
GRK5	3.69043114608694
AP1S2	4.64647718957692
RAB33B	5.24779817669283
CA11	6.87180336453517
ALDOC	4.24200932604001
NUDT1	5.76154331963575
ZNF212	5.26683013875490
ACBD3	6.7079152677881
ZNF83	7.39132213533871
PRDM2	4.38922628794076
GDPD5	4.71667588719754
PDCD4	6.6487121728708
CEP350	7.89782219597572
FOXP3	3.28507620875973
SMYD3	6.09817203238974
CST7	3.89851974153293
SELL	5.80473605161403
CIAO1	6.52597893360104
LGI2	3.60984457880454
WDR45	6.59508534534014
ANKRD6	7.95335963297361
LTBP4	3.47031405890968
PSCD3	3.22677318830137
PYY	3.30274600822189
KCNC1	3.19631290757183
SIRT6	4.58040614285883
CCL19	3.65400114911348
ARHGEF9	5.48575537489595
ABR	4.53457622524326
C10orf22	7.15635994872068
STK17A	5.01299359006825
FOXE1	3.34188972683168
GML	3.19344775561213
CNGA3	3.02131500098734
CD38	3.65495401884822
ZDHHC6	8.16657456093156
NEFH	3.24448883457896
PGBD5	3.80906184702169
CTDSP2	7.44352762834166
RMND5B	6.30604054491665
ZNF257	3.95032931197009
DUSP4	4.32533345675701
FLJ22167	6.692365201269
EXOSC7	6.73208097272285
ROR2	3.74622521716685
FOXM1	5.58775714735938
ZBTB48	4.26342065582181
BUD31	8.15091012535382
MAOA	5.27037361140772
CCDC41	4.33729291669796
TNNT3	3.80006066434391
FBXO11	6.0725987751678
GYPC	4.98078467687784
PLIN	3.98384637829171
RFXAP	3.27089454720696
C6orf15	3.91953250103174
RNF4	8.36792606021983
