Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C01_491126
Composite Element REF	Signal
AACS	7.5601884399203
FSTL1	8.05720016604005
ELMO2	5.6364855619798
CREB3L1	4.88113076855291
RPS11	10.3228373901178
PNMA1	7.9054114288585
MMP2	7.50228467839987
SAMD4A	3.9920452379312
SMARCD3	7.61728764452972
A4GNT	3.96068543501270
C9orf39	3.39653775844532
PKNOX2	4.83024893777417
RALYL	3.51760331525045
ZHX3	4.11700747450073
ERCC5	6.20969713276524
RXFP3	3.02917650078237
APBB2	3.76409670006514
BBOX1	4.29182650113562
PRO0478	2.92949004273385
GCSH	9.3786368476476
XDH	4.04065360283409
EDN1	3.88458557637888
MTERF	5.89830319615053
PDCL3	6.97657618451249
CLK4	5.67213481716268
KCNG1	3.49268241050753
CXCR4	6.15029627427135
DECR1	7.8640220240119
SALL1	4.104033522546
PTPRR	5.65364763732645
CADM4	3.322246021379
IRAK1	9.15282560673717
CFHR5	3.10968338354363
HNRPD	7.7802354721638
TMSB10	12.2307746824367
CXCL3	3.8148733460459
LMAN1	4.33381008605642
SUHW1	3.5695887534748
CHD8	5.28924358484087
SUMO1	8.10664041089428
GP1BA	3.25909196850167
OR7A10	3.77994042767400
DDB1	7.82351224184842
CHRNA10	3.58031826659881
STYK1	4.32715335995112
MYO9B	3.90658814961513
CCNI	10.7855604251808
MMP7	6.92277737613827
EP300	7.12452712887214
CRNKL1	7.11631587852135
C9orf45	3.39731819089112
XAB2	4.29555876370142
RTN1	4.23688878281449
HIC2	3.91567536094054
TBX10	3.40681172488135
CENPQ	3.66535847299947
UTY	3.10802650849755
OR2W1	2.89978459532714
ATP5G2	10.8119059644544
ZEB1	3.86573336523023
ZG16	3.4924983226538
ERG	3.86580027801293
PARN	7.91766080216314
SOD2	4.14363653511837
JOSD3	7.28335814676661
ADAM5P	3.30463011851866
CHD9	7.62131176555152
hCG_40738	3.71924309959889
STK16	6.08679288410871
PDE1C	3.74711551287561
SEMA4D	5.5860091513442
AGPAT1	6.13216974995821
TOB2	6.86622791801022
BANK1	3.44702267127653
MAP3K3	5.10006266971542
MAX	5.3607471733172
GRM2	3.7135316753317
OSBPL8	8.09109700837516
PROSC	6.71214859718614
NR4A2	6.19706112568268
RICS	6.3057348886412
PIR	7.00013431219802
PPCS	8.61372956102411
IPO9	6.00120131446546
LONP1	6.58421257614383
EVC	4.3415276456963
CXCL13	3.87410371795696
SCYL3	5.66113667478905
KIAA1199	5.34725288214353
SORL1	10.1107685945249
NAT10	6.96347627596132
CHD1	7.14667680818873
SYN3	3.34487045473734
DMC1	3.9297085484146
SLC22A2	3.90328620180565
SERPINF1	7.96240252995238
C20orf27	5.58969400203526
OR7A17	3.18945977761523
RPS6KA5	4.18781357131452
LHB	3.22584758875029
TAOK3	5.12122916548927
STK25	5.89983999262988
SLC12A4	3.73826763743159
BRCA1	3.61989990493034
GBL	6.52659344011192
C14orf108	7.90510729501935
CDC25B	5.78392843465871
BMP3	3.14639542942246
MAP1LC3C	3.46680312993055
TMEM180	3.57895860825466
CRYGC	3.39870807809565
SLK	7.28712278291163
POU3F1	3.20337115553898
C20orf32	3.66359382527143
USP52	5.03691442709629
HIGD1B	3.83747009897268
BAZ1B	6.98464818352595
USP6NL	6.01509393451417
SLCO2B1	4.6210195962748
ABCD4	4.49989368416584
DIMT1L	6.38702836351227
SLC25A46	7.28989787157178
LARP7	5.96042225444962
TEK	4.01770267078776
CD160	3.82165858136737
TERF2IP	8.79828569170252
PHF20	5.87148350760329
COL1A1	7.35770179792498
KIAA0090	5.04022382452328
GTPBP1	4.88770609219452
GRK5	4.06880664555621
AP1S2	5.38756340153715
RAB33B	4.90336408434175
CA11	6.35696691007357
ALDOC	4.57010225743594
NUDT1	4.65100032477944
ZNF212	5.53780148488851
ACBD3	8.11867830879672
ZNF83	6.79995418210642
PRDM2	4.61023591408937
GDPD5	5.26473436962986
PDCD4	7.0241417099741
CEP350	6.16194299247443
FOXP3	3.15322544091232
SMYD3	6.09799769606333
CST7	4.25232298732256
