Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_B12
Composite Element REF	Signal
AACS	6.8016619874092
FSTL1	8.06303178761852
ELMO2	5.25498792842295
CREB3L1	3.63307681771353
RPS11	9.90310071961649
PNMA1	8.30268173062832
MMP2	6.61370933040462
SAMD4A	3.92939016920055
SMARCD3	6.68739939244341
A4GNT	3.50076312003521
C9orf39	4.33305418576862
PKNOX2	3.89877398171478
RALYL	3.39018339139309
ZHX3	4.08406759410916
ERCC5	5.703732204208
RXFP3	2.82272320541968
APBB2	5.58099376402584
BBOX1	5.49547921919611
PRO0478	2.85719644606931
GCSH	10.2060602978635
XDH	3.52846841890517
EDN1	4.66583488218271
MTERF	7.36979447510604
PDCL3	8.0832476872578
CLK4	5.92378763830985
KCNG1	3.36228069910876
CXCR4	9.26736878771202
DECR1	9.08704856661958
SALL1	3.35404648438303
PTPRR	3.18723637350154
CADM4	3.52604139928353
IRAK1	8.58985238499222
CFHR5	3.09547268059865
HNRPD	8.8663799016065
TMSB10	12.4327261544677
CXCL3	5.36280319258811
LMAN1	4.15957388918291
SUHW1	3.88177585630403
CHD8	6.35163347671225
SUMO1	8.9013329826593
GP1BA	3.122844263195
OR7A10	3.59778774242018
DDB1	7.63318116554892
CHRNA10	3.75638101602159
STYK1	5.37326822449261
MYO9B	4.315255031014
CCNI	10.5343582201454
MMP7	8.30729449062798
EP300	6.23478659322801
CRNKL1	7.14501042031218
C9orf45	3.03804001186787
XAB2	4.08067816125475
RTN1	3.4605317629538
HIC2	3.93371352389141
TBX10	3.44782923103438
CENPQ	4.9124020278023
UTY	3.18660363715896
OR2W1	2.8585940245284
ATP5G2	10.8255267638032
ZEB1	3.52335687834202
ZG16	5.91999068442583
ERG	3.87422353705963
PARN	6.94022334342923
SOD2	6.01632900465556
JOSD3	7.96434703780746
ADAM5P	3.16196866375585
CHD9	6.13771757936518
hCG_40738	3.82813648419411
STK16	4.83356340139194
PDE1C	3.62054851224867
SEMA4D	5.95363449457625
AGPAT1	7.12787439105991
TOB2	6.33499146166975
BANK1	6.35669388322017
MAP3K3	5.65818053235384
MAX	5.19231584408685
GRM2	3.63690513068011
OSBPL8	8.06580479039782
PROSC	5.93739815750525
NR4A2	6.54569238358825
RICS	5.51600090244022
PIR	6.63379645360533
PPCS	9.0980835010908
IPO9	6.34277025782076
LONP1	6.9588962222368
EVC	4.38150294957977
CXCL13	5.51401931679041
SCYL3	5.94946429484052
KIAA1199	4.95606245725845
SORL1	7.62375849777577
NAT10	7.79068576162697
CHD1	7.2918028991282
SYN3	3.52128795997287
DMC1	4.34559109128218
SLC22A2	3.59415793888242
SERPINF1	9.1014153425145
C20orf27	6.30258928299412
OR7A17	3.15973432143603
RPS6KA5	4.51663337754104
LHB	3.47207872324169
TAOK3	5.32301255375863
STK25	7.24703220177159
SLC12A4	3.66954881469931
BRCA1	3.41087804192821
GBL	5.9611112121574
C14orf108	9.30779434670832
CDC25B	7.18452277676782
BMP3	3.12085895547854
MAP1LC3C	3.28933618795654
TMEM180	3.37497312325896
CRYGC	4.70539034730572
SLK	7.07410258074822
POU3F1	3.0701717288599
C20orf32	3.66601709908267
USP52	6.17740904433607
HIGD1B	4.03684452038592
BAZ1B	6.12310453244645
USP6NL	5.9713928700944
SLCO2B1	4.28380208719449
ABCD4	4.60782728798957
DIMT1L	6.25415048969522
SLC25A46	8.72225408458566
LARP7	7.15898728200295
TEK	3.65425120038006
CD160	3.63441724052625
TERF2IP	9.36676975833408
PHF20	5.64274615830055
COL1A1	7.12212164357089
KIAA0090	6.08560828378278
GTPBP1	4.51580882041932
GRK5	3.98389064003224
AP1S2	5.6554381340229
RAB33B	4.62044402975602
CA11	4.59358693952331
ALDOC	5.7358240377591
