Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A07_547384
Composite Element REF	Signal
AACS	6.2871120709928
FSTL1	7.08276594511343
ELMO2	5.4256589926403
CREB3L1	3.41151292755079
RPS11	9.97419951271775
PNMA1	8.49710481927029
MMP2	6.66566326723504
SAMD4A	3.87726568911173
SMARCD3	7.57224166571295
A4GNT	3.72770673893341
C9orf39	3.56924465454071
PKNOX2	3.85541572359931
RALYL	3.48572295090216
ZHX3	4.37384143753667
ERCC5	5.14941656489586
RXFP3	2.80945021225846
APBB2	3.7026993343056
BBOX1	8.78238069146988
PRO0478	2.80591229847706
GCSH	8.3006042042348
XDH	3.29894424823435
EDN1	3.49992956134266
MTERF	6.1578361674403
PDCL3	7.87785738435832
CLK4	5.72498756599345
KCNG1	4.03309158047427
CXCR4	8.06589154575205
DECR1	8.14995794029654
SALL1	3.14728971626707
PTPRR	3.37221984239276
CADM4	3.3919342273053
IRAK1	8.9548954335177
CFHR5	3.18461115336855
HNRPD	7.76559528298598
TMSB10	12.2779825913095
CXCL3	4.08303500664908
LMAN1	3.85645877451111
SUHW1	3.53043622432759
CHD8	5.8711780593491
SUMO1	8.70449840354275
GP1BA	3.29466421493484
OR7A10	3.83288740726747
DDB1	7.91404427752735
CHRNA10	3.67106102978109
STYK1	4.40587636731738
MYO9B	4.31951226242562
CCNI	9.94565556392694
MMP7	6.33483151903494
EP300	5.98246210072363
CRNKL1	6.93543593531808
C9orf45	3.13994317568304
XAB2	4.31491385387369
RTN1	4.16036140649328
HIC2	4.19314225860065
TBX10	3.51807909257932
CENPQ	4.99569798153699
UTY	3.25603055131579
OR2W1	2.9400672010251
ATP5G2	9.9138262160929
ZEB1	3.43527386308985
ZG16	3.35116826847828
ERG	3.74125053562415
PARN	8.95051238052226
SOD2	6.4587464021365
JOSD3	6.8943221831751
ADAM5P	3.17234067178308
CHD9	5.84970584106266
hCG_40738	3.59561694288248
STK16	5.58022037718514
PDE1C	3.66540282450972
SEMA4D	4.83694527234969
AGPAT1	6.83694536863034
TOB2	6.04648308144259
BANK1	3.28736490743801
MAP3K3	6.16903148513477
MAX	5.53452077717937
GRM2	3.85510057904061
OSBPL8	6.45482790404095
PROSC	5.6912346902131
NR4A2	4.06312315462812
RICS	3.70372819162216
PIR	7.05415250418319
PPCS	9.3170827144028
IPO9	6.58443063233662
LONP1	7.38080888380858
EVC	3.85236520034297
CXCL13	5.95706288573735
SCYL3	5.47835378142966
KIAA1199	6.80411506479867
SORL1	6.63639318074287
NAT10	7.15244546818287
CHD1	6.86618329160445
SYN3	3.63126322055956
DMC1	3.70270017966409
SLC22A2	3.5890636118363
SERPINF1	6.84110773248914
C20orf27	7.45149223185142
OR7A17	3.28581153241945
RPS6KA5	4.385015296053
LHB	3.44599638330599
TAOK3	4.70864178600297
