Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A06_451960
Composite Element REF	Signal
AACS	6.62922731112652
FSTL1	7.84831089359581
ELMO2	5.52269346645634
CREB3L1	3.72602498653255
RPS11	10.0033521719637
PNMA1	8.27834012960885
MMP2	5.12680528376644
SAMD4A	3.69536137710852
SMARCD3	5.51190788779342
A4GNT	3.83361493500022
C9orf39	3.28334048240248
PKNOX2	4.55427828345034
RALYL	3.29536103516130
ZHX3	4.25272562625005
ERCC5	5.72128175589349
RXFP3	3.18309801648007
APBB2	3.39387209417852
BBOX1	4.20859665630273
PRO0478	3.19844054501384
GCSH	8.0026129724679
XDH	3.77054554037183
EDN1	3.79770288148462
MTERF	5.85013198103145
PDCL3	6.99992088581142
CLK4	4.58423253636611
KCNG1	3.61597463259244
CXCR4	8.71994451613616
DECR1	6.99712511320188
SALL1	4.99589745966667
PTPRR	3.39680308753424
CADM4	3.83946398865106
IRAK1	7.4261660732816
CFHR5	3.14255038176269
HNRPD	7.62914513888188
TMSB10	11.9076298856931
CXCL3	3.43207389628096
LMAN1	3.79666101138546
SUHW1	3.73864914714159
CHD8	5.63114418734129
SUMO1	8.21883975374991
GP1BA	3.38282505526300
OR7A10	3.70547588331125
DDB1	7.70035631737425
CHRNA10	3.80272687347505
STYK1	3.48490990213806
MYO9B	4.7629620618573
CCNI	9.5901633866381
MMP7	4.37880060453943
EP300	5.719502358482
CRNKL1	6.38812281620048
C9orf45	3.22614917949222
XAB2	4.26117197930306
RTN1	4.36102653135689
HIC2	4.33082581202922
TBX10	3.55729552814174
CENPQ	4.87293362170498
UTY	3.18954890796853
OR2W1	3.08916612275665
ATP5G2	10.0654093959584
ZEB1	3.26175750033691
ZG16	3.37061251810977
ERG	3.55664906406228
PARN	6.48804764745415
SOD2	3.87542061860454
JOSD3	8.27390939778542
ADAM5P	3.3354781345242
CHD9	5.98547907650297
hCG_40738	4.17242323560054
STK16	5.30405881950048
PDE1C	3.65953595154396
SEMA4D	5.03523573042189
AGPAT1	6.16734019580475
TOB2	5.75003622135079
BANK1	3.91409529677176
MAP3K3	4.45003497093657
MAX	5.01324292319054
GRM2	3.88573770094201
OSBPL8	7.2915404412652
PROSC	5.859619521542
NR4A2	4.09324700544775
RICS	4.29995042548954
PIR	5.07911135576253
PPCS	8.51245897237501
IPO9	5.97773323130203
LONP1	6.84784360454077
EVC	4.1046984019631
CXCL13	3.9572850499465
SCYL3	4.69467903742979
KIAA1199	5.35214825271567
SORL1	7.19403149463696
NAT10	6.77505924083942
CHD1	5.66403923271138
SYN3	3.58483132932316
DMC1	4.01521748911882
SLC22A2	3.59314055715350
SERPINF1	3.65379150106059
C20orf27	6.6280360785856
OR7A17	3.44081379951787
RPS6KA5	4.17963761180214
LHB	3.48520910527546
TAOK3	4.35326301587446
STK25	6.47286532778278
SLC12A4	3.70671648153292
BRCA1	4.06925586104469
GBL	5.79140288338687
C14orf108	7.46906406496824
CDC25B	6.09577398466362
BMP3	3.35414914765760
MAP1LC3C	3.26145207194073
TMEM180	4.46210856070891
CRYGC	4.02523927575992
SLK	5.92505064948761
POU3F1	3.31190820481537
C20orf32	4.11464516359341
USP52	6.73337991278496
HIGD1B	3.82637711875201
BAZ1B	6.35535069311888
USP6NL	5.83174020509105
SLCO2B1	3.91888097554144
ABCD4	4.57686039174220
DIMT1L	5.89454460009468
SLC25A46	5.40688735230025
LARP7	6.77619294429827
TEK	4.07615274851098
CD160	3.63470792785211
TERF2IP	6.5560443053506
PHF20	5.93115418583639
COL1A1	5.53102431711557
KIAA0090	5.95025775139375
GTPBP1	4.44416803018702
GRK5	3.53710391249229
AP1S2	4.68287235114514
RAB33B	4.92199243838817
CA11	4.04159899887997
ALDOC	4.50833448155187
NUDT1	5.95233085730709
ZNF212	5.39154070387282
ACBD3	5.72886984977792
ZNF83	7.22153520173549
PRDM2	4.60934254969352
GDPD5	5.06311673443268
PDCD4	5.34050401717376
CEP350	5.38116969178412
FOXP3	3.40035257249525
SMYD3	6.46069273201034
CST7	3.82023311919204
SELL	3.36427468123652
CIAO1	6.44532079548238
LGI2	4.19185984947966
WDR45	6.09228292005005
ANKRD6	6.01020333674496
LTBP4	4.88033414001418
PSCD3	3.62214043057765
PYY	3.59895662806548
KCNC1	3.32016178414116
SIRT6	3.72711589660965
CCL19	3.8465535943554
ARHGEF9	3.63766829344439
ABR	4.54526510909063
C10orf22	6.38574261965017
STK17A	5.08805854708202
FOXE1	3.2681963059656
GML	3.43634517108599
CNGA3	2.88387026184667
CD38	3.73313834527057
ZDHHC6	7.57887686133738
NEFH	5.78071246330622
PGBD5	3.37195526886823
CTDSP2	6.75803651766417
RMND5B	5.24711943940925
ZNF257	3.95496685314855
DUSP4	3.8260357757676
FLJ22167	5.89331134559314
EXOSC7	7.28744227161
ROR2	3.57278232412933
FOXM1	5.54174004246925
ZBTB48	4.63869210180345
BUD31	8.50549902735803
MAOA	4.45859572846304
CCDC41	5.07551717835161
TNNT3	4.25874083966261
FBXO11	5.98144629902838
GYPC	4.78820305104635
PLIN	3.64395678923868
RFXAP	4.27888796560958
C6orf15	3.93859556702721
RNF4	7.22402655912531
F8A1	6.17426527033285
PPP1R3D	4.22354527624831
GRB2	6.1080341680872
TPM3	3.24159815713210
SYT13	3.64874947006135
EPB42	3.83864622226237
RP5-1077B9.4	5.53537007429925
EIF1	9.84556747994247
CETN3	6.89523624190012
FPGT	4.11466247757285
PRY	3.50589621515893
NTHL1	5.93659292236786
POLR2B	8.39619880826693
RPS28	11.9116573174933
GDF10	3.43094532092475
COQ9	6.43713485614623
P2RX3	3.13370367993349
GCC2	6.85282264744253
RARRES3	3.19024306153922
PLXNA1	5.94640944029161
WBP4	5.10915107530586
KIAA0100	5.80794583169069
PMF1	6.58009924278175
HS2ST1	5.34476563935471
CRELD2	4.76382477212619
C8G	3.64653794591634
CD82	5.24523468633547
PMM1	4.50598523127554
CBLL1	5.10377619148902
LIM2	3.42405246636003
VAX2	4.91738500995317
SETDB1	5.59146413656973
LRAP	3.39738596083138
GCLM	5.02535689500717
CPEB3	3.06250470925987
PPM1A	5.804563844663
INTS1	4.57246015080287
MMP16	3.25953510533864
CAMTA1	4.61298634913489
SAMSN1	3.70950603659063
DRD3	2.7581790848129
GMPPA	5.25632777041881
C11orf73	5.9747145237217
AIPL1	4.0615656672229
PTP4A2	8.32734417480478
IL24	3.22375073946691
BDKRB1	3.62206958681352
HPCA	3.83016362064546
MLF1	6.5507369231764
SEC14L1	5.37933063670615
CHFR	5.60149843780301
EMILIN1	3.77700111204353
THADA	6.24898726139014
TAF12	4.72715838965488
NDUFS4	7.48124882818514
ID1	7.52853256532369
PIK3CB	3.9478838278326
COL18A1	8.05819177407981
PDZD3	3.34232334460877
TBC1D17	5.56884145949602
COX8A	9.57802814681367
CDCA4	5.64233456567744
C2orf44	4.57924813930194
C9orf16	7.2243799082183
ERBB2IP	7.73784817988497
EMX2	9.85852630241726
FUS	6.75550019081881
NIPSNAP3B	3.5260515511944
TF	4.08947084801165
CXorf56	5.80588465508434
CLCN4	3.63100293369135
PWP2	6.53970845910487
MMP15	4.47393422898248
MTMR14	6.27695146019464
NPR1	4.98589230295651
DNAL4	5.48323112533441
ELAC2	4.94593252201653
ASS1	10.5004398935753
IPP	5.35535728043506
TMEM59	8.16989167464148
POLR2J	9.32300361735301
SEC23IP	5.05917032070179
RGS4	4.12215719847628
UQCRC1	8.64419076042266
SNX6	7.15580738572563
DDX18	7.02235477403871
POLG	4.78942688040890
ADAM23	4.41011707858915
ZNHIT2	5.1185607701992
TFR2	3.40750221301709
NCDN	4.4752332109785
RAG1	3.33950725383135
POMT1	4.45712332931255
CYP1A1	3.8739593963825
SNAPC1	5.59281890753719
GNA11	4.35826486015427
CCDC52	2.65194018280072
CAPN1	6.47931290424832
DDHD2	6.57620198920446
UPF3A	6.66929977889953
LAGE3	6.15783863399545
GNRHR	3.04345339073646
UNC13B	5.412705508619
TTLL4	4.65357766801525
PPBP	2.92176050510680
HTR3A	3.25376065324976
SDC2	4.00029096530209
ANKRD49	7.38628208214703
BTF3	10.0903660607319
COX7A2	10.3264042499209
SARS	8.07182550329053
C13orf18	3.58080243969316
CACNB1	3.96544259034618
QKI	5.39600669243141
SETMAR	6.11583299242368
LAMB4	3.39331713087327
MAN2B1	6.08917743996464
EML3	4.92828866368423
ACADL	3.29583562219630
OFD1	7.72103137215333
CGA	3.57421146189516
EIF3EIP	10.251335909517
PEX16	5.41474780841634
GNG12	6.03860707975344
HABP4	4.5973948342009
CNTN2	3.60010777578434
ASNSD1	7.06664649140955
FUT4	4.12689144001948
DBH	3.59957045325125
CD53	4.34973584424174
HIST1H2BJ	4.04081611597679
TFAP2B	3.15017709925252
ACF	3.53107323468272
TMEM11	5.06574678627562
CDH8	3.45809178340786
C3orf32	3.84232233432467
AGPS	3.82021071645535
