Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B09_491118
Composite Element REF	Signal
AACS	6.52115122879637
FSTL1	8.92292206659191
ELMO2	5.57567807410767
CREB3L1	4.12195634125974
RPS11	10.1622719192323
PNMA1	7.80265233632457
MMP2	9.07222994002856
SAMD4A	4.07557479098632
SMARCD3	5.98238967909225
A4GNT	3.87605224047293
C9orf39	4.03808674561703
PKNOX2	3.94763033937605
RALYL	3.58222400327197
ZHX3	4.1284207626236
ERCC5	6.03620145447428
RXFP3	3.02773004429416
APBB2	4.6968866830062
BBOX1	4.36631794490048
PRO0478	2.92153652474631
GCSH	9.10346823007014
XDH	3.93990028385498
EDN1	3.51550146004409
MTERF	7.25483010789313
PDCL3	7.86458347172056
CLK4	5.72711464985104
KCNG1	3.50721381915128
CXCR4	9.95089312786227
DECR1	8.93948658309646
SALL1	3.19819681707950
PTPRR	3.26529683985802
CADM4	3.23969175249857
IRAK1	8.17755655680302
CFHR5	2.93603265774712
HNRPD	8.37114038059633
TMSB10	12.4029458181347
CXCL3	4.21974150364311
LMAN1	4.30402956602223
SUHW1	3.41903433799751
CHD8	5.54196874741958
SUMO1	8.4028301789484
GP1BA	3.24982018056663
OR7A10	3.97900679653696
DDB1	7.84304780536965
CHRNA10	3.5282627257444
STYK1	3.56732609436893
MYO9B	4.80876095649052
CCNI	10.071110099085
MMP7	9.0723400279709
EP300	6.67149981896738
CRNKL1	8.16334271715629
C9orf45	3.25923912111941
XAB2	4.61321786398876
RTN1	5.5966712485412
HIC2	3.94947373483739
TBX10	3.31266487778144
CENPQ	4.98983172058274
UTY	3.23671627155289
OR2W1	2.79648793681748
ATP5G2	10.3289905491697
ZEB1	3.90880296706228
ZG16	3.58458087807736
ERG	3.89348559227644
PARN	7.4282422072528
SOD2	8.0372273731669
JOSD3	7.59286212517948
ADAM5P	3.31082312791949
CHD9	6.14241623010579
hCG_40738	4.02909273423148
STK16	5.56894441362439
PDE1C	3.4900971630648
SEMA4D	6.70713213003911
AGPAT1	7.43432891098839
TOB2	6.28725681611935
BANK1	4.55829306273672
MAP3K3	5.58143943752142
MAX	5.28655564659158
GRM2	3.60103714924173
OSBPL8	8.43527437185115
PROSC	5.66427398514141
NR4A2	6.50511869539167
RICS	4.65932307719333
PIR	3.18680989618019
PPCS	8.38672847662542
IPO9	6.72291204724468
LONP1	7.32359110258056
EVC	4.43952009011511
CXCL13	6.89965037939801
SCYL3	6.020420311721
KIAA1199	6.85470529140054
SORL1	9.33051387395856
NAT10	6.90697305320037
CHD1	6.57582196492057
SYN3	3.86833529696969
DMC1	3.84533872220324
SLC22A2	4.1734394060202
SERPINF1	9.54536186379254
C20orf27	6.60267258981124
OR7A17	3.17967025869660
RPS6KA5	4.60040693287357
LHB	3.14727449767828
TAOK3	5.40815556384069
STK25	5.91098329203788
SLC12A4	3.44178882867844
BRCA1	4.5162590963958
GBL	5.9753924054164
C14orf108	8.40525717694624
CDC25B	7.11080395251917
BMP3	2.86586586651573
MAP1LC3C	3.81394476878323
TMEM180	3.62691480545471
CRYGC	3.55698904909759
SLK	6.03369520732546
POU3F1	3.10033446083985
C20orf32	3.65939603511216
USP52	5.02908144138679
HIGD1B	4.47242162944749
BAZ1B	7.25745071728045
USP6NL	5.77827779700232
SLCO2B1	5.08089135217047
ABCD4	4.42134525605877
DIMT1L	6.54056960673857
SLC25A46	7.51420320791314
LARP7	6.9974205353754
TEK	4.02086806473533
CD160	3.68318278654043
TERF2IP	8.20698079626625
PHF20	6.27927589028304
COL1A1	9.13535091597417
KIAA0090	6.39755843990117
GTPBP1	4.65815143401499
GRK5	3.99672414173113
AP1S2	6.68071009160327
RAB33B	4.3781420248864
CA11	3.95305931234436
ALDOC	6.03765737470739
NUDT1	6.32470905524791
ZNF212	6.02352121255755
ACBD3	7.46302164812366
ZNF83	6.52999761773171
PRDM2	5.04909972050656
GDPD5	4.31579193128992
PDCD4	6.16301925711863
CEP350	6.5343417140606
FOXP3	3.16896280078828
SMYD3	7.8986226975997
CST7	4.96746638917031
SELL	4.72217787785298
CIAO1	6.2363595077051
LGI2	3.59686309549236
WDR45	6.15534819615105
ANKRD6	7.01868546174754
LTBP4	3.7381034984617
PSCD3	3.24409463574866
PYY	3.07170212097275
KCNC1	3.23693665030373
SIRT6	4.20079491023932
CCL19	5.20270510968261
ARHGEF9	4.11658621146342
ABR	4.56898800459990
C10orf22	6.62870406415204
STK17A	5.43073672475767
FOXE1	3.4214024037234
GML	3.44836046908787
CNGA3	3.05408293084002
CD38	4.05274730065067
ZDHHC6	7.4859653763017
NEFH	3.44934263073168
PGBD5	3.98783630018891
CTDSP2	7.45752804761543
RMND5B	5.4230979526917
ZNF257	4.70522643307068
DUSP4	3.87068576517892
FLJ22167	6.76276381383573
EXOSC7	6.72462032718722
ROR2	3.9308255704228
FOXM1	6.54998849027833
ZBTB48	4.91786799859998
BUD31	8.54427892530554
MAOA	4.29233188479681
CCDC41	4.68778039185142
TNNT3	3.63671986294744
FBXO11	5.75765104806105
GYPC	6.22027809047529
PLIN	4.0110059061043
RFXAP	3.26245447844764
C6orf15	3.44282785561487
RNF4	8.18531555132743
F8A1	8.16305934798352
PPP1R3D	4.39196542143991
GRB2	7.48318240389681
TPM3	3.11797990657941
SYT13	3.50493376379117
EPB42	3.40007512300796
RP5-1077B9.4	5.52518025725676
EIF1	10.5244686627089
CETN3	7.03874420771224
FPGT	5.55624654354392
PRY	3.39345461513628
NTHL1	5.35647480660842
POLR2B	8.66077468154088
RPS28	12.2078736073244
GDF10	3.07024446208849
COQ9	7.45204010123158
P2RX3	2.67115813000165
GCC2	7.66369077796032
RARRES3	7.09777223269086
PLXNA1	5.65381992228974
WBP4	5.28848522599227
KIAA0100	6.3602220588048
PMF1	7.47013590936589
HS2ST1	5.96531786937456
CRELD2	7.1700492822181
C8G	2.99800448171098
CD82	6.00029182504167
PMM1	4.50064837624703
CBLL1	5.07557560701278
LIM2	3.21954935289813
VAX2	3.30861108646526
SETDB1	5.40026422189643
LRAP	3.38143456142898
GCLM	7.77472644504508
CPEB3	4.05332535817307
PPM1A	5.74104228426433
INTS1	4.45093937330911
MMP16	3.38771497491275
CAMTA1	3.44439188251029
SAMSN1	6.42239936248684
DRD3	2.75796756786892
GMPPA	5.16146729938019
C11orf73	6.90382605190559
AIPL1	3.72911493433943
PTP4A2	9.69588011323471
IL24	3.42923853941121
BDKRB1	3.42920443682172
HPCA	3.40493598656426
MLF1	5.53875741803989
SEC14L1	6.2499807193938
CHFR	6.99872573390307
EMILIN1	4.06968199462016
THADA	6.22443305032402
TAF12	5.60666365023927
NDUFS4	8.0443015584535
ID1	6.10821463540145
PIK3CB	3.31988886632259
COL18A1	7.70957576424773
PDZD3	3.11947421445261
TBC1D17	5.87068689383905
COX8A	9.96367902454716
CDCA4	6.4307553529201
C2orf44	4.56595099374056
C9orf16	8.20459174004487
ERBB2IP	8.52079741717596
EMX2	8.57476235232009
FUS	6.31618387358939
NIPSNAP3B	3.93499954326103
TF	3.19766934840057
CXorf56	5.20875961606378
CLCN4	3.63339937339644
PWP2	5.4306306927591
MMP15	4.57733247131276
MTMR14	5.86822422097998
NPR1	6.8715206383317
DNAL4	5.72386380580433
ELAC2	4.79681307807973
ASS1	10.8789876796746
IPP	5.78829317638126
TMEM59	10.0439656208888
POLR2J	9.25246072586842
SEC23IP	6.34465241935267
RGS4	4.35209476229547
UQCRC1	9.35219972021505
SNX6	7.83041917002818
DDX18	7.52414137635539
POLG	4.25743057469022
ADAM23	3.85676830442596
ZNHIT2	4.15900099121964
TFR2	3.18306362921182
NCDN	4.22591685285449
RAG1	3.3520854652695
POMT1	4.75299715586006
CYP1A1	3.55287040255879
SNAPC1	5.53932852026317
GNA11	5.60839087510302
CCDC52	3.18351938331076
CAPN1	7.35806856479127
DDHD2	5.85180974480311
UPF3A	6.72890959324428
LAGE3	6.05550735575752
GNRHR	3.1968492749785
UNC13B	5.66922991571748
TTLL4	5.35202577424084
PPBP	3.13311649349063
HTR3A	8.5502884737632
SDC2	5.50660383238891
ANKRD49	7.44840508720456
BTF3	10.1981990656804
COX7A2	10.8664905537058
SARS	8.50446866390654
C13orf18	4.41786178381583
CACNB1	3.97091089183913
QKI	6.81570068933359
SETMAR	5.79224468621734
LAMB4	3.4098369699442
MAN2B1	8.34990898696921
EML3	5.30251063509433
ACADL	3.63543228647041
OFD1	7.02642888359039
CGA	3.51853118187506
EIF3EIP	10.5224641994751
PEX16	5.21041228243576
GNG12	8.03716435360018
HABP4	5.24853146249526
CNTN2	3.44964426393419
ASNSD1	7.63015000974513
FUT4	4.40235100355110
DBH	3.52091524416435
CD53	8.85735470002568
HIST1H2BJ	3.95211468473386
TFAP2B	3.32610082030925
ACF	3.62612074845118
TMEM11	6.21322468766215
CDH8	3.14352724036971
C3orf32	3.41820314791582
