Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C06_433702
Composite Element REF	Signal
AACS	6.00015116483035
FSTL1	7.10562433902837
ELMO2	5.46017901795438
CREB3L1	3.98327685464933
RPS11	9.96605678951216
PNMA1	7.88020034472815
MMP2	4.23730844488998
SAMD4A	3.44872455797923
SMARCD3	7.06523450699663
A4GNT	3.79186238940619
C9orf39	3.6179282377736
PKNOX2	5.13914786615354
RALYL	3.25834404603497
ZHX3	4.20284243770364
ERCC5	7.28181035190487
RXFP3	2.88722163828353
APBB2	3.70929483482882
BBOX1	8.34955161267744
PRO0478	3.1449867785797
GCSH	8.02329700323169
XDH	3.86467603339953
EDN1	3.45093434063150
MTERF	6.31451866216165
PDCL3	7.35956968614552
CLK4	6.67372906914545
KCNG1	3.46493406289058
CXCR4	6.5348347964224
DECR1	8.60099735066556
SALL1	3.47977397436416
PTPRR	3.595859568556
CADM4	3.42945820718374
IRAK1	7.93396658861822
CFHR5	3.21099098188834
HNRPD	8.50248646045083
TMSB10	12.0596497742832
CXCL3	3.9885672462798
LMAN1	4.59715314874778
SUHW1	3.35101064870756
CHD8	7.2165179328295
SUMO1	8.08527745234204
GP1BA	3.25316927956357
OR7A10	3.68557821841312
DDB1	7.91877736278635
CHRNA10	3.57690904786344
STYK1	3.23181781022487
MYO9B	4.7750227586684
CCNI	8.94195214951014
MMP7	6.18822737453909
EP300	6.24698061025444
CRNKL1	7.11374248393766
C9orf45	3.07205849363745
XAB2	3.98916509651059
RTN1	3.71685608509686
HIC2	3.64671415778826
TBX10	3.63088721088283
CENPQ	4.0307634380558
UTY	3.21869891524461
OR2W1	3.08569823217849
ATP5G2	11.0744993566906
ZEB1	3.21693631106220
ZG16	3.35611072468344
ERG	3.69759226400894
PARN	6.73339429175976
SOD2	4.89572189479002
JOSD3	8.75305797594377
ADAM5P	3.43947545000159
CHD9	6.30436594521476
hCG_40738	3.83707264602471
STK16	5.94136602078441
PDE1C	3.48261177307823
SEMA4D	4.75332918597844
AGPAT1	5.94973731735494
TOB2	5.92261506970315
BANK1	4.68690067364452
MAP3K3	5.47019848146813
MAX	5.68668741847558
GRM2	3.67507782862492
OSBPL8	6.72241795191346
PROSC	6.26871017684221
NR4A2	7.65478886051818
RICS	5.4021015299594
PIR	3.94901056782587
PPCS	8.52579235651135
IPO9	6.15089649394045
LONP1	6.48419303673243
EVC	4.54890972577606
CXCL13	3.90783935263593
SCYL3	5.64235770435207
KIAA1199	6.06073369265751
SORL1	9.40934846186768
NAT10	7.63097028347428
CHD1	6.80022876779669
SYN3	3.50154663448745
DMC1	3.86228887825493
SLC22A2	3.35456860528593
SERPINF1	5.02552789899026
C20orf27	6.36360542553102
OR7A17	3.15340529148668
RPS6KA5	3.94143453116069
LHB	3.30494839910878
TAOK3	5.24338466102682
STK25	5.49010487725034
SLC12A4	3.60199629161088
BRCA1	3.87720071047391
GBL	6.1628055739847
C14orf108	8.49710798748093
CDC25B	5.37982716681086
BMP3	3.47768095370842
MAP1LC3C	3.40332779082494
TMEM180	3.48360005069539
CRYGC	3.55642536445942
SLK	6.71285640861464
POU3F1	3.22451445257933
C20orf32	3.64307327745689
USP52	6.12674133265395
HIGD1B	3.58477284871983
BAZ1B	6.00616922315843
USP6NL	5.70235755755362
SLCO2B1	4.0705247128333
ABCD4	3.99732241264328
DIMT1L	6.48641646893789
SLC25A46	6.9427833884389
LARP7	7.97818072211353
TEK	3.56890198071827
CD160	3.69604519891225
TERF2IP	7.18900921557486
PHF20	6.10160080711229
COL1A1	5.42521872106038
KIAA0090	4.617122602258
GTPBP1	4.23530797182563
GRK5	3.53105073994908
AP1S2	4.33893695750762
RAB33B	4.28126716269126
CA11	4.30181488860373
ALDOC	4.75749866254278
NUDT1	4.94312861275302
ZNF212	5.64727593660333
ACBD3	7.55272385245356
ZNF83	6.84308864722033
PRDM2	4.28713730025364
GDPD5	4.11122213044436
PDCD4	6.62302110576734
CEP350	6.27547492362481
FOXP3	3.38860647717455
SMYD3	6.25937462046105
CST7	4.34760636600661
SELL	3.72057441414775
CIAO1	6.40011787116888
LGI2	3.69922336756152
WDR45	6.3856427067987
ANKRD6	6.33906898178709
LTBP4	3.79101400213048
PSCD3	3.20635621511083
PYY	3.2874373395917
KCNC1	3.13293456615762
SIRT6	3.72397293093529
CCL19	4.06267795338254
ARHGEF9	4.39569964605474
ABR	4.25938324140955
C10orf22	6.46813291378682
STK17A	4.93175556654935
FOXE1	3.16925709555454
GML	3.12927075207293
CNGA3	3.09982661592661
CD38	3.52203082727032
ZDHHC6	7.50224691701122
NEFH	3.35391824594212
PGBD5	3.44792442452031
CTDSP2	7.00407915965796
RMND5B	5.47816711522866
ZNF257	4.78954031127457
DUSP4	5.16205228440333
FLJ22167	7.5327113126344
EXOSC7	7.25939315543664
ROR2	3.71696689248963
FOXM1	4.11338084051416
ZBTB48	4.17330245315423
BUD31	8.29626985794669
MAOA	4.00080534191564
CCDC41	6.5055218028984
TNNT3	3.64274164199515
FBXO11	5.7486493329078
GYPC	5.06263974924237
PLIN	3.31753792814426
RFXAP	3.57350238618232
C6orf15	3.60641424975656
RNF4	8.72692315571634
F8A1	6.52902870947877
PPP1R3D	4.65899461197305
GRB2	6.991017473703
TPM3	3.10740195554128
SYT13	3.68771472788548
EPB42	3.51049798636099
RP5-1077B9.4	4.6883693120501
EIF1	10.1237455294984
CETN3	8.72314804024058
FPGT	5.6690343673391
PRY	3.52394618890321
NTHL1	6.33244896171163
POLR2B	8.87302123578212
RPS28	12.4166540041533
GDF10	3.49174449093063
COQ9	8.46125585739381
P2RX3	3.00471887335303
GCC2	7.43846306755357
RARRES3	7.71707382035564
PLXNA1	5.74305737654236
WBP4	4.22491830470563
KIAA0100	6.18018507086313
PMF1	6.5787017231243
HS2ST1	5.78820932514702
CRELD2	5.97751532943301
C8G	2.92055730327453
CD82	6.4365835833559
PMM1	4.59929098913006
CBLL1	5.72185309404447
LIM2	3.32275310050443
VAX2	3.61152939324211
