Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_H06_491208
Composite Element REF	Signal
AACS	7.88662437680134
FSTL1	5.81021878278418
ELMO2	5.35177728211048
CREB3L1	3.72923113262119
RPS11	10.4929652195177
PNMA1	8.05790911709483
MMP2	5.87061296473547
SAMD4A	3.63402365581889
SMARCD3	4.96681046617355
A4GNT	3.73111607560338
C9orf39	3.15321136739358
PKNOX2	4.01625996389870
RALYL	3.43778025984352
ZHX3	4.28972651934098
ERCC5	5.07556826275803
RXFP3	3.08769963181059
APBB2	4.15320951153472
BBOX1	4.09920749332914
PRO0478	3.05338204076236
GCSH	9.49365441065307
XDH	3.69943234194973
EDN1	3.99042774869963
MTERF	6.53199581161768
PDCL3	7.30288222263714
CLK4	4.83847426506176
KCNG1	3.75205687367191
CXCR4	9.41133240997507
DECR1	7.26744423109957
SALL1	3.02788339220562
PTPRR	3.86723640852371
CADM4	3.417776172684
IRAK1	8.92861270726095
CFHR5	3.14599400846003
HNRPD	7.6521899348937
TMSB10	12.1430868636817
CXCL3	3.63373704263755
LMAN1	3.77707487872279
SUHW1	3.97809481464358
CHD8	5.33949094336147
SUMO1	8.13768897166721
GP1BA	3.4131004056792
OR7A10	3.63233352304604
DDB1	7.06150782201995
CHRNA10	3.93424174950651
STYK1	3.69593797499535
MYO9B	4.26639095317024
CCNI	10.2471388570361
MMP7	7.67480453621895
EP300	5.57655019921917
CRNKL1	6.30827916808435
C9orf45	3.34279887182637
XAB2	4.45356114896104
RTN1	4.01739871410682
HIC2	3.55040837923333
TBX10	3.59096411865943
CENPQ	4.12989644199184
UTY	3.16300282107808
OR2W1	2.86447607384034
ATP5G2	11.1771986989284
ZEB1	3.25044343407029
ZG16	3.42088606625365
ERG	3.72035731099126
PARN	7.30368948563587
SOD2	4.6006326493409
JOSD3	8.52323841293657
ADAM5P	3.40864486462005
CHD9	6.68125696651267
hCG_40738	3.56634988696870
STK16	6.30661912502371
PDE1C	3.69564620066758
SEMA4D	4.88504735610547
AGPAT1	7.23839074374187
TOB2	5.35945574529603
BANK1	3.91587555034734
