Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A09_433742
Composite Element REF	Signal
AACS	6.26125190882278
FSTL1	7.84770370367058
ELMO2	6.73462910749063
CREB3L1	4.07150720777435
RPS11	10.0483187362941
PNMA1	7.84626941531845
MMP2	5.78882574697487
SAMD4A	3.76910689179507
SMARCD3	6.54937282373094
A4GNT	3.74337331292835
C9orf39	3.38132880425715
PKNOX2	5.63905923606274
RALYL	3.89381893549315
ZHX3	4.55323050086105
ERCC5	7.16325394949448
RXFP3	2.88523526689405
APBB2	3.87194160574975
BBOX1	6.82108114781242
PRO0478	3.10592592771787
GCSH	9.77962318252663
XDH	3.82186991507441
EDN1	3.73742643405967
MTERF	6.86129973750392
PDCL3	8.10884441869556
CLK4	5.61101747812942
KCNG1	3.94405169759254
CXCR4	6.32195175950603
DECR1	7.85440140636838
SALL1	4.18295591752976
PTPRR	3.23809170149712
CADM4	3.33053726139601
IRAK1	8.20047046047784
CFHR5	3.24495897365447
HNRPD	8.0489978191508
TMSB10	11.8676483541516
CXCL3	3.69362126720508
LMAN1	4.72788701815244
SUHW1	3.68398256223758
CHD8	6.79386402808396
SUMO1	8.44797535991193
GP1BA	3.07061822682976
OR7A10	3.85614708800512
DDB1	7.53522577059412
CHRNA10	3.70980932208958
STYK1	3.48739515199086
MYO9B	4.1768231036393
CCNI	9.41784376084184
MMP7	7.66120192833205
EP300	6.55948375640072
CRNKL1	7.193608525448
C9orf45	3.09266456718554
XAB2	4.50698704070026
RTN1	3.61783051384951
HIC2	4.68406926987222
TBX10	3.53173102077837
CENPQ	5.09779071462092
UTY	3.27647899657771
OR2W1	3.00577238513306
ATP5G2	11.088197525902
ZEB1	3.68473278539262
ZG16	3.30882936103075
ERG	3.49153447284166
PARN	7.69381733905042
SOD2	5.03970624835514
JOSD3	9.44759834497961
ADAM5P	3.2085523042497
CHD9	6.94779663211562
hCG_40738	3.58915004245234
STK16	5.73122620758599
PDE1C	3.73714437625204
SEMA4D	4.70244168822428
AGPAT1	6.62777053406288
TOB2	6.36138870561499
BANK1	4.72022400599041
MAP3K3	6.40835928655275
MAX	5.09752342679427
GRM2	3.68391147949934
OSBPL8	7.0452792353197
PROSC	5.94425996501085
NR4A2	4.62463193956191
RICS	6.07042513259707
PIR	6.94387799923782
PPCS	8.92311309019285
IPO9	5.93482115293691
LONP1	7.28650742337692
EVC	4.7114147053661
CXCL13	3.97562943135856
SCYL3	5.63296846983839
KIAA1199	6.07520557326991
SORL1	9.74415448320737
NAT10	6.96293720889691
CHD1	7.21919836433751
SYN3	3.42701379663763
DMC1	3.89676660829094
SLC22A2	3.81970977833819
SERPINF1	6.48252758069706
C20orf27	7.2559102926617
OR7A17	3.18135990334367
RPS6KA5	4.08567521888859
LHB	3.16973863664889
TAOK3	5.04360891436066
STK25	6.20596472673317
SLC12A4	3.67738910142134
BRCA1	5.16582124421982
GBL	5.74815711515165
C14orf108	7.60415322129296
CDC25B	7.38397133312867
BMP3	3.25923049930967
MAP1LC3C	3.69945977222458
TMEM180	3.22910601508172
CRYGC	3.77320964909371
SLK	6.6012693424068
POU3F1	3.14985113861325
C20orf32	3.69089178439725
USP52	7.09644171542781
HIGD1B	3.61294091883918
BAZ1B	6.5787191112348
USP6NL	6.1606705388409
SLCO2B1	4.00194518770328
ABCD4	4.51609266459761
DIMT1L	6.37491821785563
SLC25A46	7.79174486914714
LARP7	7.62819687286198
TEK	3.60961849571213
CD160	3.75785589882113
TERF2IP	7.74246795742808
PHF20	6.03043982501662
COL1A1	6.00587224718867
KIAA0090	6.16865482831838
GTPBP1	4.22981029053788
GRK5	3.97029164597923
AP1S2	6.21149563111457
RAB33B	5.41039519182038
CA11	6.09577301904598
ALDOC	4.79566951196147
NUDT1	5.34145869341117
ZNF212	5.44641142878365
ACBD3	7.85735147246393
ZNF83	7.59576238662297
PRDM2	4.59697748645288
GDPD5	4.98742137490151
PDCD4	7.68797170786342
CEP350	6.13990040811598
FOXP3	3.38687369279701
SMYD3	7.71059668335226
CST7	3.75391724477939
SELL	4.41900333780133
CIAO1	6.93927412756895
LGI2	3.55869501274830
WDR45	7.61159062625534
ANKRD6	6.88219104313397
LTBP4	4.71985764087036
PSCD3	3.17309044033898
PYY	3.15770034623841
KCNC1	3.2397329727335
SIRT6	4.34344911109847
CCL19	4.15783000103399
ARHGEF9	5.60196864386778
ABR	4.70491564105788
C10orf22	7.84786262007347
STK17A	5.69052908266468
FOXE1	3.23785006041422
GML	3.12149004243501
CNGA3	2.97838228774993
CD38	3.86535910606071
ZDHHC6	8.04973606711408
NEFH	3.3588814805125
PGBD5	4.10060491758567
CTDSP2	7.31298056024932
RMND5B	5.42436571282527
ZNF257	4.81465062022836
DUSP4	3.4765331257178
FLJ22167	6.84370880272289
EXOSC7	7.55570339555341
ROR2	4.20207508621908
FOXM1	5.18982274952716
ZBTB48	4.86486274434679
BUD31	8.52609502445182
MAOA	5.86582934494036
CCDC41	4.64541799222232
TNNT3	3.46990819353003
FBXO11	6.720372551029
GYPC	5.21726018597908
PLIN	3.36913656406885
RFXAP	3.69484436684093
C6orf15	3.58972508577623
RNF4	9.02788760946463
F8A1	8.13915317591579
PPP1R3D	5.24951742225964
GRB2	7.85167308711318
TPM3	3.10861681598278
SYT13	4.01912543728128
EPB42	3.71431994328593
RP5-1077B9.4	5.5216541104159
EIF1	10.2008662853811
CETN3	8.5247592957946
FPGT	6.36903576082401
PRY	3.59781853862878
NTHL1	6.01435289543476
POLR2B	9.12341527791425
RPS28	12.0099447668723
GDF10	3.30496510481173
COQ9	8.63648611514304
P2RX3	2.96855043623241
GCC2	6.88002878457245
RARRES3	6.60244186841717
PLXNA1	5.90244816986001
WBP4	5.80016496585479
KIAA0100	6.89943446466498
PMF1	6.27962829114435
HS2ST1	7.33793353173122
CRELD2	8.05119201033105
C8G	3.11244348397197
