Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_A09_491180
Composite Element REF	Signal
AACS	6.47609129600113
FSTL1	8.69682684336866
ELMO2	5.87603031314082
CREB3L1	4.27432824144855
RPS11	10.4712586907719
PNMA1	7.89380070126858
MMP2	8.3647251314506
SAMD4A	4.18333264605056
SMARCD3	7.460167141622
A4GNT	3.64898573633155
C9orf39	3.54057528215006
PKNOX2	3.94800195268332
RALYL	3.96818680418026
ZHX3	4.18163803302343
ERCC5	5.30276120575924
RXFP3	3.13338918468774
APBB2	4.6570053428621
BBOX1	8.76606894696206
PRO0478	2.84721528212986
GCSH	8.16083869502316
XDH	3.74634732452837
EDN1	3.87179998117147
MTERF	6.94988921162194
PDCL3	6.28987283121832
CLK4	6.58881961175985
KCNG1	4.00002889279603
CXCR4	7.50742701163044
DECR1	8.19470921972431
SALL1	3.23297477025298
PTPRR	3.51233755890781
CADM4	3.41271739457011
IRAK1	8.37393022668822
CFHR5	3.12769101436654
HNRPD	7.2863288988519
TMSB10	12.0973924167813
CXCL3	4.05734975231142
LMAN1	3.77082376432852
SUHW1	3.55550014503673
CHD8	5.14161994456151
SUMO1	8.1435812660168
GP1BA	3.27272431477807
OR7A10	3.67751201445292
DDB1	7.39864885019828
CHRNA10	3.80319638870246
STYK1	3.71219993149061
MYO9B	4.04463991895381
CCNI	10.1552167737150
MMP7	10.718032259897
EP300	5.73876550762503
CRNKL1	6.31425477201385
C9orf45	3.19418573551317
XAB2	4.3811898954193
RTN1	3.62069303016262
HIC2	3.59370273016066
TBX10	3.50683974872724
CENPQ	5.31723387012699
UTY	3.13533071684234
OR2W1	2.88751655073002
ATP5G2	10.9987685947874
ZEB1	3.6460987507258
ZG16	3.56049050840188
ERG	3.79639564829743
PARN	6.6840679853527
SOD2	6.57050162602449
JOSD3	8.87865033030823
ADAM5P	3.47614433754866
CHD9	6.9333384815385
hCG_40738	3.46334376166911
STK16	5.38877436067548
PDE1C	3.48061790101886
SEMA4D	4.84672487820638
AGPAT1	6.71728304961263
TOB2	5.74435930864346
BANK1	3.36826292392718
MAP3K3	6.09622340951684
MAX	5.33584391718255
GRM2	3.83697319346758
OSBPL8	7.3300625999862
PROSC	6.53244843667949
NR4A2	4.08958787126886
RICS	4.28399038857523
PIR	6.42609669786629
PPCS	9.53226102955005
IPO9	5.79736705532148
LONP1	6.151668789235
EVC	4.23718967948356
CXCL13	4.84340019605722
SCYL3	6.20485916020346
KIAA1199	7.09943546151264
SORL1	7.73076158624802
NAT10	6.08560795963427
CHD1	6.28856253011238
SYN3	3.43274526661428
DMC1	3.98675936366144
SLC22A2	3.66377925653095
SERPINF1	8.47582469869254
C20orf27	5.55007705884588
OR7A17	3.42054122459742
RPS6KA5	4.52400718781882
LHB	3.23419747759785
TAOK3	4.92489647965315
STK25	5.19324319559141
SLC12A4	3.46702959446338
BRCA1	3.91842962801943
GBL	6.04097978097911
C14orf108	8.73089837702725
CDC25B	5.59578298427726
BMP3	3.187839692284
MAP1LC3C	3.45730935600243
TMEM180	3.31810336360624
CRYGC	3.74781109038997
SLK	5.58368444765757
POU3F1	3.21034093206949
C20orf32	3.79765133516937
USP52	5.44735707938491
HIGD1B	4.25316365176498
BAZ1B	5.65318862049095
USP6NL	5.69817072720641
SLCO2B1	4.26396702421668
ABCD4	4.42214601590995
DIMT1L	7.18793299916833
SLC25A46	8.33281223585426
LARP7	7.0897418943191
TEK	3.81696663691325
CD160	3.57442629953484
TERF2IP	7.67039973202246
PHF20	5.42627268987979
COL1A1	8.24782207517404
KIAA0090	6.3265581351245
GTPBP1	4.44347312100112
GRK5	3.7353073823492
AP1S2	6.18449553631309
RAB33B	5.16963894682746
CA11	4.19754622462501
ALDOC	6.04539756529363
NUDT1	6.22737929882949
ZNF212	5.07207010944668
ACBD3	7.10776238735275
ZNF83	7.8618862817677
PRDM2	5.10149501346081
GDPD5	4.96743296682954
PDCD4	5.28773872539997
CEP350	5.77256084543007
FOXP3	3.20232264426564
SMYD3	7.86548541168598
CST7	5.42518541989675
SELL	4.16752396123112
CIAO1	5.69820083147753
LGI2	3.55811318828847
WDR45	7.1070094964656
ANKRD6	8.39495626835344
LTBP4	3.67410270134779
PSCD3	3.36724196356179
PYY	3.15757515124058
KCNC1	3.03431520790155
SIRT6	4.34568447827451
CCL19	3.97382267848873
ARHGEF9	4.61053173952923
ABR	4.06093484798026
C10orf22	6.63404925538634
STK17A	5.36784543045949
FOXE1	3.37598862902304
GML	3.53160051073832
CNGA3	3.24266852249837
CD38	4.12770282043506
ZDHHC6	6.73206771959855
NEFH	3.22405674440764
PGBD5	3.73259919866383
CTDSP2	6.9839638558833
RMND5B	6.17280348704808
ZNF257	3.73695967795089
DUSP4	3.55252780375628
FLJ22167	6.05880298943181
EXOSC7	5.93640924712939
ROR2	4.02254205003664
FOXM1	4.48293951036564
ZBTB48	5.1280580591975
BUD31	8.44241620744186
MAOA	3.58854549122776
CCDC41	4.18635366912455
TNNT3	3.67255148404502
FBXO11	4.89967711296215
GYPC	5.36609565465575
PLIN	3.64130694457366
RFXAP	3.33041484926219
C6orf15	3.66252246064661
RNF4	7.86241403401085
F8A1	7.49473536563563
PPP1R3D	4.71805902514842
GRB2	8.01571976747994
TPM3	3.18765940266550
SYT13	3.70803455471874
EPB42	3.46018526861637
RP5-1077B9.4	5.70123178505564
EIF1	10.7739687995785
CETN3	8.48772487079346
FPGT	6.82404693150589
PRY	3.58958154643699
NTHL1	5.489028778581
POLR2B	8.51218273287253
RPS28	12.2252453950411
GDF10	3.22064785598536
COQ9	8.49772711725872
P2RX3	2.70751522134455
GCC2	6.47406052724662
RARRES3	8.41801226686021
PLXNA1	5.73514786557228
WBP4	4.43075509774142
KIAA0100	5.2804577299583
PMF1	7.61946472593165
HS2ST1	5.98930613883134
CRELD2	7.66404281451947
C8G	2.97697187241618
CD82	5.65605568288398
PMM1	5.12904745027545
CBLL1	4.27273129037647
LIM2	3.41608737223439
VAX2	3.15347193720963
SETDB1	5.456984263392
LRAP	7.82973473375544
GCLM	8.21310407127607
CPEB3	5.0825600150016
PPM1A	6.32860617970421
INTS1	3.74709184299858
MMP16	3.38401877841910
CAMTA1	5.52074335498111
SAMSN1	5.77969060421
DRD3	2.89961507189725
GMPPA	5.64168377620486
C11orf73	8.07100351916345
AIPL1	3.78396489208803
PTP4A2	9.89699188115646
IL24	3.33167225886226
BDKRB1	3.26450874743238
HPCA	3.4194411377638
MLF1	6.07445395105832
SEC14L1	5.44737208871958
CHFR	5.7185937033664
EMILIN1	3.5799522112945
THADA	5.90852401025171
TAF12	6.48771358702025
NDUFS4	9.72509993550082
ID1	5.57861270653428
PIK3CB	3.73518330378951
COL18A1	7.2310427152094
PDZD3	3.04786677950699
TBC1D17	4.60367648346833
COX8A	10.8833084396040
CDCA4	6.18126222676552
C2orf44	4.17781960861545
C9orf16	7.94173629631267
ERBB2IP	8.31292158271961
EMX2	8.25381503187648
FUS	5.02724610704852
NIPSNAP3B	3.87598851909768
TF	3.3264045242407
CXorf56	5.34944740682682
CLCN4	4.0631300686528
PWP2	4.93243383665305
MMP15	3.63620032276135
MTMR14	4.96611982369138
NPR1	8.41195455727104
DNAL4	5.5382840308133
ELAC2	4.29933282762287
ASS1	11.5046060154915
IPP	6.43751880580907
TMEM59	10.7198308045444
POLR2J	8.33931518634967
SEC23IP	5.0128732539518
RGS4	4.40535392267123
UQCRC1	8.8796452233801
SNX6	7.8273598596145
DDX18	6.13864147491281
POLG	4.28904175137705
ADAM23	3.83385617273216
ZNHIT2	4.85623544243611
TFR2	3.32469587235603
NCDN	4.34219595916356
RAG1	3.34360633931135
POMT1	4.40346913540016
CYP1A1	3.34047046777676
SNAPC1	6.1686058648894
GNA11	4.77586402595768
CCDC52	3.14257063586511
CAPN1	6.62252073731203
DDHD2	6.99613096840843
UPF3A	5.77501924105494
LAGE3	6.62450242953267
GNRHR	3.21391140061345
UNC13B	4.6101731588537
TTLL4	4.18716839937763
PPBP	3.04903206412880
HTR3A	6.52499799912925
SDC2	6.72193536562203
ANKRD49	8.46646647821333
BTF3	10.9582681675707
COX7A2	11.5285242192968
SARS	9.08739501779192
C13orf18	4.08683288303283
CACNB1	4.13483128558157
QKI	5.94211166853153
SETMAR	5.16138856580915
LAMB4	3.5796003333309
MAN2B1	6.38065909293894
EML3	4.82108883806348
ACADL	3.22018375188473
OFD1	6.92586171724351
CGA	3.78746699933581
EIF3EIP	10.9379911964755
PEX16	5.30865621591237
GNG12	9.00540422326427
HABP4	4.70512927819911
CNTN2	3.68426225593612
ASNSD1	8.28963985069277
FUT4	4.06198139228064
DBH	3.59526510869824
CD53	7.6222689237962
HIST1H2BJ	3.27073631894829
TFAP2B	3.29600372895938
ACF	3.86493536337285
TMEM11	6.12322628064245
CDH8	3.59587208565931
C3orf32	3.36523031794873
AGPS	4.02984612123133
C4orf18	3.43570675407593
PCCB	8.10008577555682
IPO13	4.97043989952314
PECI	8.11079535200571
UNG	7.65392584109293
C6orf105	4.18211136712581
GSTP1	9.2403907349254
SUV420H1	7.35192592435833
ARHGAP15	4.66239467794670
LTBR	6.83153379154031
TDRKH	3.45186735056056
PSG4	3.29440942917744
SLC9A3R1	6.22307635704201
NBPF3	9.76014460699623
SLC9A3	3.79176126096657
OSBP	6.37960655192624
PRR5	4.73553484921182
CHMP7	5.20271930632978
ADRA1A	3.07919357032523
ASAH1	7.50499108785125
FKBP4	6.39320896737825
ZNF350	4.72977050208065
DOM3Z	6.11987279403575
GIPR	3.74849691486801
AHI1	4.79835234575582
BST1	7.87506339881097
NCR2	3.54535632502612
NADSYN1	4.71361819824360
UBE2W	6.45844528937941
RGS14	3.9034559380333
KRT15	3.87695724863122
SCN11A	3.83325445066130
GFI1	3.39543346017496
FHL1	4.23860663966264
SMC6	5.20549244382918
GATA1	3.51943421578506
OSGEP	4.85065355920632
ARMC6	4.78988751349105
HK3	3.50318276812648
PSMD5	6.70142756571552
RSU1	8.01490602954412
RPL4	11.6501048975830
MAD2L1	8.25893876438028
RBPMS	4.42542312213285
EIF4A3	9.61547518148389
E4F1	4.58469601765763
DLEC1	3.55492183020779
PRPF3	5.90948295591134
EMR1	3.6560903896458
CHMP2B	8.07411630392821
CAMSAP1	3.94236809732948
RPS21	10.6485852455014
XCR1	3.44485805628652
ARID5A	3.86667325730878
RBM6	4.95362099694154
UBE2N	7.64398683563932
KLF4	3.75024287184459
MGC4172	5.14223983519209
LMO4	8.6449594286657
KLKB1	3.23686718354934
HDAC3	6.69971435112791
HP	3.24512687443962
SCHIP1	6.4968184330326
BTK	4.18463037153596
KRCC1	8.83556770531469
PRND	3.02833912223864
C6orf27	3.33549108296017
PIGL	3.94357167418788
CLCA1	3.65069340255278
C1orf112	5.0765176464727
OLFML2A	5.92365436774336
HUS1	5.3367988214372
SFRS6	7.49914687149101
CXCR7	6.32721655645854
UIMC1	7.01725121512254
FXYD2	3.37011400351344
GOT2	8.29652557565747
ZNF667	3.95781675865725
TFEC	4.77411332086855
ATP7B	3.86787435580688
RAB38	4.21629456063726
POLD2	7.23450083640867
PPM1H	4.58272430305644
DCX	3.27913601131326
NFYC	5.8813029446459
ZNF228	4.17264099217193
KIN	6.44100244776125
PLSCR4	6.7345431120331
HIST1H4I	4.45987895432638
PPARGC1A	2.90766710611138
HIG2	7.86647602697468
KCNK10	4.09331181377192
EXOC1	8.04206979428699
OR6A2	3.75213437748533
ETFA	9.0321219216104
PDAP1	4.7786765420014
C19orf6	3.44375436183584
POLRMT	3.8868610975156
ZNF146	7.25458880367957
MIA2	3.34678450091119
LY6G6E	3.30457915368727
EIF4E2	7.89666869275769
NENF	5.45454128368156
HOXB5	5.83833749252032
ZNF324	4.50034336136474
CUGBP1	5.27286581317705
ENTPD7	4.76340751374874
TTC13	7.01359205348086
GJB5	3.35815095037649
PRSS22	4.26790166503268
CYP3A5	3.36199355479675
MBOAT5	4.57075835423154
CUL4B	5.68090116738372
CENPJ	3.41295057195765
KIAA0664	5.51903857791589
PITX1	3.55883523682298
PDGFRB	5.67489718351279
RDX	6.46613485236728
CELSR3	3.67414409030649
JUND	6.33826223495489
ITSN1	4.96048491663472
CHRNB1	4.05160409741328
EHBP1L1	3.62263813843987
C19orf2	7.65634149766031
FETUB	3.0916724941841
CAMK2B	3.02127704136213
DCTN1	3.89383828017995
TNKS2	6.86015985176536
MRTO4	8.29623148237454
C1QBP	6.47981997461388
TTC3	8.08017945443938
NDUFB8	8.40729032900258
CADPS2	7.02003008872039
EDG2	6.07708609657843
MYF5	3.0398300552843
SEMA3G	3.35268143165659
IL23A	3.53082636851585
GJA9	3.50724237570337
R3HDM2	7.10520933176682
C5	3.79673892776826
SLC2A10	6.79136333419107
TRIM45	4.23901020986627
TSP50	3.57313170719375
PAQR3	6.39967560106447
ANKRD26	3.50458274059145
TCP1	8.5853915909457
TMED7	8.16503179385969
CMA1	3.01270739183341
PTCRA	4.10857645940655
HCRTR1	3.54302296750181
FST	4.20330199550130
PAWR	4.55376989403858
LDLR	5.30480012751764
ASTN2	3.50530699587384
SCRN1	7.6564333741562
GPATCH8	5.81889896559494
KIF4A	4.74097436971225
TANC2	3.9810327553958
ZMYM5	3.68755979178915
PGM1	9.43794645343787
ZNF586	6.09282987325838
POLR3G	4.1579969471819
CPD	4.89168229723529
SNCAIP	3.72651119612875
DCT	3.33302018961347
HLA-DOA	3.53401487844412
TANK	6.20169634186147
RCAN1	4.65666391256963
UPK1B	9.24063311536691
DNAJB4	5.83285361372835
UGT1A8	3.14086892318137
LIMD2	3.66337340465813
HIST1H4L	3.45126872388727
PECR	5.00462938879695
HSPA2	6.61383374422214
SERP1	9.8793070928056
TACR2	3.80177564428292
NUP85	8.06009063191546
CD177	3.20403793915359
GPR135	3.11717001488402
PIGG	7.43495725157908
LGR5	5.95503401099207
JAK2	3.6773399547852
DPYSL4	3.28439078280469
TM9SF4	5.27963934213153
PTHR1	3.13254507043741
SIRPG	3.22683829310506
ZNF264	5.48393039194219
BICD1	5.43649462816142
RAB5A	7.00657879212759
FLJ13224	3.26549043345524
METTL5	9.23292077112601
HERC6	6.85139372766864
CASP1	7.17965902217445
USP9Y	2.85459772627127
LRP1B	2.97822384852855
XAF1	6.57043781323344
PLA2G4C	3.6854614446583
APOA2	3.09885134135635
SPAG6	3.12932059712162
KALRN	3.32404055829142
SECTM1	5.69346441181005
THOC7	9.03840111217553
IFNAR1	4.29009128662413
TCTA	8.15904550676656
NY-REN-7	3.51370747925325
TALDO1	9.02339701335659
B2M	12.4450926657957
LPPR4	5.89079204724135
SQLE	7.20784010337467
SEPHS1	6.92695865416295
EIF5A	6.13825554855949
FAM49A	4.82498349671622
YTHDC2	4.72351846617382
EHD2	4.71375840678107
NCF1	3.82021597625956
SPG7	5.54443117053148
ZNF614	3.68920419099009
HOXA5	4.66696737575643
NUP133	7.65590887932662
FGF12	3.59678883885109
SLMO2	8.98517503023037
INPP5B	4.48088546261915
PPID	7.89105646275409
SNTA1	3.93089828179135
IL20RA	6.30550779571767
UBE2J1	6.76512642200474
CACNG2	3.05273619145557
