Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A02_543598
Composite Element REF	Signal
AACS	7.62592049420643
FSTL1	8.24199754674323
ELMO2	5.54389664940138
CREB3L1	4.43825073234966
RPS11	9.7031390651697
PNMA1	8.15726828504075
MMP2	7.20073684986757
SAMD4A	4.23667262964809
SMARCD3	7.4016516657318
A4GNT	3.78058321868901
C9orf39	3.69164672982837
PKNOX2	3.95061916719964
RALYL	3.44626867569964
ZHX3	4.15004706482203
ERCC5	5.98851654023417
RXFP3	3.11871220628968
APBB2	3.9136190774103
BBOX1	5.74985960937127
PRO0478	2.85395749554404
GCSH	7.77273077443564
XDH	3.90287317939524
EDN1	4.98867471986915
MTERF	6.49437709065274
PDCL3	7.51454828672554
CLK4	6.1397059089531
KCNG1	3.74554918491977
CXCR4	8.06264847700148
DECR1	7.78497794017494
SALL1	2.99998168373141
PTPRR	3.20292461905918
CADM4	3.34153823256634
IRAK1	9.82674611288335
CFHR5	3.04348409629955
HNRPD	7.88261758404493
TMSB10	12.3838371599456
CXCL3	3.72426246820774
LMAN1	4.15268946768899
SUHW1	3.30671187097476
CHD8	5.91206225799404
SUMO1	7.70663028137581
GP1BA	3.23662373163135
OR7A10	3.89720566850121
DDB1	7.95592273731401
CHRNA10	3.73093526686533
STYK1	3.36725423003664
MYO9B	4.41718615453927
CCNI	9.74960810195974
MMP7	8.40900680930156
EP300	5.01861381722567
CRNKL1	6.7439459317971
C9orf45	3.42167308594926
XAB2	4.30124693979192
RTN1	3.40243076873788
HIC2	3.73814597842843
TBX10	3.68952787666455
CENPQ	4.56096715810361
UTY	3.16106543637005
OR2W1	2.85303460685028
ATP5G2	10.1896200876462
ZEB1	3.79532587880714
ZG16	3.51836585250012
ERG	3.83818781656875
PARN	7.58951262876582
SOD2	6.47800055204482
JOSD3	8.05022896385489
ADAM5P	3.15365763213659
CHD9	6.78418471585508
hCG_40738	3.9288693783538
STK16	4.96869359615058
PDE1C	3.54818916012725
SEMA4D	5.68463466853404
AGPAT1	6.27531762326344
TOB2	6.14470818135385
BANK1	4.95504084193177
MAP3K3	5.60428196893402
MAX	5.89044510807287
GRM2	3.99400488641645
OSBPL8	6.5761648449181
PROSC	6.58106768844733
NR4A2	5.32050296211943
RICS	4.18743317829282
PIR	5.84458155298879
PPCS	9.46394961930343
IPO9	6.22374101928589
LONP1	6.90592056258968
EVC	4.1083540792086
CXCL13	4.04765730433237
SCYL3	5.03830850090919
KIAA1199	5.41727141432736
SORL1	7.38078207053646
NAT10	8.0081688788392
CHD1	6.05668550385951
SYN3	3.65159777049047
DMC1	3.78577052908856
SLC22A2	3.62366395850226
SERPINF1	8.03464769123291
C20orf27	7.36735555779623
OR7A17	3.24700568164349
RPS6KA5	4.84678837526009
LHB	3.3986864223623
TAOK3	5.4254379772223
STK25	5.5665323374687
SLC12A4	3.6273693422666
BRCA1	4.58348441283426
GBL	6.02303366084279
C14orf108	8.08525572925033
CDC25B	8.2204441645539
BMP3	3.25894695675722
MAP1LC3C	3.56691713829513
TMEM180	3.67404460390525
CRYGC	3.84262225270929
SLK	5.73207755591339
POU3F1	3.29512571549582
C20orf32	3.80630377435858
USP52	4.69451230754512
HIGD1B	3.73155541374982
BAZ1B	7.24352775892245
USP6NL	5.12001681278907
SLCO2B1	4.7176838481225
ABCD4	4.4432114317977
DIMT1L	6.71336742483891
SLC25A46	7.17638014369447
LARP7	7.04700006368443
TEK	3.77747716692446
CD160	3.56115448682903
TERF2IP	7.30778475977202
PHF20	6.16174667661493
COL1A1	8.39824606209873
KIAA0090	5.87260255585481
GTPBP1	4.67127358327148
GRK5	4.05601218148665
AP1S2	5.68432700698434
RAB33B	4.04399181148459
CA11	4.71810879046782
ALDOC	5.05822613187866
NUDT1	5.79373397219538
ZNF212	5.72907540404048
ACBD3	7.5160390271383
ZNF83	6.86063889153653
PRDM2	5.26345418307165
GDPD5	5.00709606633634
PDCD4	6.16124461989106
CEP350	5.78586150476319
FOXP3	3.31607474279273
SMYD3	6.73281664076137
CST7	3.9500387753436
SELL	4.51618826902502
CIAO1	6.59501042784135
LGI2	3.5946831589887
WDR45	7.06343869671532
ANKRD6	7.75082779503615
LTBP4	4.17485179352922
PSCD3	3.3833698288084
PYY	3.20363267896857
KCNC1	3.40072676459868
SIRT6	4.74287014516451
CCL19	3.78701595847482
ARHGEF9	4.24845748472309
ABR	4.84946867104646
C10orf22	6.93375565941274
STK17A	5.44078402403546
FOXE1	3.30593704362521
GML	3.55069900001492
CNGA3	3.03311897769831
CD38	3.88951798160663
ZDHHC6	7.83166357654076
NEFH	4.17554543910735
