Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A04_543684
Composite Element REF	Signal
AACS	7.06563044236621
FSTL1	8.84241374554186
ELMO2	5.11492597387138
CREB3L1	4.65470255995465
RPS11	9.74461029565344
PNMA1	8.50521599915995
MMP2	9.57632391264016
SAMD4A	3.98509318740287
SMARCD3	7.28450939679473
A4GNT	3.57658433519385
C9orf39	2.92816791941202
PKNOX2	4.65460008498646
RALYL	3.13713218105471
ZHX3	4.09252650193992
ERCC5	5.76962752484115
RXFP3	2.86918951429622
APBB2	4.41270486264059
BBOX1	4.78521776846185
PRO0478	2.99437821293890
GCSH	8.57358836732487
XDH	4.06335014779063
EDN1	5.01697384900532
MTERF	6.19493505735626
PDCL3	7.54364701256534
CLK4	5.9797389148168
KCNG1	3.4556988352776
CXCR4	8.01922743405348
DECR1	8.28980966569917
SALL1	3.05881553802033
PTPRR	3.85164659270172
CADM4	3.1764121034471
IRAK1	9.6448339305982
CFHR5	3.20098972461863
HNRPD	7.39716161579204
TMSB10	12.3715869644696
CXCL3	3.89155464904158
LMAN1	4.08435036363041
SUHW1	3.72247215329436
CHD8	5.83329672898913
SUMO1	7.94687852835224
GP1BA	3.09169783288276
OR7A10	3.72190888073397
DDB1	7.38454294502488
CHRNA10	3.40601434732795
STYK1	4.02991097736104
MYO9B	4.41170182612828
CCNI	10.3680293396934
MMP7	10.9069791983494
EP300	6.05072949617078
CRNKL1	6.32692879118018
C9orf45	3.1351932299666
XAB2	3.97580468306447
RTN1	4.94553135300828
HIC2	3.91934882318085
TBX10	3.53908542997747
CENPQ	4.56212687637136
UTY	3.04664094301104
OR2W1	2.90961836592473
ATP5G2	10.7617663833405
ZEB1	3.89917038154202
ZG16	3.55728874937044
ERG	3.65291464971651
PARN	7.18367399498037
SOD2	7.78090295536927
JOSD3	9.29174684281304
ADAM5P	3.16521232594898
CHD9	6.40019215611835
hCG_40738	3.80777341798754
STK16	6.25288107919347
PDE1C	3.55231530941326
SEMA4D	5.55700424600763
AGPAT1	6.41748042116171
TOB2	6.06727301309469
BANK1	3.63531359674911
MAP3K3	5.50198134518111
MAX	5.59149324186381
GRM2	3.78969830361764
