Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G10_516458
Composite Element REF	Signal
AACS	7.62151936768709
FSTL1	9.9234564337003
ELMO2	6.04933109131287
CREB3L1	4.27311432707303
RPS11	9.83845964583096
PNMA1	8.11740324816234
MMP2	6.90595094336107
SAMD4A	3.52926396664783
SMARCD3	6.05896462671336
A4GNT	3.55112595958918
C9orf39	3.15025939150729
PKNOX2	3.87412820802668
RALYL	3.41454459880203
ZHX3	4.45245278346794
ERCC5	5.22108879369231
RXFP3	2.99879424185615
APBB2	4.15319961358042
BBOX1	3.35735776020883
PRO0478	3.01155179417525
GCSH	8.6540447582018
XDH	3.70517622138067
EDN1	4.81982543235444
MTERF	6.75618033417237
PDCL3	7.90734354972885
CLK4	5.50307464825775
KCNG1	5.03121573484865
CXCR4	6.31286578720337
DECR1	8.50517092276316
SALL1	3.66214527349557
PTPRR	3.22076134982074
CADM4	3.40098350950856
IRAK1	9.16260768531666
CFHR5	3.22393541046439
HNRPD	7.89860443173689
TMSB10	12.4030366059611
CXCL3	4.47119653682425
LMAN1	4.06835811026993
SUHW1	3.95051140160782
CHD8	6.46645091939565
SUMO1	8.38114658270418
GP1BA	3.06987109204503
OR7A10	3.67493305580896
DDB1	7.5065669102301
CHRNA10	3.62891772308865
STYK1	3.40074135508235
MYO9B	4.3445068183715
CCNI	9.91131453749425
MMP7	6.3627722977001
EP300	6.46591360159512
CRNKL1	7.33688270293518
C9orf45	3.07871535782822
XAB2	4.38406015998181
RTN1	3.585414858822
HIC2	3.99106359260088
TBX10	3.32381165704342
CENPQ	4.98899761250594
UTY	3.07723526539803
OR2W1	2.91829649857007
ATP5G2	10.6055954884329
ZEB1	3.72656067075049
ZG16	3.41869046866237
ERG	3.88978439425607
PARN	6.66551873925561
SOD2	5.88384286095901
JOSD3	8.04976182086034
ADAM5P	3.01453644574382
CHD9	4.43802338608292
hCG_40738	4.30839500099728
STK16	4.96248443454557
PDE1C	3.37024932594925
SEMA4D	5.58616816844745
AGPAT1	5.86731183070719
TOB2	5.16969475562838
BANK1	3.43464273375363
MAP3K3	5.0095166755103
MAX	4.97742221984129
GRM2	3.85784340244585
OSBPL8	8.4582878246842
PROSC	6.15450802902928
NR4A2	3.98844875603579
RICS	7.16102421332113
PIR	6.32491172704817
PPCS	9.4506390175336
IPO9	6.16594281308411
LONP1	6.25558504000211
EVC	4.06335442723168
CXCL13	4.60324962815824
SCYL3	5.80628430143595
KIAA1199	3.32213528470683
SORL1	9.80283502437075
NAT10	6.86067876487609
CHD1	5.48148313749836
SYN3	3.66476886961254
DMC1	3.9454000760718
SLC22A2	3.33763129269315
SERPINF1	8.97792691363054
C20orf27	5.68176889726169
OR7A17	3.17262832748320
RPS6KA5	5.3344170583035
LHB	3.17007542109240
TAOK3	5.40126990006755
STK25	6.10026772112722
SLC12A4	3.44588578534964
BRCA1	4.93828237421564
GBL	5.17738440676343
C14orf108	7.60069797575893
CDC25B	7.35386966575933
BMP3	3.17161784588922
MAP1LC3C	3.38330996784755
TMEM180	3.58967765994695
CRYGC	3.42712981600730
SLK	6.64954191713344
POU3F1	3.11009439708185
C20orf32	3.93885710720341
USP52	7.01676663939481
HIGD1B	4.24733664110683
BAZ1B	6.31044206943493
USP6NL	5.06381258317582
SLCO2B1	3.9647974657632
ABCD4	4.13244262014597
DIMT1L	6.67705579633353
SLC25A46	7.88138062257731
LARP7	7.18126359185643
TEK	3.54087982982114
CD160	3.45693940864145
TERF2IP	7.52850108862713
PHF20	5.61139780100634
COL1A1	7.44420001121696
KIAA0090	5.79616965512686
GTPBP1	4.35721813507948
GRK5	4.05248413896782
AP1S2	5.26797808036074
RAB33B	4.35569722578082
CA11	4.57405839943795
ALDOC	5.57500331518069
NUDT1	4.91715561337903
ZNF212	5.86909140390468
ACBD3	7.51656112587894
ZNF83	7.14791509246244
PRDM2	4.59383150213952
GDPD5	4.97806093915363
PDCD4	6.63831305143107
CEP350	6.14329258677868
FOXP3	3.17874401486741
