Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B06_543646
Composite Element REF	Signal
AACS	7.03661013216493
FSTL1	7.76523105373935
ELMO2	6.17276091973712
CREB3L1	3.91053083895319
RPS11	9.75984948720154
PNMA1	8.01014749367492
MMP2	6.46397443184367
SAMD4A	3.85678416378984
SMARCD3	5.71959604372526
A4GNT	3.64129514632445
C9orf39	3.26341306193477
PKNOX2	3.79297383833168
RALYL	3.4600368705903
ZHX3	4.22755028614472
ERCC5	6.47638639985327
RXFP3	3.0518075251224
APBB2	3.91289161981522
BBOX1	6.72420281641346
PRO0478	3.10475230200060
GCSH	7.38314223844595
XDH	4.61287243333817
EDN1	5.57455253060217
MTERF	7.17186549461273
PDCL3	7.42712035060893
CLK4	5.76926844940113
KCNG1	3.43612337163403
CXCR4	6.88288956397209
DECR1	7.80871893480915
SALL1	3.12983451393455
PTPRR	3.56288440816260
CADM4	3.50873512026522
IRAK1	10.4744700537938
CFHR5	3.06236273896622
HNRPD	8.27060345082629
TMSB10	12.0543954876092
CXCL3	5.15741925903157
LMAN1	3.69225621336362
SUHW1	3.30860983670664
CHD8	5.66971423808064
SUMO1	7.58496708691789
GP1BA	3.19725299476299
OR7A10	3.81450462718979
DDB1	7.73297413903394
CHRNA10	3.77371653149022
STYK1	4.28045574757887
MYO9B	4.46140675314519
CCNI	10.6889082776804
MMP7	9.65846745196168
EP300	6.34630730962916
CRNKL1	7.19854830580046
C9orf45	3.49999973208910
XAB2	4.562934585691
RTN1	4.76928933654039
HIC2	4.46940296814534
TBX10	3.33853428362497
CENPQ	4.62969123518951
UTY	3.12065301370475
OR2W1	2.79763223980966
ATP5G2	9.35151540270775
ZEB1	3.66772703842044
ZG16	3.41695829814496
ERG	3.53590313709133
PARN	7.5351709408959
SOD2	6.63412150799215
JOSD3	8.22054763749092
ADAM5P	3.33785148029805
CHD9	5.86258505319516
hCG_40738	3.93007722428936
STK16	5.69045693634204
PDE1C	3.59577957032174
SEMA4D	5.31843661559824
AGPAT1	7.15721075963935
TOB2	6.15117622192085
BANK1	3.48083284157213
MAP3K3	4.97790447296128
MAX	5.77661686214588
GRM2	3.63391083499694
OSBPL8	6.86258552611834
PROSC	5.79990083925544
NR4A2	7.86185760844918
RICS	6.56408039356276
PIR	4.78504800649342
PPCS	9.00778028816336
IPO9	6.21543746159393
LONP1	6.53227149454927
EVC	4.27396444462294
CXCL13	6.6252986039437
SCYL3	5.73044878404898
KIAA1199	4.51305154528919
SORL1	7.2931536330801
NAT10	7.40631103104494
CHD1	6.35917165827509
SYN3	3.46728488437489
DMC1	3.75136119522682
SLC22A2	3.65282123620989
SERPINF1	6.84904835009662
C20orf27	6.35661544391573
OR7A17	2.93936955257960
RPS6KA5	4.64511097970232
LHB	3.58441755677633
TAOK3	5.67670283275745
STK25	5.89168971290523
SLC12A4	3.58194954570531
BRCA1	3.54356689782794
GBL	5.95757537089569
C14orf108	8.33422881371825
CDC25B	6.69993998231016
BMP3	3.15454990222198
MAP1LC3C	3.17298854108044
TMEM180	3.64924356682897
CRYGC	3.58130380733807
SLK	5.87504145644432
POU3F1	3.05094417032052
C20orf32	3.65492114161387
USP52	5.44007822855636
HIGD1B	3.77407973126859
BAZ1B	7.40380105215979
USP6NL	5.8170393643869
SLCO2B1	4.5987361003668
ABCD4	4.63107311805115
DIMT1L	6.37447744007642
SLC25A46	7.25875147683024
LARP7	7.11344475069381
TEK	3.79745621420237
CD160	3.60920760099028
TERF2IP	7.54587440226373
PHF20	6.59258044602709
COL1A1	7.43279521182876
KIAA0090	6.46021339626017
GTPBP1	4.59083634656005
GRK5	3.76499951801606
AP1S2	5.43537713795446
RAB33B	3.52914765381493
CA11	4.22529070805133
ALDOC	5.85402552760371
NUDT1	6.11203648100426
ZNF212	6.21977798133222
ACBD3	7.833099129912
ZNF83	7.53413923197085
PRDM2	5.24112444769016
