Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_C02_547240
Composite Element REF	Signal
AACS	5.9749704728622
FSTL1	9.61302469388997
ELMO2	5.67167225261415
CREB3L1	4.64463240691844
RPS11	10.0120986695961
PNMA1	7.6031083339833
MMP2	8.92540548548208
SAMD4A	4.21721092143654
SMARCD3	5.70711295700122
A4GNT	3.55969811461856
C9orf39	3.57979124180393
PKNOX2	3.79419333152692
RALYL	3.14709108552867
ZHX3	4.9474602818837
ERCC5	6.84987980457892
RXFP3	3.08479930658505
APBB2	5.42732102933688
BBOX1	4.04227724299768
PRO0478	3.45974027884
GCSH	8.0752287541735
XDH	3.41372979564404
EDN1	4.74424401449425
MTERF	6.47250814893887
PDCL3	7.12004150027472
CLK4	6.86049842631454
KCNG1	4.01960939117146
CXCR4	6.46958431324544
DECR1	7.3159102021508
SALL1	3.60065782758152
PTPRR	3.22546297277198
CADM4	3.50292064536409
IRAK1	8.13405838466768
CFHR5	3.27561885192801
HNRPD	7.87247104762722
TMSB10	11.8641425888369
CXCL3	4.20879562843166
LMAN1	3.77222475389917
SUHW1	3.19579015520063
CHD8	6.08133535811448
SUMO1	7.25073949359865
GP1BA	3.25616721634706
OR7A10	3.78270342904441
DDB1	6.87702073994876
CHRNA10	3.81416251731415
STYK1	3.32998023648804
MYO9B	4.55298141900812
CCNI	10.3446273634864
MMP7	6.52153933896077
EP300	6.7262647331879
CRNKL1	6.13928482053685
C9orf45	3.3587621205922
XAB2	4.42352515126648
RTN1	5.06349218553298
HIC2	4.35940989832125
TBX10	3.63589632269845
CENPQ	4.36157357357594
UTY	3.00170059365636
OR2W1	2.8918529406859
ATP5G2	10.3978349378802
ZEB1	4.8341915226546
ZG16	3.41754647802264
ERG	4.20800344639248
PARN	6.78259515803599
SOD2	5.47795869214995
JOSD3	8.37943680486942
ADAM5P	3.1352566509393
CHD9	6.47834649795003
hCG_40738	4.04453319971453
STK16	4.52245186711138
PDE1C	3.71831860141531
SEMA4D	5.25237929712225
AGPAT1	7.08608761972801
TOB2	6.67954828691774
BANK1	3.46475786468978
MAP3K3	5.56838839722385
MAX	5.1897265489992
GRM2	3.67110218206294
OSBPL8	7.37855006747869
PROSC	5.39932734667530
NR4A2	5.96430331827479
RICS	4.57394044362794
PIR	3.51461149005552
PPCS	8.0921786996067
IPO9	6.82911134822142
LONP1	7.79937609731968
EVC	4.37198477168483
CXCL13	4.18596457587152
SCYL3	4.92786357370643
KIAA1199	7.3192428056044
SORL1	5.73758920604531
NAT10	6.18282198630414
CHD1	7.04635251620858
SYN3	3.49686681801775
DMC1	3.80381580064691
SLC22A2	3.52473239885196
SERPINF1	8.71649064290008
C20orf27	5.5289769811266
OR7A17	3.14700348674041
RPS6KA5	4.33377064926546
LHB	3.47279531183416
TAOK3	4.72823743892704
STK25	5.52026905518387
SLC12A4	3.54515832962215
BRCA1	3.86105982642563
GBL	5.13798143127642
C14orf108	7.6780565555794
CDC25B	7.99825211382357
BMP3	3.33889793256993
MAP1LC3C	3.34058455970725
TMEM180	3.44454910188638
CRYGC	3.47994526544307
SLK	5.34349831452787
POU3F1	3.21129168316479
C20orf32	3.80803964359673
USP52	6.76523773210307
HIGD1B	4.10110030262198
BAZ1B	6.67546048026074
USP6NL	5.59788478802275
SLCO2B1	4.42300431376698
ABCD4	4.52191512756793
DIMT1L	5.73298210662367
SLC25A46	6.49459121185115
LARP7	6.55836780915794
TEK	3.7568872292955
CD160	3.46451459107416
TERF2IP	7.47804611497466
PHF20	6.34842857366551
COL1A1	9.92555453041866
KIAA0090	5.45953380398253
GTPBP1	4.20815709404626
GRK5	4.19736219422873
AP1S2	5.66730995029446
RAB33B	4.28431579678697
CA11	4.95267078360098
ALDOC	4.19060869971374
NUDT1	5.21862206157369
ZNF212	5.61220956410515
ACBD3	7.83271669351783
ZNF83	6.7618109108009
PRDM2	5.37427351987252
GDPD5	4.37376073951690
PDCD4	5.91664341468927
CEP350	6.12942468438311
FOXP3	3.27729662424691
SMYD3	7.13416855579319
CST7	4.31969609819751
SELL	4.31450303479208
CIAO1	6.14750741768712
LGI2	4.06043916386273
WDR45	6.39902413653362
ANKRD6	5.94519813632154
LTBP4	5.10019953433811
PSCD3	3.34964568843764
PYY	3.13505729612006
KCNC1	3.24241238179904
SIRT6	4.35741602285343
CCL19	4.33466187592639
ARHGEF9	4.89255050581768
ABR	4.47840698675018
C10orf22	6.40508860312266
STK17A	4.65304524347313
FOXE1	3.13025051254627
GML	3.26366765027731
CNGA3	2.78085090538491
CD38	4.25445083564547
ZDHHC6	7.12127675928645
NEFH	3.34354223022111
PGBD5	4.2989895412926
CTDSP2	7.4293169595363
RMND5B	5.67146947628731
ZNF257	4.21269244571839
DUSP4	3.63532588690293
FLJ22167	5.29621019329576
