Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_F07_491264
Composite Element REF	Signal
AACS	8.15816803537732
FSTL1	7.76248392963481
ELMO2	5.10683750251934
CREB3L1	3.88611480716374
RPS11	10.6923841455923
PNMA1	6.57501693813657
MMP2	5.63141510689714
SAMD4A	3.87980925873844
SMARCD3	6.25654114288583
A4GNT	3.89608521858145
C9orf39	3.43022997199734
PKNOX2	3.91606559518636
RALYL	3.59613093776762
ZHX3	4.10506670540781
ERCC5	7.13492401213704
RXFP3	3.14732760674989
APBB2	3.83753833551040
BBOX1	5.1373181145388
PRO0478	3.20641673277442
GCSH	7.59857426019287
XDH	3.99601628826181
EDN1	4.10644329234016
MTERF	6.64860268907746
PDCL3	6.68764575080998
CLK4	5.66832982733532
KCNG1	3.78760927815213
CXCR4	4.99716862478643
DECR1	6.5321338975312
SALL1	3.07681135735377
PTPRR	4.18922946100218
CADM4	3.46546153196139
IRAK1	8.52379403919226
CFHR5	3.13036128907978
HNRPD	6.44565067339791
TMSB10	12.2209682427856
CXCL3	3.82661753326363
LMAN1	3.7102318594821
SUHW1	3.50598511016891
CHD8	5.87239213693625
SUMO1	7.38674136778256
GP1BA	3.34665615630198
OR7A10	3.7428071469271
DDB1	7.54661307986906
CHRNA10	3.61952730218604
STYK1	3.85435517599355
MYO9B	4.60502244073515
CCNI	9.40798525445982
MMP7	10.4332119066680
EP300	6.40818368758053
CRNKL1	6.35071801544894
C9orf45	3.32032914636014
XAB2	5.2724163583242
RTN1	3.69850713852107
HIC2	3.73100520989554
TBX10	3.5009739865689
CENPQ	4.14012843513691
UTY	3.17228893345236
OR2W1	2.85277417615914
ATP5G2	10.2665051943174
ZEB1	3.3537805754117
ZG16	3.86906127269479
ERG	3.79719218500045
PARN	7.0194252974104
SOD2	4.17203036661383
JOSD3	7.04841453228062
ADAM5P	3.24462354893065
CHD9	6.161906406266
hCG_40738	3.55524068697028
STK16	4.55561610782058
PDE1C	3.91803557289649
SEMA4D	4.92040428813744
AGPAT1	6.64045854785979
TOB2	7.33172555526843
BANK1	4.34821067009256
MAP3K3	5.85046175711385
MAX	5.34792990016833
GRM2	3.95674694262323
OSBPL8	7.74271999311726
PROSC	6.29661141158428
NR4A2	5.4972309330508
RICS	6.30387186562667
PIR	3.24812287250733
PPCS	7.9086087565304
IPO9	6.91513618821023
LONP1	6.97035598760627
EVC	4.04763617210561
CXCL13	4.1674487733735
SCYL3	5.53429219467323
KIAA1199	4.93782188424738
SORL1	9.26037646078738
NAT10	6.49238585370752
CHD1	5.31583061908717
SYN3	3.47551698712537
DMC1	3.89498433695404
SLC22A2	3.86038911350337
SERPINF1	5.17408556274344
C20orf27	5.5277015410672
OR7A17	3.03493359920040
RPS6KA5	4.96982668585707
LHB	3.82369590283472
TAOK3	6.17155050617882
STK25	5.93388682985568
SLC12A4	3.73091858365651
