Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C03_491122
Composite Element REF	Signal
AACS	7.16483252278523
FSTL1	8.20898519938144
ELMO2	4.88380110622468
CREB3L1	3.70490625084784
RPS11	10.4446320016679
PNMA1	8.56758176360953
MMP2	5.6547874404241
SAMD4A	3.84346613992165
SMARCD3	7.04721862235435
A4GNT	3.7737292062983
C9orf39	3.05848890894123
PKNOX2	3.96977004811190
RALYL	3.41109845352369
ZHX3	4.01340071532755
ERCC5	5.48512100960622
RXFP3	3.11109856877696
APBB2	3.46699176989345
BBOX1	5.52367226001692
PRO0478	3.20194202116613
GCSH	8.1551410961405
XDH	3.68274721543712
EDN1	3.80917933927158
MTERF	6.93490373879428
PDCL3	7.3335198115002
CLK4	6.48646238063884
KCNG1	4.4077700707873
CXCR4	6.86730815396717
DECR1	8.79068108897894
SALL1	3.00288075506423
PTPRR	3.94059794457997
CADM4	3.13625989729042
IRAK1	7.7788550742562
CFHR5	3.2502174454113
HNRPD	7.39874108289532
TMSB10	12.3744180050231
CXCL3	4.235106486012
LMAN1	3.68125096038184
SUHW1	3.56161646814836
CHD8	5.2653306097174
SUMO1	8.9895298896041
GP1BA	3.43903582328916
OR7A10	3.63991110470765
DDB1	7.67479774903213
CHRNA10	3.73702437663871
STYK1	3.74969954567656
MYO9B	3.7673856498319
CCNI	10.2002315661377
MMP7	7.96319260941903
EP300	5.48203636052517
CRNKL1	7.44466093964684
C9orf45	3.34655945076634
XAB2	4.40444815474327
RTN1	3.92631156045271
HIC2	3.50303569399627
TBX10	3.53309846510903
CENPQ	4.72640236677795
UTY	3.06741991734719
OR2W1	2.76367648144255
ATP5G2	10.8773532277501
ZEB1	3.37906061970011
ZG16	3.36842066849462
ERG	4.36234732554681
PARN	6.70140038435968
SOD2	4.29507735738574
JOSD3	8.02175536130974
ADAM5P	3.26519924624508
CHD9	6.95219175326056
hCG_40738	3.5288730420559
STK16	6.49180527671655
PDE1C	3.51918330972181
SEMA4D	5.07492639369881
AGPAT1	6.19934210035178
TOB2	5.86441873502296
BANK1	3.21096230502480
MAP3K3	5.15904273421205
MAX	5.63821802465013
GRM2	3.93988351935556
OSBPL8	7.69901987177328
PROSC	6.6572460408319
NR4A2	6.46567961408965
RICS	4.34087531750669
PIR	6.01180240006722
PPCS	9.52207585901445
IPO9	5.86033956952772
LONP1	6.112288842734
EVC	4.30842902688431
CXCL13	4.37065601521544
SCYL3	6.60807565450942
KIAA1199	5.50199227502756
SORL1	7.9994444750874
NAT10	6.69094089768649
CHD1	5.35812720126859
SYN3	3.63314501614368
DMC1	3.73502604651889
SLC22A2	3.75617901045512
SERPINF1	4.21640247637234
C20orf27	5.89873468626858
OR7A17	3.56203496729020
RPS6KA5	5.16758015815026
LHB	3.29553326090454
TAOK3	4.79658913053321
STK25	6.48949520697248
SLC12A4	3.45147097681576
BRCA1	3.54602871726205
GBL	5.46832436340042
C14orf108	8.3216395479387
CDC25B	5.37181199886500
BMP3	3.11150424448140
MAP1LC3C	3.51667184616781
TMEM180	3.07018008353878
CRYGC	3.67677922049355
SLK	5.59566838475454
POU3F1	3.28845790806314
C20orf32	3.81151512405178
USP52	5.28008726089347
HIGD1B	3.95799232827034
BAZ1B	5.3638088543754
USP6NL	5.64748576500411
SLCO2B1	3.89363269490413
ABCD4	4.60037267532821
DIMT1L	6.12410553125592
SLC25A46	7.30127094608519
LARP7	7.67744534376684
TEK	3.64622765524533
CD160	3.72210312670924
TERF2IP	7.2846613214223
PHF20	5.56698633117714
COL1A1	5.75491909566747
KIAA0090	4.81415899603601
GTPBP1	4.5319344358579
GRK5	3.6132492320119
AP1S2	4.73338891259172
RAB33B	4.67501632349665
CA11	5.76715779440264
ALDOC	3.80296367098566
NUDT1	4.86809627043693
ZNF212	5.41511699606891
ACBD3	7.75587584721579
ZNF83	7.48573940862644
PRDM2	4.19221845489991
GDPD5	3.8836403205711
PDCD4	6.21867940662356
CEP350	6.00562043766504
FOXP3	3.20721306372347
SMYD3	5.50610754378328
CST7	3.84911890536307
SELL	5.23312139183367
CIAO1	6.4451654286835
LGI2	3.76635005767123
WDR45	6.5943399821622
ANKRD6	6.72573819470747
LTBP4	3.55263099060208
PSCD3	3.29741533284668
PYY	3.36314259156383
KCNC1	3.30791855429721
SIRT6	4.10793363273702
CCL19	3.92781566075190
ARHGEF9	4.3498664791828
ABR	4.39728841811898
C10orf22	6.81994039514467
STK17A	5.036144596004
FOXE1	3.4025248417487
GML	3.18013862233621
CNGA3	3.04497753330145
CD38	3.57297020608152
ZDHHC6	7.98671900846194
NEFH	3.40304623069654
PGBD5	4.43230256431389
CTDSP2	6.81949257316315
RMND5B	5.71634222098399
ZNF257	3.5348103421794
DUSP4	8.74989489258928
FLJ22167	7.55577511731158
EXOSC7	6.92278236570583
ROR2	3.54217674766023
FOXM1	4.45951329244977
ZBTB48	4.22953146732249
BUD31	8.92174053259139
MAOA	5.42569766045573
CCDC41	6.04032434057097
TNNT3	3.80854268568722
FBXO11	5.42316875507627
GYPC	5.41156606989733
PLIN	3.79992563404816
RFXAP	3.46312058530414
C6orf15	6.0966546806657
RNF4	8.22735403094404
F8A1	7.48898270339602
PPP1R3D	5.13990743207349
GRB2	7.00296588578452
TPM3	3.19566807229704
SYT13	3.61582189747202
EPB42	3.35005228970620
RP5-1077B9.4	4.87034129447422
EIF1	9.78586679155036
CETN3	7.8962740073093
FPGT	6.2782588722386
PRY	3.46396620260626
NTHL1	6.53226043494554
POLR2B	8.83529802950227
RPS28	12.1295133570323
GDF10	3.14293625141524
COQ9	8.43932947225975
P2RX3	2.86816872688762
GCC2	7.7765967835802
RARRES3	9.94946883673352
PLXNA1	5.5404080846272
WBP4	3.93049733131767
KIAA0100	5.19433590157569
PMF1	7.24362929897196
HS2ST1	5.61552378735466
CRELD2	6.82680613217632
C8G	3.13973135455592
CD82	5.99708608090152
PMM1	5.56081653143099
CBLL1	4.12823226263561
LIM2	3.29739839954596
VAX2	3.82533324168801
SETDB1	5.06678262211225
LRAP	5.98256994302598
GCLM	8.13838024374746
CPEB3	3.23645410835153
PPM1A	5.96255653851223
INTS1	4.20763995690842
MMP16	3.25087073492917
CAMTA1	4.41806993284887
SAMSN1	4.93685752097139
DRD3	2.99406507069674
GMPPA	5.31434287907124
C11orf73	6.4409525324931
AIPL1	3.64865479913351
PTP4A2	9.80839833192755
IL24	3.20748044531152
BDKRB1	3.42688804515258
HPCA	3.47244146245403
MLF1	7.63296902435181
SEC14L1	8.5884200211103
CHFR	4.54109519701137
EMILIN1	3.37847651190683
THADA	6.52198100327721
TAF12	4.69498269347389
NDUFS4	9.04944842468193
ID1	5.28295506279695
PIK3CB	3.37114995454968
COL18A1	6.45269646572578
