Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B08_443090
Composite Element REF	Signal
AACS	6.76646723836975
FSTL1	6.80670202647817
ELMO2	5.35020178435885
CREB3L1	3.79354407549441
RPS11	10.2616382919680
PNMA1	7.4330748476042
MMP2	6.60807486467912
SAMD4A	3.51948532759556
SMARCD3	6.58569622141178
A4GNT	3.81111692428586
C9orf39	3.50980254393614
PKNOX2	3.89084241142067
RALYL	3.23901574742263
ZHX3	4.5321800421597
ERCC5	6.18177510666198
RXFP3	2.97526381785623
APBB2	5.05144910142317
BBOX1	7.50868834049183
PRO0478	2.92369897395671
GCSH	8.3115713625567
XDH	3.61175675273717
EDN1	3.67834718007727
MTERF	6.68756459708696
PDCL3	6.6510012009807
CLK4	7.17185816653091
KCNG1	3.70879773656184
CXCR4	6.58304063360472
DECR1	5.59165804664921
SALL1	3.23460432930312
PTPRR	3.45440786783279
CADM4	3.45745202284693
IRAK1	9.53485367101584
CFHR5	3.22025166448114
HNRPD	7.15512781354443
TMSB10	11.3527211629757
CXCL3	4.0067792536144
LMAN1	3.59539738383040
SUHW1	3.23288623403928
CHD8	5.62877992170236
SUMO1	7.61608078575964
GP1BA	3.21617316429196
OR7A10	3.89288184228069
DDB1	7.78076642025877
CHRNA10	3.66262393986352
STYK1	4.69396533225286
MYO9B	4.18895264026015
CCNI	10.1187437270755
MMP7	8.6572470223001
EP300	5.72440924484428
CRNKL1	5.9715487284952
C9orf45	3.21574493854716
XAB2	3.86338794800669
RTN1	4.77023227259726
HIC2	3.99656080849276
TBX10	3.48681575362476
CENPQ	3.90295338360097
UTY	3.18599632400806
OR2W1	2.84833114478015
ATP5G2	9.58804022736397
ZEB1	3.70498854499127
ZG16	3.49064684858162
ERG	3.8563505800903
PARN	6.04308587453019
SOD2	6.47661878101298
JOSD3	7.87485896554303
ADAM5P	3.24552557864162
CHD9	6.73717780514918
hCG_40738	3.49609319509955
STK16	4.8152647439314
PDE1C	3.53002465490259
SEMA4D	5.48080770109695
AGPAT1	5.0372655858188
TOB2	5.74720516797939
BANK1	5.18438914227633
MAP3K3	5.77297164068004
MAX	4.82396940747351
GRM2	3.71382069401117
OSBPL8	6.22644232819864
PROSC	5.82966419175987
NR4A2	5.37415728440043
RICS	5.7630225646466
PIR	5.29294813460254
PPCS	9.51728720473602
IPO9	5.83594254613266
LONP1	6.1283905539322
EVC	4.36934161102100
CXCL13	4.30084728799138
SCYL3	6.29515066484337
KIAA1199	4.68724687905662
SORL1	8.77394305174718
NAT10	6.04572133981987
CHD1	6.31618000580352
SYN3	3.7440048755276
DMC1	3.87664733718652
SLC22A2	3.58140300252984
SERPINF1	6.12710578453311
C20orf27	4.90793018858215
OR7A17	3.26816074658355
RPS6KA5	4.9554570246653
LHB	3.66127729250129
TAOK3	5.67192433359834
STK25	5.91913565481377
SLC12A4	3.69278128053522
BRCA1	3.49364512751429
GBL	4.66680922032442
C14orf108	7.99816704889195
CDC25B	5.39763820939328
BMP3	3.35697778710223
MAP1LC3C	3.38482669031926
TMEM180	3.25714423174443
CRYGC	3.94395363166325
SLK	5.91832252484203
POU3F1	3.10344165651345
C20orf32	3.96729970953652
USP52	4.72837104363523
HIGD1B	4.15261535932999
BAZ1B	7.07021645040083
USP6NL	5.5583834586996
SLCO2B1	4.35033588461184
ABCD4	4.58824432173268
DIMT1L	5.7559028361135
SLC25A46	7.46377604427404
LARP7	6.4349545799931
TEK	3.67030701158888
CD160	4.37453448481129
TERF2IP	6.6829511982088
PHF20	6.27059332839691
COL1A1	6.80229468190488
KIAA0090	5.5116918582685
GTPBP1	4.32501936770122
GRK5	3.82638778744991
AP1S2	4.73657617289187
RAB33B	4.15426170970832
CA11	3.9640243987795
ALDOC	4.56463249089726
NUDT1	4.62968011965473
ZNF212	5.83916091346173
ACBD3	7.0835009148765
ZNF83	7.92834288686565
PRDM2	5.29470137035295
GDPD5	5.49276515682381
PDCD4	5.41074634803909
CEP350	6.52898663563726
FOXP3	3.41888409017354
SMYD3	6.06026664035123
CST7	4.78061395412832
SELL	3.89685454186056
CIAO1	6.11680843670069
LGI2	3.57157860554748
WDR45	6.66373908901805
ANKRD6	6.79983346639171
LTBP4	3.8736970845153
PSCD3	3.30027253339469
PYY	3.11817894129349
KCNC1	3.22815284017746
SIRT6	3.82115454423338
CCL19	3.882262421954
ARHGEF9	4.56757874644284
ABR	4.79620847855796
C10orf22	6.25708048032872
STK17A	4.94598921062133
FOXE1	3.16156217377578
GML	3.27303220550984
CNGA3	2.82081751289840
CD38	3.88893597270049
ZDHHC6	6.08883837023588
NEFH	3.93303963851552
PGBD5	3.46598258268491
CTDSP2	6.14961983703927
RMND5B	6.51874522945632
ZNF257	3.41538138059781
DUSP4	3.54124435127029
FLJ22167	3.88249500842856
EXOSC7	6.44425057266372
ROR2	3.26704868097684
FOXM1	4.51685359655712
ZBTB48	5.18411093700382
BUD31	8.2769551507076
MAOA	4.57892015323956
CCDC41	4.28141306141439
TNNT3	3.73822433625046
FBXO11	5.82354547747384
GYPC	7.80205738000565
PLIN	3.55674657828122
RFXAP	3.79273142423353
C6orf15	3.82518580195285
RNF4	8.81916187907881
F8A1	7.96163674419597
PPP1R3D	4.77357207104874
GRB2	7.23698539178578
TPM3	3.06616410107534
SYT13	3.60830558956993
EPB42	3.48163673604496
RP5-1077B9.4	5.38436442298412
EIF1	10.2434943464708
CETN3	7.47980603903625
FPGT	5.23286047702959
