Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_B05_458668
Composite Element REF	Signal
AACS	6.5593234044994
FSTL1	7.78192255609327
ELMO2	5.22362540301985
CREB3L1	3.63161815217585
RPS11	9.7365786501085
PNMA1	7.93029275312247
MMP2	6.64035880751904
SAMD4A	3.60974630576151
SMARCD3	6.45551423123145
A4GNT	3.73921303182993
C9orf39	3.41500503718828
PKNOX2	3.98247646275461
RALYL	3.46534830556612
ZHX3	3.97216164913730
ERCC5	6.36026506643898
RXFP3	2.95922575969599
APBB2	3.79805148805793
BBOX1	6.3786143593854
PRO0478	2.84629954802752
GCSH	8.44252542650481
XDH	3.42689073171801
EDN1	4.04432223924295
MTERF	7.43023635377333
PDCL3	7.27046344134578
CLK4	6.53534800246359
KCNG1	3.41399611252926
CXCR4	7.9242558915279
DECR1	7.97300510716635
SALL1	3.6224529285023
PTPRR	3.18349818159409
CADM4	3.44346338281394
IRAK1	7.9096548026899
CFHR5	3.40872842827245
HNRPD	7.9427758729199
TMSB10	12.0423585774674
CXCL3	4.96967476874903
LMAN1	4.53118736922284
SUHW1	3.54385618662835
CHD8	6.58729350390405
SUMO1	8.07757690984153
GP1BA	3.30302079401384
OR7A10	3.61634119823531
DDB1	8.07221767116405
CHRNA10	3.53983173136769
STYK1	3.54759131609243
MYO9B	4.17865284689396
CCNI	9.71195468610346
MMP7	3.86799770874692
EP300	5.84809145569628
CRNKL1	7.37303173098565
C9orf45	3.25305729667448
XAB2	3.97548590849249
RTN1	3.53691805747818
HIC2	3.93919322661057
TBX10	3.42840848079871
CENPQ	3.820758217613
UTY	3.12035496295319
OR2W1	2.91446597635025
ATP5G2	10.1821615417463
ZEB1	3.51650642379453
ZG16	3.57949054088685
ERG	3.67415066500574
PARN	6.66533721849174
SOD2	5.73088428403111
JOSD3	7.89420281885956
ADAM5P	3.18192657001599
CHD9	5.13319976464183
hCG_40738	3.45359882495442
STK16	4.58830712299091
PDE1C	3.56583527780558
SEMA4D	4.95145770177032
AGPAT1	6.09511045300088
TOB2	5.81053652993546
BANK1	4.0013702228084
MAP3K3	5.14619916204718
MAX	5.08566111901553
GRM2	3.70339531932405
OSBPL8	6.40229283594429
PROSC	5.85383093786339
NR4A2	5.5149221694041
RICS	4.16781946820283
PIR	7.83513589133041
PPCS	8.72098661148142
IPO9	5.69172765425639
LONP1	7.82038281898566
EVC	4.18525278067486
CXCL13	5.51152333036714
SCYL3	5.80333781463381
KIAA1199	5.22725119196073
SORL1	7.26850587833245
NAT10	7.3569025862153
