Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A05_471870
Composite Element REF	Signal
AACS	6.48363633535658
FSTL1	10.5035501452472
ELMO2	6.21817519461304
CREB3L1	4.22455919978318
RPS11	9.35509161297438
PNMA1	8.93512097639991
MMP2	9.25699297944239
SAMD4A	4.02617134793906
SMARCD3	6.25467529728563
A4GNT	3.57542522076124
C9orf39	3.36178705923258
PKNOX2	3.69492904301329
RALYL	3.44055365506667
ZHX3	4.36813594300834
ERCC5	5.95957909945787
RXFP3	3.01516166961607
APBB2	5.4122356767298
BBOX1	4.06874121893124
PRO0478	2.89710048723964
GCSH	8.1184449647227
XDH	3.53382292301918
EDN1	4.13377265277456
MTERF	6.26004618171144
PDCL3	7.14387938269766
CLK4	6.04375107365037
KCNG1	3.7762600243897
CXCR4	9.22686695004453
DECR1	8.232220941096
SALL1	3.20620684784493
PTPRR	3.35300786944707
CADM4	3.26849745450244
IRAK1	7.83976930640365
CFHR5	3.10789660843028
HNRPD	8.47462959902353
TMSB10	12.1072228235114
CXCL3	3.73679043640204
LMAN1	4.82844972878703
SUHW1	3.65398431718295
CHD8	6.67956117236588
SUMO1	8.10266023920079
GP1BA	3.01933824766428
OR7A10	3.84868921900596
DDB1	7.22480999394668
CHRNA10	3.42047517621651
STYK1	3.37592024403460
MYO9B	4.42491232135655
CCNI	9.94641408105744
MMP7	10.9553334774029
EP300	6.23081498578846
CRNKL1	7.68153247088339
C9orf45	3.46707836678712
XAB2	3.75725041668528
RTN1	4.55508630073755
HIC2	3.72516454400463
TBX10	3.39202348267589
CENPQ	4.36023706472933
UTY	3.09259037488751
OR2W1	2.77978707284791
ATP5G2	9.98329399234625
ZEB1	4.90700918996999
ZG16	3.39254881097361
ERG	3.86335637396431
PARN	7.29000041994536
SOD2	5.36491451365159
JOSD3	7.5538702975726
ADAM5P	3.08768927404801
CHD9	6.28130169291679
hCG_40738	4.9091324239065
STK16	4.98045540810568
PDE1C	3.5673197107623
SEMA4D	7.04106486607078
AGPAT1	5.96218380071794
TOB2	5.43802694062743
BANK1	4.04459873293282
MAP3K3	5.26775853608903
MAX	5.70944755951677
GRM2	3.39222320596829
OSBPL8	7.85038459035207
PROSC	7.05109855657328
NR4A2	3.86427485840206
RICS	4.7757689018511
PIR	3.59192153540868
PPCS	8.00486765914011
IPO9	6.49059813213261
LONP1	6.25337619414593
EVC	4.76421122867225
CXCL13	5.04732397811071
SCYL3	5.04903555507604
KIAA1199	6.92016828226397
SORL1	7.65585921377497
NAT10	7.26279323733713
CHD1	7.18239768767362
SYN3	3.44252884342206
DMC1	3.77097807484636
SLC22A2	3.61982492202537
SERPINF1	9.92777208570218
C20orf27	5.69598213947484
OR7A17	3.02435361264752
RPS6KA5	4.33061863578224
LHB	3.35947142945293
TAOK3	5.11736075843651
STK25	5.9014041572791
SLC12A4	3.53304914074086
BRCA1	4.4803991069611
GBL	5.04884104656757
C14orf108	8.21346173697835
CDC25B	7.31866182055922
BMP3	3.09977333399799
MAP1LC3C	3.24713711815478
TMEM180	3.60448219507132
CRYGC	3.53701750711243
SLK	6.10483242860141
POU3F1	3.14342276428727
C20orf32	3.72154680232768
USP52	5.84844901631427
HIGD1B	4.27228820173445
BAZ1B	7.39897418225435
USP6NL	6.38156711003246
SLCO2B1	4.76749870530968
ABCD4	4.53509320257903
DIMT1L	6.41545784962531
SLC25A46	7.2232325330516
LARP7	7.94059391231034
TEK	3.56098371208834
CD160	3.43464158853918
TERF2IP	8.39151408931923
PHF20	6.32055033774364
COL1A1	9.68910467104518
KIAA0090	6.2176026242205
GTPBP1	4.17157814485295
GRK5	4.15692232693386
AP1S2	6.79190748762319
