Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_E04
Composite Element REF	Signal
AACS	7.39914921028793
FSTL1	9.36808344186016
ELMO2	6.2451820147738
CREB3L1	4.31414978342360
RPS11	10.1314338887048
PNMA1	9.13196965420044
MMP2	8.05450032058076
SAMD4A	4.07603071465257
SMARCD3	6.80114972974703
A4GNT	3.35921107718346
C9orf39	3.33698428016824
PKNOX2	6.04170042166164
RALYL	3.27307390733841
ZHX3	4.63582017431800
ERCC5	5.60897871175619
RXFP3	2.76518268527327
APBB2	4.89395656405812
BBOX1	3.1433860168025
PRO0478	2.9306712044888
GCSH	7.55922898227004
XDH	3.5048863757977
EDN1	5.21957682567172
MTERF	6.59949009299725
PDCL3	7.7124033611395
CLK4	6.04338747169523
KCNG1	4.99612200126685
CXCR4	7.80720376595815
DECR1	7.16315319618809
SALL1	6.97359682846657
PTPRR	3.57008858799279
CADM4	3.45992596841782
IRAK1	7.78240248952745
CFHR5	3.18732458403408
HNRPD	8.14387844874682
TMSB10	12.1714530794472
CXCL3	3.79894260408053
LMAN1	4.44447466494441
SUHW1	3.49853626353098
CHD8	7.50694504526105
SUMO1	8.31486864323107
GP1BA	3.09766647935517
OR7A10	3.69117749164487
DDB1	7.6561535800021
CHRNA10	3.63150503206052
STYK1	3.49869913382043
MYO9B	4.95512485097382
CCNI	10.593108064791
MMP7	9.68213069935051
EP300	7.11306013400602
CRNKL1	7.58611547019653
C9orf45	3.10659456805868
XAB2	4.28058884414982
RTN1	4.19511519123857
HIC2	4.11695165152998
TBX10	3.56568167263947
CENPQ	4.69953761205649
UTY	3.10593663479542
OR2W1	2.70991268118556
ATP5G2	10.7310396102604
ZEB1	4.23136842010727
ZG16	3.42108196229777
ERG	3.70766476471695
PARN	7.32229485286307
SOD2	6.69822298527581
JOSD3	8.04675066993758
ADAM5P	3.14954309005303
CHD9	7.31849481645214
hCG_40738	3.76870438230312
STK16	5.25534098033458
PDE1C	3.42563300011568
SEMA4D	6.09489532726109
AGPAT1	6.91023720825596
TOB2	6.51479362054654
BANK1	5.63764275801421
MAP3K3	5.7535496468606
MAX	5.7977627362192
GRM2	3.59819531281203
OSBPL8	7.93484616309647
PROSC	6.20765187116578
NR4A2	3.98330042980417
RICS	5.27736204282737
PIR	7.05646920167676
PPCS	9.79328220722761
IPO9	6.27721658533278
LONP1	7.16316164376298
EVC	5.53299767520478
CXCL13	6.51422367895232
SCYL3	6.02150207312114
KIAA1199	8.53947951385769
SORL1	8.1483913950653
NAT10	6.91209643964211
CHD1	6.75414709887604
SYN3	3.58699871354183
DMC1	3.84230976842647
SLC22A2	4.01668061911688
SERPINF1	10.2654570965720
C20orf27	6.17907672908842
OR7A17	3.15427592752546
RPS6KA5	4.98490559168589
LHB	3.43395671473536
TAOK3	6.16871648927265
STK25	6.96746322287649
SLC12A4	3.45733515983063
BRCA1	4.34544531428546
GBL	5.97434097524991
C14orf108	8.4921220062704
CDC25B	6.81057575312605
BMP3	3.09911147904619
MAP1LC3C	3.36456030329365
TMEM180	3.4920109754079
CRYGC	4.02182752759643
SLK	6.88056526269364
POU3F1	3.06784659347636
C20orf32	3.69327382284957
USP52	6.52838912617476
HIGD1B	3.84744813932450
BAZ1B	6.62022172758627
USP6NL	7.02390118894258
SLCO2B1	4.30046358510953
ABCD4	4.86967864850943
DIMT1L	6.14271770328016
SLC25A46	6.98080149563148
LARP7	7.6421124155169
TEK	3.75345069357478
CD160	3.393588158733
TERF2IP	7.35240543714367
PHF20	6.18364582993597
COL1A1	8.16565274785968
KIAA0090	6.64369030641122
