Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B09_443116
Composite Element REF	Signal
AACS	7.20151762612541
FSTL1	5.92067223568203
ELMO2	5.6196553567577
CREB3L1	3.89759114444355
RPS11	10.2611170162200
PNMA1	6.86093777268582
MMP2	5.04673834896875
SAMD4A	3.66193082726733
SMARCD3	6.3711193708649
A4GNT	3.80535421253530
C9orf39	3.33177748320635
PKNOX2	3.98017497361841
RALYL	3.28263288211632
ZHX3	4.43128934301917
ERCC5	6.66096819824546
RXFP3	3.07790690458295
APBB2	3.82122209679037
BBOX1	6.93022091375565
PRO0478	2.69407174614260
GCSH	7.9262821484321
XDH	3.97237133272368
EDN1	3.3732099346342
MTERF	6.99073683482121
PDCL3	7.65442483373837
CLK4	6.12301104307067
KCNG1	4.13731154706958
CXCR4	7.86286877924578
DECR1	5.74900712958443
SALL1	3.75752887643817
PTPRR	3.68412236234518
CADM4	3.46540348741669
IRAK1	7.52473562651156
CFHR5	3.29055383026204
HNRPD	8.24963532184375
TMSB10	11.9491312727865
CXCL3	4.09218353973207
LMAN1	4.048673781529
SUHW1	3.45538893282749
CHD8	5.75181443038309
SUMO1	7.43221245253222
GP1BA	3.17539711167526
OR7A10	3.89750731796044
DDB1	7.27033725008066
CHRNA10	3.6113801268833
STYK1	4.03241942918646
MYO9B	4.12030781340391
CCNI	9.9346953758495
MMP7	9.95181312677779
EP300	6.31624009344888
CRNKL1	6.37634097237906
C9orf45	3.38724140316258
XAB2	4.30201564060412
RTN1	4.36597248631103
HIC2	4.21603709941822
TBX10	3.79747976468493
CENPQ	4.17635883679939
UTY	3.14433538980472
OR2W1	2.84180262871241
ATP5G2	10.6706411230067
ZEB1	3.56896284720295
ZG16	3.56869408781798
ERG	3.79202181621293
PARN	7.00305633167101
SOD2	7.0627653909476
JOSD3	7.24816298373395
ADAM5P	3.33439086922342
CHD9	4.99220960190871
hCG_40738	3.49464675121301
STK16	3.87104745554865
PDE1C	3.57700151303107
SEMA4D	4.84849753761605
AGPAT1	5.77572078494603
TOB2	6.21231232230175
BANK1	3.91596734011709
MAP3K3	5.40318292102136
MAX	4.29140975653689
GRM2	3.61500475368775
OSBPL8	6.79101608942954
PROSC	6.23677757233340
NR4A2	5.38392428167475
RICS	3.96617229138271
PIR	6.04767876903321
PPCS	8.25481367627033
IPO9	7.0559772746092
LONP1	6.78046717899436
EVC	3.84869962847692
CXCL13	4.27283592030535
SCYL3	5.66775237166499
KIAA1199	5.2732138060331
SORL1	8.74714348586597
NAT10	7.75247599816065
CHD1	5.80536366007389
SYN3	3.58898552258132
DMC1	3.88130490531822
SLC22A2	3.74837867487465
SERPINF1	5.02761008753626
C20orf27	5.78475544208345
OR7A17	3.23069744341266
RPS6KA5	5.34665642679789
LHB	3.39128384638028
TAOK3	4.49652004341166
STK25	5.63503554556281
SLC12A4	3.68655609487637
BRCA1	3.97822550721107
GBL	4.84807607372973
C14orf108	6.64658760380886
CDC25B	7.44692325474965
BMP3	3.51518837836720
MAP1LC3C	3.35761992358231
TMEM180	3.69353332394158
CRYGC	3.80698250698635
SLK	5.921563128206
POU3F1	3.37294633946965
C20orf32	3.86829224308451
USP52	5.76162315585684
HIGD1B	4.06777259062402
