Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C02_433710
Composite Element REF	Signal
AACS	6.8297485708067
FSTL1	9.8005621512447
ELMO2	6.01322571155719
CREB3L1	4.46129433231291
RPS11	9.9895905206939
PNMA1	8.25222985475346
MMP2	6.50525453109229
SAMD4A	4.04876755875017
SMARCD3	6.51650353835227
A4GNT	3.70271930576764
C9orf39	3.34358628011366
PKNOX2	3.87105704672674
RALYL	3.45995697687368
ZHX3	4.54345031644857
ERCC5	6.02489751716173
RXFP3	2.87634241826043
APBB2	5.34915702154236
BBOX1	4.60876388365285
PRO0478	3.0709735574912
GCSH	7.63319668955536
XDH	3.93219194938832
EDN1	3.7555816864148
MTERF	6.21332912470148
PDCL3	7.63188476528668
CLK4	5.69011022133633
KCNG1	4.34745024901356
CXCR4	7.3473517041364
DECR1	5.9732857123039
SALL1	4.6722338957181
PTPRR	3.54325205927321
CADM4	3.80627377808049
IRAK1	7.33190292246103
CFHR5	3.3466681933206
HNRPD	8.33061207129607
TMSB10	12.3545874363150
CXCL3	3.77403185970875
LMAN1	4.13771523449325
SUHW1	3.51377071942828
CHD8	7.04492985527597
SUMO1	8.14755042613572
GP1BA	3.19881954558556
OR7A10	4.02621829884828
DDB1	7.71610940437046
CHRNA10	3.84849514979489
STYK1	3.47765538772301
MYO9B	4.60312010902642
CCNI	10.0033079027403
MMP7	7.63118904802824
EP300	7.16642423554381
CRNKL1	7.01402421733633
C9orf45	3.63197355138957
XAB2	4.85055465698542
RTN1	3.26236257118505
HIC2	4.6340789547482
TBX10	3.41234500770998
CENPQ	5.97516032716272
UTY	3.09358133358047
OR2W1	3.07808971362154
ATP5G2	9.61650386205608
ZEB1	4.00425218981885
ZG16	3.44473991589315
ERG	3.52014613861936
PARN	7.00490793836706
SOD2	3.68645874314265
JOSD3	7.53862481897049
ADAM5P	3.32057457583352
CHD9	6.10175836115508
hCG_40738	3.92879584191961
STK16	4.87054364100201
PDE1C	3.62978726984365
SEMA4D	5.03108714683756
AGPAT1	6.38783235774723
TOB2	6.74444790331861
BANK1	3.92385508484339
MAP3K3	5.95879526697655
MAX	4.84875473057211
GRM2	3.77860145361664
OSBPL8	7.08309800234163
PROSC	8.08425205762037
NR4A2	4.3460336108699
RICS	4.87484020874651
PIR	3.32420348747313
PPCS	8.59162574913364
IPO9	6.82993501938711
LONP1	8.47908009296839
EVC	4.3081587419945
CXCL13	3.70638134687621
SCYL3	4.95167646257427
KIAA1199	5.98967860446577
SORL1	7.48733577497367
NAT10	6.75521726350038
CHD1	6.87835855816625
SYN3	3.52777896294306
DMC1	3.8839760393027
SLC22A2	3.63099038454568
SERPINF1	6.5392179867205
C20orf27	5.4905148941921
OR7A17	3.06305154313793
RPS6KA5	4.79667041701713
LHB	3.20161124901261
TAOK3	4.95229877123786
STK25	6.5263747029314
SLC12A4	3.84240290694888
BRCA1	4.49633766381275
GBL	5.88652744497067
C14orf108	7.95829870494382
CDC25B	6.60086003147955
BMP3	3.15164974621772
MAP1LC3C	3.48559705538236
TMEM180	3.50809772116831
CRYGC	3.23987191848885
SLK	5.72875123548222
POU3F1	3.23904343488561
C20orf32	3.72952646237871
USP52	6.9719345744298
HIGD1B	3.84856573212022
BAZ1B	6.42157935449408
USP6NL	6.47024925723103
SLCO2B1	3.73978740699437
ABCD4	4.53946223796177
DIMT1L	5.5449217602004
SLC25A46	6.89905123324763
LARP7	7.37527997150809
TEK	3.66703691532848
CD160	3.79495470665876
TERF2IP	7.70660372478842
PHF20	6.50883943248869
COL1A1	7.53988058780485
KIAA0090	6.51981954939914
GTPBP1	4.4662862345823
GRK5	3.64858754938200
AP1S2	4.13496191553322
RAB33B	4.68726727919016
CA11	6.659947129316
ALDOC	6.36250424674579
NUDT1	5.91505784413625
ZNF212	5.86083313344686
ACBD3	7.8117088428454
ZNF83	6.86116141953052
PRDM2	5.00932906791732
GDPD5	4.92058010877286
PDCD4	5.82051653247231
CEP350	6.64305037051704
FOXP3	3.3882472617234
SMYD3	6.28221092725844
CST7	3.56303749655351
SELL	3.55710664562794
CIAO1	6.14323014100603
LGI2	3.67010047647654
WDR45	5.45420251133535
ANKRD6	5.14405293140139
LTBP4	6.06666209208143
PSCD3	3.76212256454905
PYY	3.15560683636653
KCNC1	3.18781523219950
SIRT6	4.01439938116277
CCL19	3.73591512014692
ARHGEF9	4.05496642867895
ABR	4.24700829020230
C10orf22	6.26199646121687
STK17A	4.8492900758570
FOXE1	3.32312033619856
GML	3.11513543418117
CNGA3	2.74269460652448
CD38	3.39793414047903
ZDHHC6	6.94939135542375
NEFH	5.35049951320669
PGBD5	3.94304103969624
CTDSP2	8.19972475764454
RMND5B	6.04230930970166
ZNF257	3.93133266939964
DUSP4	3.47973204256378
FLJ22167	5.44201722815523
EXOSC7	6.02164964642914
ROR2	3.71928843670518
FOXM1	5.118110328128
ZBTB48	4.39532597828339
BUD31	7.69051831955749
MAOA	4.7146478943995
CCDC41	4.93530256733362
TNNT3	4.50249265187254
FBXO11	6.33192533094
GYPC	5.52787463107823
PLIN	3.53085362823384
RFXAP	3.46642926124209
C6orf15	3.78843925709211
RNF4	8.74947338069
