Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_D10_452056
Composite Element REF	Signal
AACS	6.42707199936198
FSTL1	7.99373605567172
ELMO2	5.78393133131007
CREB3L1	3.69236967130028
RPS11	9.73844041682428
PNMA1	8.32374034125155
MMP2	4.44794560579267
SAMD4A	3.631287536772
SMARCD3	4.45539394998975
A4GNT	3.85239301513462
C9orf39	3.03744909300577
PKNOX2	5.04679079560671
RALYL	3.09461993238255
ZHX3	4.48455692240026
ERCC5	6.75482472076017
RXFP3	3.22238898167933
APBB2	4.40247396761793
BBOX1	2.84891152605909
PRO0478	3.20619432533563
GCSH	7.7863572812122
XDH	3.55456484709092
EDN1	3.49468520028799
MTERF	7.04731698791969
PDCL3	6.90082895115228
CLK4	6.10271197314172
KCNG1	4.55537176769384
CXCR4	8.0571563615993
DECR1	6.28045815475354
SALL1	3.78617967499627
PTPRR	3.23421765476643
CADM4	3.42844848072145
IRAK1	8.97775881842035
CFHR5	3.55675511338477
HNRPD	8.082176497393
TMSB10	11.7768441320259
CXCL3	3.22750489715793
LMAN1	3.54522892752908
SUHW1	3.88026453437824
CHD8	6.69452527257378
SUMO1	7.87460366461411
GP1BA	3.14680978755804
OR7A10	3.79205697713735
DDB1	7.86943984445874
CHRNA10	3.62767481030568
STYK1	3.68586583506026
MYO9B	4.70264618139556
CCNI	9.22709309945617
MMP7	5.34922493184494
EP300	7.05589620798625
CRNKL1	5.71647954841888
C9orf45	3.18440306626649
XAB2	4.3725531811324
RTN1	3.38055195783059
HIC2	4.99961281510196
TBX10	3.5271105404622
CENPQ	4.38835185599307
UTY	3.19903769925927
OR2W1	3.13282696730069
ATP5G2	10.5413294402945
ZEB1	3.33885795470989
ZG16	3.6065444900793
ERG	3.71642009729250
PARN	8.40462057114757
SOD2	4.90479547290984
JOSD3	7.8758981798541
ADAM5P	3.03941074185145
CHD9	5.5865151269121
hCG_40738	4.52287302350546
STK16	4.79966314324534
PDE1C	3.73236174468094
SEMA4D	5.09553915960869
AGPAT1	5.96533398858141
TOB2	6.25214797976178
BANK1	3.33335342659635
MAP3K3	4.72762708074309
MAX	4.542901384192
GRM2	3.84826551844795
OSBPL8	7.05431300702612
PROSC	5.34398090714848
NR4A2	4.78804081125421
RICS	4.96740904299435
PIR	5.46808653937638
PPCS	8.80707136850958
IPO9	6.49452297485087
LONP1	7.25776145303674
EVC	4.15366165191234
CXCL13	3.90620672225188
SCYL3	5.20255461663324
KIAA1199	4.38313393058666
SORL1	8.56204055888447
NAT10	8.6751909222798
CHD1	7.07822590921936
SYN3	3.46617618527215
DMC1	4.03954729145043
SLC22A2	3.53451745260247
SERPINF1	4.89837544306754
C20orf27	5.85651405597328
OR7A17	3.13985420523203
RPS6KA5	4.66450642078376
LHB	3.70672027506454
TAOK3	3.92492392707471
STK25	5.76593555189176
SLC12A4	3.73511583611391
BRCA1	4.73450734798991
GBL	6.20624322213649
C14orf108	7.02343001010008
CDC25B	7.5036636880732
BMP3	3.20729499649545
MAP1LC3C	3.57410657254358
TMEM180	3.78826369954324
CRYGC	3.57434059932277
SLK	6.7708459392917
POU3F1	3.16857740413262
C20orf32	3.83244831924757
USP52	7.50423939219333
HIGD1B	4.04891552813747
BAZ1B	7.58180040454769
USP6NL	5.02647819009114
SLCO2B1	3.59770921479494
ABCD4	4.54436194870635
DIMT1L	6.59358317845111
SLC25A46	7.08697926640031
LARP7	6.78346489551552
TEK	3.66734276299816
CD160	3.79404693963786
TERF2IP	6.97997653568483
PHF20	6.42575834891066
COL1A1	6.10760437031867
KIAA0090	5.67505154654418
GTPBP1	4.28755288530514
GRK5	3.58583625191088
AP1S2	4.51168739500593
RAB33B	3.94760581737727
CA11	4.41335160058161
ALDOC	5.33554014966295
NUDT1	6.16878640930019
ZNF212	5.87712121533583
ACBD3	6.99036334381491
ZNF83	6.60589949905107
PRDM2	4.8469565715690
GDPD5	4.8293678583497
PDCD4	5.61553781876794
CEP350	6.4238735110951
FOXP3	3.39005491309836
SMYD3	6.57799957506577
CST7	3.57600529817911
SELL	3.43405830176259
CIAO1	6.43221321729521
LGI2	4.13295464202392
WDR45	7.47771775805127
ANKRD6	7.53391712215863
LTBP4	3.87559732063161
PSCD3	3.39039754019819
PYY	7.22838113697584
KCNC1	3.31407660503919
SIRT6	4.04544572781374
CCL19	3.8474525361021
ARHGEF9	4.74691896939429
ABR	4.62597209269966
C10orf22	5.52827441228654
STK17A	5.53218503710828
FOXE1	3.77593363233831
GML	3.33929384393988
CNGA3	3.02878948224144
CD38	3.35492178066133
ZDHHC6	7.33120084159299
NEFH	7.62814557642705
PGBD5	4.7600269116037
CTDSP2	7.66083549144158
RMND5B	5.91022604380304
ZNF257	5.11680986416116
DUSP4	3.08261393645199
FLJ22167	5.99183554076085
EXOSC7	6.67015635519375
ROR2	3.42976568588502
FOXM1	6.0846168592656
ZBTB48	4.77535247172362
BUD31	8.36438516944006
MAOA	4.55122349572293
CCDC41	4.90311147952243
TNNT3	3.79972973369075
FBXO11	6.65719543978961
GYPC	4.83129893122038
PLIN	3.46796966427658
RFXAP	3.9114022289007
C6orf15	3.91415407162539
RNF4	8.0764522424066
F8A1	8.69821821534798
PPP1R3D	4.71261547265412
GRB2	6.45587877640502
TPM3	3.29921556594901
SYT13	3.79154884829485
EPB42	3.77296167668085
RP5-1077B9.4	5.74916890724297
EIF1	9.1564337106722
CETN3	7.98875228655793
FPGT	4.46312694799275
PRY	3.34927447869685
NTHL1	6.34609246792661
POLR2B	8.20216897192776
RPS28	11.2139380912775
GDF10	3.01695294241259
COQ9	6.90583584183254
P2RX3	2.9515443207872
GCC2	6.8971181257212
RARRES3	3.89376339906584
PLXNA1	6.84286409861858
WBP4	5.60336464589078
KIAA0100	6.58658304265624
PMF1	6.59023410102207
HS2ST1	4.93744593288159
CRELD2	5.20925924458312
C8G	3.36763257289711
CD82	4.84920034037272
PMM1	4.08765981875425
CBLL1	5.44710101373829
LIM2	3.5457961782812
VAX2	5.80128000708068
SETDB1	5.63419951901301
LRAP	3.32803594117306
GCLM	5.56968840978197
CPEB3	3.37895997849542
PPM1A	5.66331682822232
INTS1	4.73061307066462
MMP16	3.21152251503729
CAMTA1	4.38539151191197
SAMSN1	3.43505851376201
DRD3	2.70847318890582
GMPPA	5.10278436551132
C11orf73	5.28694898630048
AIPL1	3.82575742300464
PTP4A2	9.28726639950998
IL24	3.71740595765242
BDKRB1	3.26390744086283
HPCA	3.67953722681630
MLF1	6.03214025482894
SEC14L1	6.17638379627346
CHFR	5.93454673242245
EMILIN1	3.48703161346107
THADA	6.89804555061327
TAF12	5.34383307017273
NDUFS4	6.70947711387373
ID1	5.10500130362897
PIK3CB	4.04370302137319
COL18A1	6.62865656773153
PDZD3	3.56464086319296
TBC1D17	4.19440759697548
COX8A	9.02753281053099
CDCA4	6.31474669186406
C2orf44	5.16915890199953
C9orf16	6.20817674547284
ERBB2IP	8.83506715544038
EMX2	9.4385293127871
FUS	7.29866700695425
NIPSNAP3B	3.59745166873761
TF	3.41534540135642
CXorf56	5.95947925326344
CLCN4	4.48436589386871
PWP2	6.65486892971532
MMP15	5.04466409643462
MTMR14	6.57895642072142
NPR1	4.64198854313266
DNAL4	5.43431376534072
ELAC2	4.92655144965151
ASS1	10.1670056826489
IPP	6.08347445791622
TMEM59	7.70277890150301
POLR2J	9.19372446712881
SEC23IP	5.35971605341982
RGS4	3.64329109547128
UQCRC1	8.36606136073417
SNX6	7.03226303093019
DDX18	6.84793810639929
POLG	4.48338367676995
ADAM23	4.20487840896089
ZNHIT2	4.75439220903456
TFR2	3.42711497832818
NCDN	4.43142861228485
RAG1	3.68015968197281
POMT1	4.58799915331444
CYP1A1	3.53116987473329
SNAPC1	5.21994101203794
GNA11	5.48850556716519
CCDC52	2.82249750654859
CAPN1	6.45266492382272
DDHD2	7.05264714899532
UPF3A	7.16656582685751
LAGE3	6.04378494287023
GNRHR	3.10771274952268
UNC13B	5.05552572517877
TTLL4	5.27223323330852
PPBP	2.91715779914772
HTR3A	3.5924412967597
SDC2	3.7604521538532
ANKRD49	7.2715668950075
BTF3	10.1709971631941
COX7A2	9.9123895094632
SARS	7.97909343493929
C13orf18	3.53164179458915
CACNB1	3.92334779871209
QKI	5.33853088333319
SETMAR	6.01359580161513
LAMB4	3.30018314378775
MAN2B1	7.20735324041825
EML3	4.62317687703687
ACADL	3.15897834783657
OFD1	8.86697768047371
CGA	3.54678285630481
EIF3EIP	10.2806130550784
PEX16	5.71529372646685
GNG12	5.59797694121142
HABP4	4.58111240915889
CNTN2	3.57485530155521
ASNSD1	7.3096371894475
FUT4	4.55991512424445
DBH	3.40203150823016
CD53	4.10283016942637
HIST1H2BJ	3.52835132645205
TFAP2B	3.37176149213252
ACF	3.73777475196094
TMEM11	6.07509880570846
CDH8	3.46204651070277
C3orf32	3.58982221815046
AGPS	4.9919365450997
C4orf18	3.02888489802269
PCCB	7.64082401962474
IPO13	4.87083210741017
PECI	5.33409388998795
UNG	8.31838103297011
C6orf105	3.29742834756258
GSTP1	9.53886881551612
SUV420H1	7.32976431782273
ARHGAP15	3.54873561421435
LTBR	6.27816768268918
TDRKH	3.26710284688544
PSG4	3.37763313304965
SLC9A3R1	6.19383754264633
NBPF3	10.2343597642215
SLC9A3	3.48935248879041
OSBP	5.93928793947431
PRR5	6.04917718066978
CHMP7	5.07079377438947
ADRA1A	3.07874385637496
ASAH1	5.80141866056134
FKBP4	6.8736140169689
ZNF350	4.65033546322748
DOM3Z	5.16327990461805
GIPR	3.51849300291755
AHI1	4.94712349641087
BST1	3.80031508358017
NCR2	3.70791495192258
NADSYN1	5.70682522548409
UBE2W	6.78337396842752
RGS14	4.01282961684621
KRT15	3.86950780927292
SCN11A	3.88698451173294
GFI1	3.54644304793651
FHL1	4.65556467829414
SMC6	6.85857192508526
GATA1	3.61708728165621
OSGEP	5.97189915105985
ARMC6	5.86292892200062
HK3	3.25301154858628
PSMD5	6.25100326499393
RSU1	5.57750662332583
RPL4	11.5670285882849
MAD2L1	8.05503976696948
RBPMS	4.36729689522389
EIF4A3	8.37812760103579
E4F1	6.08255286863404
DLEC1	3.74054612570060
PRPF3	5.25955938484414
EMR1	3.09325184199038
CHMP2B	6.10717699917903
CAMSAP1	4.43568170487752
RPS21	9.69681655154964
XCR1	3.08801842032196
ARID5A	4.2744081563736
RBM6	5.94326438967884
UBE2N	7.2012205650533
KLF4	4.22774063993427
MGC4172	4.1011929779868
LMO4	6.50190191914304
KLKB1	3.27096096939433
HDAC3	6.54504670952184
HP	3.67925242684845
SCHIP1	5.40575680858465
BTK	3.75745308617684
KRCC1	7.64974451016885
PRND	2.9951960163621
C6orf27	3.62717438333406
PIGL	3.81251263997825
CLCA1	3.83358646628689
C1orf112	5.48326668110261
OLFML2A	5.65191872968435
HUS1	5.04747475827236
SFRS6	7.30085636269754
CXCR7	5.54419495359719
UIMC1	5.40717698291721
FXYD2	3.82156633208812
GOT2	7.8952334678561
ZNF667	4.63066029171342
TFEC	3.18957906927765
ATP7B	8.08948280938784
RAB38	5.05452383656781
POLD2	8.34485027769095
PPM1H	7.85987625575046
DCX	3.3240472901313
NFYC	5.64624413836868
ZNF228	4.20426202274823
KIN	4.34733723950699
PLSCR4	5.20591104906293
HIST1H4I	3.88159262843347
PPARGC1A	3.14977750440122
HIG2	8.33057842783564
KCNK10	4.01256179929537
EXOC1	7.44475141447405
OR6A2	3.70290738322403
ETFA	7.69379798824221
PDAP1	5.67073284963468
C19orf6	3.54824432057698
POLRMT	4.49465932356298
ZNF146	9.33212043396316
MIA2	3.17126843926904
LY6G6E	3.39811059982193
EIF4E2	7.91267923092146
NENF	4.94798180527971
HOXB5	4.10837210700069
ZNF324	4.13803128886479
CUGBP1	4.45128054791094
ENTPD7	4.29383813609562
TTC13	5.27111233213873
GJB5	3.16536323773421
PRSS22	4.4408970409039
CYP3A5	5.9045510197084
MBOAT5	3.9391535816909
CUL4B	4.98594249348481
CENPJ	3.85078735730245
KIAA0664	6.52527072044536
PITX1	3.4942982215874
PDGFRB	4.82816389823307
RDX	6.29188564494617
CELSR3	4.60972387783301
JUND	7.49000336506456
ITSN1	5.53733963418616
CHRNB1	3.69430230036143
EHBP1L1	3.68352142557845
C19orf2	9.10956447217561
FETUB	3.14468437909637
CAMK2B	3.70416127529679
DCTN1	7.30952242765058
TNKS2	7.41948215862593
MRTO4	7.48133383438504
C1QBP	6.06079387731332
TTC3	8.57871692333839
NDUFB8	8.84785841565566
CADPS2	3.95835986626036
EDG2	3.98531715812094
MYF5	3.15972138897885
SEMA3G	4.35444377624964
IL23A	4.10008962649441
GJA9	3.64324253525398
R3HDM2	8.10051926239422
C5	3.81454941430100
SLC2A10	8.02926683511277
TRIM45	6.36160583268245
TSP50	4.14178487986716
PAQR3	5.27106943338781
ANKRD26	3.36066373039119
TCP1	7.98684553776011
TMED7	6.30889933519848
CMA1	2.96448109690456
PTCRA	4.13784466572301
HCRTR1	3.25911295016346
FST	4.53561070659748
PAWR	4.09822280287952
LDLR	3.89178463011398
ASTN2	3.96286388868451
SCRN1	8.06686685578804
GPATCH8	6.53556134939803
KIF4A	7.09632669469147
TANC2	3.98619220448263
ZMYM5	4.47778469508693
PGM1	7.77699408644879
ZNF586	3.82007151948268
POLR3G	4.34832253047047
CPD	5.0774737404426
SNCAIP	4.82111502354762
DCT	3.41625930545947
HLA-DOA	3.50001918957729
TANK	5.53442424259593
RCAN1	3.89898141810373
UPK1B	3.61534608172857
DNAJB4	3.64469764119081
UGT1A8	2.94155730436231
LIMD2	3.91189280011102
HIST1H4L	3.54942899657095
PECR	4.92049279174538
HSPA2	6.1316227557976
SERP1	10.5960782608609
TACR2	3.84323724044219
NUP85	6.60685044645426
CD177	3.64593576288086
GPR135	3.45487433017627
PIGG	6.72419542483265
LGR5	3.57283840222744
JAK2	3.34025937391639
DPYSL4	3.49594600617559
TM9SF4	6.27058748301802
PTHR1	3.40159542283879
SIRPG	2.80575312036893
ZNF264	4.24817804325672
BICD1	6.4885397673825
RAB5A	6.82395852657419
FLJ13224	3.34885509927502
METTL5	9.06564506803426
HERC6	4.85154127737048
CASP1	3.56707304978457
USP9Y	2.84639788150623
LRP1B	2.78627610960743
XAF1	4.76989523465481
PLA2G4C	3.89401477689733
APOA2	3.14982246047223
SPAG6	3.00572938922054
KALRN	4.20227077420736
SECTM1	4.32293913610875
THOC7	8.68638104939492
IFNAR1	4.64196572917613
TCTA	6.08404114753902
NY-REN-7	3.73760003622924
TALDO1	8.6895536830718
B2M	8.85053853823745
LPPR4	3.24908566841577
SQLE	5.17286909012165
SEPHS1	6.53083196334715
EIF5A	6.41755690777683
FAM49A	3.81721789722778
YTHDC2	4.02978901173172
EHD2	4.03833044010095
NCF1	3.41753978233823
SPG7	6.84681591528193
ZNF614	3.73640058932877
HOXA5	8.34512690884588
NUP133	7.87589846100161
FGF12	3.87888032003904
SLMO2	7.43419997698722
INPP5B	4.64723739337533
PPID	6.31600221459592
SNTA1	4.61670722212423
IL20RA	3.65891291968637
UBE2J1	5.34901403492783
CACNG2	3.17968012854252
GCM1	3.40737915809687
ELF1	6.9884114820376
TLR5	3.69558301759502
TCFL5	6.53125853509557
C1orf107	5.97981024878834
C19orf22	6.36461186420632
SAFB2	6.5931406711605
MAP3K7IP1	4.08305286653202
NCK2	8.4762996181406
OXA1L	7.74958437065197
KIAA0652	6.38454083714442
KLRG1	3.92739639972493
FRAG1	6.08335856097373
ZSCAN12	3.24027600854227
PSMD12	6.51724382574915
E2F4	5.29029803622289
CLEC4M	3.58079646039890
KIAA0999	4.82263394140974
CLDN10	4.30521747660421
MGC13053	4.30805886544338
TAC1	2.61509873923446
GYPA	3.44889680339641
HPCAL4	3.36071770766662
TRAIP	4.61397792495350
MEX3D	4.88978207380078
KIAA0232	6.44259718006765
ERCC8	4.87223580587021
NFAT5	5.22791481514619
GPX4	8.6395296145356
CSPG4LYP1	3.19962906539658
KIAA0368	5.57445136184232
FBXO3	5.81695667930937
DVL1	7.39339451648457
CMKLR1	3.70062682313176
GPR157	3.47769132818197
TYMS	8.58507245077277
OR52A1	3.23656505182351
PEF1	6.92050433134343
ZNF750	5.14742838437925
ALG9	5.7788759232978
MCM5	5.83701411137102
SDK2	3.59146208205619
BAIAP3	4.05337010777073
RABGGTB	6.03211620294411
KCNK7	3.4372104348649
PTP4A3	4.93636638021751
ANKRD40	4.36288918656318
CALCOCO2	5.50370735601159
TMSL8	9.64929433788535
SNCA	3.88698469772982
ZNF551	4.20145570605385
HBQ1	3.92060809271647
ARHGAP26	4.01389698348280
GEMIN6	7.14468126766114
HRAS	4.90368596035608
KLRC4	2.95375010730017
BSDC1	6.44019751183311
DSC1	7.96569384922226
RNF43	5.62597409865133
NDUFAF1	4.5170412129865
MAP2K4	5.50800629562703
FOLR2	3.99566943312403
LYZL6	3.54295544871527
EPB41L3	2.95692317405438
TEKT2	4.7873571919447
CDKN2B	3.6088930098915
WSB1	6.70096276807866
ZNF480	3.37509645386520
MAP3K6	4.34145462132277
PROS1	4.00054542585359
PSMB8	6.49827658250988
HN1	6.84762486011304
MAS1	3.21398005393412
APOL1	4.73283009397925
CSHL1	3.571374107266
ZBTB7C	2.83976507833334
AHCTF1	6.53142346457562
SAE2	10.5852258394518
ITGA2	3.46645403117261
AP2S1	8.36489888855763
P15RS	6.93748760033922
MME	3.51673435549869
VAT1	7.40772988232783
MAST4	4.6904234728642
TUFM	9.83413480035468
KRT33B	3.33283599571248
THEG	3.75450496203591
KCTD2	5.1821491119425
WDR26	8.683143798323
MFI2	3.23698407841414
KRT34	3.15965149012037
NR4A3	3.32039925365135
SGSM3	4.75982287673753
ARSA	3.42027264326336
TOMM22	5.0657888518204
SOCS3	3.63026545836744
UNKL	3.92160089882826
POP4	8.67972341178643
BHLHB3	7.74937087361992
MALL	5.35574130930568
SOX15	3.27097294216719
CCNA2	6.2706181353511
PARK2	3.34443028731311
GPR124	4.18742804328251
TMEM132A	5.72420281641346
CGRRF1	5.56737948342749
RUVBL2	7.44650242492499
MCAT	6.18066055097215
WNT10B	3.624131571655
ISCA1	6.14328760367411
RPAP1	4.02529690362951
C12orf48	5.25887710447171
RAI16	4.92351772996674
RPL27	9.34747430970327
EPN1	3.86565304691748
MAGI1	3.28447677891962
GBX2	3.36411487921644
SLC35A1	6.75309818110145
GAL	5.62415645469468
SLC14A2	4.10787554245234
RDH11	6.87337304709373
ZNF518	4.92993397186383
PCYT1B	3.39618900705789
AUH	6.35900780351433
EIF3H	9.69487889662048
KIF1B	7.1955658030203
MBD2	4.49753343933435
AMOTL2	7.3544479463595
C6orf120	6.58392954718202
PIGT	8.26715515293035
PSRC1	6.95810352016117
PLA2G10	3.88826090860451
ALAS1	6.73013695080617
FOXO1	5.96228310684131
C17orf62	6.1923171987587
KIF5C	5.00521008241013
DUSP10	3.77022470977275
CRLF3	6.71497828556586
CLCNKB	3.79215868074976
PSMA5	8.50574348219554
FARS2	5.26272486118422
CCDC28A	6.38276583121763
AMPD3	4.76400342999979
PIAS1	6.24725231451120
ADCYAP1R1	3.42703758968341
TMEM134	7.0126337449854
