Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H08_516370
Composite Element REF	Signal
AACS	6.4092751649121
FSTL1	9.2314831245664
ELMO2	5.48678053067747
CREB3L1	4.79084521909737
RPS11	9.70427675639711
PNMA1	8.66172591601808
MMP2	9.45060994752685
SAMD4A	3.76062453011988
SMARCD3	7.57474595568458
A4GNT	3.41963928731303
C9orf39	3.43544390656128
PKNOX2	4.56389286268619
RALYL	3.27022972926589
ZHX3	4.70691984291231
ERCC5	5.86365214082944
RXFP3	3.05319806283873
APBB2	4.20951092753867
BBOX1	4.41351650013725
PRO0478	3.08875395422349
GCSH	6.35716563790564
XDH	3.37281379332651
EDN1	3.35268762712074
MTERF	6.67355925334459
PDCL3	7.769528558487
CLK4	5.9654090330094
KCNG1	3.64196429640354
CXCR4	8.02780612983873
DECR1	7.19209366069114
SALL1	3.53119427175219
PTPRR	3.29667904053640
CADM4	3.58774696276712
IRAK1	8.50955478933327
CFHR5	3.23334232036267
HNRPD	7.84765333985881
TMSB10	12.4454911744673
CXCL3	3.85830869753479
LMAN1	3.60575303947901
SUHW1	3.66229785545635
CHD8	6.00152863158448
SUMO1	7.48776043863146
GP1BA	3.35072759102485
OR7A10	3.95808422154633
DDB1	7.73659258437273
CHRNA10	3.59898705869532
STYK1	3.43639079780445
MYO9B	4.47496150548574
CCNI	10.1645589596182
MMP7	5.52725362944648
EP300	6.16408950070235
CRNKL1	6.34007474334789
C9orf45	3.10159215155948
XAB2	4.78675998039586
RTN1	4.68423464220848
HIC2	3.98066702726345
TBX10	3.56692398807406
CENPQ	4.21492307618904
UTY	3.18140949745993
OR2W1	2.78463334802074
ATP5G2	10.3003832850221
ZEB1	4.14668224566964
ZG16	3.53512880843492
ERG	3.98294362952416
PARN	7.02144547958189
SOD2	5.4980138103008
JOSD3	7.31774919899855
ADAM5P	3.14900714275923
CHD9	5.33753384418793
hCG_40738	3.71964857582049
STK16	4.21202965097921
PDE1C	3.48516733115175
SEMA4D	5.42055458810436
AGPAT1	5.92041264805335
TOB2	5.92478750008422
BANK1	3.29921095355487
MAP3K3	5.31096634549546
MAX	5.00021341468396
GRM2	3.74049754012490
OSBPL8	7.75681272845475
PROSC	5.76874203401498
NR4A2	4.84733133306522
RICS	4.52246228377501
PIR	3.57918678429385
PPCS	8.8795929711641
IPO9	6.11108041578478
LONP1	6.62030821357827
EVC	4.05700113440224
CXCL13	5.63136914298232
SCYL3	4.95612974141457
KIAA1199	5.90938800567805
SORL1	7.13666951083619
NAT10	6.78330511982
CHD1	5.79125213353196
SYN3	3.51336075337697
DMC1	3.91484568271144
SLC22A2	3.52978713925722
SERPINF1	9.78153981502235
C20orf27	6.79657289248942
OR7A17	3.06891994630192
RPS6KA5	4.26730534362779
LHB	3.43132658483565
TAOK3	5.17363886422101
STK25	5.56574813618608
SLC12A4	3.53546298590480
BRCA1	3.98825873526981
GBL	5.28088600164663
C14orf108	7.53433067031572
CDC25B	7.96526942258687
BMP3	3.3423446422492
MAP1LC3C	3.42692616832719
TMEM180	3.51272937299936
CRYGC	3.62822502392642
SLK	5.86618631077058
POU3F1	3.25332078896624
C20orf32	4.11878966065592
USP52	5.53389502808284
HIGD1B	3.98388898785022
BAZ1B	7.18644979255069
USP6NL	4.67459692003911
SLCO2B1	4.79488036163918
ABCD4	4.23308846912336
DIMT1L	5.53100455918511
SLC25A46	6.92800196992723
LARP7	6.7321731199866
TEK	3.95613789685663
CD160	3.60296872446479
TERF2IP	7.33212371278013
PHF20	6.11162474703725
COL1A1	8.77377215898646
KIAA0090	5.83598445672572
GTPBP1	4.29501063454956
GRK5	3.97317445797683
AP1S2	6.43387536357472
RAB33B	4.34372899252785
CA11	4.36812648228266
ALDOC	4.95669501714055
NUDT1	5.23123451345435
ZNF212	5.43163060534993
ACBD3	6.77576237251132
ZNF83	6.39506037737205
PRDM2	4.97655765582895
GDPD5	5.90300948710364
PDCD4	5.2729708603562
CEP350	6.13731967821754
FOXP3	3.55320635645547
SMYD3	6.83956634505024
CST7	4.56826208959777
SELL	4.067398416095
CIAO1	6.70750711185944
LGI2	3.78410372153536
WDR45	8.00616785316744
ANKRD6	6.19231975757984
LTBP4	3.60451002091141
PSCD3	3.54315492691593
PYY	3.20301292144371
KCNC1	3.11283192309913
SIRT6	3.94606294711117
CCL19	5.07957902088368
ARHGEF9	4.16604980973704
ABR	4.56730798806565
C10orf22	6.19152705858766
STK17A	5.02483581620609
FOXE1	3.41907009673256
GML	3.03579920393307
CNGA3	2.93269631595466
CD38	3.59286406367136
ZDHHC6	7.2409972645561
NEFH	4.60722532113563
PGBD5	3.84974878518615
CTDSP2	7.13042476569947
RMND5B	5.50001918957729
ZNF257	4.12690939515378
DUSP4	3.93314493415412
FLJ22167	4.72400760350941
EXOSC7	6.27277243148504
ROR2	4.07683777372473
FOXM1	5.34666927529489
ZBTB48	4.43301930695292
BUD31	8.33439155123674
MAOA	3.66966536987929
CCDC41	4.95148598247288
