Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_D12
Composite Element REF	Signal
AACS	7.65264292431815
FSTL1	8.49657477717561
ELMO2	5.06223755635175
CREB3L1	4.22565036636708
RPS11	9.84374703851767
PNMA1	8.58654925697742
MMP2	8.3052705066518
SAMD4A	4.0896528441725
SMARCD3	5.97089492256675
A4GNT	3.63950400162807
C9orf39	3.39949046692841
PKNOX2	3.97638817725163
RALYL	3.41204245337862
ZHX3	4.69858895071217
ERCC5	4.99077240447202
RXFP3	2.89904062746587
APBB2	4.53518162216937
BBOX1	7.0182467105645
PRO0478	2.82673864665774
GCSH	9.7726489331655
XDH	3.26167530356286
EDN1	5.44121526505824
MTERF	6.86417811385407
PDCL3	7.03096225065083
CLK4	5.74941056784051
KCNG1	3.3854419387129
CXCR4	8.8309079924769
DECR1	8.38252508484824
SALL1	3.43070444387924
PTPRR	3.42530248289669
CADM4	3.38022772988602
IRAK1	8.5553711825385
CFHR5	3.23733747818887
HNRPD	7.21649365813639
TMSB10	12.3537299717976
CXCL3	3.87715136595093
LMAN1	3.69756511634315
SUHW1	3.41184985050679
CHD8	6.22797370099672
SUMO1	8.24616780040608
GP1BA	3.20731912853393
OR7A10	3.64887375050422
DDB1	7.89667719135036
CHRNA10	3.64468565062676
STYK1	4.75862144139354
MYO9B	4.07503578628357
CCNI	9.86505490766983
MMP7	11.2970683704164
EP300	5.89763628686436
CRNKL1	7.17429453357151
C9orf45	3.27339182636341
XAB2	4.41757828209922
RTN1	4.24260500035665
HIC2	3.63935517280588
TBX10	3.50594211667228
CENPQ	5.14779649675558
UTY	3.08519898828874
OR2W1	2.83815693675699
ATP5G2	10.3596454183200
ZEB1	3.92212050767651
ZG16	3.34340397259236
ERG	4.30594372135196
PARN	7.32178458542605
SOD2	5.56868944959793
JOSD3	7.24400198702192
ADAM5P	3.17895033710715
CHD9	6.77289816714967
hCG_40738	3.52454039988754
STK16	5.49506450957153
PDE1C	3.53761749692669
SEMA4D	5.23358515640041
AGPAT1	6.64678028661483
TOB2	6.56127069534979
BANK1	6.86159024727494
MAP3K3	5.26684757760999
MAX	5.98773665615335
GRM2	3.90970313949087
OSBPL8	8.3857760540263
PROSC	5.45636544545803
NR4A2	5.24738836477556
RICS	4.7805579891094
PIR	5.49482946672868
PPCS	9.88593920258598
IPO9	5.71261652211402
LONP1	8.06921324076355
EVC	4.14638066756354
CXCL13	6.00840656537746
SCYL3	5.47544227554108
KIAA1199	7.6870437164366
SORL1	8.35236003913898
NAT10	6.58014859506276
CHD1	5.88050061933605
SYN3	3.48577625359715
DMC1	3.7867763292633
SLC22A2	3.78009496800579
SERPINF1	8.84230458855872
C20orf27	5.61542298166968
OR7A17	3.14146606069084
RPS6KA5	4.12835672574056
LHB	3.43063771076156
TAOK3	5.17494122155533
STK25	7.48182233812979
SLC12A4	3.6790136541406
BRCA1	3.48482314005450
GBL	5.38986145228389
C14orf108	8.95047838510465
CDC25B	6.52648323988079
BMP3	3.22519287136186
MAP1LC3C	3.47491460760180
TMEM180	3.35710629097396
CRYGC	3.59194846355456
SLK	6.46460470181236
POU3F1	3.22003477588313
C20orf32	3.82131612001222
USP52	5.36329447950512
HIGD1B	4.50086886099686
BAZ1B	6.64112764488303
USP6NL	5.18929190803919
SLCO2B1	4.6272435294085
ABCD4	4.87258048209667
DIMT1L	6.0442838794791
SLC25A46	8.63187133591289
LARP7	6.80344138678261
TEK	3.65958102678841
CD160	3.63169574367198
TERF2IP	8.11946677367552
PHF20	5.76584270407013
COL1A1	7.90824738207844
KIAA0090	6.98937604843311
GTPBP1	4.34630013973574
GRK5	3.79283159126217
AP1S2	6.07817882870243
RAB33B	5.39938628593719
CA11	4.13471599560672
ALDOC	5.08730873656494
NUDT1	5.99739271020391
ZNF212	5.2613933890008
ACBD3	7.45895524186216
ZNF83	6.29353142685058
PRDM2	4.5652723663255
GDPD5	4.60648744784643
PDCD4	6.31376545171331
CEP350	5.87725866706569
FOXP3	3.24195028316555
SMYD3	7.30629217232661
CST7	4.99594980409284
SELL	4.97517983611993
CIAO1	6.66584724027284
LGI2	3.87143330909927
WDR45	6.78328963092872
ANKRD6	7.13738566391563
LTBP4	3.42556948931699
PSCD3	3.39008890387267
PYY	3.22115268011352
KCNC1	3.04867511174497
SIRT6	4.30009416769453
CCL19	5.13515392322362
ARHGEF9	4.23633746252747
ABR	4.33830603825571
C10orf22	7.30193696142538
STK17A	5.65093887983961
FOXE1	3.34470280064218
GML	3.21686099121662
CNGA3	2.91338378510496
CD38	3.84904901843063
ZDHHC6	7.87555045217635
NEFH	3.25451167584060
PGBD5	3.86894422580624
CTDSP2	7.15834634625426
RMND5B	6.25891950492495
ZNF257	3.56124586924045
