Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_D06_543700
Composite Element REF	Signal
AACS	6.5041182550919
FSTL1	9.23123671114744
ELMO2	5.79234697241938
CREB3L1	4.43745962605193
RPS11	9.69487783417805
PNMA1	8.44623711917705
MMP2	9.0132052618249
SAMD4A	4.2226610823582
SMARCD3	6.40762188650188
A4GNT	3.68737643102468
C9orf39	3.33066048367942
PKNOX2	3.78641232373142
RALYL	3.31602418066330
ZHX3	4.40157355001047
ERCC5	5.38233892408644
RXFP3	3.13086289816864
APBB2	4.06794733626926
BBOX1	3.10183625028732
PRO0478	2.99879742619193
GCSH	7.57720198759752
XDH	3.87660462431532
EDN1	4.24304683558046
MTERF	6.6832207026424
PDCL3	8.0543824036547
CLK4	6.02368448270564
KCNG1	3.88517045999161
CXCR4	7.04842833569186
DECR1	7.52073100789855
SALL1	3.31562017257756
PTPRR	3.44641395302586
CADM4	3.21972570128095
IRAK1	8.50076117530127
CFHR5	3.21571680031705
HNRPD	8.1921812736772
TMSB10	12.3013310996353
CXCL3	4.36701408149276
LMAN1	3.62280835869168
SUHW1	3.56881873439678
CHD8	6.60875080122321
SUMO1	7.94768892297305
GP1BA	3.25173997954458
OR7A10	3.93954298751835
DDB1	7.41008485074208
CHRNA10	3.63120314998571
STYK1	3.49280243389424
MYO9B	4.94485787402095
CCNI	9.66073225451079
MMP7	9.94947987970783
EP300	6.36652632757789
CRNKL1	6.72338722376982
C9orf45	3.25396604081441
XAB2	3.68967097910544
RTN1	3.59174432197922
HIC2	4.57722008542547
TBX10	3.47793164927121
CENPQ	4.2725826601262
UTY	3.19352881953669
OR2W1	2.81693178499896
ATP5G2	9.78814339593249
ZEB1	4.03939936213479
ZG16	3.29798395243034
ERG	3.84122216383696
PARN	7.04756428693818
SOD2	5.99468645395244
JOSD3	7.01516200998544
ADAM5P	3.22318420869645
CHD9	6.08060953016844
hCG_40738	3.91515278675773
STK16	4.75830109971419
PDE1C	3.56371915384388
SEMA4D	6.07890815987379
AGPAT1	6.48596955145833
TOB2	5.76244246444537
BANK1	4.26284555652346
MAP3K3	5.4795927955775
MAX	5.24028241482447
GRM2	3.56689786586127
OSBPL8	7.99067607879086
PROSC	6.0285418100684
NR4A2	4.3362913433172
RICS	5.70453935176479
PIR	3.42944479819106
PPCS	8.49749689341386
IPO9	6.15937925259577
LONP1	7.02680775739324
EVC	4.6870442505504
CXCL13	5.59232905511288
SCYL3	5.25383911936642
KIAA1199	5.2857565125339
SORL1	7.4293124894483
NAT10	7.0225708335229
CHD1	6.86748886879202
SYN3	3.65515290467882
DMC1	3.87671964644555
SLC22A2	3.69694694452995
SERPINF1	8.78206668290593
C20orf27	5.01422705292646
OR7A17	2.90831372636276
RPS6KA5	4.39757632640658
LHB	3.29935966089708
TAOK3	5.28141716504486
STK25	6.82292427230305
SLC12A4	3.69901054905061
BRCA1	4.55882566325637
GBL	5.29520252446618
C14orf108	8.22103892195621
CDC25B	7.62787916170305
BMP3	3.17291119656914
MAP1LC3C	3.65012999420496
TMEM180	3.42929754648214
CRYGC	3.38320487552744
SLK	6.19886419785482
POU3F1	3.17093086387442
C20orf32	3.6439504056737
USP52	5.40737513821222
HIGD1B	3.7368336774421
BAZ1B	7.640280356455
USP6NL	5.95213877464646
SLCO2B1	4.67855028152729
ABCD4	4.61744930486291
DIMT1L	5.83914312876607
SLC25A46	7.63274764565153
LARP7	6.60784026594505
TEK	3.90745862272458
CD160	3.43732754230237
TERF2IP	7.47761845827756
PHF20	6.02106909301501
COL1A1	9.00218493207009
KIAA0090	6.42661769991729
GTPBP1	4.62625913831387
GRK5	4.02580953824314
AP1S2	5.33792550368749
RAB33B	4.21642749272216
CA11	4.62522490461111
ALDOC	4.67705558120373
NUDT1	5.6904024778656
ZNF212	6.10988595661374
ACBD3	7.47921938944644
ZNF83	7.47323926693741
PRDM2	5.07068242207153
GDPD5	4.96419903831496
PDCD4	4.84799753715787
CEP350	6.12505174485493
FOXP3	3.17474727606821
SMYD3	7.17655987005116
CST7	4.76302864518863
SELL	4.56833318974125
CIAO1	6.75614052029945
LGI2	3.69321489683664
WDR45	8.5552166932269
ANKRD6	6.74463041378519
LTBP4	3.75317409844538
PSCD3	3.36957551536637
PYY	3.1001011792455
KCNC1	3.00414775685269
SIRT6	4.06868120092161
CCL19	4.0744797573124
ARHGEF9	3.81048691107161
ABR	5.46340376015818
C10orf22	6.30441051131471
STK17A	5.10043889587705
FOXE1	3.39508195681905
GML	3.36374523582208
CNGA3	3.01613462777631
CD38	5.24402115621217
