Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F09_516314
Composite Element REF	Signal
AACS	6.44279698291263
FSTL1	9.40777020042568
ELMO2	5.69195336683031
CREB3L1	4.22718346114078
RPS11	9.73437761836966
PNMA1	6.61886759628687
MMP2	8.73042224767349
SAMD4A	3.68561649932684
SMARCD3	8.7323787217642
A4GNT	3.67376087369206
C9orf39	3.69865051874468
PKNOX2	3.99407111489032
RALYL	3.19362536839773
ZHX3	4.46397717491238
ERCC5	5.09345415616485
RXFP3	2.93403788165783
APBB2	3.98128244643442
BBOX1	6.77790351611916
PRO0478	3.12783645839423
GCSH	8.10162757488219
XDH	3.53247554686283
EDN1	4.37106059518089
MTERF	5.95446524399392
PDCL3	7.40893932399867
CLK4	5.85697313321369
KCNG1	3.80043842520521
CXCR4	7.81185433530435
DECR1	7.26705797078902
SALL1	3.38613970154132
PTPRR	3.84874011964965
CADM4	3.41909620776697
IRAK1	8.47208479857274
CFHR5	3.62485668604835
HNRPD	6.68215170788444
TMSB10	12.3123071592996
CXCL3	3.34956983442996
LMAN1	3.76745778813025
SUHW1	3.52951110028636
CHD8	4.99055663640025
SUMO1	7.93576763808265
GP1BA	3.20469068531161
OR7A10	3.96185317240664
DDB1	7.23842500352266
CHRNA10	3.73305702051019
STYK1	3.71583330468361
MYO9B	3.99486484284357
CCNI	11.0066912662635
MMP7	8.65646447116971
EP300	5.19883767637161
CRNKL1	6.70419357715731
C9orf45	3.35145380090376
XAB2	4.52364187343359
RTN1	4.26406369870193
HIC2	3.90380628915814
TBX10	3.71427486907329
CENPQ	4.41446072617219
UTY	3.20406093134461
OR2W1	3.05418662702516
ATP5G2	10.6458246392354
ZEB1	4.01204989249895
ZG16	3.77294849188928
ERG	4.02294801343485
PARN	6.98357903981527
SOD2	5.83183798996554
JOSD3	7.38138808732206
ADAM5P	3.33935691868455
CHD9	5.43021899527659
hCG_40738	3.95591342808056
STK16	4.66273931762468
PDE1C	3.49170033707387
SEMA4D	4.76914836770985
AGPAT1	5.8194540789291
