Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_D10
Composite Element REF	Signal
AACS	6.85944274736627
FSTL1	8.3123802889894
ELMO2	5.83846022290867
CREB3L1	4.2437006196838
RPS11	9.94847587039693
PNMA1	7.1133336214733
MMP2	7.30913255791569
SAMD4A	4.25827934107327
SMARCD3	7.97698925992085
A4GNT	3.86101333548934
C9orf39	3.29609169702469
PKNOX2	3.675837970621
RALYL	3.52211585943812
ZHX3	4.64518663928362
ERCC5	6.83284926878731
RXFP3	3.0394304887938
APBB2	4.25744625715971
BBOX1	7.61798001083986
PRO0478	2.92331823552140
GCSH	9.70710463455932
XDH	5.49363889800609
EDN1	4.58760025088776
MTERF	6.21206899668186
PDCL3	6.73627433350125
CLK4	6.87261194884095
KCNG1	3.43345045519105
CXCR4	5.40539846248176
DECR1	8.801880907029
SALL1	3.21780361166413
PTPRR	5.11536026447705
CADM4	3.52548568220276
IRAK1	9.27419044179454
CFHR5	3.15810653844283
HNRPD	7.5062417123106
TMSB10	11.7874588288377
CXCL3	3.72959896297093
LMAN1	4.25850047626419
SUHW1	3.27578180178669
CHD8	5.44117156406758
SUMO1	7.47905652598071
GP1BA	3.25982715062949
OR7A10	3.80391746679435
DDB1	7.64566217007426
CHRNA10	3.74687889911097
STYK1	3.48047812317819
MYO9B	4.34641214834034
CCNI	9.04105868127253
MMP7	10.0383389812228
EP300	6.9631520306647
CRNKL1	6.31920379566413
C9orf45	3.27983456228165
XAB2	4.31001041438993
RTN1	3.62415645469468
HIC2	4.1545803406435
TBX10	3.49448061501777
CENPQ	4.75966157838297
UTY	3.05518196310015
OR2W1	2.84194914765663
ATP5G2	10.2306552313446
ZEB1	4.15121819192721
ZG16	3.58622980004662
ERG	3.95469055933236
PARN	7.33735771245277
SOD2	4.90889026167586
JOSD3	8.23570092700189
ADAM5P	3.26110223466807
CHD9	6.68211772964367
hCG_40738	3.63607560969847
STK16	5.14361567322739
PDE1C	3.54910285804386
SEMA4D	4.57013747303185
AGPAT1	5.94755275926244
TOB2	7.06210462028932
BANK1	3.25328183092521
MAP3K3	5.30572250520597
MAX	4.84308030637295
GRM2	3.93466082571690
OSBPL8	6.78233039469503
PROSC	5.33838860794236
