Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_C12_443120
Composite Element REF	Signal
AACS	6.53447411366697
FSTL1	5.76097713683603
ELMO2	5.02529487570837
CREB3L1	4.06103623941682
RPS11	9.84155379067517
PNMA1	7.28183850331207
MMP2	6.83346882181592
SAMD4A	3.66718334907363
SMARCD3	5.98417000549847
A4GNT	3.85362604313523
C9orf39	3.07705609792576
PKNOX2	3.92664446272056
RALYL	3.28371322526929
ZHX3	4.10030157266539
ERCC5	6.39675057427616
RXFP3	3.08772698241996
APBB2	4.17947482184208
BBOX1	4.3691452192371
PRO0478	3.14424108752865
GCSH	7.92135373754243
XDH	3.96649066596321
EDN1	3.73526378560339
MTERF	6.34675123248807
PDCL3	6.97668245764773
CLK4	6.5290065404121
KCNG1	3.67595326529734
CXCR4	8.01453457289941
DECR1	6.78376451466881
SALL1	3.29580648169868
PTPRR	3.25575675027775
CADM4	3.58069354366188
IRAK1	8.4328420975995
CFHR5	3.19601522316627
HNRPD	8.2402122353639
TMSB10	11.8090152204610
CXCL3	4.06796095405495
LMAN1	3.54662520741993
SUHW1	3.49967232049338
CHD8	5.8667303179671
SUMO1	7.76002325568279
GP1BA	3.42482200300642
OR7A10	4.18149154392119
DDB1	7.78125984756033
CHRNA10	3.69241288088868
STYK1	4.1231593283016
MYO9B	4.48816560479541
CCNI	9.76635379870342
MMP7	9.63457056766502
EP300	6.52085423423948
CRNKL1	6.48403134861666
C9orf45	3.09702890216697
XAB2	3.97910207231957
RTN1	4.76413194060493
HIC2	4.14617460732140
TBX10	3.58779696956929
CENPQ	4.43054787775175
UTY	3.17540350803932
OR2W1	2.86180423481385
ATP5G2	10.5355537558329
ZEB1	3.44530071242317
ZG16	3.41520431280579
ERG	3.48741931920926
PARN	7.98628674649742
SOD2	7.19133743885957
JOSD3	8.09140584599101
ADAM5P	3.2134921441158
CHD9	5.84582481297207
hCG_40738	3.80034352517854
STK16	4.55604746371264
PDE1C	3.62907141338548
SEMA4D	5.31863644710966
AGPAT1	6.76654407300549
TOB2	6.19618111136292
BANK1	3.16688236496474
MAP3K3	5.43903493527506
MAX	4.62079279724146
GRM2	3.70863389332004
OSBPL8	6.65006938895278
PROSC	4.85952995234767
NR4A2	4.21949632601166
RICS	5.03319982168856
PIR	5.11151475104927
PPCS	9.44087094138193
IPO9	6.6106019131291
LONP1	6.59626825275681
EVC	3.98638492820265
CXCL13	6.09823967242528
SCYL3	5.75122234623306
KIAA1199	5.71532860825616
SORL1	8.5307094672908
NAT10	6.98734946204485
CHD1	6.11049031916176
SYN3	3.49544823295385
DMC1	3.91795984374012
SLC22A2	3.92591241081469
SERPINF1	7.2210491030128
C20orf27	5.38110894712453
OR7A17	2.93685042371356
RPS6KA5	3.96801607557527
LHB	3.48962419246177
TAOK3	5.02917548954516
STK25	5.43706206819215
SLC12A4	3.70723578644662
BRCA1	4.48902105863933
GBL	5.41258832340262
C14orf108	7.41721217090002
CDC25B	6.88119127529171
BMP3	3.55200906080093
MAP1LC3C	3.59936352787126
TMEM180	3.98834247925757
CRYGC	4.0914738039934
SLK	4.8775014227700
POU3F1	3.21729672646002
C20orf32	4.24729636200765
USP52	6.19299903930608
HIGD1B	3.83150373541879
BAZ1B	6.52637076249251
USP6NL	6.26191843752637
SLCO2B1	4.49712760586112
ABCD4	4.50889007498522
DIMT1L	5.60797218305906
SLC25A46	7.4661443142211
LARP7	6.55791296398939
TEK	3.62358035249538
CD160	3.75289581737456
TERF2IP	6.9803124517342
PHF20	6.44922183382386
COL1A1	5.80916500906674
KIAA0090	5.38389370399688
GTPBP1	4.4143061296873
GRK5	3.66947009678305
AP1S2	5.10026387066499
RAB33B	3.82951070987828
CA11	4.33796074510637
ALDOC	5.11641995635509
NUDT1	5.73295758286264
ZNF212	5.28500266989167
ACBD3	7.87268615128159
ZNF83	4.88223191143955
PRDM2	4.69098830480717
GDPD5	5.61901183474845
PDCD4	5.83318012274336
CEP350	6.73057855648002
FOXP3	3.29885170058933
SMYD3	6.15374065369322
CST7	4.64354873458783
SELL	5.38410430779259
CIAO1	6.10286380074579
LGI2	3.72173567426274
WDR45	5.73176327838194
ANKRD6	6.90523668829606
LTBP4	4.61763504614048
PSCD3	3.40309513376587
PYY	3.37515864562368
KCNC1	3.10398967709011
SIRT6	4.27073959772792
CCL19	3.87617030499435
ARHGEF9	4.52133840702916
ABR	4.46502614094176
C10orf22	5.90404351616713
STK17A	4.30078599732739
FOXE1	3.33964629310092
GML	3.27573293296786
CNGA3	2.97127620647454
CD38	4.46171499110813
ZDHHC6	6.43938058517389
NEFH	7.54726134879438
PGBD5	3.69117663950753
CTDSP2	7.48495266679773
RMND5B	5.91800144065581
ZNF257	4.40515068421797
DUSP4	3.99737134562133
FLJ22167	5.13765207784215
EXOSC7	5.24717377912517
ROR2	4.2079480577605
FOXM1	6.14771018275565
ZBTB48	4.53839155710375
BUD31	6.57262887868587
MAOA	3.98108058860258
CCDC41	4.51279699537140
TNNT3	3.87090104112008
FBXO11	5.53596446286449
GYPC	5.48614121361329
PLIN	3.41063922469352
RFXAP	3.73988565415901
C6orf15	3.58692806938996
RNF4	8.17178992198152
F8A1	8.06503674515923
PPP1R3D	4.27800358370961
GRB2	7.22628047160873
TPM3	3.29175288407453
SYT13	3.87984879267657
EPB42	3.49406867097972
RP5-1077B9.4	5.1111909225685
EIF1	9.90746788318017
CETN3	6.6857183985962
FPGT	5.27814073599589
PRY	3.46042164877451
NTHL1	5.44913567009953
POLR2B	7.9463981060508
RPS28	11.3451005072808
GDF10	2.91797968661975
COQ9	6.67972996110857
P2RX3	3.01917567286561
GCC2	6.89788126833407
RARRES3	6.4027687784478
PLXNA1	6.25542440324779
WBP4	5.09864657036854
KIAA0100	6.77792447921778
PMF1	6.83094560221852
HS2ST1	5.63217629616617
CRELD2	7.54331649584366
C8G	3.14805323485484
CD82	6.00577872306758
PMM1	4.18045932955450
CBLL1	4.3069264013543
LIM2	3.32246664401883
VAX2	3.78934468720931
SETDB1	5.85347080624974
LRAP	6.27181705722349
GCLM	6.18572674499171
CPEB3	3.66240913012921
PPM1A	5.17098585891726
INTS1	4.44846823082496
MMP16	3.13629494898872
CAMTA1	3.89448576101741
SAMSN1	5.22657815023373
DRD3	2.71160900409355
GMPPA	5.42405362001107
C11orf73	4.98258047440876
AIPL1	3.67799721971338
PTP4A2	8.67255612379123
IL24	3.2274182281357
BDKRB1	3.34904806135615
HPCA	3.60840666816700
MLF1	6.65086812181848
SEC14L1	5.88425698757406
CHFR	5.97776859904194
EMILIN1	3.17872897254866
THADA	6.89306253077311
TAF12	4.24073587820419
NDUFS4	7.96918782369464
ID1	3.56479457920915
PIK3CB	4.69133715199699
COL18A1	7.43158163993109
PDZD3	3.02743663031035
TBC1D17	4.0163053679211
COX8A	9.59794660289544
CDCA4	5.20624292399029
C2orf44	4.62022362966256
C9orf16	6.48657236636472
ERBB2IP	8.53129709172763
EMX2	7.97991698154259
FUS	6.31929863071588
NIPSNAP3B	3.55008128744785
TF	3.33058075281546
CXorf56	5.61631696536551
CLCN4	3.86956635811074
PWP2	5.62057368088309
MMP15	4.7626376141721
MTMR14	6.28263783058656
NPR1	6.09369335002778
DNAL4	5.24458479081022
ELAC2	4.5348713583038
ASS1	10.3094012725834
IPP	5.8576654614169
TMEM59	9.32960858455746
POLR2J	8.3225916577084
SEC23IP	4.72853328353331
RGS4	3.61431275523865
UQCRC1	8.19328215447835
SNX6	7.1043440830468
DDX18	6.35158239336892
POLG	4.26884478960774
ADAM23	4.05326055166548
ZNHIT2	4.74727647823226
TFR2	3.32892209042627
NCDN	4.46990335076371
RAG1	3.35967651427391
POMT1	4.24332611028334
CYP1A1	3.56307323424208
SNAPC1	4.90909121157108
GNA11	5.25617081640997
CCDC52	2.85527731564352
CAPN1	7.13599839100469
DDHD2	4.59632308408859
UPF3A	5.84514554202391
LAGE3	6.14340143217491
GNRHR	3.18053278014197
UNC13B	4.98912974713412
TTLL4	5.11553442036143
PPBP	2.88024902447700
HTR3A	8.36710849224081
SDC2	3.98797331034031
ANKRD49	6.91646857148116
BTF3	9.88137175331348
COX7A2	10.3121561790850
SARS	7.61479138264657
C13orf18	3.69669357454778
CACNB1	3.90879270753732
QKI	5.90758358801993
SETMAR	4.18263137042858
LAMB4	3.3887367921991
MAN2B1	7.69634283621835
EML3	5.77539849089970
ACADL	3.13212973302679
OFD1	7.22606257602452
CGA	3.57806985133314
EIF3EIP	10.4425158084721
PEX16	5.58695268646442
GNG12	7.30744347891938
HABP4	4.51829440801882
CNTN2	3.74632107898174
ASNSD1	6.3947115302565
FUT4	3.88388023414941
DBH	3.64712406373148
CD53	7.74367254105872
HIST1H2BJ	3.48780777929002
TFAP2B	3.22238249544645
ACF	3.63566653715290
TMEM11	5.75474889022773
CDH8	3.64051823430117
C3orf32	3.64711154421315
AGPS	4.43001246419504
C4orf18	3.14048811702353
PCCB	7.55820219390291
IPO13	5.76676585951209
PECI	5.78374972998807
UNG	7.41668196271402
C6orf105	3.78751502498685
GSTP1	8.7608644825734
SUV420H1	7.82614646161062
ARHGAP15	4.2198781056333
LTBR	6.97766685986964
TDRKH	3.37734823407505
PSG4	3.67863624178305
SLC9A3R1	5.90620250093747
NBPF3	8.25357254797496
SLC9A3	3.58448247461977
OSBP	6.17801450971624
PRR5	4.24195580944841
CHMP7	5.58539365412231
ADRA1A	3.17048945272298
ASAH1	6.60959437508532
FKBP4	6.89281265417547
ZNF350	3.87853452656217
DOM3Z	5.5075339589872
GIPR	3.98810319782318
AHI1	4.9088393328265
BST1	5.29133246429862
NCR2	3.69779203814977
NADSYN1	4.95312282813079
UBE2W	4.97142927072146
RGS14	4.13778620426247
KRT15	4.20007976684991
SCN11A	3.86076485343528
GFI1	3.70121983216132
FHL1	5.9362116173698
SMC6	5.64974440054827
GATA1	3.58622063566320
OSGEP	4.97614463165671
ARMC6	4.75460628949358
HK3	4.56163639388321
PSMD5	5.51637332676407
RSU1	7.2333739206183
RPL4	11.8996942590563
MAD2L1	6.67789606363426
RBPMS	5.11239543877794
EIF4A3	8.18155326526303
E4F1	4.81782731940014
DLEC1	3.4101609538984
PRPF3	6.06930061098482
EMR1	3.71419886866531
CHMP2B	5.80561202941564
CAMSAP1	4.14860350009484
RPS21	9.57518109618492
XCR1	3.26937555253539
