Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_D06_472004
Composite Element REF	Signal
AACS	5.49542383386956
FSTL1	8.5094160958275
ELMO2	5.3358469150179
CREB3L1	4.11847538238275
RPS11	9.71161141953467
PNMA1	8.8288489831402
MMP2	6.27533851237486
SAMD4A	3.95062165879442
SMARCD3	5.83284048231102
A4GNT	3.55520007293658
C9orf39	4.18652097416805
PKNOX2	4.06679789290969
RALYL	3.24453195034689
ZHX3	4.0378309477471
ERCC5	5.90975156621475
RXFP3	3.09088822704707
APBB2	3.69318936857482
BBOX1	3.60557005713194
PRO0478	2.92338924056999
GCSH	7.89761237725096
XDH	3.51714600795614
EDN1	3.69282458419322
MTERF	6.43754890273714
PDCL3	7.42768957108821
CLK4	5.75955278322601
KCNG1	4.07081768126644
CXCR4	9.0397716665834
DECR1	7.55710220378608
SALL1	3.63538888613762
PTPRR	3.31888009653224
CADM4	3.38098916700845
IRAK1	8.40648270595757
CFHR5	3.2710784123017
HNRPD	8.08158940916504
TMSB10	11.9602683714426
CXCL3	3.84015468140921
LMAN1	3.87167497911737
SUHW1	3.17495295190729
CHD8	6.21273889673023
SUMO1	8.57865600636373
GP1BA	3.32937988072583
OR7A10	3.82677045057129
DDB1	7.49871447043409
CHRNA10	3.62526181049637
STYK1	3.32077521301950
MYO9B	4.03078414547215
CCNI	10.5920278758376
MMP7	5.5413078139765
EP300	6.01371045574468
CRNKL1	6.71156090446739
C9orf45	3.50207121034902
XAB2	4.1490083836079
RTN1	3.6119269112517
HIC2	4.4240475953788
TBX10	3.51999550657844
CENPQ	4.87834807983882
UTY	3.20375618040669
OR2W1	2.98002937375869
ATP5G2	10.4679242793718
ZEB1	3.58393792297489
ZG16	3.14289108024558
ERG	4.07980994888844
PARN	6.70800570776856
SOD2	5.17460679023453
JOSD3	8.2909226057137
ADAM5P	3.09995676320715
CHD9	6.33538694698412
hCG_40738	4.14436059827992
STK16	4.44984548558871
PDE1C	3.25102335300337
SEMA4D	5.13094331534834
AGPAT1	5.76218431937242
TOB2	5.65542448535813
BANK1	4.17927115667116
MAP3K3	4.98585965212526
MAX	5.61899783708239
GRM2	3.59287729095817
OSBPL8	7.63403806255776
PROSC	5.95807191633145
NR4A2	3.85855124804651
RICS	4.63197188670041
PIR	5.33267854521902
PPCS	8.6156675748117
IPO9	5.99033209255929
LONP1	5.9240587651132
EVC	3.8960335584279
CXCL13	6.2293212509136
SCYL3	5.08859934044276
KIAA1199	6.48621132153729
SORL1	7.80745289970365
NAT10	7.41859834458805
CHD1	5.63506566759452
SYN3	3.41813184398964
DMC1	4.27164026712331
SLC22A2	3.3191395579162
SERPINF1	6.5177692125143
C20orf27	5.93446880547561
OR7A17	3.10312385647811
RPS6KA5	5.1500414850133
LHB	3.23841144549392
TAOK3	4.40177872493651
STK25	5.6605348980272
SLC12A4	3.70197489134594
BRCA1	3.52417892777487
GBL	4.58450919790090
C14orf108	8.20853384863127
CDC25B	6.15771545524483
BMP3	3.06277280066717
MAP1LC3C	3.43397300987805
TMEM180	3.43642193498726
CRYGC	3.82981011021031
SLK	6.45665771900117
POU3F1	3.26582833726423
C20orf32	3.75033182162791
USP52	5.51703580478266
HIGD1B	3.82721204526534
BAZ1B	6.75978387425453
USP6NL	4.70639631366936
SLCO2B1	4.01665375797926
ABCD4	4.50286882193884
DIMT1L	6.14491102910387
SLC25A46	6.28222139277885
LARP7	6.8602345079348
TEK	3.39776013983131
CD160	3.53432176400827
TERF2IP	7.5284985847695
PHF20	5.7566418301617
COL1A1	7.79649239265885
KIAA0090	5.16139686994316
GTPBP1	4.09707569312905
GRK5	3.86996860533310
AP1S2	6.46258452159537
RAB33B	4.75987670655768
CA11	4.11497314082456
ALDOC	5.59525440777005
NUDT1	4.79967361613035
ZNF212	5.80074885577003
ACBD3	6.73524343311695
ZNF83	7.10481739520708
PRDM2	4.19966455762811
GDPD5	4.26198369660033
PDCD4	6.81276320851291
CEP350	5.68442653598663
FOXP3	3.41202616715112
SMYD3	7.08201110340463
CST7	4.43201079587809
SELL	4.14341466746424
CIAO1	6.15593829128503
LGI2	3.99259039440608
WDR45	6.06163125527397
ANKRD6	7.07697359841444
LTBP4	4.39694899120529
PSCD3	3.50693052205811
PYY	3.03624841553285
KCNC1	3.15928100042146
SIRT6	3.8429362993125
CCL19	3.93559437808536
ARHGEF9	4.31078416695155
ABR	4.00804471907772
C10orf22	6.58879033812543
STK17A	4.50544547919242
FOXE1	3.1884598131588
GML	3.24299626393244
CNGA3	2.95529551531511
CD38	4.68209597028683
ZDHHC6	7.78272902100405
NEFH	5.43305382903122
PGBD5	3.92770174809409
CTDSP2	7.12189533581344
RMND5B	4.70042828786425
ZNF257	4.16260553420374
DUSP4	4.12574925485891
FLJ22167	5.07942488557204
EXOSC7	7.10709700269241
ROR2	3.18706582791487
FOXM1	4.86554978742891
ZBTB48	4.46739659060492
BUD31	8.13530080908128
MAOA	4.35899640539597
CCDC41	4.99680153540486
TNNT3	4.02604399857175
FBXO11	5.87353554424938
GYPC	6.01360806816827
PLIN	3.29080044083393
RFXAP	3.79879837396528
C6orf15	3.78895564884004
RNF4	6.99856236889744
F8A1	7.99400220958239
PPP1R3D	4.20505059184757
GRB2	6.42360490834623
TPM3	2.98124995245427
SYT13	3.8420515197776
EPB42	3.29110421723069
RP5-1077B9.4	4.43105451887824
EIF1	9.8314365659386
CETN3	7.19948109681256
FPGT	5.36351439453128
PRY	3.32200376526922
NTHL1	4.74611930039683
POLR2B	8.8561555436633
RPS28	11.5157908978744
GDF10	3.0843368996718
COQ9	6.64699864400021
P2RX3	2.98267455715282
GCC2	6.78705463034125
RARRES3	6.69337794795211
PLXNA1	5.48487401816967
WBP4	4.87571457883656
KIAA0100	5.21645724533087
PMF1	6.5205442304014
HS2ST1	5.63734282105793
CRELD2	5.81114329138947
C8G	3.31998930498152
CD82	4.78548000694654
PMM1	4.6859084915314
CBLL1	4.43847867733655
LIM2	3.60990408032923
VAX2	4.21979023881019
SETDB1	5.0948692394741
LRAP	5.02350276948298
GCLM	6.06092231781208
CPEB3	3.33496528301477
PPM1A	6.5675156165848
INTS1	4.14709900643347
MMP16	3.12551642113682
CAMTA1	4.05530825594361
SAMSN1	5.30659339982813
DRD3	2.63187133591289
GMPPA	4.18318117877601
C11orf73	5.73571260375172
AIPL1	3.75578642378845
PTP4A2	9.30493266772831
IL24	3.24295382888296
BDKRB1	3.20696813147480
HPCA	3.53205694689112
MLF1	6.9077816949662
SEC14L1	5.59716508618584
CHFR	5.13869943307183
EMILIN1	3.81724356743789
THADA	6.06901290857495
TAF12	4.95705128052625
NDUFS4	6.88702998725666
ID1	5.10644552884434
PIK3CB	3.93977028664577
COL18A1	7.00520425606721
PDZD3	3.18637256181304
TBC1D17	4.51532507418886
COX8A	9.73560333016666
CDCA4	7.30565752521372
C2orf44	5.01936522855664
C9orf16	6.07022693437101
ERBB2IP	7.52271716926711
EMX2	9.05326138041157
FUS	6.3298475146461
NIPSNAP3B	3.47182514834263
TF	3.20913353541307
CXorf56	5.16268266496242
CLCN4	3.75551781463157
PWP2	4.49211552562889
MMP15	4.10350072598323
MTMR14	5.48823880216297
NPR1	6.2831327332512
DNAL4	4.78289155933711
ELAC2	4.30233714832648
ASS1	10.250735879957
IPP	5.78582030705987
TMEM59	9.1266195656789
POLR2J	9.2367197745248
SEC23IP	5.79691702069872
RGS4	4.65917486325446
UQCRC1	8.68550229516025
SNX6	8.1656598008772
DDX18	7.63868724139725
POLG	4.50252215181109
ADAM23	4.01745257806431
ZNHIT2	4.09001676763215
TFR2	3.31900169901628
NCDN	4.09047978084582
RAG1	3.63888716731755
POMT1	4.30315196451279
CYP1A1	3.09384048935319
SNAPC1	6.30792355572112
GNA11	4.76635349537684
CCDC52	2.55161416101153
CAPN1	5.70793148212486
DDHD2	6.52655404121274
UPF3A	6.80010175371806
LAGE3	5.58297955448844
GNRHR	3.06327805376018
UNC13B	5.18699452210046
TTLL4	4.19479291750076
PPBP	2.88583049757387
HTR3A	3.23850212149914
SDC2	6.23142086593414
ANKRD49	7.62059034787045
BTF3	10.3610762101751
COX7A2	10.5030047482725
SARS	8.03493091330581
C13orf18	3.6234485152899
CACNB1	3.73037197234250
QKI	6.10784617724258
SETMAR	6.27388279817328
LAMB4	3.19236732072297
MAN2B1	6.06102832619522
EML3	4.79560204028265
ACADL	3.44459623908421
OFD1	8.38664875936049
CGA	3.45895073754956
EIF3EIP	10.3078672887025
PEX16	4.64742867186284
GNG12	7.24751324733454
HABP4	4.36981723436378
CNTN2	3.29303685065072
ASNSD1	8.1229128095306
FUT4	4.09487696923794
DBH	3.25334560613273
CD53	7.22294948842349
HIST1H2BJ	3.57690605014037
TFAP2B	3.14081729169444
ACF	3.48958144356301
TMEM11	5.84729137588917
CDH8	3.14481583110418
C3orf32	3.27138152474936
AGPS	5.15306443784591
C4orf18	3.68218557814188
PCCB	7.14682904990827
IPO13	4.10256141100512
PECI	8.5241895711523
UNG	8.93087067716237
C6orf105	3.70843508870517
GSTP1	8.08310855547473
SUV420H1	7.59498048252483
ARHGAP15	3.91021652649626
LTBR	5.8247789299001
TDRKH	3.2911805378489
PSG4	3.4016624714069
SLC9A3R1	6.25666696313885
NBPF3	8.79695018176809
SLC9A3	3.69663415135999
OSBP	5.94954319706584
PRR5	4.11524991782728
CHMP7	5.12777538628098
ADRA1A	3.10494629348024
ASAH1	6.50047891798823
FKBP4	6.42885122963918
ZNF350	4.60757436382878
DOM3Z	4.97592176802477
GIPR	3.58547182341791
AHI1	4.91700014208618
BST1	3.62515198205008
NCR2	3.30643848273587
NADSYN1	3.84731756803862
UBE2W	5.40927438789262
RGS14	3.83419046154361
KRT15	3.48595039475788
SCN11A	3.96755055726669
GFI1	3.70008089125254
FHL1	4.96635996220236
SMC6	7.07357430246829
GATA1	3.72743201904121
OSGEP	4.85285026296614
ARMC6	4.54743010754737
HK3	3.60424621942318
PSMD5	7.12153288498717
RSU1	7.57544841910356
RPL4	11.9204145562882
MAD2L1	6.99101660841878
RBPMS	5.16762349106453
EIF4A3	9.84382590263307
E4F1	4.5535591058947
DLEC1	3.26868462326573
PRPF3	6.28779282446171
EMR1	3.06182239941963
CHMP2B	6.91123927774096
CAMSAP1	4.32904818891265
RPS21	9.51564811099004
XCR1	3.49119693651307
ARID5A	4.56807649359364
RBM6	5.32470246381703
UBE2N	8.16238994569157
KLF4	3.90949101311698
MGC4172	3.31718472899883
LMO4	6.72377112626283
KLKB1	3.28871797066749
HDAC3	5.88655023662973
HP	4.46836178012968
SCHIP1	6.03384254668813
BTK	3.7731069027093
KRCC1	7.15096743784181
PRND	2.97617933897889
C6orf27	3.54313061329769
PIGL	3.59158374986942
CLCA1	3.70624389807885
C1orf112	4.66790901650686
OLFML2A	5.46505429895588
HUS1	4.77138589523298
SFRS6	8.21594322346084
CXCR7	6.80285543115104
UIMC1	5.34669010314167
FXYD2	3.61843479435747
GOT2	7.47022728358721
ZNF667	4.87080577442782
TFEC	4.1011126489918
ATP7B	6.71597978963397
RAB38	5.0085240262081
POLD2	6.42597701103285
PPM1H	4.53000929022887
DCX	3.2835736345958
NFYC	5.37675283601232
ZNF228	3.7558666810602
KIN	4.81182739336336
PLSCR4	6.57689302150237
HIST1H4I	3.82324156650799
PPARGC1A	3.05558745134029
HIG2	8.76718800878854
KCNK10	4.10369280510021
EXOC1	7.85020019372308
OR6A2	3.6641009905207
ETFA	9.29482390634621
PDAP1	4.85724913602686
C19orf6	3.62505017420588
POLRMT	3.71363183168374
ZNF146	8.42245723836465
MIA2	3.08211102443705
LY6G6E	3.2191488704448
EIF4E2	7.54615675084209
NENF	4.91654538119058
HOXB5	5.01575821383474
ZNF324	4.45961447151129
CUGBP1	4.33710504700883
ENTPD7	3.64296898186102
TTC13	5.44706493384154
GJB5	3.23299306218187
PRSS22	3.58394756081337
CYP3A5	3.15172731010518
MBOAT5	4.26361836937771
CUL4B	5.65931981033454
CENPJ	3.62177790628211
KIAA0664	5.09792940189794
PITX1	3.38246743167331
PDGFRB	5.02764349421773
RDX	7.41661986047552
CELSR3	4.16092822673241
JUND	6.49478992304817
ITSN1	4.39839416862548
CHRNB1	3.36761111212647
EHBP1L1	3.50050092194257
C19orf2	7.20572629314803
FETUB	3.16809899576975
CAMK2B	3.26889089480406
DCTN1	5.76241367129
TNKS2	7.06433424956733
MRTO4	7.21914872269929
C1QBP	5.67462461110584
TTC3	7.38280157697908
NDUFB8	8.92272221758705
CADPS2	4.17361538204239
EDG2	3.95368262327206
MYF5	3.16864457673798
SEMA3G	3.23964863749444
IL23A	3.39451777707194
GJA9	3.45699516363751
R3HDM2	7.17086578369882
C5	3.88447956412576
SLC2A10	6.63913797441427
TRIM45	4.86771367019392
TSP50	3.74376518339321
PAQR3	4.82596223919800
